"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! Los Big 9 de la FDA agrupan nueve alergenos principales de declaracion obligatoria en Estados Unidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","La legislacion estadounidense identifica un grupo de alergenos de declaracion obligatoria conocido como Big 9 (los nueve grandes) de la FDA (Administracion de Alimentos y Medicamentos). Cuantos alergenos principales integran actualmente esta lista?","B","Siete alergenos principales de declaracion obligatoria","Nueve alergenos principales de declaracion obligatoria","Catorce alergenos principales de declaracion obligatoria","Cinco alergenos principales de declaracion obligatoria","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! La FALCPA se promulgo en 2004, estableciendo la base para la declaracion obligatoria de alergenos en Estados Unidos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","La ley FALCPA (Ley de Etiquetado de Alergenos Alimentarios y Proteccion al Consumidor) marco un hito en la regulacion de alergenos en Estados Unidos. En que ano se promulgo esta ley?","A","En el ano 2004","En el ano 2021","En el ano 2011","En el ano 1990","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! El FASTER Act (2021) incorporo el sesamo como noveno alergeno, con declaracion obligatoria vigente desde 2023.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","La enmienda conocida como FASTER Act incorporo un noveno alergeno a la lista obligatoria de la FDA. Que alergeno se anadio mediante esta enmienda y desde que ano quedo vigente su declaracion?","C","El trigo, vigente desde 2004","La soya, vigente desde 2011","El sesamo, como noveno alergeno vigente desde 2023","El apio, vigente desde 1990","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! El Reglamento UE 1169/2011 contempla catorce alergenos de declaracion obligatoria, ampliando la lista respecto de la estadounidense.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","El Reglamento de la Union Europea 1169/2011 regula la informacion alimentaria facilitada al consumidor, incluyendo los alergenos. Cuantos alergenos de declaracion obligatoria contempla esta normativa europea?","D","Nueve alergenos de declaracion obligatoria","Siete alergenos de declaracion obligatoria","Veinte alergenos de declaracion obligatoria","Catorce alergenos de declaracion obligatoria","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! La normativa europea incluye alergenos adicionales como el apio, la mostaza, los lupinos, los moluscos y los sulfitos, no exigidos en la lista estadounidense.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","Ademas de los alergenos comunes a la lista estadounidense, el Reglamento de la Union Europea 1169/2011 incluye alergenos adicionales. Cual de los siguientes figura entre esos alergenos adicionales exigidos en Europa?","A","El apio como alergeno de declaracion obligatoria","El maiz como alergeno de declaracion obligatoria","El tomate como alergeno de declaracion obligatoria","La papa como alergeno de declaracion obligatoria","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! La anafilaxia es la reaccion alergica severa y potencialmente mortal que puede desencadenar un alergeno alimentario, lo que exige un control riguroso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","Las reacciones alergicas alimentarias pueden ser graves e incluso mortales. Como se denomina la reaccion alergica severa y potencialmente mortal que puede desencadenar un alergeno alimentario?","B","Intolerancia digestiva leve","Anafilaxia","Deshidratacion aguda","Hipoglucemia transitoria","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! El control de alergenos se basa en prevenir mediante barreras disenadas en todo el proceso, no en detectar el peligro al final.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","El fundamento preventivo de la gestion de alergenos define el enfoque central del control. En que principio se basa el control de alergenos segun este fundamento?","C","En detectar el alergeno unicamente al final del proceso","En eliminar todo control por tratarse de un peligro visible","En prevenir mediante barreras disenadas a lo largo de todo el proceso","En confiar solo en el etiquetado sin controles de proceso","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! Segun la normativa europea, los sulfitos deben declararse a partir de una concentracion superior a 10 mg por kilogramo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","El sulfito es uno de los alergenos regulados en la Union Europea a partir de cierta concentracion. A partir de que umbral de concentracion debe declararse el sulfito segun la normativa europea?","D","A partir de 100 mg por kilogramo","A partir de 50 mg por kilogramo","A partir de 1 mg por kilogramo","A partir de 10 mg por kilogramo","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! El alergeno es un peligro quimico invisible que puede estar presente en trazas y provocar reacciones graves, por lo que exige un control especifico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","La gestion de alergenos se considera un peligro de tipo quimico dentro de la inocuidad alimentaria. Por que se clasifica al alergeno como un peligro quimico que exige control especifico?","A","Porque es un peligro invisible que puede estar presente en trazas y provocar reacciones graves","Porque siempre altera el color y el sabor del producto de forma evidente","Porque solo afecta a la vida util del alimento sin riesgo sanitario","Porque unicamente representa un problema estetico del envase","","","","","",""
"multiplechoice","GAA","G1 Marco Regulatorio Alergenos","Yes","¡Correcto! En el contexto celiaco el gluten es el componente critico del trigo, junto con centeno, cebada y avena.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","El trigo es uno de los alergenos regulados y se asocia a una proteina relevante para las personas celiacas. Que componente del trigo resulta especialmente critico en el contexto de la enfermedad celiaca?","B","La caseina presente en el grano de trigo","El gluten, junto con centeno cebada y avena en celiacos","La albumina caracteristica del huevo","La proteina de soya del grano","","","","","",""
"multiplechoice","GAA","G2 Control en Recepcion y Almacen","Yes","¡Correcto! En la recepcion se decide que materias primas ingresan a la planta y con que informacion de alergenos, siendo la primera barrera de control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","La recepcion de materias primas se considera la primera barrera del control de alergenos. Que se decide en esta etapa que la hace critica para toda la gestion posterior?","A","Que ingresa a la planta y con que informacion de alergenos lo hace","El color final del envase del producto terminado","El precio de venta al consumidor del alimento","La temperatura de coccion del producto en produccion","","","","","",""
"multiplechoice","GAA","G2 Control en Recepcion y Almacen","Yes","¡Correcto! La identificacion visual del almacenamiento segregado emplea el color morado para senalar las materias primas que contienen alergenos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","El almacenamiento segregado emplea una identificacion visual por color para las materias primas con alergenos. Que color se utiliza convencionalmente para identificar los alergenos en el almacen?","B","El color verde para las materias primas con alergenos","El color morado para las materias primas con alergenos","El color blanco para las materias primas con alergenos","El color amarillo para las materias primas con alergenos","","","","","",""
"multiplechoice","GAA","G2 Control en Recepcion y Almacen","Yes","¡Correcto! Los productos con alergenos deben ubicarse arriba y los libres de alergenos abajo, para que derrames y polvos no contaminen hacia abajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","Una de las estrategias de almacenamiento segregado establece una regla sobre la ubicacion vertical de los productos. Como deben disponerse los productos con alergenos respecto de los que no los contienen?","C","Los productos con alergenos siempre en el mismo estante que el resto","Los productos con alergenos abajo y los libres de alergenos arriba","Los productos con alergenos arriba y los libres de alergenos abajo","La ubicacion vertical es irrelevante para la segregacion","","","","","",""
"multiplechoice","GAA","G2 Control en Recepcion y Almacen","Yes","¡Correcto! La razon fisica es que los derrames y polvos caen hacia abajo, por lo que colocar los alergenos arriba evita que contaminen los productos libres de alergenos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAA.","1","La regla de ubicacion vertical en el almacenamiento segregado tiene una justificacion fisica concreta. Cual es la razon fisica que sustenta esta disposicion de los productos?","D","Que los alergenos flotan hacia arriba por su densidad","Que los estantes altos son mas visibles para el operador","Que el aire acondicionado se concentra en la parte baja","Que los derrames y polvos caen hacia abajo por gravedad","","","","","",""
