"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GAAS","S1 ISO 14001 y Estructura HLS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar la compatibilidad y la integracion entre distintas normas de gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El curso presenta la estructura de alto nivel comun a las normas de sistemas de gestion. Cual es el objetivo principal de las clausulas comunes del Anexo SL segun el material del curso de gestion ambiental aplicada a la seguridad industrial?","A","Asegurar la compatibilidad y la integracion entre distintas normas de gestion","Fijar el precio de venta de los servicios de la organizacion","Regular exclusivamente los horarios del personal contable","Establecer los limites de emision de ruido industrial","","","","","",""
"multiplechoice","GAAS","S2 Aspectos Impactos y CONESA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un elemento de las actividades, productos o servicios que interactua o puede interactuar con el medio ambiente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El curso define el aspecto ambiental segun la norma ISO 14001 dentro de la gestion ambiental. Como se entiende el aspecto ambiental segun el material del curso de gestion ambiental aplicada a la seguridad industrial en la organizacion?","C","El cambio en el medio ambiente ya producido por la organizacion","La sancion economica impuesta por la autoridad ambiental","Un elemento de las actividades, productos o servicios que interactua o puede interactuar con el medio ambiente","El precio de venta del producto fabricado por la empresa","","","","","",""
"multiplechoice","GAAS","S3 Residuos Peligrosos y CRETIB","Yes","¡Correcto! Segun el material del curso, lo correcto es: Corrosivo, Reactivo, Explosivo, Toxico, Inflamable o Biologico-infeccioso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El curso define cuando un residuo se considera peligroso mediante un conjunto de caracteristicas. Que significa el criterio CRETIB segun el material del curso de gestion ambiental aplicada a la seguridad industrial en la clasificacion de residuos?","B","Un codigo de colores para la senalizacion de residuos","Corrosivo, Reactivo, Explosivo, Toxico, Inflamable o Biologico-infeccioso","Un metodo de tratamiento de aguas residuales","Un limite de emision de contaminantes atmosfericos","","","","","",""
"multiplechoice","GAAS","S4 Efluentes y Tratamiento de Aguas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La cantidad de materia organica biodegradable presente en el agua residual.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El curso presenta parametros para evaluar la contaminacion de los efluentes liquidos industriales. Que mide la Demanda Bioquimica de Oxigeno segun el material del curso de gestion ambiental aplicada a la seguridad industrial en la gestion de efluentes?","D","El nivel de ruido de la planta de tratamiento","La concentracion de metales pesados en el aire","El precio de venta del agua tratada","La cantidad de materia organica biodegradable presente en el agua residual","","","","","",""
"multiplechoice","GAAS","S5 Emisiones y Plan Manejo Ambiental","Yes","¡Correcto! Segun el material del curso, lo correcto es: El material particulado, como el PM10 y el PM2.5.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El curso presenta los contaminantes criterio como sustancias reguladas en la calidad del aire. Cual de los siguientes es un contaminante criterio segun el material del curso de gestion ambiental aplicada a la seguridad industrial en el control de emisiones?","A","El material particulado, como el PM10 y el PM2.5","La Demanda Bioquimica de Oxigeno del agua","El residuo con caracteristica corrosiva","El nivel de ruido de la instalacion industrial","","","","","",""
"multiplechoice","GAAS","S1 ISO 14001 y Estructura HLS","Yes","¡Correcto! Segun el material del curso, lo correcto es: La estructura de alto nivel comun que comparten las normas de gestion para facilitar su integracion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El material describe el Anexo SL como base estructural de las normas ISO de gestion. Que representa el Anexo SL segun el curso de gestion ambiental aplicada a la seguridad industrial en la integracion de sistemas de gestion de una organizacion?","C","Un catalogo de precios de los productos de la empresa","Una lista de sanciones penales para las empresas","La estructura de alto nivel comun que comparten las normas de gestion para facilitar su integracion","Un calendario de vacaciones del personal ambiental","","","","","",""
"multiplechoice","GAAS","S2 Aspectos Impactos y CONESA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El cambio en el medio ambiente resultante de un aspecto ambiental de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El material distingue el impacto ambiental del aspecto ambiental dentro del marco de la ISO 14001. Como se define el impacto ambiental segun el curso de gestion ambiental aplicada a la seguridad industrial en la organizacion del trabajo?","B","El elemento de la actividad que interactua con el medio ambiente","El cambio en el medio ambiente resultante de un aspecto ambiental de la organizacion","La caracteristica de peligrosidad de un residuo generado","El limite de descarga permitido para un efluente industrial","","","","","",""
"multiplechoice","GAAS","S3 Residuos Peligrosos y CRETIB","Yes","¡Correcto! Segun el material del curso, lo correcto es: Si presenta al menos una de las caracteristicas de peligrosidad definidas por CRETIB.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El material senala que basta con presentar una de las caracteristicas CRETIB para clasificar un residuo. Como se determina que un residuo es peligroso segun el curso de gestion ambiental aplicada a la seguridad industrial en la organizacion?","D","Si presenta todas las caracteristicas CRETIB de forma simultanea","Si supera el precio de venta de un residuo comun","Si genera un nivel de ruido superior al permitido","Si presenta al menos una de las caracteristicas de peligrosidad definidas por CRETIB","","","","","",""
"multiplechoice","GAAS","S4 Efluentes y Tratamiento de Aguas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La cantidad de materia organica total oxidable, biodegradable y no biodegradable, del agua.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El material describe la Demanda Quimica de Oxigeno como otro parametro clave de los efluentes. Que representa la Demanda Quimica de Oxigeno segun el curso de gestion ambiental aplicada a la seguridad industrial en la evaluacion de aguas residuales?","A","La cantidad de materia organica total oxidable, biodegradable y no biodegradable, del agua","El nivel de ruido generado por el efluente","La concentracion de oxigeno del aire ambiente","El costo economico del tratamiento del agua","","","","","",""
"multiplechoice","GAAS","S5 Emisiones y Plan Manejo Ambiental","Yes","¡Correcto! Segun el material del curso, lo correcto es: El dioxido de azufre.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GAAS.","1","El material describe que las emisiones atmosfericas provienen tipicamente de procesos de combustion. Que contaminante criterio se asocia a la combustion de azufre segun el curso de gestion ambiental aplicada a la seguridad industrial en el control de emisiones?","C","El material particulado grueso PM10 unicamente","La Demanda Quimica de Oxigeno del efluente","El dioxido de azufre","El residuo con caracteristica inflamable","","","","","",""
