"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","RPAP","S1 ISO 45003 y Conceptos Psicosociales","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ordenar los requisitos y recomendaciones para gestionar los riesgos psicosociales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El curso indica que la ISO 45003 se apoya en clausulas maestras que estructuran la gestion del riesgo psicosocial. Que funcion cumplen esas clausulas segun el material del curso de riesgos psicosociales aplicado a la gestion en el trabajo?","A","Ordenar los requisitos y recomendaciones para gestionar los riesgos psicosociales","Fijar el precio de venta de los productos de la empresa","Regular exclusivamente los horarios del personal contable","Determinar el color de la senalizacion del puesto","","","","","",""
"multiplechoice","RPAP","S2 Modelos Karasek y Siegrist","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detectando desbalances entre esfuerzo y recompensa para corregirlos antes de que danen la salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El curso describe el uso preventivo del modelo de Siegrist en las organizaciones. Como puede aplicarse este modelo con fines preventivos segun el material del curso de riesgos psicosociales aplicado a la gestion del estres en el trabajo?","C","Fijando el precio de venta del producto fabricado","Determinando el sueldo del auditor de la empresa","Detectando desbalances entre esfuerzo y recompensa para corregirlos antes de que danen la salud","Midiendo el nivel de ruido del puesto de trabajo","","","","","",""
"multiplechoice","RPAP","S3 Modelo JD-R y Burnout","Yes","¡Correcto! Segun el material del curso, lo correcto es: Pueden amortiguar el impacto de las demandas y favorecer la motivacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El curso explica que en el modelo JD-R los recursos laborales cumplen una funcion protectora. Que efecto tienen los recursos frente a las demandas segun el material del curso de riesgos psicosociales aplicado al estres laboral en el trabajo?","B","Aumentan siempre el desgaste del trabajador","Pueden amortiguar el impacto de las demandas y favorecer la motivacion","No influyen en el proceso de desgaste laboral","Determinan el precio de venta del producto","","","","","",""
"multiplechoice","RPAP","S4 Cuestionario CoPsoQ istas21","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para que las preguntas reflejen las condiciones concretas del entorno laboral evaluado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El curso explica que el CoPsoQ debe adaptarse a la realidad de cada organizacion antes de aplicarse. Por que es necesaria esa adaptacion segun el material del curso de riesgos psicosociales aplicado al cuestionario de evaluacion en el trabajo?","D","Para reducir el sueldo del personal evaluado","Para fijar el precio de venta del producto","Para medir el nivel de ruido del ambiente","Para que las preguntas reflejen las condiciones concretas del entorno laboral evaluado","","","","","",""
"multiplechoice","RPAP","S5 Prevencion y Convenio OIT 190","Yes","¡Correcto! Segun el material del curso, lo correcto es: El caso de la empresa de telecomunicaciones France Telecom.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El curso menciona un caso conocido para ilustrar las consecuencias graves del riesgo psicosocial mal gestionado. Que caso emblematico presenta el material del curso de riesgos psicosociales aplicado a las consecuencias del acoso en el trabajo?","A","El caso de la empresa de telecomunicaciones France Telecom","El caso de una fundicion de metales no ferrosos","El caso de un accidente por levantamiento de cargas","El caso de una exposicion a silice respirable","","","","","",""
"multiplechoice","RPAP","S1 ISO 45003 y Conceptos Psicosociales","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite abordar los riesgos psicosociales con la misma logica preventiva que los demas riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El material senala que la gestion del riesgo psicosocial debe integrarse en el sistema general de seguridad y salud. Por que conviene esa integracion segun el curso de riesgos psicosociales aplicado a la gestion de la salud en el trabajo?","C","Porque asi se reduce el sueldo del personal expuesto","Porque el sistema fija el precio del producto final","Porque permite abordar los riesgos psicosociales con la misma logica preventiva que los demas riesgos","Porque determina el nivel de ruido admisible del puesto","","","","","",""
"multiplechoice","RPAP","S2 Modelos Karasek y Siegrist","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analizando las demandas y el control tipicos de cada sector para detectar puestos de alta tension.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El material explica que el modelo de Karasek permite identificar puestos con mayor riesgo psicosocial. Como se aplica ese modelo de forma sectorial segun el curso de riesgos psicosociales aplicado al analisis del estres laboral en distintos sectores?","B","Midiendo el ruido medio de cada sector economico","Analizando las demandas y el control tipicos de cada sector para detectar puestos de alta tension","Fijando el precio de los productos de cada sector","Determinando el sueldo promedio de cada sector","","","","","",""
"multiplechoice","RPAP","S3 Modelo JD-R y Burnout","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las demandas sostenidas sin recursos suficientes pueden derivar en burnout.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El material vincula el proceso de desgaste del modelo JD-R con la aparicion del burnout. Como se relacionan ambos segun el curso de riesgos psicosociales aplicado al modelo de demandas y recursos laborales en el trabajo?","D","El burnout aparece cuando hay demasiados recursos disponibles","El burnout surge del exceso de apoyo social recibido","El burnout depende solo del ruido del ambiente","Las demandas sostenidas sin recursos suficientes pueden derivar en burnout","","","","","",""
"multiplechoice","RPAP","S4 Cuestionario CoPsoQ istas21","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que los resultados sean fiables y sirvan de base para decisiones preventivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El material senala que el CoPsoQ produce resultados que deben procesarse de forma rigurosa. Que garantiza un procesamiento adecuado segun el curso de riesgos psicosociales aplicado a la evaluacion del riesgo psicosocial en el trabajo?","A","Que los resultados sean fiables y sirvan de base para decisiones preventivas","Que el cuestionario fije el precio del producto","Que se reduzca el ruido del puesto de trabajo","Que aumente la iluminacion del ambiente laboral","","","","","",""
"multiplechoice","RPAP","S5 Prevencion y Convenio OIT 190","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que la organizacion puede ser responsable de los danos psicosociales derivados de sus practicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RPAP.","1","El material extrae una lectura juridica del caso France Telecom en relacion con el riesgo psicosocial. Que ensena ese caso segun el curso de riesgos psicosociales aplicado a las consecuencias de la mala gestion del riesgo en el trabajo?","C","Que el riesgo psicosocial carece de consecuencias legales","Que el acoso mejora los resultados de la empresa","Que la organizacion puede ser responsable de los danos psicosociales derivados de sus practicas","Que el riesgo psicosocial se resuelve subiendo sueldos","","","","","",""
