"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","CSMD","S1 ISO 39001 y Marco Normativo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir las muertes y lesiones graves relacionadas con el transito.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Segun el material del curso, cual es el objetivo principal de la norma ISO 39001 dentro de la gestion de la seguridad vial aplicada a las organizaciones que operan flotas de vehiculos?","A","Reducir las muertes y lesiones graves relacionadas con el transito","Aumentar la velocidad promedio de los desplazamientos","Reducir el costo del combustible de la flota","Estandarizar el color de los vehiculos de la empresa","","","","","",""
"multiplechoice","CSMD","S2 Vision Zero y Sistema CATEFL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Eliminar las muertes y lesiones graves ocasionadas por el transito.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Segun el material del curso, cual es el principal objetivo de la politica conocida como Vision Zero dentro de las iniciativas de seguridad vial aplicadas a la conduccion profesional?","C","Aumentar la velocidad promedio de circulacion","Reducir el costo del combustible de la flota","Eliminar las muertes y lesiones graves ocasionadas por el transito","Estandarizar el color de la senalizacion vial","","","","","",""
"multiplechoice","CSMD","S3 Smith System y Distancias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mirar hacia adelante y lejos para prever los peligros del camino.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Segun el material del curso, cual es una de las claves del Smith System que el conductor profesional debe aplicar para anticiparse a los peligros durante la conduccion de un vehiculo de la flota?","B","Mirar unicamente el vehiculo que va inmediatamente delante","Mirar hacia adelante y lejos para prever los peligros del camino","Concentrarse solo en el tablero de instrumentos","Observar exclusivamente los espejos laterales","","","","","",""
"multiplechoice","CSMD","S4 Fatiga y Manejo de Distraccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumenta el riesgo de sufrir accidentes de trafico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Segun el material del curso, cual es una de las principales consecuencias de la fatiga en los conductores profesionales durante la operacion de los vehiculos de la flota de la empresa?","D","Mejora la capacidad de reaccion del conductor","Reduce el consumo de combustible del vehiculo","Aumenta la precision de las maniobras de conduccion","Aumenta el riesgo de sufrir accidentes de trafico","","","","","",""
"multiplechoice","CSMD","S5 Gestion de Flota y Siniestros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar un sistema de rastreo GPS para optimizar y supervisar la operacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Segun el material del curso, cual es una buena practica para la gestion de una flota de vehiculos dentro del control de las operaciones de conduccion segura de la empresa de transporte?","A","Implementar un sistema de rastreo GPS para optimizar y supervisar la operacion","Eliminar el control sobre la ubicacion de los vehiculos","Ignorar el mantenimiento periodico de la flota","Prescindir de cualquier registro de la operacion","","","","","",""
"multiplechoice","CSMD","S1 ISO 39001 y Marco Normativo","Yes","¡Correcto! Segun el material del curso, lo correcto es: La Agencia Nacional de Transito conocida por sus siglas ANT.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Conforme al contenido, que entidad es responsable de la regulacion del transito y el transporte terrestre dentro del marco normativo de seguridad vial descrito en el curso?","C","La organizacion internacional de normalizacion ISO","La asociacion de proteccion contra incendios NFPA","La Agencia Nacional de Transito conocida por sus siglas ANT","El comite de seguridad electrica de la industria","","","","","",""
"multiplechoice","CSMD","S2 Vision Zero y Sistema CATEFL","Yes","¡Correcto! Segun el material del curso, lo correcto es: La iniciativa denominada Vision Zero.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Conforme al contenido, que iniciativa de seguridad vial busca eliminar por completo las muertes y lesiones graves de transito dentro del marco de la conduccion segura descrito en el curso?","B","La certificacion CATEFL de aptitud tecnica","La iniciativa denominada Vision Zero","La norma ISO 9001 de gestion de calidad","El sistema de rastreo GPS de la flota","","","","","",""
"multiplechoice","CSMD","S3 Smith System y Distancias","Yes","¡Correcto! Segun el material del curso, lo correcto es: La distancia minima entre vehiculos necesaria para poder frenar a tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Conforme al contenido, que se entiende por distancia de seguimiento dentro del Smith System aplicado a la conduccion defensiva de los vehiculos de la flota de la empresa?","D","La distancia total recorrida durante la jornada","La separacion entre los espejos del vehiculo","La distancia entre el conductor y el volante","La distancia minima entre vehiculos necesaria para poder frenar a tiempo","","","","","",""
"multiplechoice","CSMD","S4 Fatiga y Manejo de Distraccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Configurar el GPS antes de iniciar el viaje y no mientras se conduce.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Conforme al contenido, que se recomienda hacer para minimizar la distraccion asociada al uso del sistema de navegacion antes de iniciar un viaje en un vehiculo de la flota de la empresa?","A","Configurar el GPS antes de iniciar el viaje y no mientras se conduce","Programar el GPS mientras el vehiculo esta en movimiento","Ignorar el GPS y conducir sin planificar la ruta","Manipular el GPS en cada interseccion del recorrido","","","","","",""
"multiplechoice","CSMD","S5 Gestion de Flota y Siniestros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar la zona del accidente y verificar el estado de los involucrados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CSMD.","1","Conforme al contenido, que protocolo debe seguir el conductor profesional ante un siniestro ocurrido durante la operacion de un vehiculo de la flota de la empresa de transporte?","C","Abandonar el lugar del accidente de inmediato","Continuar el viaje sin reportar el siniestro","Asegurar la zona del accidente y verificar el estado de los involucrados","Ignorar a las personas involucradas en el accidente","","","","","",""
