"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar inspecciones regulares de las instalaciones y equipos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","En el marco del curso Seguridad Industrial: Prevencion, Control Operacional y, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de las siguientes acciones es un objetivo preventivo clave en la gestion de la seguridad laboral?","A","Realizar inspecciones regulares de las instalaciones y equipos.","Recrutar nuevos empleados constantemente.","Implementar sanciones sin capacitacion previa.","Aumentar la produccion sin considerar condiciones de seguridad.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La cultura de seguridad debe basarse en la comunicacion y la confianza entre los empleados y la direccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","Segun los contenidos desarrollados en el curso Seguridad Industrial: Prevencion, Control Operacional y, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el contexto de la cultura de seguridad, cual de las siguientes afirmaciones es correcta?","C","La cultura de seguridad se puede establecer sin la participacion activa de los trabajadores.","La cultura de seguridad es un concepto que solo aplica a los altos directivos.","La cultura de seguridad debe basarse en la comunicacion y la confianza entre los empleados y la direccion.","No es necesario evaluar la cultura de seguridad de forma continua.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Incentivar la reportacion de incidentes sin penalizaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","Con base en el material del curso Seguridad Industrial: Prevencion, Control Operacional y y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual es la mejor forma de fomentar la participacion de los empleados en la seguridad laboral?","B","Crear un sistema de jerarquias en la comunicacion de seguridad.","Incentivar la reportacion de incidentes sin penalizaciones.","Limitar el acceso a informacion sobre accidentes pasados.","Obligar a todos los empleados a asistir a capacitaciones sin excepciones.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La jerarquia de controles involucra eliminar riesgos, sustituir por alternativas mas seguras, implementar controles de ingenieria, controles administrativos y equipos de proteccion personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","Tomando en cuenta lo estudiado en el curso Seguridad Industrial: Prevencion, Control Operacional y sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de los siguientes enunciados describe mejor la jerarquia de controles en un sistema preventivo?","D","La jerarquia de controles unicamente se refiere a la implementacion de equipos de proteccion personal en el lugar de trabajo.","La jerarquia de controles esta diseniada exclusivamente para manejo de emergencias y no para prevencion.","La jerarquia de controles se basa solamente en el uso de medidas administrativas para controlar los riesgos presentes en los trabajadores.","La jerarquia de controles involucra eliminar riesgos, sustituir por alternativas mas seguras, implementar controles de ingenieria, controles administrativos y equipos de proteccion personal.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar el cumplimiento de las normativas de seguridad y salud en el trabajo, promoviendo una cultura de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","De acuerdo con los fundamentos presentados en el curso Seguridad Industrial: Prevencion, Control Operacional y, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual es la principal responsabilidad de los supervisores en el marco normativo de SST?","B","Supervisar las tareas diarias sin tener en cuenta las normativas relacionadas con la SST.","Asegurar el cumplimiento de las normativas de seguridad y salud en el trabajo, promoviendo una cultura de prevencion.","Ser responsables unicamente de la capacitacion de nuevos empleados en el uso de equipos de proteccion personal.","Delegar todas las responsabilidades de SST a los recursos humanos sin supervision.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer roles y funciones claras dentro de la organizacion para asegurar el cumplimiento de las politicas de seguridad y salud ocupacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","Considerando el enfoque metodologico del curso Seguridad Industrial: Prevencion, Control Operacional y y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: En el contexto de la normativa de SST, que rol juegan las responsabilidades internas?","D","Actuar solo como un respaldo para el cumplimiento normativo externo sin implicaciones dentro de la empresa.","Crear una jerarquia en la organizacion que limite la comunicacion entre niveles sobre seguridad.","Ser unicamente una fase final de reporte despues de los incidentes ocurridos.","Establecer roles y funciones claras dentro de la organizacion para asegurar el cumplimiento de las politicas de seguridad y salud ocupacional.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cables expuestos y mal aislados en un area de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","En el marco del curso Seguridad Industrial: Prevencion, Control Operacional y, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes ejemplos representa un peligro electrico en el lugar de trabajo?","A","Cables expuestos y mal aislados en un area de trabajo.","Sustancias quimicas almacenadas correctamente.","Un area desordenada que dificulta el movimiento.","Uso de herramientas manuales sin proteccion.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un resbalon o caida, lo que es un peligro fisico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","Segun los contenidos desarrollados en el curso Seguridad Industrial: Prevencion, Control Operacional y, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En una planta industrial, un liquido derramado en el suelo puede causar:","C","Fallas electricas debido a cortocircuitos, un peligro electrico.","Contaminacion del aire por vapores toxicos, lo cual es un peligro quimico.","Un resbalon o caida, lo que es un peligro fisico.","Ruidos excesivos que pueden causar fatiga, un peligro mecanico.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso de EPP (Equipo de Proteccion Personal), como guantes y mascarillas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","Con base en el material del curso Seguridad Industrial: Prevencion, Control Operacional y y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual es una medida preventiva adecuada para minimizar los peligros quimicos en el trabajo?","C","Disminuir la capacitacion del personal sobre el manejo de quimicos.","Eliminar barreras de seguridad para mejorar la eficiencia.","El uso de EPP (Equipo de Proteccion Personal), como guantes y mascarillas.","Aumentar las horas de trabajo sin pausa.","","","","","",""
"multiplechoice","SIPCO","C1 Fundamentos de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La frecuencia y duracion durante la cual un individuo esta expuesto a un peligro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIPCO.","1","Tomando en cuenta lo estudiado en el curso Seguridad Industrial: Prevencion, Control Operacional y sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de las siguientes opciones describe mejor el termino 'exposicion' en una evaluacion de riesgos?","A","La frecuencia y duracion durante la cual un individuo esta expuesto a un peligro.","La severidad de las consecuencias en caso de que ocurra un evento.","La identificacion de los riesgos en el lugar de trabajo.","La probabilidad de que ocurra un evento negativo.","","","","","",""
