"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","BELP","S1 Objetivo y Fundamentos LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Definir con detalle las fuentes de energia los puntos de aislamiento y los pasos seguros para intervenir ese equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Conforme al material del curso, cual es el proposito de establecer un procedimiento especifico de LOTO para un area o equipo determinado?","A","Definir con detalle las fuentes de energia los puntos de aislamiento y los pasos seguros para intervenir ese equipo","Reducir la cantidad de trabajadores autorizados a ingresar a esa area de la planta","Aumentar la velocidad de produccion del equipo durante su funcionamiento normal","Registrar unicamente el consumo electrico mensual del equipo en operacion","","","","","",""
"multiplechoice","BELP","S2 Componentes Candado Tag y Hasp","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite que multiples candados aseguren un solo punto de aislamiento manteniendolo bloqueado mientras alguien trabaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Conforme al material del curso, por que un hasp resulta indispensable cuando varios trabajadores intervienen de manera simultanea un mismo equipo en una tarea de mantenimiento?","C","Porque reduce el numero de candados a uno solo compartido por todo el equipo de trabajo","Porque permite reactivar el equipo mientras algunos trabajadores continuan la intervencion","Porque permite que multiples candados aseguren un solo punto de aislamiento manteniendolo bloqueado mientras alguien trabaje","Porque sustituye la necesidad de que cada trabajador coloque su propio candado personal","","","","","",""
"multiplechoice","BELP","S3 Fuentes de Energia y Cero Energia","Yes","¡Correcto! Segun el material del curso, lo correcto es: La energia contenida en resortes piezas tensionadas o partes que pueden moverse por gravedad o inercia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Conforme al material del curso, que representa concretamente la energia mecanica almacenada que debe controlarse durante una intervencion de mantenimiento en un equipo industrial?","B","La energia electrica que alimenta los motores del equipo durante su operacion","La energia contenida en resortes piezas tensionadas o partes que pueden moverse por gravedad o inercia","La energia termica que se disipa a traves de las superficies calientes del equipo","La energia quimica contenida en las baterias de respaldo del sistema de control","","","","","",""
"multiplechoice","BELP","S4 Secuencia LOTOTO y Verificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar la tarea manteniendo los candados y etiquetas colocados sin reactivar ninguna fuente de energia hasta finalizar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Conforme al material del curso, cual es el proceso de trabajo seguro que debe seguirse mientras el bloqueo permanece instalado en el equipo?","D","Reactivar periodicamente el equipo para verificar el avance de la reparacion","Retirar los candados durante los descansos y volver a colocarlos al reanudar","Delegar el retiro de los candados a cualquier trabajador presente en el area","Realizar la tarea manteniendo los candados y etiquetas colocados sin reactivar ninguna fuente de energia hasta finalizar","","","","","",""
"multiplechoice","BELP","S5 Bloqueo Grupal Turnos y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar si la tarea requiere el bloqueo completo y no omitir el control de energia por considerarla una tarea breve.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Conforme al material del curso, que aspecto es crucial durante el minor servicing o tareas menores para mantener la seguridad del trabajador?","A","Evaluar si la tarea requiere el bloqueo completo y no omitir el control de energia por considerarla una tarea breve","Omitir siempre el bloqueo porque las tareas menores no representan ningun riesgo","Reactivar el equipo durante la tarea para verificar su funcionamiento continuo","Delegar la seguridad al operador sin aplicar ningun control de la energia","","","","","",""
"multiplechoice","BELP","S1 Objetivo y Fundamentos LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite identificar todas las fuentes de energia y controlarlas para evitar liberaciones inesperadas durante la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Tal como indica el material del curso, por que la comprension de los peligros de la energia es fundamental antes de aplicar un bloqueo en un equipo?","C","Porque permite decidir el color de la etiqueta segun la preferencia del trabajador","Porque determina el monto del incentivo economico asignado al personal de mantenimiento","Porque permite identificar todas las fuentes de energia y controlarlas para evitar liberaciones inesperadas durante la tarea","Porque establece el horario en que el equipo debe reiniciar su funcionamiento normal","","","","","",""
"multiplechoice","BELP","S2 Componentes Candado Tag y Hasp","Yes","¡Correcto! Segun el material del curso, lo correcto es: Concentrar las llaves de los aislamientos bajo el candado de cada trabajador impidiendo el retiro hasta que todos terminen.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Tal como indica el material del curso, cual es la utilidad de una caja de bloqueo grupal en operaciones que involucran a un grupo de trabajadores?","B","Almacenar el equipo de proteccion personal de todos los trabajadores del turno","Concentrar las llaves de los aislamientos bajo el candado de cada trabajador impidiendo el retiro hasta que todos terminen","Guardar los repuestos que seran instalados durante la reparacion del equipo","Registrar por escrito las quejas del personal que labora en el area intervenida","","","","","",""
"multiplechoice","BELP","S3 Fuentes de Energia y Cero Energia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permitir que el equipo se enfrie o aplicar medidas de control para evitar quemaduras al personal durante la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Tal como indica el material del curso, cual es la forma correcta de tratar la energia termica presente en un equipo antes de intervenirlo?","D","Intervenir el equipo de inmediato ya que la energia termica se disipa muy rapido","Aumentar la temperatura del equipo para facilitar el desmontaje de las piezas","Ignorar la energia termica porque no puede causar lesiones al trabajador","Permitir que el equipo se enfrie o aplicar medidas de control para evitar quemaduras al personal durante la tarea","","","","","",""
"multiplechoice","BELP","S4 Secuencia LOTOTO y Verificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque cada paso prepara al siguiente y omitir o cambiar el orden puede dejar energia activa que ponga en riesgo al trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Tal como indica el material del curso, por que el orden de los pasos en la secuencia de bloqueo y etiquetado no debe alterarse durante la intervencion?","A","Porque cada paso prepara al siguiente y omitir o cambiar el orden puede dejar energia activa que ponga en riesgo al trabajador","Porque asi se cumple un requisito puramente administrativo sin impacto real","Porque el orden determina el color de las etiquetas colocadas en el equipo","Porque cambiar el orden reduce la cantidad de candados necesarios en la tarea","","","","","",""
"multiplechoice","BELP","S5 Bloqueo Grupal Turnos y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Revisar los procedimientos verificar los registros y confirmar que los dispositivos y la capacitacion esten actualizados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BELP.","1","Tal como indica el material del curso, cuales son acciones clave que debe realizar un profesional para prepararse adecuadamente ante una auditoria de LOTO?","C","Retirar todos los candados del sitio para facilitar la inspeccion del auditor","Aumentar la produccion durante la auditoria para demostrar eficiencia operativa","Revisar los procedimientos verificar los registros y confirmar que los dispositivos y la capacitacion esten actualizados","Reducir el numero de procedimientos documentados para simplificar la revision","","","","","",""
