"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir los riesgos asociados al manejo de sustancias quimicas mediante una gestion integral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","En el marco del curso Programa Profesional en Seguridad Quimica y Cumplimiento, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal objetivo del programa en el contexto de la seguridad quimica y HSE?","A","Reducir los riesgos asociados al manejo de sustancias quimicas mediante una gestion integral.","Aumentar la productividad de la logistica en el sector quimico","Proporcionar formacion general para todos los empleados","Promover la compra de productos quimicos mas economicos","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Quimico, ambiental y logistico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","Segun los contenidos desarrollados en el curso Programa Profesional en Seguridad Quimica y Cumplimiento, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En terminos de alcance del programa, cuales son los sectores de aplicacion mas relevantes?","C","Energia y comunicaciones","Turismo y entretenimiento","Quimico, ambiental y logistico.","Tecnologias de la informacion","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La integracion de consideraciones economicas, sociales y ambientales en la gestion de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","Con base en el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que aspecto multidimensional abarca el curso en relacion con su implementacion?","B","El desarrollo de productos a medida para la industria quimica.","La integracion de consideraciones economicas, sociales y ambientales en la gestion de riesgos.","La inclusion de tecnologia avanzada en la educacion.","La mejora de la infraestructura en las plantas quimicas.","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","Segun el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento, responde con precision: Cual de los siguientes verbos medibles se relaciona mejor con la evaluacion de la efectividad de un sistema de gestion ambiental?","D","Desarrollar","Implementar","Planificar","Evaluar","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso de verbos especificos y medibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","Segun el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento, responde con precision: Al escribir objetivos de aprendizaje claros, que aspecto es fundamental para asegurar su medicion adecuada?","B","La falta de alineacion con las acciones profesionales","El uso de verbos especificos y medibles","La ambiguedad en la redaccion","La inclusion de terminos tecnicos complicados","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar auditorias conforme a estandares especificos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","Segun el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento, responde con precision: Cual de las siguientes capacidades deberia ser prioridad al desarrollar un programa para auditores en gestion de productos quimicos?","D","Desarrollar materiales de capacitacion","Promover la innovacion en procesos de distribucion","Conocer normativas internacionales","Realizar auditorias conforme a estandares especificos","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilita el acceso flexible a recursos y materiales de estudio en cualquier momento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","En el marco del curso Programa Profesional en Seguridad Quimica y Cumplimiento, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es una de las principales ventajas del aprendizaje e-learning en comparacion con el aprendizaje tradicional?","A","Facilita el acceso flexible a recursos y materiales de estudio en cualquier momento.","Ofrece un ambiente de estudio mas ruidoso y disruptivo.","Permite la interaccion directa entre estudiantes y docentes.","Sustituye totalmente a la experiencia practica.","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es la capacidad de un estudiante para completar tareas en un entorno sin supervision.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","Segun los contenidos desarrollados en el curso Programa Profesional en Seguridad Quimica y Cumplimiento, y considerando las definiciones presentadas en el material, indica la alternativa correcta: En el contexto de la modalidad e-learning, que se entiende por 'autonomia del estudiante'?","C","Es la necesidad de un docente para guiar cada paso del aprendizaje.","Es una tecnica especifica de evaluacion del aprendizaje.","Es la capacidad de un estudiante para completar tareas en un entorno sin supervision.","Es el tiempo que el estudiante tiene disponible para estudiar.","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La alineacion de los contenidos con los objetivos de aprendizaje especificos del programa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","Con base en el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que aspecto debe primar al diseniar un curso e-learning para asegurarse de que sea efectivo?","C","La creatividad en el disenio grafico del curso.","Incluir un gran numero de examenes practicos y teoricos.","La alineacion de los contenidos con los objetivos de aprendizaje especificos del programa.","La duracion del curso deberia ser lo mas extensa posible.","","","","","",""
"multiplechoice","PSQCRA","C1 Marco Legal Quimico AR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Implementar estrategias para reducir riesgos en el manejo de productos quimicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PSQCRA.","1","Tomando en cuenta lo estudiado en el curso Programa Profesional en Seguridad Quimica y Cumplimiento sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el principal objetivo del programa de capacitacion para Responsables de seguridad quimica y HSE?","A","Implementar estrategias para reducir riesgos en el manejo de productos quimicos","Desarrollar competencias en gestion de residuos quimicos","Capacitar en normativas internacionales de comercio","Aumentar la produccion de quimicos","","","","","",""
