"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","HWFBL","S1 Fundamentos PHA y Metodologias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un proceso que busca identificar y evaluar los peligros presentes en el lugar de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso HWFBL define el proceso de analisis de peligros y riesgos aplicado al lugar de trabajo. De acuerdo con el material, la definicion mas adecuada de un PHA corresponde a:","A","Un proceso que busca identificar y evaluar los peligros presentes en el lugar de trabajo","Un tramite administrativo para calcular impuestos de la planta","Una campana de publicidad orientada a los clientes","Un metodo para fijar los precios de los productos","","","","","",""
"multiplechoice","HWFBL","S2 Analisis HAZOP y Nodos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los objetivos y funciones de diseno de un sistema que se evaluan para verificar su cumplimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso introduce el analisis HAZOP y su concepto de intencion de diseno. De acuerdo con el material, la intencion de diseno en un analisis HAZOP se describe mejor como:","C","El precio de venta esperado del producto","El presupuesto asignado al area comercial","Los objetivos y funciones de diseno de un sistema que se evaluan para verificar su cumplimiento","La estrategia publicitaria de la instalacion","","","","","",""
"multiplechoice","HWFBL","S3 What-If Checklist y FMEA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Se basa en plantear preguntas sobre fallos potenciales y sus consecuencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso presenta la logica del metodo What-If dentro de las tecnicas de analisis de riesgos. De acuerdo con el material, la afirmacion que describe mejor la logica del metodo What-If es que:","B","Se basa en calcular el margen de utilidad","Se basa en plantear preguntas sobre fallos potenciales y sus consecuencias","Consiste en disenar la campana publicitaria","Se orienta a fijar los precios de venta","","","","","",""
"multiplechoice","HWFBL","S4 Bowtie Barreras y LOPA SIL","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de las barreras que previenen o mitigan el evento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso presenta el metodo Bowtie para la representacion de riesgos. De acuerdo con el material, un componente esencial de un analisis Bowtie orientado a identificar los controles es:","D","El calculo del margen de utilidad","El diseno de la campana publicitaria","La fijacion de los precios de venta","El analisis de las barreras que previenen o mitigan el evento","","","","","",""
"multiplechoice","HWFBL","S5 Software Reportes y Revalidacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la creacion y gestion de estudios de PHA de manera estructurada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso explica por que se recomienda usar software especializado en los estudios de analisis de riesgos. De acuerdo con el material, una funcion clave de una herramienta como PHAWorks es:","A","Facilitar la creacion y gestion de estudios de PHA de manera estructurada","Fijar los precios de venta de los productos","Disenar la campana publicitaria de la empresa","Calcular las metas comerciales del periodo","","","","","",""
"multiplechoice","HWFBL","S1 Fundamentos PHA y Metodologias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Valores limite que determinan cuando un proceso queda sujeto a exigencias de analisis.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso explica el papel de las sustancias umbral en el analisis de peligros. De acuerdo con el material, la funcion de las sustancias umbral se relaciona con actuar como:","C","Metas comerciales del area de ventas","Indicadores de la campana publicitaria","Valores limite que determinan cuando un proceso queda sujeto a exigencias de analisis","Precios de referencia del mercado","","","","","",""
"multiplechoice","HWFBL","S2 Analisis HAZOP y Nodos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un cambio respecto al comportamiento esperado de un sistema o proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso define un termino clave del metodo HAZOP referido a los apartamientos respecto al comportamiento esperado. De acuerdo con el material, el termino desviacion significa:","B","Un aumento planificado de las ventas","Un cambio respecto al comportamiento esperado de un sistema o proceso","Un ajuste del precio de los insumos","Una mejora de la imagen publicitaria","","","","","",""
"multiplechoice","HWFBL","S3 What-If Checklist y FMEA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que no se omitan pasos criticos durante el proceso de evaluacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso destaca los beneficios de usar listas de verificacion en la evaluacion de riesgos. De acuerdo con el material, uno de los principales beneficios de emplear checklists es:","D","Incrementar las ventas del producto final","Reducir el gasto en publicidad institucional","Fijar los precios del mercado de forma automatica","Asegurar que no se omitan pasos criticos durante el proceso de evaluacion","","","","","",""
"multiplechoice","HWFBL","S4 Bowtie Barreras y LOPA SIL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Opere de forma autonoma sin depender de las demas barreras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso explica la importancia de la independencia de las barreras en el modelo Bowtie. De acuerdo con el material, esa independencia es crucial porque asegura que cada barrera:","A","Opere de forma autonoma sin depender de las demas barreras","Comparta el mismo mecanismo que las otras barreras","Reduzca el precio de venta del producto","Sirva para promocionar la instalacion","","","","","",""
"multiplechoice","HWFBL","S5 Software Reportes y Revalidacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar una representacion visual de los riesgos y controles en una sola vista.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso describe la caracteristica distintiva de la herramienta BowtieXP en la evaluacion de riesgos. De acuerdo con el material, esa caracteristica consiste en:","C","Establecer los precios del mercado","Coordinar la campana de mercadeo","Proporcionar una representacion visual de los riesgos y controles en una sola vista","Definir las metas de venta anuales","","","","","",""
"multiplechoice","HWFBL","S1 Fundamentos PHA y Metodologias","Yes","¡Correcto! Segun el material del curso, lo correcto es: El enfoque cualitativo y el enfoque cuantitativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso presenta distintos enfoques metodologicos para la evaluacion de riesgos. De acuerdo con el material, los dos enfoques fundamentales que se contrastan en la evaluacion de riesgos son:","B","El enfoque comercial y el enfoque publicitario","El enfoque cualitativo y el enfoque cuantitativo","El enfoque contable y el enfoque financiero","El enfoque legal y el enfoque tributario","","","","","",""
"multiplechoice","HWFBL","S2 Analisis HAZOP y Nodos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Herramientas para generar desviaciones y examinar zonas de riesgo en el diseno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso explica el papel de las palabras guia dentro de un analisis HAZOP. De acuerdo con el material, esas palabras guia funcionan como:","D","Frases publicitarias para promocionar la planta","Codigos comerciales de los productos","Metas de venta del area de mercadeo","Herramientas para generar desviaciones y examinar zonas de riesgo en el diseno","","","","","",""
"multiplechoice","HWFBL","S3 What-If Checklist y FMEA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su dependencia de la subjetividad y de la experiencia del equipo participante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso describe una limitacion del enfoque What-If frente a metodos mas estructurados. De acuerdo con el material, una limitacion importante del What-If es:","A","Su dependencia de la subjetividad y de la experiencia del equipo participante","Su elevado costo publicitario","Su imposibilidad de identificar cualquier riesgo","Su exclusiva orientacion comercial","","","","","",""
"multiplechoice","HWFBL","S4 Bowtie Barreras y LOPA SIL","Yes","¡Correcto! Segun el material del curso, lo correcto es: La consecuencia maxima o el momento de perdida de control del riesgo identificado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso define el evento tope dentro de un analisis Bowtie. De acuerdo con el material, el evento tope se describe mejor como:","C","El precio maximo del producto","La meta de venta mas alta del periodo","La consecuencia maxima o el momento de perdida de control del riesgo identificado","El punto culminante de la campana publicitaria","","","","","",""
"multiplechoice","HWFBL","S5 Software Reportes y Revalidacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Calcular y gestionar la seguridad de los sistemas de control instrumentado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso presenta la herramienta exSILentia dentro de la gestion de seguridad. De acuerdo con el material, el proposito de exSILentia se orienta a:","B","Fijar los precios de venta de los equipos","Calcular y gestionar la seguridad de los sistemas de control instrumentado","Disenar la publicidad de los productos","Calcular la utilidad comercial de la planta","","","","","",""
"multiplechoice","HWFBL","S1 Fundamentos PHA y Metodologias","Yes","¡Correcto! Segun el material del curso, lo correcto es: El reglamento de seguridad y salud en el trabajo aplicable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso identifica el marco normativo que obliga a realizar un analisis de peligros del proceso en el entorno industrial. De acuerdo con el material, entre las normativas que regulan esta obligacion se menciona:","D","El reglamento de precios al consumidor","El codigo de publicidad institucional","El estatuto tributario de la empresa","El reglamento de seguridad y salud en el trabajo aplicable","","","","","",""
"multiplechoice","HWFBL","S2 Analisis HAZOP y Nodos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La formacion del equipo multidisciplinario y la definicion de la intencion de diseno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso describe los pasos logicos de un analisis HAZOP. De acuerdo con el material, entre esos pasos se incluye de forma inicial:","A","La formacion del equipo multidisciplinario y la definicion de la intencion de diseno","El calculo del margen de utilidad del proceso","El diseno de la campana publicitaria","La fijacion de precios de los productos","","","","","",""
"multiplechoice","HWFBL","S3 What-If Checklist y FMEA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La fase de diseno y planificacion inicial del proyecto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso indica la etapa mas eficaz para implementar el metodo What-If. De acuerdo con el material, este metodo resulta mas eficaz cuando se aplica en:","C","La etapa de liquidacion de la empresa","El lanzamiento de la campana publicitaria","La fase de diseno y planificacion inicial del proyecto","El cierre del ejercicio fiscal","","","","","",""
"multiplechoice","HWFBL","S4 Bowtie Barreras y LOPA SIL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Independent Protection Layers o capas de proteccion independientes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso vincula el analisis Bowtie con el concepto de capas de proteccion independientes. De acuerdo con el material, el termino criterios IPL corresponde a:","B","Indice de Precios al Consumidor","Independent Protection Layers o capas de proteccion independientes","Instrumento de Publicidad Local","Informe de Perdidas y Liquidaciones","","","","","",""
"multiplechoice","HWFBL","S5 Software Reportes y Revalidacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite seguir la evolucion de los riesgos y las recomendaciones a lo largo del tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso destaca la importancia de la trazabilidad en las revalidaciones de los estudios PHA. De acuerdo con el material, esa trazabilidad resulta relevante porque:","D","Reduce el precio de venta de los productos","Aumenta la publicidad de la instalacion","Incrementa las metas comerciales del periodo","Permite seguir la evolucion de los riesgos y las recomendaciones a lo largo del tiempo","","","","","",""
"multiplechoice","HWFBL","S1 Fundamentos PHA y Metodologias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Formal, multidisciplinario y trazable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso caracteriza el PHA como una metodologia con atributos distintivos. De acuerdo con el material, una caracteristica distintiva del proceso PHA es que se trata de un proceso:","A","Formal, multidisciplinario y trazable","Informal y realizado por una sola persona","Confidencial y sin ningun registro documental","Comercial orientado unicamente a las ventas","","","","","",""
"multiplechoice","HWFBL","S2 Analisis HAZOP y Nodos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registrar las conclusiones y recomendaciones para su seguimiento posterior.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso resalta la importancia de la documentacion en el proceso HAZOP. De acuerdo con el material, la documentacion resulta crucial porque permite:","C","Promocionar comercialmente la instalacion","Reducir el precio de venta del producto","Registrar las conclusiones y recomendaciones para su seguimiento posterior","Aumentar las ventas del periodo","","","","","",""
"multiplechoice","HWFBL","S3 What-If Checklist y FMEA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Integra diferentes metodologias para lograr una evaluacion mas completa del riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso explica las ventajas de combinar metodologias de analisis de riesgos. De acuerdo con el material, el enfoque combinado resulta ventajoso porque:","B","Reduce el precio de venta de los productos","Integra diferentes metodologias para lograr una evaluacion mas completa del riesgo","Elimina la necesidad de documentar el estudio","Aumenta las ventas del periodo comercial","","","","","",""
"multiplechoice","HWFBL","S4 Bowtie Barreras y LOPA SIL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar y auditar la solidez de los controles criticos de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso describe la integracion de las barreras en el contexto del BSCAT. De acuerdo con el material, las barreras en ese contexto se utilizan como instrumentos para:","D","Fijar los precios de los productos","Disenar la campana publicitaria","Definir las metas comerciales","Evaluar y auditar la solidez de los controles criticos de seguridad","","","","","",""
"multiplechoice","HWFBL","S5 Software Reportes y Revalidacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La integracion y sincronizacion de datos entre las diferentes plataformas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HWFBL.","1","El material del curso identifica un aspecto clave para lograr un flujo de trabajo digital efectivo con las herramientas de analisis de riesgos. De acuerdo con el material, ese aspecto clave es:","A","La integracion y sincronizacion de datos entre las diferentes plataformas","El aumento del gasto en publicidad","La reduccion del precio de los productos","La ampliacion de las metas de venta","","","","","",""
