"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAR","S1 Normativa RM 375 y Principios","Yes","¡Correcto! Segun el material del curso, lo correcto es: La promocion de un ambiente laboral seguro adaptando el trabajo a las capacidades del trabajador para prevenir riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","Segun el material del curso, cual es un principio fundamental de la norma basica de ergonomia en materia de seguridad y salud en el trabajo?","A","La promocion de un ambiente laboral seguro adaptando el trabajo a las capacidades del trabajador para prevenir riesgos","La idea de que los accidentes laborales son inevitables y no pueden prevenirse","La responsabilidad exclusiva del trabajador en la identificacion de los riesgos","La prioridad de la produccion por encima de la salud del trabajador","","","","","",""
"multiplechoice","EAR","S2 TME y Factores de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las posturas repetitivas y forzadas mantenidas durante la jornada laboral del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","Segun el material del curso, cual de los siguientes factores de riesgo se asocia comunmente con la aparicion de trastornos musculoesqueleticos en el trabajo?","C","El uso inadecuado de equipos de proteccion contra sustancias quimicas","La exposicion a sustancias quimicas peligrosas en el ambiente de trabajo","Las posturas repetitivas y forzadas mantenidas durante la jornada laboral del trabajador","Los tiempos de descanso insuficientes durante la jornada nocturna","","","","","",""
"multiplechoice","EAR","S3 Manipulacion Manual y NIOSH","Yes","¡Correcto! Segun el material del curso, lo correcto es: Considerar la postura del trabajador junto con el peso la distancia y otros factores que influyen en el riesgo del levantamiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","Segun el material del curso, cual es el principal criterio que considera la ecuacion NIOSH para evaluar el levantamiento manual de cargas?","B","Evaluar unicamente la temperatura del ambiente de trabajo durante la tarea","Considerar la postura del trabajador junto con el peso la distancia y otros factores que influyen en el riesgo del levantamiento","Limitar solo la duracion de la tarea sin considerar el peso de la carga","Evaluar solamente el peso de la carga sin considerar ningun otro factor","","","","","",""
"multiplechoice","EAR","S4 Antropometria y Puestos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La antropometria estudia las dimensiones del cuerpo humano para adaptar los puestos y equipos a las medidas de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","Segun el material del curso, cual de las siguientes afirmaciones sobre la antropometria es correcta en el contexto del diseno de puestos de trabajo?","D","La antropometria mide unicamente el peso de las cargas manipuladas en el trabajo","La antropometria determina el precio del mobiliario utilizado en la oficina","La antropometria evalua solo la temperatura del ambiente de trabajo","La antropometria estudia las dimensiones del cuerpo humano para adaptar los puestos y equipos a las medidas de los trabajadores","","","","","",""
"multiplechoice","EAR","S5 Oficina Pausas Activas y RULA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar la exposicion al riesgo de lesiones musculoesqueleticas asociadas a las posturas adoptadas por el trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","Segun el material del curso, cual es el proposito principal del metodo RULA en el contexto de la evaluacion ergonomica de los puestos de trabajo?","A","Evaluar la exposicion al riesgo de lesiones musculoesqueleticas asociadas a las posturas adoptadas por el trabajador","Desarrollar estrategias de marketing para los productos de la empresa","Monitorear el rendimiento de las maquinas utilizadas en la produccion","Calcular la productividad diaria de los trabajadores de la oficina","","","","","",""
"multiplechoice","EAR","S1 Normativa RM 375 y Principios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Disposiciones sobre manipulacion de cargas posturas condiciones del entorno y evaluacion de riesgos ergonomicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","De acuerdo con el material del curso, cuales son elementos obligatorios que debe contener la norma basica de ergonomia aplicable al trabajo?","C","Unicamente el listado de precios de los equipos ergonomicos del mercado","Solo el horario de atencion de las oficinas administrativas de la empresa","Disposiciones sobre manipulacion de cargas posturas condiciones del entorno y evaluacion de riesgos ergonomicos","Exclusivamente la marca comercial del mobiliario utilizado en los puestos","","","","","",""
"multiplechoice","EAR","S2 TME y Factores de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Trastornos musculoesqueleticos que afectan musculos tendones articulaciones y estructuras del sistema locomotor del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","De acuerdo con el material del curso, que significa la sigla TME en el contexto de la salud ocupacional y la ergonomia?","B","Tiempo maximo de exposicion permitido a las sustancias quimicas del ambiente","Trastornos musculoesqueleticos que afectan musculos tendones articulaciones y estructuras del sistema locomotor del trabajador","Tabla de medicion de esfuerzos utilizada en las oficinas administrativas","Total de maquinas en el establecimiento industrial durante la jornada","","","","","",""
"multiplechoice","EAR","S3 Manipulacion Manual y NIOSH","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir el riesgo de lesiones musculoesqueleticas limitando los pesos y esfuerzos que el trabajador puede manejar de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","De acuerdo con el material del curso, cual es el objetivo de establecer limites en la manipulacion manual de cargas en el trabajo?","D","Determinar el precio del servicio de mantenimiento del mobiliario de oficina","Establecer el horario de atencion de las oficinas administrativas de la empresa","Reducir el consumo de energia de los equipos utilizados en la planta","Reducir el riesgo de lesiones musculoesqueleticas limitando los pesos y esfuerzos que el trabajador puede manejar de forma segura","","","","","",""
"multiplechoice","EAR","S4 Antropometria y Puestos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Valores que indican el porcentaje de la poblacion cuyas dimensiones corporales estan por debajo de una medida determinada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","De acuerdo con el material del curso, que son los percentiles en el contexto del diseno de puestos de trabajo basado en antropometria?","A","Valores que indican el porcentaje de la poblacion cuyas dimensiones corporales estan por debajo de una medida determinada","El precio promedio del mobiliario de oficina utilizado en los puestos de trabajo","El horario en que la mayoria de los trabajadores realiza sus tareas diarias","El consumo de energia promedio de los equipos utilizados en la planta","","","","","",""
"multiplechoice","EAR","S5 Oficina Pausas Activas y RULA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El grado de urgencia con que se deben tomar medidas correctivas segun el nivel de riesgo postural detectado en el trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAR.","1","De acuerdo con el material del curso, que representan los niveles de accion que se obtienen al aplicar el metodo RULA?","C","El precio del mobiliario de oficina que debe adquirirse para el puesto","El horario de atencion de las oficinas administrativas de la empresa","El grado de urgencia con que se deben tomar medidas correctivas segun el nivel de riesgo postural detectado en el trabajador","El consumo de energia de los equipos utilizados durante la jornada","","","","","",""
