"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","CNEGO","S1 Fundamentos BCM e ISO 22301","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer un marco para asegurar la continuidad del negocio ante diversas circunstancias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, cual es el principal objetivo de la Gestion de la Continuidad del Negocio, conocida como BCM, dentro de una organizacion que busca proteger sus operaciones ante interrupciones?","A","Establecer un marco para asegurar la continuidad del negocio ante diversas circunstancias","Aumentar la produccion sin ningun control","Reducir la plantilla de trabajadores","Eliminar la evaluacion de los riesgos","","","","","",""
"multiplechoice","CNEGO","S2 Contexto Liderazgo y Objetivos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y comprender el entorno en el que la organizacion opera.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, cual es el objetivo principal de la clausula de la Estructura de Alto Nivel relacionada con el contexto de la organizacion dentro del sistema de gestion de la continuidad del negocio?","C","Eliminar la evaluacion de los riesgos","Aumentar la exposicion a las interrupciones","Identificar y comprender el entorno en el que la organizacion opera","Reducir la participacion de la direccion","","","","","",""
"multiplechoice","CNEGO","S3 BIA MTPD RTO RPO y MBCO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar y priorizar las funciones criticas de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, cual es el objetivo principal de un Analisis de Impacto en el Negocio, conocido como BIA, dentro de un sistema de gestion de la continuidad del negocio de la organizacion?","B","Aumentar la produccion sin ningun control","Evaluar y priorizar las funciones criticas de la organizacion","Reducir la plantilla de trabajadores","Eliminar la evaluacion de los riesgos","","","","","",""
"multiplechoice","CNEGO","S4 Estrategias de Continuidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar que las operaciones criticas continuen durante y despues de un evento disruptivo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, cual de las siguientes afirmaciones describe mejor el proposito de las estrategias de continuidad del negocio dentro de la gestion de la continuidad de una organizacion resiliente ante interrupciones?","D","Aumentar la exposicion a las interrupciones","Eliminar la necesidad de operar","Reducir la resiliencia de la organizacion","Garantizar que las operaciones criticas continuen durante y despues de un evento disruptivo","","","","","",""
"multiplechoice","CNEGO","S5 BCP DRP Pruebas y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mantener las operaciones esenciales durante y despues de una crisis.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, cual es el principal objetivo de un Plan de Continuidad del Negocio, conocido como BCP, dentro de la gestion de la continuidad de una organizacion que enfrenta incidentes disruptivos?","A","Mantener las operaciones esenciales durante y despues de una crisis","Aumentar la produccion sin ningun control","Reducir la plantilla de trabajadores","Eliminar la evaluacion de los riesgos","","","","","",""
"multiplechoice","CNEGO","S1 Fundamentos BCM e ISO 22301","Yes","¡Correcto! Segun el material del curso, lo correcto es: La norma ISO 22301.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","De acuerdo con el material del curso, cual es la norma internacional certificable fundamental para la gestion de la continuidad del negocio dentro de una organizacion comprometida con su resiliencia operativa?","C","La norma ISO 9001 de calidad","La norma ISO 45001 de seguridad","La norma ISO 22301","La norma ISO 14001 ambiental","","","","","",""
"multiplechoice","CNEGO","S2 Contexto Liderazgo y Objetivos","Yes","¡Correcto! Segun el material del curso, lo correcto es: El liderazgo debe comprometerse activamente con el sistema de gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","De acuerdo con el material del curso, cual de las siguientes afirmaciones sobre el liderazgo dentro de la Estructura de Alto Nivel resulta correcta en el contexto del sistema de gestion de la continuidad del negocio?","B","El liderazgo debe delegar sin involucrarse","El liderazgo debe comprometerse activamente con el sistema de gestion","El liderazgo no influye en el sistema","El liderazgo debe reducir los recursos","","","","","",""
"multiplechoice","CNEGO","S3 BIA MTPD RTO RPO y MBCO","Yes","¡Correcto! Segun el material del curso, lo correcto es: El tiempo maximo permitido para recuperar un sistema o funcion despues de un evento disruptivo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","De acuerdo con el material del curso, cual es la definicion correcta del Objetivo de Tiempo de Recuperacion, conocido como RTO, dentro de los parametros del analisis de impacto en el negocio de la organizacion?","D","La cantidad maxima de datos que se pueden perder","El nivel minimo de operacion tras una interrupcion","El costo total de la recuperacion del sistema","El tiempo maximo permitido para recuperar un sistema o funcion despues de un evento disruptivo","","","","","",""
"multiplechoice","CNEGO","S4 Estrategias de Continuidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mejorar la resiliencia ante las crisis.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","De acuerdo con el material del curso, cual es uno de los principales beneficios de la ayuda mutua entre organizaciones dentro de las estrategias de continuidad aplicadas a las cadenas de suministro de una organizacion?","A","Mejorar la resiliencia ante las crisis","Aumentar la dependencia de un unico proveedor","Eliminar la evaluacion de los riesgos","Reducir la capacidad de recuperacion","","","","","",""
"multiplechoice","CNEGO","S5 BCP DRP Pruebas y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: La asignacion de recursos para publicidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","De acuerdo con el material del curso, cual de los siguientes elementos NO resulta critico para la implementacion de un Plan de Continuidad del Negocio dentro de una organizacion que aplica la norma ISO 22301?","C","La identificacion de los procesos criticos","La definicion de los roles y responsabilidades","La asignacion de recursos para publicidad","La disponibilidad de los recursos de recuperacion","","","","","",""
"multiplechoice","CNEGO","S1 Fundamentos BCM e ISO 22301","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un enfoque basado en riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, que aspecto clave se introdujo en la revision de la norma ISO 22301 realizada en el ano 2019 dentro de la evolucion del estandar de continuidad del negocio?","B","La eliminacion del ciclo de continuidad","Un enfoque basado en riesgos","La supresion del analisis de impacto","El abandono de la mejora continua","","","","","",""
"multiplechoice","CNEGO","S2 Contexto Liderazgo y Objetivos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promover el perfeccionamiento constante de los procesos y las practicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, que rol cumple la clausula de mejora dentro de la Estructura de Alto Nivel aplicada al sistema de gestion de la continuidad del negocio de una organizacion comprometida con su resiliencia?","D","Eliminar la revision del sistema","Mantener los procesos sin ningun cambio","Reducir el compromiso de la direccion","Promover el perfeccionamiento constante de los procesos y las practicas","","","","","",""
"multiplechoice","CNEGO","S3 BIA MTPD RTO RPO y MBCO","Yes","¡Correcto! Segun el material del curso, lo correcto es: El periodo maximo de datos que se pueden perder, medido desde el ultimo respaldo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, que representa el Objetivo de Punto de Recuperacion, conocido como RPO, dentro de los parametros del analisis de impacto en el negocio de una organizacion que aplica la norma ISO 22301?","A","El periodo maximo de datos que se pueden perder, medido desde el ultimo respaldo","El tiempo maximo para recuperar una funcion","El nivel minimo de operacion aceptable","El costo total de la recuperacion","","","","","",""
"multiplechoice","CNEGO","S4 Estrategias de Continuidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite reducir la carga de trabajo interna, pero puede generar problemas de calidad si no se gestiona bien.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, cual de las siguientes afirmaciones sobre el uso del outsourcing dentro de las estrategias de continuidad del negocio de una organizacion resulta correcta conforme al contenido del curso?","C","Elimina toda posibilidad de problemas de calidad","Aumenta siempre la carga de trabajo interna","Permite reducir la carga de trabajo interna, pero puede generar problemas de calidad si no se gestiona bien","No aporta ningun beneficio a la organizacion","","","","","",""
"multiplechoice","CNEGO","S5 BCP DRP Pruebas y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: En la fase de mantenimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","Segun el material del curso, en que fase del ciclo de vida de un Plan de Continuidad del Negocio se realiza la revision y la actualizacion del plan dentro de la gestion de la continuidad de la organizacion?","B","En la fase de publicidad del plan","En la fase de mantenimiento","En la fase de venta de productos","En la fase de contratacion de personal","","","","","",""
"multiplechoice","CNEGO","S1 Fundamentos BCM e ISO 22301","Yes","¡Correcto! Segun el material del curso, lo correcto es: En el analisis de impacto en el negocio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","El material del curso presenta las fases del ciclo de BCM. Segun el curso, en que fase del ciclo de la continuidad del negocio se lleva a cabo la evaluacion del impacto de las interrupciones en la organizacion?","D","En la fase de publicidad del plan","En la fase de contratacion de personal","En la fase de venta de productos","En el analisis de impacto en el negocio","","","","","",""
"multiplechoice","CNEGO","S2 Contexto Liderazgo y Objetivos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cualquier individuo o grupo que puede afectar o verse afectado por el exito o fracaso de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","El material del curso describe el concepto de partes interesadas. Segun el curso, cual de las siguientes afirmaciones describe mejor a una parte interesada dentro del contexto de la gestion de la continuidad del negocio de la organizacion?","A","Cualquier individuo o grupo que puede afectar o verse afectado por el exito o fracaso de la organizacion","Unicamente los accionistas de la organizacion","Solamente los proveedores de materia prima","Exclusivamente los clientes que compran","","","","","",""
"multiplechoice","CNEGO","S3 BIA MTPD RTO RPO y MBCO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Al nivel minimo de servicios o funciones esenciales que se deben mantener durante una interrupcion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CNEGO.","1","El material del curso define el Objetivo Minimo de Continuidad del Negocio, conocido como MBCO. Segun el curso, a que se refiere este parametro dentro de la planificacion de la continuidad del negocio de la organizacion?","C","Al tiempo maximo para recuperar un sistema","A la cantidad maxima de datos que se pueden perder","Al nivel minimo de servicios o funciones esenciales que se deben mantener durante una interrupcion","Al costo total de la recuperacion del negocio","","","","","",""
