"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","OSM","S1 Normativa OSHA ASME y RSST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque establece las condiciones minimas de seguridad que protegen a operadores y trabajadores durante el uso del equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Conforme al material del curso, por que el cumplimiento del reglamento de seguridad y salud en el trabajo es obligatorio en la operacion de montacargas?","A","Porque establece las condiciones minimas de seguridad que protegen a operadores y trabajadores durante el uso del equipo","Porque establece el precio de venta de los montacargas en el mercado nacional","Porque define el color de la senalizacion de las vias publicas de transito","Porque regula el horario de funcionamiento de las oficinas de la empresa","","","","","",""
"multiplechoice","OSM","S2 Certificacion y Formacion Operador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque verifica que el operador domina la operacion segura del equipo antes de autorizarlo a trabajar de forma autonoma.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Conforme al material del curso, por que la evaluacion de competencias forma parte del proceso de certificacion de un operador de montacargas?","C","Porque determina el precio del servicio de transporte cobrado al cliente","Porque establece el color de la senalizacion del area de operacion","Porque verifica que el operador domina la operacion segura del equipo antes de autorizarlo a trabajar de forma autonoma","Porque define el horario en que el operador tomara sus descansos","","","","","",""
"multiplechoice","OSM","S3 Inspeccion y Revision Operacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque una falla en frenos direccion u otros sistemas puede provocar perdida de control o accidentes durante el uso del equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Conforme al material del curso, por que un defecto no corregido en un montacargas representa un riesgo durante la operacion?","B","Porque un defecto incrementa el consumo de combustible del equipo utilizado","Porque una falla en frenos direccion u otros sistemas puede provocar perdida de control o accidentes durante el uso del equipo","Porque un defecto determina el precio del servicio de transporte al cliente","Porque un defecto cambia el color de la senalizacion del area de operacion","","","","","",""
"multiplechoice","OSM","S4 Estabilidad Centro Carga y Vuelco","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacidad de carga segura disminuye porque el momento aumenta y el equipo se vuelve mas propenso a inclinarse hacia adelante.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Conforme al material del curso, que sucede con la capacidad de carga cuando aumenta la distancia del centro de carga respecto al mastil?","D","La capacidad de carga segura aumenta permitiendo transportar mas peso","La capacidad de carga no se ve afectada por la distancia del centro de carga","La capacidad de carga cambia unicamente segun el color de la carga transportada","La capacidad de carga segura disminuye porque el momento aumenta y el equipo se vuelve mas propenso a inclinarse hacia adelante","","","","","",""
"multiplechoice","OSM","S5 Transito Peatones y Recarga","Yes","¡Correcto! Segun el material del curso, lo correcto es: Controlar el riesgo de fuga e inflamabilidad del hidrogeno mediante ventilacion adecuada y procedimientos seguros de manejo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Conforme al material del curso, que consideracion es crucial al manejar hidrogeno como fuente de energia para montacargas dentro del entorno laboral?","A","Controlar el riesgo de fuga e inflamabilidad del hidrogeno mediante ventilacion adecuada y procedimientos seguros de manejo","Aumentar la velocidad de recarga sin considerar el riesgo de fuga del gas","Almacenar el hidrogeno junto a fuentes de calor para mantenerlo disponible","Ignorar el riesgo de inflamabilidad porque el hidrogeno no representa peligro","","","","","",""
"multiplechoice","OSM","S1 Normativa OSHA ASME y RSST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Incluye capacitacion certificacion inspeccion del equipo y procedimientos de operacion segura conforme a los requisitos aplicables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Tal como indica el material del curso, que caracteriza a un programa de seguridad de montacargas alineado con las normas OSHA y ASME?","C","Incluye unicamente la definicion del color de la pintura de los montacargas","Se limita a fijar el precio del servicio de transporte cobrado al cliente","Incluye capacitacion certificacion inspeccion del equipo y procedimientos de operacion segura conforme a los requisitos aplicables","Consiste solo en establecer el horario de las oficinas administrativas","","","","","",""
"multiplechoice","OSM","S2 Certificacion y Formacion Operador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Se incrementa el riesgo de accidentes y se incumple la obligacion de contar con personal capacitado y autorizado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Tal como indica el material del curso, que consecuencia tiene asignar a un operador sin la documentacion de capacitacion correspondiente?","B","Se reduce el consumo de combustible del montacargas durante la operacion","Se incrementa el riesgo de accidentes y se incumple la obligacion de contar con personal capacitado y autorizado","Se disminuye el precio del servicio de transporte cobrado al cliente","Se cambia el color de la senalizacion del area de operacion del equipo","","","","","",""
"multiplechoice","OSM","S3 Inspeccion y Revision Operacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite dejar constancia del estado del equipo dar seguimiento a los defectos y respaldar el control de la seguridad de la operacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Tal como indica el material del curso, cual es la importancia de registrar los resultados de la inspeccion de un montacargas?","D","Permite determinar el precio del servicio de transporte cobrado al cliente","Permite reducir el consumo de combustible del montacargas durante el turno","Permite establecer el color de la senalizacion del area de operacion del equipo","Permite dejar constancia del estado del equipo dar seguimiento a los defectos y respaldar el control de la seguridad de la operacion","","","","","",""
"multiplechoice","OSM","S4 Estabilidad Centro Carga y Vuelco","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque exceder la capacidad puede provocar la perdida de estabilidad y el vuelco del equipo poniendo en riesgo al operador y a terceros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Tal como indica el material del curso, por que el operador debe respetar la capacidad indicada en la placa del montacargas?","A","Porque exceder la capacidad puede provocar la perdida de estabilidad y el vuelco del equipo poniendo en riesgo al operador y a terceros","Porque exceder la capacidad incrementa el consumo de combustible del equipo","Porque exceder la capacidad determina el precio del servicio al cliente","Porque exceder la capacidad cambia el color de la senalizacion del area","","","","","",""
"multiplechoice","OSM","S5 Transito Peatones y Recarga","Yes","¡Correcto! Segun el material del curso, lo correcto es: En un area ventilada y designada apagando el equipo y evitando fuentes de ignicion para prevenir incendios o explosiones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso OSM.","1","Tal como indica el material del curso, como se realiza de manera segura la recarga de combustible de un montacargas en el entorno laboral?","C","Con el equipo encendido para agilizar el proceso de recarga de combustible","Cerca de fuentes de calor para facilitar el flujo del combustible al tanque","En un area ventilada y designada apagando el equipo y evitando fuentes de ignicion para prevenir incendios o explosiones","En cualquier area disponible sin importar la ventilacion ni las fuentes de ignicion","","","","","",""
