"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la comprension y manejo de normativas relacionadas con la seguridad quimica en el contexto nacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","En el marco del curso Marco Legal Quimico y Autoridades Nacionales - Peru, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el proposito principal del curso sobre seguridad quimica y mapeo de autoridades?","A","Facilitar la comprension y manejo de normativas relacionadas con la seguridad quimica en el contexto nacional","Promover la importacion de quimicos sin regulaciones","Proveer un marco teorico sin aplicacion practica","Discernir entre diferentes tipos de quimicos sin foco en su manejo seguro","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conectar a los responsables con sus obligaciones y regularizaciones adecuadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Segun los contenidos desarrollados en el curso Marco Legal Quimico y Autoridades Nacionales - Peru, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que funcion tiene el mapeo de autoridades en la gestion de seguridad quimica?","C","Crear un listado de quimicos prohibidos en los paises de la region","Reglamentar unicamente la produccion de quimicos","Conectar a los responsables con sus obligaciones y regularizaciones adecuadas","Identificar entidades sin relevancia para el sector quimico","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: La necesidad de adecuarse a normativas cambiantes y a la infraestructura de todos los niveles gubernamentales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Con base en el material del curso Marco Legal Quimico y Autoridades Nacionales - Peru y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: En el contexto nacional peruano, cual es un desafio principal al manejar sustancias quimicas?","B","El escaso interes de las empresas en la sostenibilidad","La necesidad de adecuarse a normativas cambiantes y a la infraestructura de todos los niveles gubernamentales","La falta de variedad de quimicos disponibles en el mercado","La presencia de una unica autoridad encargada de la supervision","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar la efectividad de los controles de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Peru, responde con precision: Cual de las siguientes acciones es un ejemplo adecuado de un verbo medible en la construccion de matrices de resultados de aprendizaje?","D","Entender la legislacion ambiental.","Colaborar con el equipo para mejorar la seguridad quimica.","Aumentar la motivacion del personal.","Evaluar la efectividad de los controles de seguridad.","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar claramente a las partes interesadas y sus responsabilidades.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Peru, responde con precision: Cuando se habla de mapeo institucional en la gestion de seguridad quimica, que se busca lograr principalmente?","B","Aumentar la capacidad de distribucion de productos quimicos.","Identificar claramente a las partes interesadas y sus responsabilidades.","Registrar la evolucion de los materiales peligrosos.","Consolidar procesos de importacion de quimicos.","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: La existencia y actualizacion de documentos de seguridad (HDS).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Peru, responde con precision: En el contexto de la seguridad quimica, cual de las siguientes opciones es un indicador clave para evaluar el cumplimiento de normativas?","D","La cantidad de quimicos distribuidos en el mercado.","El numero de capacitaciones realizadas al personal.","La satisfaccion del cliente con el producto quimico.","La existencia y actualizacion de documentos de seguridad (HDS).","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite un aprendizaje a ritmo propio y flexible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","En el marco del curso Marco Legal Quimico y Autoridades Nacionales - Peru, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es una ventaja principal del e-learning en comparacion con los metodos de ensenianza tradicionales?","A","Permite un aprendizaje a ritmo propio y flexible.","Proporciona materiales de estudio impresos automaticamente.","El contenido se entrega solo a traves de conferencias en vivo.","Es mas barato que cualquier curso presencial.","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Crear un calendario de estudio y establecer metas especificas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Segun los contenidos desarrollados en el curso Marco Legal Quimico y Autoridades Nacionales - Peru, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cuando se trabaja en un entorno e-learning, cual es una tecnica recomendada para garantizar el autoaprendizaje eficaz?","C","Iniciar el curso sin un plan previo.","Realizar examenes solo al final del curso.","Crear un calendario de estudio y establecer metas especificas.","Depender enteramente de los materiales proporcionados sin seguimiento.","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: La participacion en foros y discusion grupal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Con base en el material del curso Marco Legal Quimico y Autoridades Nacionales - Peru y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual es un criterio de evaluacion comunmente utilizado en un curso de e-learning?","C","La duracion del tiempo en completar las actividades.","Los colores y el disenio de la interfaz del curso.","La participacion en foros y discusion grupal.","La cantidad de horas tomadas en linea.","","","","","",""
"multiplechoice","MLQPE","C1 Marco Legal SST Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Introducir los conceptos basicos de la gestion de seguridad quimica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Tomando en cuenta lo estudiado en el curso Marco Legal Quimico y Autoridades Nacionales - Peru sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el objetivo principal de la primera sesion del curso?","A","Introducir los conceptos basicos de la gestion de seguridad quimica.","Revisar las normativas nacionales sobre manejo de residuos.","Discutir casos de estudio en logistica de quimicos.","Analizar las regulaciones internacionales sobre quimicos.","","","","","",""
"multiplechoice","MLQPE","C2 Autoridades Competentes Quimicas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Tercera sesion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Peru, responde con precision: En que sesion se abordan las practicas de manejo seguro de quimicos en el transporte?","A","Tercera sesion.","Segunda sesion.","Quinta sesion.","Cuarta sesion.","","","","","",""
"multiplechoice","MLQPE","C2 Autoridades Competentes Quimicas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Se llevan a cabo evaluaciones practicas y teoricas especificas por sesion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","Considerando el enfoque metodologico del curso Marco Legal Quimico y Autoridades Nacionales - Peru y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Como se estructuran las evaluaciones al final de cada tramo del curso?","C","No se realizan evaluaciones, solo se entrega un certificado.","Se realizan examenes teoricos que abordan todo el contenido.","Se llevan a cabo evaluaciones practicas y teoricas especificas por sesion.","Se asigna un proyecto final que incluye todos los temas.","","","","","",""
"multiplechoice","MLQPE","C2 Autoridades Competentes Quimicas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Brindar un ambiente seguro y saludable para los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQPE.","1","En el marco del curso Marco Legal Quimico y Autoridades Nacionales - Peru, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la principal responsabilidad del empleador en el marco legal de la SST?","B","Contratar solo trabajadores temporales para reducir costos.","Brindar un ambiente seguro y saludable para los trabajadores.","Permitir que los empleados elijan su propio horario de trabajo.","Exigir que los trabajadores realicen sus tareas sin capacitacion previa.","","","","","",""
