"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","IAMP","S1 Marco Legal y Declaracion MTPE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analizar el accidente para identificar sus causas y adoptar medidas preventivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","Segun el material del curso, en el contexto de la investigacion de accidentes en el Peru, la obligacion de investigar un accidente laboral implica principalmente cual deber para la empresa frente al evento ocurrido en el centro de labores?","A","Analizar el accidente para identificar sus causas y adoptar medidas preventivas","Ocultar el evento ante la autoridad laboral competente","Sancionar de inmediato al trabajador involucrado","Cerrar el caso sin analizar sus causas ni consecuencias","","","","","",""
"multiplechoice","IAMP","S2 Primera Respuesta y Escena","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar la escena y atender a las personas afectadas por el accidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","Segun el material del curso, la primera accion que se debe tomar al llegar a la escena de un accidente laboral se orienta principalmente a lograr cual objetivo vinculado a la proteccion de las personas presentes en el lugar del evento?","C","Fijar los precios de venta de los productos de la empresa","Difundir las campanas publicitarias de la marca corporativa","Asegurar la escena y atender a las personas afectadas por el accidente","Ampliar la cartera de clientes comerciales de la empresa","","","","","",""
"multiplechoice","IAMP","S3 Recoleccion de Evidencia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reunir informacion confiable que permita identificar las causas del accidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","Segun el material del curso, el objetivo principal de la recoleccion de evidencia en una investigacion de accidentes consiste en lograr cual proposito vinculado al esclarecimiento de lo ocurrido durante el evento en el centro de labores?","B","Reunir informacion sobre los precios de los productos","Reunir informacion confiable que permita identificar las causas del accidente","Reunir informacion sobre las campanas de la marca","Reunir informacion sobre la cartera de clientes","","","","","",""
"multiplechoice","IAMP","S4 Entrevistas a Testigos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Inducir o condicionar las respuestas del testigo durante la entrevista.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","Segun el material del curso, el error mas comun al realizar entrevistas a los testigos de un accidente se relaciona principalmente con cual conducta del entrevistador que puede afectar la calidad de la informacion obtenida sobre el evento?","D","Consultar los precios de venta de los productos","Difundir las campanas publicitarias de la marca","Revisar la cartera de clientes de la empresa","Inducir o condicionar las respuestas del testigo durante la entrevista","","","","","",""
"multiplechoice","IAMP","S5 Analisis de Causa Raiz","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un proceso que identifica las causas de fondo que originaron el accidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","Segun el material del curso, el analisis de causa raiz se define principalmente como cual proceso que busca ir mas alla de las causas inmediatas para identificar el origen de fondo de un accidente en el centro de labores?","A","Un proceso que identifica las causas de fondo que originaron el accidente","Un proceso que fija los precios de los productos de la empresa","Un proceso que difunde las campanas de la marca corporativa","Un proceso que capta los clientes comerciales de la empresa","","","","","",""
"multiplechoice","IAMP","S1 Marco Legal y Declaracion MTPE","Yes","¡Correcto! Segun el material del curso, lo correcto es: El nivel de dano o afectacion a la salud del trabajador accidentado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","De acuerdo con el contenido del curso, segun las normas de seguridad y salud en el Peru, la clasificacion de la gravedad de un accidente laboral se realiza principalmente considerando cual criterio vinculado a las consecuencias del evento sobre el trabajador?","C","El precio de venta de los productos de la empresa","El alcance de las campanas publicitarias de la marca","El nivel de dano o afectacion a la salud del trabajador accidentado","El volumen de compra de los clientes de la empresa","","","","","",""
"multiplechoice","IAMP","S2 Primera Respuesta y Escena","Yes","¡Correcto! Segun el material del curso, lo correcto es: El formato o registro de investigacion del accidente de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","De acuerdo con el contenido del curso, en caso de un accidente laboral, el documento que se debe llenar para registrar el suceso corresponde principalmente a cual instrumento que deja constancia formal del evento dentro de la gestion preventiva?","B","El catalogo comercial de productos de la empresa","El formato o registro de investigacion del accidente de trabajo","La lista de precios ofrecida a los clientes finales","El plan de campanas publicitarias de la marca corporativa","","","","","",""
"multiplechoice","IAMP","S3 Recoleccion de Evidencia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su caracter objetivo y verificable sobre lo ocurrido en el evento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","De acuerdo con el contenido del curso, el tipo de evidencia considerada mas solida en una investigacion se caracteriza principalmente por cual atributo que refuerza la confiabilidad del analisis de las causas del accidente ocurrido?","D","Su caracter comercial vinculado a los precios de venta","Su caracter publicitario vinculado a la marca","Su caracter vinculado a la cartera de clientes","Su caracter objetivo y verificable sobre lo ocurrido en el evento","","","","","",""
"multiplechoice","IAMP","S4 Entrevistas a Testigos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Formular preguntas abiertas que permitan al testigo relatar lo observado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","De acuerdo con el contenido del curso, en la aplicacion de metodologias de entrevista, una tecnica clave para obtener informacion precisa del testigo se relaciona principalmente con cual practica que favorece un relato libre y fiel de lo ocurrido?","A","Formular preguntas abiertas que permitan al testigo relatar lo observado","Formular preguntas sobre los precios de los productos","Formular preguntas sobre las campanas de la marca","Formular preguntas sobre la cartera de clientes","","","","","",""
"multiplechoice","IAMP","S5 Analisis de Causa Raiz","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las causas de fondo vinculadas a fallas de la gestion o la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAMP.","1","De acuerdo con el contenido del curso, el nivel de causalidad fundamental para identificar la raiz de un accidente se relaciona principalmente con cual tipo de causa que subyace al evento dentro del analisis preventivo de la empresa?","C","Las causas vinculadas a los precios de los productos","Las causas vinculadas a las campanas de la marca","Las causas de fondo vinculadas a fallas de la gestion o la organizacion","Las causas vinculadas a la cartera de clientes","","","","","",""
