"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","IIIEM","S1 Estructura HLS y Annex SL","Yes","¡Correcto! Segun el material del curso, lo correcto es: Alinear los diferentes sistemas de gestion y facilitar su integracion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","Segun el material del curso, cual es el principal objetivo del marco de estructura de alto nivel conocido como HLS en la gestion de los sistemas de gestion adoptados por la organizacion?","A","Alinear los diferentes sistemas de gestion y facilitar su integracion","Promover unicamente la mejora continua sin integracion","Reforzar solo los objetivos de cumplimiento legal","Establecer estandares distintos para cada sistema","","","","","",""
"multiplechoice","IIIEM","S2 Contexto Organizacional ISO 45001","Yes","¡Correcto! Segun el material del curso, lo correcto es: El contexto organizacional aporta las condiciones que moldean el sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","Segun el material del curso, cual afirmacion describe mejor el impacto del contexto organizacional en el sistema de gestion de la seguridad y salud en el trabajo que implementa la organizacion?","C","El contexto organizacional solo afecta la formacion del personal","Un sistema de gestion puede operar de forma independiente del contexto","El contexto organizacional aporta las condiciones que moldean el sistema","El contexto organizacional no influye en la gestion del sistema","","","","","",""
"multiplechoice","IIIEM","S3 Liderazgo Politica y Consulta","Yes","¡Correcto! Segun el material del curso, lo correcto es: La politica debe reflejar el compromiso de la alta direccion con la seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","Segun el material del curso, cual afirmacion sobre la politica de seguridad y salud en el trabajo resulta correcta dentro de la implementacion del sistema de gestion que adopta la organizacion?","B","La politica solo es relevante para el area de recursos humanos","La politica debe reflejar el compromiso de la alta direccion con la seguridad","La politica puede establecerse sin evaluar los riesgos","La politica debe implementarse sin la colaboracion del personal","","","","","",""
"multiplechoice","IIIEM","S4 Peligros y Matriz Triple Criterio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar, evaluar y definir controles para los riesgos del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","Segun el material del curso, cual opcion describe mejor el proceso de planificacion de riesgos dentro del sistema de gestion de la seguridad y salud en el trabajo que implementa la organizacion?","D","Ignorar los riesgos presentes en la organizacion","Aumentar la exposicion del personal a los riesgos","Eliminar la evaluacion de los riesgos identificados","Identificar, evaluar y definir controles para los riesgos del trabajo","","","","","",""
"multiplechoice","IIIEM","S5 Operacion y Evaluacion Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Definir los controles y procesos para ejecutar las operaciones de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","Segun el material del curso, cual es la principal funcion de la planificacion operacional dentro de una organizacion que implementa el sistema de gestion de la seguridad y salud en el trabajo?","A","Definir los controles y procesos para ejecutar las operaciones de forma segura","Aumentar la complejidad de las operaciones sin control","Eliminar los controles de las operaciones de riesgo","Ignorar la seguridad durante las operaciones","","","","","",""
"multiplechoice","IIIEM","S1 Estructura HLS y Annex SL","Yes","¡Correcto! Segun el material del curso, lo correcto es: La participacion de las partes interesadas en el sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","De acuerdo con el material del curso, dentro del enfoque del Annex SL, cual caracteristica resulta clave para todos los sistemas de gestion que la organizacion busca implementar de forma coherente?","C","La planificacion de auditorias internas anuales unicamente","El establecimiento de un grupo de trabajo especial","La participacion de las partes interesadas en el sistema","La produccion de manuales operativos completos","","","","","",""
"multiplechoice","IIIEM","S2 Contexto Organizacional ISO 45001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los factores internos y externos que afectan su sistema de gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","De acuerdo con el material del curso, en relacion con la clausula del contexto en el sistema de gestion, que debe considerar una organizacion para evaluar su situacion frente a la seguridad y salud?","B","Unicamente el costo del mobiliario de la organizacion","Los factores internos y externos que afectan su sistema de gestion","Solo el horario administrativo del personal","Exclusivamente la publicidad de la organizacion","","","","","",""
"multiplechoice","IIIEM","S3 Liderazgo Politica y Consulta","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ser un ejemplo a seguir en las practicas de seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","De acuerdo con el material del curso, el liderazgo efectivo en seguridad y salud en el trabajo se basa en el ejemplo de quienes dirigen. En que consiste principalmente este liderazgo dentro de la organizacion?","D","Aplicar sanciones estrictas a quienes cometan errores","Evitar la participacion de los empleados en las decisiones","Delegar todas las responsabilidades en los subordinados","Ser un ejemplo a seguir en las practicas de seguridad y salud","","","","","",""
"multiplechoice","IIIEM","S4 Peligros y Matriz Triple Criterio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Riesgos positivos que representan oportunidades de mejora.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","De acuerdo con el material del curso, que termino se utiliza para referirse a las oportunidades dentro del contexto de la gestion de riesgos del sistema de gestion de la seguridad y salud en el trabajo?","A","Riesgos positivos que representan oportunidades de mejora","Consecuencias sin relacion con la mejora","Amenazas que solo generan efectos negativos","Incidentes que ya ocurrieron en la organizacion","","","","","",""
"multiplechoice","IIIEM","S5 Operacion y Evaluacion Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: El establecimiento de controles operacionales para las actividades de riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIIEM.","1","De acuerdo con el material del curso, en el contexto de la clausula de operacion, que elemento resulta esencial para el control de las operaciones dentro del sistema de gestion de la seguridad de la organizacion?","C","La eliminacion de los controles de las operaciones","La ausencia de procedimientos para las tareas","El establecimiento de controles operacionales para las actividades de riesgo","El aumento de la exposicion del personal al riesgo","","","","","",""
