"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","IIS","S1 SUNAFIL y Facultades Inspector","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un conocimiento previo de la empresa y de los aspectos a verificar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, la pre fiscalizacion aporta valor al proceso de inspeccion principalmente porque permite al inspector de trabajo llegar al centro de labores con cual condicion que mejora la eficacia de su actuacion?","A","Un conocimiento previo de la empresa y de los aspectos a verificar","Un conocimiento previo de los precios de los productos","Un conocimiento previo de las campanas de la marca","Un conocimiento previo de la cartera de clientes","","","","","",""
"multiplechoice","IIS","S2 Obligaciones y Materias Fiscalizables","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que cumple con las condiciones de seguridad y salud exigidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, las condiciones minimas que debe registrar un centro de trabajo permiten a la empresa demostrar ante la fiscalizacion principalmente cual aspecto vinculado al cumplimiento de sus obligaciones preventivas frente a la autoridad?","C","Que cumple con las metas comerciales de ventas del ano","Que cumple con las campanas publicitarias de la marca","Que cumple con las condiciones de seguridad y salud exigidas","Que cumple con la cartera de clientes proyectada","","","","","",""
"multiplechoice","IIS","S3 Metodologia de Inspeccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las acciones o sanciones derivadas de los hallazgos detectados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, la fase de documentacion dentro de la metodologia de inspeccion resulta clave porque, sin registros adecuados, la autoridad no podria sustentar principalmente cual etapa posterior del proceso de fiscalizacion?","B","La fijacion de los precios de los productos de la empresa","Las acciones o sanciones derivadas de los hallazgos detectados","La difusion de las campanas publicitarias de la marca","La captacion de los clientes comerciales del negocio","","","","","",""
"multiplechoice","IIS","S4 Actas Entrevistas y Descargos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La trazabilidad y el sustento formal de lo actuado en la inspeccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, el acta que se firma al concluir la diligencia recoge los hechos verificados, por lo que su correcta elaboracion resulta clave principalmente para asegurar cual caracteristica del proceso de fiscalizacion frente a la empresa?","D","La trazabilidad de los precios de los productos de la empresa","La trazabilidad de las campanas publicitarias de la marca","La trazabilidad de la cartera de clientes de la empresa","La trazabilidad y el sustento formal de lo actuado en la inspeccion","","","","","",""
"multiplechoice","IIS","S5 Procedimiento Sancionador","Yes","¡Correcto! Segun el material del curso, lo correcto es: El cumplimiento normativo que reduce el riesgo de sanciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, el procedimiento sancionador y el sistema de gestion de seguridad y salud se relacionan porque una buena gestion preventiva contribuye principalmente a que la empresa logre cual resultado frente a la fiscalizacion?","A","El cumplimiento normativo que reduce el riesgo de sanciones","El aumento de las ventas comerciales del ejercicio","La difusion de las campanas publicitarias de la marca","La captacion de nuevos clientes para la empresa","","","","","",""
"multiplechoice","IIS","S1 SUNAFIL y Facultades Inspector","Yes","¡Correcto! Segun el material del curso, lo correcto es: La verificacion del cumplimiento de las normas que protegen a los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Conforme al contenido del curso, las facultades del inspector de trabajo se ejercen dentro del marco legal, lo cual significa que su actuacion debe orientarse principalmente a lograr cual finalidad vinculada a la proteccion de los trabajadores?","C","La verificacion de los precios de venta de los productos","La verificacion de las campanas publicitarias de la marca","La verificacion del cumplimiento de las normas que protegen a los trabajadores","La verificacion de la cartera de clientes de la empresa","","","","","",""
"multiplechoice","IIS","S2 Obligaciones y Materias Fiscalizables","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las condiciones inseguras o los incumplimientos de la normativa preventiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Conforme al contenido del curso, la evaluacion de riesgo mediante un checklist contribuye a la inspeccion porque ordena la verificacion de las condiciones del centro, lo cual facilita al inspector detectar principalmente cual tipo de situacion en la empresa?","B","Las oportunidades comerciales de venta de productos","Las condiciones inseguras o los incumplimientos de la normativa preventiva","Las oportunidades publicitarias de difusion de la marca","Las oportunidades de captacion de nuevos clientes","","","","","",""
"multiplechoice","IIS","S3 Metodologia de Inspeccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una evaluacion objetiva y respaldada de las condiciones del centro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Conforme al contenido del curso, la inspeccion mediante observacion directa y muestreo forma parte de una metodologia estructurada porque combina distintas tecnicas con el fin principal de lograr cual condicion en la evaluacion del centro de labores?","D","Una evaluacion objetiva de los precios de los productos","Una evaluacion objetiva de las campanas de la marca","Una evaluacion objetiva de la cartera de clientes","Una evaluacion objetiva y respaldada de las condiciones del centro","","","","","",""
"multiplechoice","IIS","S4 Actas Entrevistas y Descargos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permitir a la empresa contradecir los hallazgos y ejercer su defensa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Conforme al contenido del curso, los descargos que presenta la empresa tras la notificacion permiten a esta aportar sus argumentos y pruebas, lo cual cumple principalmente cual funcion dentro del proceso de fiscalizacion de la autoridad laboral?","A","Permitir a la empresa contradecir los hallazgos y ejercer su defensa","Permitir a la empresa fijar los precios de sus productos","Permitir a la empresa difundir las campanas de su marca","Permitir a la empresa ampliar su cartera de clientes","","","","","",""
"multiplechoice","IIS","S5 Procedimiento Sancionador","Yes","¡Correcto! Segun el material del curso, lo correcto es: El incumplimiento de la normativa de seguridad y salud verificado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Conforme al contenido del curso, las sanciones administrativas se distinguen de otras consecuencias porque son impuestas por la autoridad dentro del procedimiento, lo cual vincula su aplicacion directamente con cual elemento detectado en la fiscalizacion?","C","El nivel de ventas comerciales alcanzado por la empresa","El alcance de las campanas publicitarias de la marca","El incumplimiento de la normativa de seguridad y salud verificado","El volumen de compra de los clientes de la empresa","","","","","",""
"multiplechoice","IIS","S1 SUNAFIL y Facultades Inspector","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los derechos laborales y la seguridad y salud de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, la SUNAFIL, en su calidad de autoridad de inspeccion, verifica el cumplimiento de la normativa laboral con el fin principal de resguardar cual valor dentro de los centros de labores fiscalizados en el pais?","B","La rentabilidad comercial de las empresas fiscalizadas","Los derechos laborales y la seguridad y salud de los trabajadores","La imagen publicitaria de las marcas del mercado","La reduccion de los tributos de las empresas","","","","","",""
"multiplechoice","IIS","S2 Obligaciones y Materias Fiscalizables","Yes","¡Correcto! Segun el material del curso, lo correcto es: La vida y la salud de los trabajadores del centro de labores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, las materias fiscalizables por la legislacion laboral abarcan diversos aspectos de la relacion de trabajo, entre los cuales la seguridad y salud ocupa un lugar central por su vinculo directo con cual bien protegido?","D","El patrimonio comercial de la empresa fiscalizada","La imagen publicitaria de la marca en el mercado","La rentabilidad de las inversiones de la empresa","La vida y la salud de los trabajadores del centro de labores","","","","","",""
"multiplechoice","IIS","S3 Metodologia de Inspeccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un mayor riesgo o una mayor afectacion a la seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, la clasificacion de los hallazgos segun su gravedad orienta la respuesta de la autoridad porque permite priorizar la atencion de los incumplimientos que representan principalmente cual tipo de situacion para los trabajadores?","A","Un mayor riesgo o una mayor afectacion a la seguridad y salud","Un mayor precio de venta de los productos de la empresa","Un mayor alcance de las campanas publicitarias de la marca","Un mayor volumen de compra de los clientes de la empresa","","","","","",""
"multiplechoice","IIS","S4 Actas Entrevistas y Descargos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Posibles represalias por la informacion brindada al inspector.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, la realizacion de entrevistas privadas debe resguardar la reserva de la informacion aportada por los trabajadores, lo cual busca principalmente proteger a estos frente a cual situacion vinculada a su participacion en la inspeccion?","C","Posibles descuentos en los precios de los productos","Posibles cambios en las campanas de la marca","Posibles represalias por la informacion brindada al inspector","Posibles ajustes en la cartera de clientes de la empresa","","","","","",""
"multiplechoice","IIS","S5 Procedimiento Sancionador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una sancion mayor acorde con la severidad de la infraccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, los criterios para la imposicion de multas consideran la gravedad de la infraccion, de modo que las infracciones mas graves suelen asociarse principalmente con cual tipo de consecuencia para la empresa infractora?","B","Un descuento mayor en los precios de sus productos","Una sancion mayor acorde con la severidad de la infraccion","Una campana mayor de difusion de su marca","Una cartera mayor de clientes comerciales","","","","","",""
"multiplechoice","IIS","S1 SUNAFIL y Facultades Inspector","Yes","¡Correcto! Segun el material del curso, lo correcto es: La certeza de que quien inspecciona esta facultado para hacerlo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","De acuerdo con el contenido del curso, la credencial que porta el inspector de trabajo durante las diligencias resulta importante principalmente porque brinda a las partes involucradas cual garantia respecto de la legitimidad de la actuacion?","D","La certeza del precio de venta de los productos","La certeza de la campana publicitaria de la marca","La certeza de la cartera de clientes de la empresa","La certeza de que quien inspecciona esta facultado para hacerlo","","","","","",""
"multiplechoice","IIS","S2 Obligaciones y Materias Fiscalizables","Yes","¡Correcto! Segun el material del curso, lo correcto es: La proteccion de su seguridad y salud durante sus labores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","De acuerdo con el contenido del curso, el establecimiento de condiciones adecuadas en el centro de trabajo constituye una obligacion del empleador que la fiscalizacion verifica con el fin principal de resguardar cual aspecto de los trabajadores del centro?","A","La proteccion de su seguridad y salud durante sus labores","La proteccion de los precios de los productos que vende","La proteccion de las campanas publicitarias de la marca","La proteccion de la cartera de clientes de la empresa","","","","","",""
"multiplechoice","IIS","S3 Metodologia de Inspeccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un proceso ordenado, completo y respaldado de la inspeccion realizada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","De acuerdo con el contenido del curso, las fases de la metodologia de inspeccion se articulan desde la preparacion hasta la documentacion, lo cual permite a la autoridad lograr principalmente cual condicion en el conjunto del proceso de fiscalizacion?","C","Un proceso ordenado de fijacion de precios de productos","Un proceso ordenado de difusion de campanas de la marca","Un proceso ordenado, completo y respaldado de la inspeccion realizada","Un proceso ordenado de captacion de clientes comerciales","","","","","",""
"multiplechoice","IIS","S4 Actas Entrevistas y Descargos","Yes","¡Correcto! Segun el material del curso, lo correcto es: La constancia formal y ordenada de lo verificado en la diligencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","De acuerdo con el contenido del curso, la gestion documental en sitio y la elaboracion del acta se articulan durante la inspeccion porque ambas contribuyen principalmente a lograr cual condicion en el respaldo del proceso de fiscalizacion?","B","La constancia formal de los precios de los productos","La constancia formal y ordenada de lo verificado en la diligencia","La constancia formal de las campanas de la marca","La constancia formal de la cartera de clientes","","","","","",""
"multiplechoice","IIS","S5 Procedimiento Sancionador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que la empresa pueda cuestionar la sancion antes de que quede firme.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","De acuerdo con el contenido del curso, el recurso administrativo permite a la empresa solicitar la revision de la decision sancionadora, lo cual contribuye principalmente a garantizar cual condicion dentro del procedimiento de la autoridad laboral?","D","Que la empresa pueda fijar los precios de sus productos","Que la empresa pueda difundir las campanas de su marca","Que la empresa pueda ampliar su cartera de clientes","Que la empresa pueda cuestionar la sancion antes de que quede firme","","","","","",""
"multiplechoice","IIS","S1 SUNAFIL y Facultades Inspector","Yes","¡Correcto! Segun el material del curso, lo correcto es: El nivel de riesgo y la relevancia de las materias a fiscalizar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IIS.","1","Segun el material del curso, el nivel de fiscalizacion de la SUNAFIL puede variar segun el caso, lo cual permite a la autoridad ajustar la intensidad de su control principalmente en funcion de cual criterio vinculado al riesgo del centro de labores?","A","El nivel de riesgo y la relevancia de las materias a fiscalizar","El nivel de precios de los productos de la empresa","El nivel de difusion de las campanas de la marca","El nivel de crecimiento de la cartera de clientes","","","","","",""
