"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GCONT","S1 Marco Legal y Precalificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La evaluacion final que determina si el contratista cumple los requisitos para ser contratado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso explica el concepto de decision de aceptacion en el proceso de precalificacion de contratistas. De acuerdo con el material, esa decision de aceptacion corresponde a:","A","La evaluacion final que determina si el contratista cumple los requisitos para ser contratado","La fijacion del precio del contrato","El diseno de la campana publicitaria","El calculo de las metas comerciales","","","","","",""
"multiplechoice","GCONT","S2 Anexo HSE Induccion y JSA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las variaciones en el equipo y los procedimientos empleados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso describe la informacion fundamental en el proceso de analisis de una tarea. De acuerdo con el material, entre esa informacion se encuentra:","C","El precio de venta del servicio","El presupuesto de la campana publicitaria","Las variaciones en el equipo y los procedimientos empleados","La meta de ventas del periodo","","","","","",""
"multiplechoice","GCONT","S3 Permisos de Trabajo PTW y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evitar la activacion inesperada del equipo durante el mantenimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso enumera los tipos de energia que deben controlarse en un procedimiento LOTO. De acuerdo con el material, controlar esos tipos de energia es necesario para:","B","Aumentar las ventas del periodo","Evitar la activacion inesperada del equipo durante el mantenimiento","Reducir el precio del servicio","Ampliar la campana publicitaria","","","","","",""
"multiplechoice","GCONT","S4 Hot Work y Espacio Confinado","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar que no existan materiales combustibles ni condiciones inseguras cercanas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso describe la inspeccion del area previa a un trabajo en caliente. De acuerdo con el material, esa inspeccion busca:","D","Fijar el precio del servicio","Disenar la campana publicitaria","Calcular las metas de venta del periodo","Verificar que no existan materiales combustibles ni condiciones inseguras cercanas","","","","","",""
"multiplechoice","GCONT","S5 STOP-Work KPIs y Mejora PDCA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que se sigue el ciclo PDCA y se mejora continuamente el desempeno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso describe el objetivo de las reuniones de revision en la gestion de la seguridad de contratistas. De acuerdo con el material, el objetivo principal de estas reuniones es:","A","Asegurar que se sigue el ciclo PDCA y se mejora continuamente el desempeno","Fijar el precio de los servicios","Disenar la campana publicitaria","Calcular las metas comerciales del periodo","","","","","",""
"multiplechoice","GCONT","S1 Marco Legal y Precalificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La documentacion de capacitacion y formacion en seguridad y salud del contratista.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso describe las evidencias mas relevantes al realizar una evaluacion de precalificacion en seguridad y salud. De acuerdo con el material, entre esas evidencias destaca:","C","El catalogo de precios del contratista","El plan publicitario del contratista","La documentacion de capacitacion y formacion en seguridad y salud del contratista","Las metas de venta del contratista","","","","","",""
"multiplechoice","GCONT","S2 Anexo HSE Induccion y JSA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El proceso de familiarizar al trabajador con la instalacion y sus normas basicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso diferencia la induccion general de la formacion especifica para los contratistas. De acuerdo con el material, la induccion general corresponde a:","B","La fijacion del precio del servicio","El proceso de familiarizar al trabajador con la instalacion y sus normas basicas","El diseno de la campana publicitaria","El calculo de las metas comerciales","","","","","",""
"multiplechoice","GCONT","S3 Permisos de Trabajo PTW y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar que cada tarea de riesgo sea autorizada y controlada antes de ejecutarse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso relaciona el sistema de permisos de trabajo con la autorizacion de tareas generales y especiales. De acuerdo con el material, la logica del permiso busca:","D","Fijar el precio de la tarea contratada","Disenar la publicidad del servicio","Calcular las metas de venta","Asegurar que cada tarea de riesgo sea autorizada y controlada antes de ejecutarse","","","","","",""
"multiplechoice","GCONT","S4 Hot Work y Espacio Confinado","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detectar la presencia de vapores o gases que puedan inflamarse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso relaciona el trabajo en caliente con el control atmosferico del entorno. De acuerdo con el material, el control atmosferico previo al trabajo en caliente permite:","A","Detectar la presencia de vapores o gases que puedan inflamarse","Reducir el precio del servicio","Ampliar la campana publicitaria","Aumentar las metas de venta","","","","","",""
"multiplechoice","GCONT","S5 STOP-Work KPIs y Mejora PDCA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomentar comportamientos seguros y reforzar la cultura de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso senala la importancia del reconocimiento positivo en la gestion de la seguridad de contratistas. De acuerdo con el material, el reconocimiento positivo es esencial para:","C","Aumentar las ventas del periodo","Reducir el precio de los servicios","Fomentar comportamientos seguros y reforzar la cultura de seguridad","Ampliar la campana publicitaria","","","","","",""
"multiplechoice","GCONT","S1 Marco Legal y Precalificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Comparar objetivamente a los contratistas y definir umbrales minimos de aceptacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso presenta el uso de un sistema de puntuacion o scoring con umbrales en la precalificacion de contratistas. De acuerdo con el material, ese scoring permite:","B","Fijar los precios de los servicios","Comparar objetivamente a los contratistas y definir umbrales minimos de aceptacion","Disenar la campana publicitaria","Definir las metas comerciales del periodo","","","","","",""
"multiplechoice","GCONT","S2 Anexo HSE Induccion y JSA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La claridad y la consistencia en la identificacion y el control de los riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso explica la importancia de la documentacion en el analisis de tareas. De acuerdo con el material, esa documentacion facilita:","D","El aumento de las ventas del periodo","La reduccion del precio de los servicios","La difusion de la campana publicitaria","La claridad y la consistencia en la identificacion y el control de los riesgos","","","","","",""
"multiplechoice","GCONT","S3 Permisos de Trabajo PTW y LOTO","Yes","¡Correcto! Segun el material del curso, lo correcto es: Se ejecute la tarea bajo condiciones distintas a las evaluadas en el permiso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GCONT.","1","El material del curso describe la importancia de la verificacion de campo antes de iniciar un trabajo autorizado. De acuerdo con el material, omitir esa verificacion puede provocar que:","A","Se ejecute la tarea bajo condiciones distintas a las evaluadas en el permiso","Se reduzca el precio del servicio","Se amplie la campana publicitaria","Se aumenten las metas de venta","","","","","",""
