"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material define el riesgo biologico como la posibilidad de adquirir una enfermedad infecciosa o efecto adverso por exposicion a microorganismos vivos o sus productos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","Segun el material, el riesgo biologico ocupacional se define como la posibilidad de que un trabajador adquiera una enfermedad o efecto adverso por exposicion a algo especifico en su entorno laboral. A que se refiere?","B","A sustancias quimicas inertes","A microorganismos vivos o sus productos","A radiaciones ionizantes","A ruido excesivo","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que, a diferencia del riesgo quimico (sustancias inertes), el riesgo biologico tiene la caracteristica de que los agentes pueden multiplicarse en el huesped.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","El material senala una caracteristica que distingue al riesgo biologico del riesgo quimico. Cual es segun el curso?","A","Los agentes biologicos pueden multiplicarse en el huesped","Los agentes biologicos son siempre inertes","El riesgo biologico no causa enfermedad","El riesgo quimico se multiplica en el cuerpo","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que conocer la via es esencial para elegir la barrera preventiva correcta, porque cada via se interrumpe con medidas distintas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","Segun el material, la transmision de un agente biologico es el mecanismo por el que pasa de una fuente a un hospedador susceptible. Por que es esencial conocer la via de transmision segun el curso?","C","Para calcular el costo del tratamiento","Para clasificar al paciente por edad","Para elegir la barrera preventiva correcta, ya que cada via se interrumpe con medidas distintas","Para decidir el color del uniforme","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material menciona como vias principales la de contacto (directo o indirecto), la de gotas (particulas grandes a corta distancia) y la aerea (nucleos goticulares suspendidos).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","El material describe las vias principales de transmision de agentes biologicos. Cuales menciona el curso?","D","Solo la digestiva","Solo la cutanea","Solo la sanguinea","La de contacto, la de gotas y la aerea","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que el contacto y las gotas son las vias mas frecuentes en el entorno laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","Segun el material, cuales son las vias de transmision mas frecuentes en el entorno laboral?","A","El contacto y las gotas","La aerea y la digestiva","Solo la sanguinea","Solo la aerea","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que el Manual de Bioseguridad de la OMS clasifica los agentes en cuatro grupos de riesgo, del GR-1 al GR-4.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","El material cita el Manual de Bioseguridad de la OMS (cuarta edicion, 2020) que clasifica los agentes en grupos de riesgo. Cuantos grupos de riesgo define?","B","2 grupos","4 grupos","6 grupos","10 grupos","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que el GR-1 tiene riesgo bajo o nulo tanto individual como comunitario, con ejemplos como E. coli K12.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","Segun la clasificacion de la OMS descrita en el material, el Grupo de Riesgo 1 (GR-1) se caracteriza por un nivel de riesgo. Cual es segun el curso?","C","Alto riesgo individual y comunitario","Riesgo moderado individual","Bajo o nulo riesgo individual y comunitario","Riesgo alto sin tratamiento","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que el GR-2 tiene riesgo individual moderado y comunitario bajo, con tratamiento disponible, e incluye ejemplos como hepatitis A, gripe y VIH.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","El material describe el Grupo de Riesgo 2 (GR-2) de la OMS. Que combinacion de riesgo lo caracteriza segun el curso?","D","Alto riesgo individual y alto comunitario","Riesgo nulo","Alto individual y bajo comunitario","Riesgo individual moderado y bajo comunitario, con tratamiento disponible","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que el GR-4 tiene alto riesgo individual y comunitario y tratamiento limitado o nulo, con ejemplos como Ebola, Marburgo, viruela y Lassa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","Segun el material, el Grupo de Riesgo 4 (GR-4) representa el nivel mas peligroso. Que lo caracteriza segun el curso?","A","Alto riesgo individual y comunitario, con tratamiento limitado o nulo","Bajo riesgo individual y comunitario","Riesgo moderado con tratamiento disponible","Riesgo solo para el medio ambiente","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que los agentes GR-4 se manipulan unicamente en pocas instalaciones de alta seguridad mundialmente, correspondientes al nivel BSL-4.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","El material indica en que tipo de instalaciones se manipulan los agentes del Grupo de Riesgo 4. Cual menciona el curso?","B","En cualquier laboratorio clinico","Unicamente en pocas instalaciones de alta seguridad a nivel mundial","En hospitales de primer nivel","En laboratorios escolares","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material indica que la mayor parte del trabajo industrial y sanitario se desarrolla con agentes GR-1 y GR-2.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","Segun el material, la mayor parte del trabajo industrial y sanitario se desarrolla con agentes de ciertos grupos de riesgo. Cuales menciona el curso?","C","GR-3 y GR-4","Solo GR-4","GR-1 y GR-2","Solo GR-3","","","","","",""
"multiplechoice","RBB","S1 Riesgo Biologico y Grupos OMS","Yes","¡Correcto! El material lista entre los expuestos al personal de salud, laboratorios biomedicos, limpieza hospitalaria, manejo de residuos sanitarios, veterinarios y otros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RBB.","1","El material lista trabajadores tipicamente expuestos al riesgo biologico. Cual de los siguientes menciona el curso?","D","Solo personal administrativo","Solo pilotos de aviacion","Solo electricistas","Personal de salud, laboratorios biomedicos y manejo de residuos sanitarios","","","","","",""
