"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Informar sobre riesgos, manejo y mitigacion de emergencias relacionados con productos quimicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","En el marco del curso Interpretacion y Uso Operativo de la Ficha de Datos de, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el proposito principal de la Ficha de Datos de Seguridad (FDS)?","A","Informar sobre riesgos, manejo y mitigacion de emergencias relacionados con productos quimicos.","Proveer informacion sobre el almacenamiento correcto de productos quimicos.","Describir caracteristicas fisicas y quimicas de los productos.","Registrar las cantidades de productos quimicos utilizados en la industria.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Profesionales de HSE, consultores y auditores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Segun los contenidos desarrollados en el curso Interpretacion y Uso Operativo de la Ficha de Datos de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Quienes son los principales usuarios de la Ficha de Datos de Seguridad?","C","Solo los gerentes de recursos humanos.","Los responsables de marketing de productos quimicos.","Profesionales de HSE, consultores y auditores.","El publico general que adquiere productos quimicos.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificacion del producto y recomendaciones de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Segun el material del curso Interpretacion y Uso Operativo de la Ficha de Datos de, responde con precision: Que informacion basica se incluye comunmente en una Ficha de Datos de Seguridad?","B","Precio de mercado del producto quimico.","Identificacion del producto y recomendaciones de seguridad.","Resultados de ventas del producto.","Rutas de distribucion del quimico.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Contribuyen a la identificacion de riesgos y al desarrollo de planes de respuesta efectivos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Segun el material del curso Interpretacion y Uso Operativo de la Ficha de Datos de, responde con precision: Cual es el valor preventivo mas significativo de mantener actualizadas las Fichas de Datos de Seguridad?","D","Facilitan la logistica de productos quimicos en la empresa.","Permiten cumplir con regulaciones ambientales sin cambios.","Aumentan la rentabilidad del manejo de sustancias quimicas.","Contribuyen a la identificacion de riesgos y al desarrollo de planes de respuesta efectivos.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar los peligros asociados a la sustancia quimica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Segun el material del curso Interpretacion y Uso Operativo de la Ficha de Datos de, responde con precision: Cual es el primer paso en el proceso de gestion de la informacion segun la FDS (Ficha de Datos de Seguridad)?","B","Evaluar el riesgo que presenta la sustancia.","Identificar los peligros asociados a la sustancia quimica.","Aplicar medidas de control.","Transferir la informacion a los trabajadores.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: La interpretacion de los datos de toxicidad y primeros auxilios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Segun el material del curso Interpretacion y Uso Operativo de la Ficha de Datos de, responde con precision: Cuando se evalua la informacion de la FDS, que aspecto es clave para garantizar la seguridad en el entorno laboral?","D","La transferencia de informacion a otros departamentos.","La consulta de la normativa vigente.","La comprension de los simbolos de peligro.","La interpretacion de los datos de toxicidad y primeros auxilios.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las caracteristicas fisicoquimicas de la sustancia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Segun el material del curso Interpretacion y Uso Operativo de la Ficha de Datos de, responde con precision: La aplicacion de medidas de control adecuadas requiere de un proceso que incluye identificar y evaluar cual de los siguientes elementos?","A","Las caracteristicas fisicoquimicas de la sustancia.","El presupuesto de la organizacion.","Los equipos de proteccion personal disponibles.","La experiencia de los trabajadores.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una practica sistematica que permite a los profesionales evaluar regularmente su desempenio y el cumplimiento de estandares de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Segun el material del curso Interpretacion y Uso Operativo de la Ficha de Datos de, responde con precision: Cual de las siguientes opciones describe mejor el concepto de autoevaluacion continua en el contexto de la seguridad quimica?","C","Un informe anual que se presenta a la gerencia sobre las actividades de seguridad.","Un procedimiento administrativo que solo se realiza cuando sucede un incidente.","Una practica sistematica que permite a los profesionales evaluar regularmente su desempenio y el cumplimiento de estandares de seguridad.","Un proceso para verificar el cumplimiento de la normativa de seguridad unicamente al final del anio.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: La implementacion de auditorias periodicas y analisis de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Segun el material del curso Interpretacion y Uso Operativo de la Ficha de Datos de, responde con precision: En la metodologia de gestion de recursos quimicos, que herramienta es fundamental para la identificacion de riesgos?","C","El analisis de solo los incidentes ocurridos en un periodo especifico.","El uso de graficos de tendencias que no requieren actualizacion.","La implementacion de auditorias periodicas y analisis de riesgos.","La creacion de un inventario estatico que no refleje cambios.","","","","","",""
"multiplechoice","FDS","C1 Concepto y Estructura FDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar proactivamente oportunidades de mejora y asegurar el cumplimiento normativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso FDS.","1","Tomando en cuenta lo estudiado en el curso Interpretacion y Uso Operativo de la Ficha de Datos de sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el principal objetivo de utilizar metodologias de autoevaluacion en la gestion ambiental?","A","Identificar proactivamente oportunidades de mejora y asegurar el cumplimiento normativo.","Ser un requisito legal en todas las jurisdicciones.","Crear una cultura empresarial que ignore las normativas vigentes.","Conseguir la aprobacion de un plan de operacion sin necesidad de evaluacion.","","","","","",""
