"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PRE","S1 Marco Normativo EPR y AVR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Minimizar el impacto de los incidentes sobre las personas, el ambiente y las operaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso PRE define el proposito de la preparacion y respuesta ante emergencias en una instalacion industrial. De acuerdo con el material, el objetivo principal de implementar un sistema de preparacion ante emergencias es:","A","Minimizar el impacto de los incidentes sobre las personas, el ambiente y las operaciones","Aumentar las ventas de los productos","Fijar los precios del mercado","Coordinar la campana publicitaria","","","","","",""
"multiplechoice","PRE","S2 Consecuencias y Plan de Emergencia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Regiones especificas donde las consecuencias de un accidente pueden afectar a personas o bienes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso define las zonas de impacto en el contexto de la estimacion de consecuencias de un accidente. De acuerdo con el material, las zonas de impacto corresponden a:","C","Areas destinadas a la publicidad de la planta","Zonas de venta de los productos","Regiones especificas donde las consecuencias de un accidente pueden afectar a personas o bienes","Sectores de fijacion de precios","","","","","",""
"multiplechoice","PRE","S3 Sistema de Comando ICS y Brigadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Gestionar las emergencias y los desastres de forma eficiente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso presenta el Sistema de Comando de Incidentes como estructura para coordinar la respuesta a emergencias. De acuerdo con el material, el proposito principal de este sistema es:","B","Fijar los precios de venta de los productos","Gestionar las emergencias y los desastres de forma eficiente","Coordinar la campana publicitaria de la planta","Definir las metas comerciales del periodo","","","","","",""
"multiplechoice","PRE","S4 Comunicacion Simulacros y HSEEP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomentar la transparencia y la coordinacion entre las partes interesadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso establece los principios de la comunicacion externa durante una emergencia. De acuerdo con el material, uno de los principios que debe guiar esa comunicacion es:","D","Reducir el precio de venta de los productos","Aumentar las metas comerciales del periodo","Ampliar la campana publicitaria de la marca","Fomentar la transparencia y la coordinacion entre las partes interesadas","","","","","",""
"multiplechoice","PRE","S5 Autoridades Comunidad y BCP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar la seguridad de los trabajadores y de la comunidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso explica el objetivo principal de notificar a la autoridad competente durante una emergencia. De acuerdo con el material, esa notificacion busca:","A","Garantizar la seguridad de los trabajadores y de la comunidad","Fijar el precio de venta de los productos","Disenar la campana publicitaria","Calcular las metas comerciales del periodo","","","","","",""
"multiplechoice","PRE","S1 Marco Normativo EPR y AVR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar un marco para la gestion de emergencias y la continuidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso presenta la norma NFPA 1600 dentro del panorama internacional de gestion de emergencias. De acuerdo con el material, el enfoque principal de la norma NFPA 1600 consiste en:","C","Regular los precios de venta de los productos","Definir la estrategia publicitaria de la planta","Proporcionar un marco para la gestion de emergencias y la continuidad","Establecer las metas comerciales del periodo","","","","","",""
"multiplechoice","PRE","S2 Consecuencias y Plan de Emergencia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Modelar la dispersion de sustancias y estimar las zonas de impacto de una fuga.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso presenta la herramienta ALOHA para el modelado de las consecuencias de una emergencia. De acuerdo con el material, ALOHA se utiliza dentro de este marco para:","B","Fijar el precio de venta de las sustancias","Modelar la dispersion de sustancias y estimar las zonas de impacto de una fuga","Disenar la campana publicitaria del proceso","Calcular las metas comerciales del area","","","","","",""
"multiplechoice","PRE","S3 Sistema de Comando ICS y Brigadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La funcion de logistica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso describe la estructura estandar del Sistema de Comando de Incidentes. De acuerdo con el material, uno de los componentes que forma parte de esa estructura es:","D","El area de fijacion de precios","El departamento de publicidad comercial","La seccion de metas de venta","La funcion de logistica","","","","","",""
"multiplechoice","PRE","S4 Comunicacion Simulacros y HSEEP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Eludir las preguntas dificiles y no dar respuestas claras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso advierte sobre acciones que deben evitarse durante la comunicacion externa en una emergencia. De acuerdo con el material, una accion que debe evitarse es:","A","Eludir las preguntas dificiles y no dar respuestas claras","Brindar informacion oportuna y veraz","Coordinar con las partes interesadas","Mantener la transparencia del mensaje","","","","","",""
"multiplechoice","PRE","S5 Autoridades Comunidad y BCP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar informacion detallada sobre los materiales peligrosos involucrados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso describe la coordinacion con los bomberos durante una emergencia industrial. De acuerdo con el material, un aspecto esencial de esa coordinacion es:","C","Ofrecer descuentos en los productos","Difundir la publicidad de la empresa","Proporcionar informacion detallada sobre los materiales peligrosos involucrados","Comunicar las metas de venta","","","","","",""
"multiplechoice","PRE","S1 Marco Normativo EPR y AVR","Yes","¡Correcto! Segun el material del curso, lo correcto es: La gestion de incidentes y la coordinacion de la respuesta ante emergencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso describe la norma ISO 22320 como un estandar relevante para la gestion de incidentes. De acuerdo con el material, esta norma proporciona lineamientos orientados principalmente a:","B","La fijacion de precios de los productos","La gestion de incidentes y la coordinacion de la respuesta ante emergencias","El diseno de la campana de mercadeo","La proyeccion de las ventas del periodo","","","","","",""
"multiplechoice","PRE","S2 Consecuencias y Plan de Emergencia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Anticipar el alcance de un incidente para planificar la respuesta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRE.","1","El material del curso explica como el modelado de consecuencias se aplica en la gestion de emergencias. De acuerdo con el material, ese modelado permite a la organizacion:","D","Aumentar las ventas del periodo","Reducir el gasto en publicidad","Elevar las metas comerciales","Anticipar el alcance de un incidente para planificar la respuesta","","","","","",""
