"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PCLCO","S1 Fases de Obra e Inspeccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar los riesgos a tiempo permite controlarlos y disminuir los accidentes en la obra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Que relacion existe entre la identificacion temprana de los riesgos en el plan de gestion y la reduccion de accidentes durante la ejecucion de un proyecto de construccion segun el contenido tecnico del programa formativo","A","Identificar los riesgos a tiempo permite controlarlos y disminuir los accidentes en la obra","La identificacion define el color de la maquinaria","La identificacion fija el precio de la construccion","La identificacion no influye en los accidentes","","","","","",""
"multiplechoice","PCLCO","S2 Excavaciones y Tipos de Suelo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite identificar riesgos de derrumbe y actuar antes de exponer al personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Que importancia tiene la inspeccion diaria de las paredes de una excavacion para detectar signos de inestabilidad antes de que los trabajadores ingresen a la zanja durante una obra de construccion segun el contenido tecnico del programa formativo","C","Permite definir el color reglamentario de la zanja","Permite fijar el precio del servicio de excavacion","Permite identificar riesgos de derrumbe y actuar antes de exponer al personal","Permite prescindir de los sistemas de soporte","","","","","",""
"multiplechoice","PCLCO","S3 Encofrado y Hormigon Fresco","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque una seleccion incorrecta puede compactar mal el hormigon o provocar su segregacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Por que el tipo de vibrador y el tiempo de vibrado deben seleccionarse cuidadosamente segun la mezcla y la estructura al compactar el hormigon fresco en una obra de construccion segun el contenido tecnico del programa formativo","B","Porque asi el hormigon adquiere el color correcto","Porque una seleccion incorrecta puede compactar mal el hormigon o provocar su segregacion","Porque asi se reduce el precio del hormigon","Porque el vibrador no influye en la calidad","","","","","",""
"multiplechoice","PCLCO","S4 Caidas Anclajes y Andamios","Yes","¡Correcto! Segun el material del curso, lo correcto es: El andamio podria volverse inestable y provocar la caida de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Que consecuencia puede tener utilizar un andamio que supera la altura maxima permitida o que no ha sido inspeccionado antes de su uso en una obra de construccion segun el contenido tecnico del programa formativo","D","El andamio se vuelve automaticamente mas seguro","Se reduce el precio del alquiler sin ningun riesgo","El color del andamio cambia de forma automatica","El andamio podria volverse inestable y provocar la caida de los trabajadores","","","","","",""
"multiplechoice","PCLCO","S5 Electrico Transito y Fases","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque corta la corriente ante una fuga a tierra y evita la electrocucion del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Por que el interruptor de corriente residual GFCI constituye una proteccion esencial en las instalaciones electricas provisionales de una obra donde el personal utiliza herramientas electricas segun el contenido tecnico del programa formativo","A","Porque corta la corriente ante una fuga a tierra y evita la electrocucion del trabajador","Porque define el color del tablero electrico","Porque reduce el precio de la instalacion","Porque aumenta la potencia de las herramientas","","","","","",""
"multiplechoice","PCLCO","S1 Fases de Obra e Inspeccion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Se comienza la obra sin confirmar condiciones seguras ni autorizaciones legales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Que consecuencia puede tener iniciar una obra de construccion sin realizar la inspeccion previa que verifica el plan y los permisos requeridos por la normativa segun el contenido tecnico del programa formativo","C","La obra se vuelve automaticamente mas segura","Se reduce el precio de venta sin ningun riesgo","Se comienza la obra sin confirmar condiciones seguras ni autorizaciones legales","El color de la maquinaria cambia de forma automatica","","","","","",""
"multiplechoice","PCLCO","S2 Excavaciones y Tipos de Suelo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque las condiciones del suelo inestable pueden cambiar y generar un derrumbe repentino.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Por que el monitoreo constante de una excavacion en suelo de tipo C debe mantenerse durante todo el tiempo que los trabajadores permanecen en su interior durante una obra de construccion segun el contenido tecnico del programa formativo","B","Porque el suelo cambia de color con el tiempo","Porque las condiciones del suelo inestable pueden cambiar y generar un derrumbe repentino","Porque el monitoreo reduce el precio del servicio","Porque el suelo tipo C nunca presenta cambios","","","","","",""
"multiplechoice","PCLCO","S3 Encofrado y Hormigon Fresco","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que el hormigon haya alcanzado el fraguado y la resistencia necesarios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Que debe verificarse antes de retirar el encofrado de una estructura de hormigon para confirmar que puede soportar las cargas sin colapsar durante los trabajos de una obra de construccion segun el contenido tecnico del programa formativo","D","Que el encofrado tenga el color reglamentario","Que el precio de la estructura sea el previsto","Que la marca del molde sea la preferida","Que el hormigon haya alcanzado el fraguado y la resistencia necesarios","","","","","",""
"multiplechoice","PCLCO","S4 Caidas Anclajes y Andamios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar la resistencia del material y ubicar el anclaje donde la fijacion sea confiable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Como debe procederse al instalar un anclaje en un material no homogeneo para garantizar que soporte con seguridad las cargas de una eventual caida de un trabajador en una obra de construccion segun el contenido tecnico del programa formativo","A","Evaluar la resistencia del material y ubicar el anclaje donde la fijacion sea confiable","Instalar el anclaje en cualquier punto disponible","Definir el color del anclaje antes de instalarlo","Elegir el anclaje mas economico sin evaluar nada","","","","","",""
"multiplechoice","PCLCO","S5 Electrico Transito y Fases","Yes","¡Correcto! Segun el material del curso, lo correcto es: El deterioro del cable puede provocar fallas electricas cortocircuitos o electrocuciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PCLCO.","1","Que consecuencia puede tener utilizar en exteriores de una obra un cable electrico no apto para la intemperie en lugar del cable adecuado para uso enterrado y expuesto a la humedad segun el contenido tecnico del programa formativo","C","La instalacion se vuelve automaticamente mas segura","Se reduce el precio de la instalacion sin riesgo","El deterioro del cable puede provocar fallas electricas cortocircuitos o electrocuciones","El color del cable cambia de forma automatica","","","","","",""
