"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! La senalizacion es un control administrativo: no elimina el peligro, lo comunica, y ocupa el ultimo lugar de la jerarquia de controles de ISO 45001:2018 clausula 8.1.2.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","Segun el material, dentro de la jerarquia de controles del riesgo que establece la norma ISO 45001:2018 en su clausula 8.1.2, la senalizacion se clasifica como un control de tipo:","B","Control de ingenieria que elimina el peligro en la fuente","Control administrativo que comunica el peligro pero no lo elimina","Equipo de proteccion personal de uso obligatorio","Medida de sustitucion del proceso peligroso","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! La senalizacion es el ultimo recurso de la jerarquia y debe complementar, no sustituir, las medidas de prevencion de niveles superiores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","De acuerdo con el material, la senalizacion se describe como la ultima linea de defensa porque, respecto a las medidas de prevencion superiores, la senalizacion debe:","C","Sustituir por completo a los controles de ingenieria","Aplicarse antes de eliminar el peligro","Complementar y no sustituir las medidas superiores de la jerarquia","Utilizarse solo cuando no existe presupuesto","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! Confiar en la senalizacion sin agotar los controles superiores incumple la jerarquia de control, ya que la senalizacion solo comunica el peligro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","Segun el material, una empresa que confia en la senalizacion para gestionar peligros sin haber agotado los niveles superiores de control esta:","A","Incumpliendo la jerarquia de control","Aplicando correctamente la norma","Eliminando el peligro de raiz","Sustituyendo el proceso peligroso","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! La senalizacion es un lenguaje universal que no depende del idioma, esta disponible las 24 horas sin requerir supervisor y refuerza permanentemente el conocimiento del riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","Conforme al material, entre las razones por las que la senalizacion adecuada es indispensable una vez agotados los controles superiores, se menciona que es un lenguaje:","D","Que solo entienden los supervisores","Disponible unicamente en horario laboral","Que depende del idioma del receptor","Universal que no depende del idioma del receptor y esta disponible las 24 horas","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! El material describe cinco categorias de senales: prohibicion, obligacion, advertencia, salvamento y equipos contra incendios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","Segun el material, las senales de seguridad se clasifican en un numero determinado de categorias, que es:","B","Tres categorias","Cinco categorias","Siete categorias","Diez categorias","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! Ademas del pictograma, la forma y el color, la senal debe reunir caracteristicas fisicas que garanticen su visibilidad y durabilidad en el entorno donde se instala.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","De acuerdo con el material, para que una senal cumpla su funcion no basta con tener el pictograma, la forma y el color correctos, sino que ademas debe reunir caracteristicas fisicas que garanticen:","C","Un menor costo de fabricacion","La aprobacion del proveedor comercial","Su visibilidad y durabilidad en el entorno donde se instala","La sustitucion de los controles de ingenieria","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! Sin senalizacion se pierden los segundos criticos en los que la persona deberia saber, de un vistazo, que peligro enfrenta, hacia donde evacuar y que comportamientos evitar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","Segun el material, la ausencia de senalizacion en una zona de riesgo provoca que las personas actuen a ciegas porque:","A","Se pierden los segundos criticos en que deberian saber de un vistazo que peligro enfrentan y hacia donde evacuar","El peligro se elimina automaticamente","Los controles de ingenieria dejan de funcionar","La responsabilidad legal desaparece","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! El caso del material demuestra que la senalizacion no es un adorno normativo, sino una barrera de seguridad activa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","Conforme al material, la senalizacion se describe no como un adorno normativo sino como:","D","Un requisito exclusivamente estetico","Una recomendacion opcional del fabricante","Un elemento decorativo de la planta","Una barrera de seguridad activa","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! La senalizacion cumple obligaciones legales bajo el Decreto 2393:1986 de Ecuador, la Ley 29783 de Peru y normas NOM mexicanas, entre otras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","Segun el material, entre las obligaciones legales que la senalizacion ayuda a cumplir se citan normas de varios paises, incluyendo:","B","Solo normas de la Union Europea","El Decreto 2393:1986 de Ecuador y la Ley 29783 de Peru","Unicamente normas de Estados Unidos","Ninguna norma nacional especifica","","","","","",""
"multiplechoice","SIC","U1 Base y Categorias","Yes","¡Correcto! Una de las razones por las que la senalizacion es indispensable es que refuerza permanentemente el conocimiento del riesgo, ademas de estar disponible las 24 horas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SIC.","1","De acuerdo con el material, la senalizacion, al estar disponible de forma permanente, cumple la funcion adicional de:","C","Reemplazar la capacitacion del personal","Eliminar la necesidad de EPP","Reforzar permanentemente el conocimiento del riesgo","Sustituir los controles de ingenieria","","","","","",""
