"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promover el desarrollo y supervisar las entidades del SFPS.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun el material del curso Marco Normativo de la Seguridad Fisica y Electronica en, responde con precision: Cual es la principal funcion de la Superintendencia de Economia Popular y Solidaria (SEPS) dentro del Sistema Financiero Popular y Solidario (SFPS)?","A","Promover el desarrollo y supervisar las entidades del SFPS","Realizar auditorias en el sector privado","Proveer financiamiento a proyectos economicos","Regulador de las entidades financieras privadas","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los requisitos para la constitucion de una cooperativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun los contenidos desarrollados en el curso Marco Normativo de la Seguridad Fisica y Electronica en, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Segun la Resolucion SEPS-IGT-IR-IGJ-2018-021, cual de los siguientes elementos no esta regulado?","C","Las caracteristicas minimas de los informes de gestion","Los lineamientos para la proteccion del usuario financiero","Los requisitos para la constitucion de una cooperativa","Las auditorias internas de las entidades del SFPS","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: El fortalecimiento de la inclusion financiera y el cooperativismo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun el material del curso Marco Normativo de la Seguridad Fisica y Electronica en, responde con precision: Que aspecto es fundamental en el marco legal del SFPS promovido por la SEPS?","B","La consolidacion de entidades financieras exclusivamente privadas","El fortalecimiento de la inclusion financiera y el cooperativismo","La limitacion de la participacion de entidades extranjeras","El control total de las tasas de interes en prestamos","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Define objetivos, principios, y procedimientos especificos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun el material del curso Marco Normativo de la Seguridad Fisica y Electronica en, responde con precision: Cual de las siguientes opciones describe mejor la estructura interna de una norma segun el marco regulatorio del SFPS en Ecuador?","D","Solo menciona los impactos financieros de la norma.","Establece roles y responsabilidades de manera detallada.","Se enfoca exclusivamente en la seguridad fisica.","Define objetivos, principios, y procedimientos especificos.","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: El fortalecimiento de la gestion del riesgo operacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun el material del curso Marco Normativo de la Seguridad Fisica y Electronica en, responde con precision: La reforma 2018-0259 se centra en mejorar las politicas de seguridad. Que aspecto especifico aborda?","B","La creacion de nuevas normativas juridicas.","El fortalecimiento de la gestion del riesgo operacional.","La eliminacion de redundancias en procesos internos.","La formalizacion de nuevas infraestructuras.","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegura la alineacion de las politicas de seguridad con los objetivos estrategicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Considerando el enfoque metodologico del curso Marco Normativo de la Seguridad Fisica y Electronica en y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Que papel desempenia la gobernanza en la norma relativa a la seguridad operativa?","D","Facilita la supervision de las partes interesadas solo.","Se limita al cumplimiento de obligaciones legales.","Elimina la necesidad de auditorias regulares.","Asegura la alineacion de las politicas de seguridad con los objetivos estrategicos.","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacidad de ser sujeto de derechos y obligaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun el material del curso Marco Normativo de la Seguridad Fisica y Electronica en, responde con precision: Cual de los siguientes aspectos NO forma parte de la definicion de establecimiento segun la normativa vigente?","A","La capacidad de ser sujeto de derechos y obligaciones","El tipo de bienes que se manejan en el lugar","La ubicacion fisica donde se desarrollan actividades","La continuidad en la prestacion de servicios","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar la naturaleza y las caracteristicas de cada establecimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun los contenidos desarrollados en el curso Marco Normativo de la Seguridad Fisica y Electronica en, y considerando las definiciones presentadas en el material, indica la alternativa correcta: La segmentacion de entidades permite:","C","Crear un marco legislativo para todos los establecimientos","Eliminar la redundancia en la gestion de riesgos","Determinar la naturaleza y las caracteristicas de cada establecimiento","Clasificar a las entidades segun su tamanio y utilidad","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: La obligacion de cumplir con normativas especificas para cada tipo de establecimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun el material del curso Marco Normativo de la Seguridad Fisica y Electronica en, responde con precision: Que se entiende por 'aplicabilidad normativa' en el contexto de la seguridad en los establecimientos?","C","La facilidad con la que se aplican las normativas en sectores regulados","La capacidad de que las normativas se adapten a nuevas entidades establecidas","La obligacion de cumplir con normativas especificas para cada tipo de establecimiento","La interpretacion flexible de las normativas vigentes","","","","","",""
"multiplechoice","MNF","C1 COMYF y Competencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar un ambiente seguro para los trabajadores y minimizar riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MNF.","1","Segun el material del curso Marco Normativo de la Seguridad Fisica y Electronica en, responde con precision: Cual es el objetivo principal de las medidas minimas del articulo 3.1 en la regulacion de seguridad del SFPS?","A","Garantizar un ambiente seguro para los trabajadores y minimizar riesgos.","Maximizar el uso del espacio en las instalaciones de trabajo.","Aumentar la produccion mediante el uso de tecnologia avanzada.","Reducir los costos operativos de las empresas.","","","","","",""
