"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","IAI","S1 Proposito Resultados y E-Learning","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mejorar las condiciones de seguridad y salud en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","El programa de investigacion de accidentes tiene un proposito central. Cual es el proposito principal del programa segun lo indicado en el material del curso de investigacion de accidentes?","A","Mejorar las condiciones de seguridad y salud en el trabajo","Aumentar las ventas de la empresa","Reducir el numero de trabajadores","Sustituir las auditorias legales obligatorias","","","","","",""
"multiplechoice","IAI","S2 Marco IESS y Comite Paritario","Yes","¡Correcto! Segun el material del curso, lo correcto es: La prevencion de los riesgos laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","El marco del IESS tiene un aspecto fundamental para la seguridad de los trabajadores. Que aspecto del IESS se considera fundamental en la gestion de la seguridad segun lo indicado en el material del curso de investigacion de accidentes?","C","El aumento de las ventas de la empresa","La reduccion del numero de trabajadores","La prevencion de los riesgos laborales","La publicidad del negocio","","","","","",""
"multiplechoice","IAI","S3 Tipos de Accidente y Evidencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es el evento que ocurre mientras el trabajador realiza su labor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","El accidente de trabajo tiene una definicion precisa en la investigacion. Cual de las siguientes afirmaciones describe mejor un accidente de trabajo segun lo indicado en el material del curso de investigacion de accidentes?","B","Es una tarea rutinaria planificada","Es el evento que ocurre mientras el trabajador realiza su labor","Es una mejora en las condiciones de trabajo","Es un procedimiento administrativo","","","","","",""
"multiplechoice","IAI","S4 Proceso e Informe de Accidente","Yes","¡Correcto! Segun el material del curso, lo correcto es: Llamar a los servicios medicos de emergencia y atender al herido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","La atencion tras un accidente laboral prioriza a las personas afectadas. Cual es el primer paso a seguir tras un accidente laboral segun lo indicado en el material del curso de investigacion de accidentes?","D","Comenzar de inmediato con la publicidad","Registrar las ventas del dia","Ignorar el evento si no parece grave","Llamar a los servicios medicos de emergencia y atender al herido","","","","","",""
"multiplechoice","IAI","S5 Acciones SMART y Cierre","Yes","¡Correcto! Segun el material del curso, lo correcto es: Especificas, medibles, alcanzables, relevantes y con un tiempo definido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","Las acciones correctivas de la investigacion se formulan con el criterio SMART. Que caracteristicas deben tener las acciones formuladas segun el criterio SMART segun lo indicado en el material del curso de investigacion de accidentes?","A","Especificas, medibles, alcanzables, relevantes y con un tiempo definido","Ambiguas y sin plazo de cumplimiento","Genericas y sin responsables","Imposibles de medir o verificar","","","","","",""
"multiplechoice","IAI","S1 Proposito Resultados y E-Learning","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los trabajadores de todas las areas de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","El programa define su alcance en terminos de a quienes protege. Cual es el alcance del programa en cuanto a las personas involucradas segun lo indicado en el material del curso de investigacion de accidentes?","C","Solo el personal de ventas","Unicamente los clientes de la empresa","Los trabajadores de todas las areas de la organizacion","Exclusivamente los proveedores externos","","","","","",""
"multiplechoice","IAI","S2 Marco IESS y Comite Paritario","Yes","¡Correcto! Segun el material del curso, lo correcto es: Velar por el cumplimiento de las normativas de seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","El Comite Paritario cumple un rol dentro del marco del IESS. Cual es el papel del Comite Paritario en el marco del IESS segun lo indicado en el material del curso de investigacion de accidentes?","B","Gestionar las ventas de la empresa","Velar por el cumplimiento de las normativas de seguridad y salud","Disenar la publicidad del negocio","Administrar el inventario comercial","","","","","",""
"multiplechoice","IAI","S3 Tipos de Accidente y Evidencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: El accidente ocurre de forma subita durante el trabajo y la enfermedad se desarrolla con el tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","El accidente de trabajo se distingue de la enfermedad ocupacional. Cual es una diferencia clave entre un accidente de trabajo y una enfermedad ocupacional segun lo indicado en el material del curso de investigacion de accidentes?","D","Ambos son exactamente lo mismo","La enfermedad ocurre de forma subita y el accidente con el tiempo","El accidente no tiene relacion con el trabajo","El accidente ocurre de forma subita durante el trabajo y la enfermedad se desarrolla con el tiempo","","","","","",""
"multiplechoice","IAI","S4 Proceso e Informe de Accidente","Yes","¡Correcto! Segun el material del curso, lo correcto es: La fecha, hora, lugar y descripcion del accidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","La notificacion del accidente debe contener informacion esencial. Que informacion es crucial incluir en la notificacion de un accidente segun lo indicado en el material del curso de investigacion de accidentes?","A","La fecha, hora, lugar y descripcion del accidente","El precio de los productos vendidos","La lista de clientes de la empresa","El presupuesto de publicidad","","","","","",""
"multiplechoice","IAI","S5 Acciones SMART y Cierre","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los indicadores de exito de la accion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAI.","1","El criterio SMART exige que ciertos elementos esten claramente definidos. Que aspecto debe estar claramente definido en el marco SMART segun lo indicado en el material del curso de investigacion de accidentes?","C","El precio de los productos vendidos","La lista de clientes de la empresa","Los indicadores de exito de la accion","El presupuesto de publicidad","","","","","",""
