"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promover un ambiente laboral seguro minimizando riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","En el marco del curso Clasificacion de Peligros segun el SGA/GHS, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la finalidad principal del Sistema de Gestion de Seguridad y Salud en el Trabajo (SGA/GHS)?","A","Promover un ambiente laboral seguro minimizando riesgos.","Cumplir con normativas gubernamentales sin realmente implementarlas.","Aumentar la productividad por encima de la seguridad.","Disminuir los costos operativos sin considerar la seguridad.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es un enfoque transversal aplicable a diversas industrias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Segun los contenidos desarrollados en el curso Clasificacion de Peligros segun el SGA/GHS, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que caracteriza al SGA/GHS en el contexto de la seguridad quimica?","C","Su enfoque es exclusivo para la industria quimica.","Se centra unicamente en la capacitacion de los empleados.","Es un enfoque transversal aplicable a diversas industrias.","Solo se aplica en procesos de manufactura.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Integra diversas areas como logistica, produccion y seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Con base en el material del curso Clasificacion de Peligros segun el SGA/GHS y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual es un aspecto importante del caracter transversal del SGA/GHS?","B","Abarca un unico departamento dentro de la empresa.","Integra diversas areas como logistica, produccion y seguridad.","Se implementa solo en el almacenamiento de productos peligrosos.","Enfocado en la reduccion de costos operativos solamente.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Deben poder ser evaluados a traves de indicadores cuantificables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Tomando en cuenta lo estudiado en el curso Clasificacion de Peligros segun el SGA/GHS sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es una caracteristica clave de los resultados de aprendizaje que deben ser medibles?","D","Deben estar centrados exclusivamente en la teoria.","Deben ser formulados de manera teorica y no requerir evidencias.","Deben ser descriptivos y no tener un enfoque practico.","Deben poder ser evaluados a traves de indicadores cuantificables.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: La creacion de competencias que los profesionales necesitan para cumplir con las exigencias laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","De acuerdo con los fundamentos presentados en el curso Clasificacion de Peligros segun el SGA/GHS, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que se entiende por la formulacion de resultados de aprendizaje en un entorno profesional?","B","La definicion de objetivos que no estan alineados con las necesidades del sector.","La creacion de competencias que los profesionales necesitan para cumplir con las exigencias laborales.","La implementacion de practicas que no contemplan la formacion continua.","La elaboracion de documentos teoricos que no se aplican en la practica.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Deben definir claramente las expectativas en terminos de que habilidades, actitudes y conocimientos se espera que el alumno adquiera.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Considerando el enfoque metodologico del curso Clasificacion de Peligros segun el SGA/GHS y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Cual de las siguientes afirmaciones sobre los resultados de aprendizaje es correcta?","D","Se deben adaptar unicamente a un contexto academico y no a la industria.","No necesitan ser revisados ni actualizados a medida que avanza la industria.","Son utiles exclusivamente para la educacion formal, sin relevancia en el ambito laboral.","Deben definir claramente las expectativas en terminos de que habilidades, actitudes y conocimientos se espera que el alumno adquiera.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una respuesta efectiva debe destacar que los resultados de aprendizaje especificos y alcanzables permiten a los estudiantes entender lo que se espera de ellos, facilitando asi el proceso de aprendizaje y evaluacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","En el marco del curso Clasificacion de Peligros segun el SGA/GHS, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Explica la importancia de que los resultados de aprendizaje sean especificos y alcanzables.","A","Una respuesta efectiva debe destacar que los resultados de aprendizaje especificos y alcanzables permiten a los estudiantes entender lo que se espera de ellos, facilitando asi el proceso de aprendizaje y evaluacion.","Aspectos tales como no realizar revisiones periodicas, no registrar cambios legales que afecten la clasificacion, y la falta de capacitacion del personal encargado de estas tareas.","El SGA/GHS contribuye a la prevencion de accidentes proporcionando un marco sistematico que identifica, evalua y controla peligros en el lugar de trabajo.","Una respuesta correcta deberia mencionar que las frases P son directrices que orientan sobre el uso seguro de productos quimicos, contribuyendo a la implementacion de politicas efectivas de seguridad.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite que los estudiantes disenien su propio curriculum segun sus intereses.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Segun los contenidos desarrollados en el curso Clasificacion de Peligros segun el SGA/GHS, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es la principal ventaja del enfoque metodologico autoadministrado en el aprendizaje?","C","Aumenta la dependencia de los instructores en el proceso de ensenianza.","Proporciona un enfoque unico que se aplica a todos los estudiantes sin distincion.","Permite que los estudiantes disenien su propio curriculum segun sus intereses.","Reduce la necesidad de evaluacion de los estudiantes.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Manual de practicas de laboratorio y simulaciones interactivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Con base en el material del curso Clasificacion de Peligros segun el SGA/GHS y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cuales son algunos ejemplos de recursos didacticos que pueden utilizarse en un curso sobre seguridad quimica?","C","Charlas magistrales sin material visual.","Ejercicios individuales sin retroalimentacion.","Manual de practicas de laboratorio y simulaciones interactivas.","Libros de texto sin actividad practica.","","","","","",""
"multiplechoice","CPS","C1 Fundamentos SGA y Peligro","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomentan la interaccion y el intercambio de ideas entre los estudiantes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Tomando en cuenta lo estudiado en el curso Clasificacion de Peligros segun el SGA/GHS sobre este tema especifico y las buenas practicas descritas en el material, responde: Como influyen las dinamicas grupales en el aprendizaje autoadministrado dentro del curso?","A","Fomentan la interaccion y el intercambio de ideas entre los estudiantes.","Disminuyen la autonomia del estudiante al depender de otros.","Se centran unicamente en la competencia individual.","Son irrelevantes para el aprendizaje en modalidad autoadministrada.","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Introducir los conceptos basicos de seguridad quimica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","De acuerdo con los fundamentos presentados en el curso Clasificacion de Peligros segun el SGA/GHS, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual es el proposito principal del primer bloque del curso?","A","Introducir los conceptos basicos de seguridad quimica.","Profundizar en la legislacion ambiental.","Evaluar los danios ambientales.","Establecer protocolos de auditoria.","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Control de riesgos y mitigacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Segun el material del curso Clasificacion de Peligros segun el SGA/GHS, responde con precision: En la secuencia tematica del curso, que bloque sigue inmediatamente despues de discutir la identificacion de riesgos?","C","Manejo de efluentes.","Cumplimiento normativo.","Control de riesgos y mitigacion.","Planes de emergencia y respuesta.","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de datos historicos de incidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","En el marco del curso Clasificacion de Peligros segun el SGA/GHS, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Que componente es crucial en el bloque sobre auditorias ambientales?","B","Desarrollo de software de seguimiento.","El analisis de datos historicos de incidentes.","Realizacion de inspecciones visuales.","Implementacion de estrategias de comunicacion.","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La finalidad del bloque sobre cumplimiento normativo es proporcionar los lineamientos necesarios para que las organizaciones cumplan con las normativas legales y reglamentarias apl.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Segun los contenidos desarrollados en el curso Clasificacion de Peligros segun el SGA/GHS, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es la finalidad del bloque sobre cumplimiento normativo?","D","Las medidas preventivas para minimizar los peligros fisicos incluyen el uso de equipos de proteccion personal (EPP) adecuados como guantes, gafas y ropa de labora; la instalacion d","Un respuesta correcta debe cubrir los pasos necesarios para verificar la correcta clasificacion, que incluyen la revision de la HDS, chequeo de las etiquetas en los productos y com","Un 'riesgo quimico' se refiere a la posibilidad de que una sustancia quimica cause danio a la salud o al medio ambiente cuando se presenta en un entorno laboral.","La finalidad del bloque sobre cumplimiento normativo es proporcionar los lineamientos necesarios para que las organizaciones cumplan con las normativas legales y reglamentarias apl","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Crear normas internacionales para el etiquetado y la clasificacion de productos quimicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Con base en el material del curso Clasificacion de Peligros segun el SGA/GHS y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Cual es el proposito principal del Sistema Globalmente Armonizado (SGA)?","B","Facilitar la comercializacion de productos quimicos entre paises sin regulaciones.","Crear normas internacionales para el etiquetado y la clasificacion de productos quimicos.","Aumentar la produccion de productos quimicos en paises en desarrollo.","Reducir los costos de produccion en industrias quimicas.","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La Directiva 67/548/EEC de la Union Europea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Tomando en cuenta lo estudiado en el curso Clasificacion de Peligros segun el SGA/GHS sobre este tema especifico y las buenas practicas descritas en el material, responde: Que documento sirvio como base legal para el desarrollo del SGA a nivel internacional?","D","El Acuerdo de Paris.","El Protocolo de Kyoto.","El Tratado de Libre Comercio de America del Norte.","La Directiva 67/548/EEC de la Union Europea.","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capacitar al personal sobre la clasificacion y el etiquetado de quimicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","De acuerdo con los fundamentos presentados en el curso Clasificacion de Peligros segun el SGA/GHS, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que elemento es crucial para la implementacion efectiva del SGA en las empresas?","A","Capacitar al personal sobre la clasificacion y el etiquetado de quimicos.","Reducir el uso de insumos quimicos en el proceso productivo.","Tener un software especializado en gestion de inventarios.","Instalar sistemas automatizados de control de calidad.","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: El SGA contribuye a la gestion de riesgos al proporcionar un sistema claro y coherente para clasificar y etiquetar productos quimicos, lo que permite a las empresas y trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","Considerando el enfoque metodologico del curso Clasificacion de Peligros segun el SGA/GHS y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Explique como el SGA contribuye a la gestion de riesgos en el uso de productos quimicos.","C","La identificacion de un equipo de emergencias entrenado, el establecimiento de un procedimiento claro de evacuacion y atencion medica, la disponibilidad de equipo de proteccion per","Una correcta respuesta debe abordar las implicaciones de la gestion inadecuada que pueden incluir accidentes laborales, contaminacion ambiental, pone en riesgo la salud publica y sanciones legales.","El SGA contribuye a la gestion de riesgos al proporcionar un sistema claro y coherente para clasificar y etiquetar productos quimicos, lo que permite a las empresas y trabajadores","La importancia de un programa de capacitacion sobre seguridad quimica en el trabajo radica en su capacidad para informar a los empleados sobre los riesgos asociados con la manipula","","","","","",""
"multiplechoice","CPS","C2 Peligros Fisicos del SGA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una situacion que puede causar danio inmediato en presencia de un agente nocivo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPS.","1","En el marco del curso Clasificacion de Peligros segun el SGA/GHS, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de las siguientes afirmaciones define mejor el concepto de 'peligro' en el contexto de la seguridad quimica?","C","Los efectos a largo plazo de la exposicion a productos quimicos.","Un procedimiento para controlar la exposicion a sustancias toxicas.","Una situacion que puede causar danio inmediato en presencia de un agente nocivo.","La probabilidad de que una sustancia quimica cause un danio a la salud.","","","","","",""
