"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ANDAM","S1 Normativa y Tipos de Andamios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite alinear el diseno y desempeno de los andamios con estandares europeos reconocidos internacionalmente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material describe las normas europeas EN 12810 y EN 12811 como referencia de diseno. Que ventaja aporta conocer estas normas al trabajar con andamios en un contexto internacional?","A","Permite alinear el diseno y desempeno de los andamios con estandares europeos reconocidos internacionalmente","Permite prescindir de cualquier inspeccion del andamio","Permite reducir el salario del personal de montaje","Permite ignorar las normas OSHA en cualquier obra","","","","","",""
"multiplechoice","ANDAM","S2 Cargas y Factor de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La carga concentrada actua de forma localizada en un punto, mientras la distribuida se reparte sobre la superficie.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material distingue entre carga concentrada y carga distribuida. En que se diferencia una carga concentrada de una carga que se reparte por la plataforma del andamio?","C","La carga concentrada solo existe cuando hay viento sobre el andamio","La carga concentrada es siempre menor que cualquier carga distribuida","La carga concentrada actua de forma localizada en un punto, mientras la distribuida se reparte sobre la superficie","La carga concentrada no afecta la estructura del andamio","","","","","",""
"multiplechoice","ANDAM","S3 Roles Persona Competente Calificada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque asigna responsabilidades especificas y asegura que cada tarea la realice quien tiene la competencia adecuada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material del curso, por que la definicion clara de roles como competente, calificada, erector y usuario mejora la seguridad de los andamios?","B","Porque reduce el numero de trabajadores necesarios en obra","Porque asigna responsabilidades especificas y asegura que cada tarea la realice quien tiene la competencia adecuada","Porque define el color de la senalizacion de cada rol","Porque establece el salario de todo el personal de la obra","","","","","",""
"multiplechoice","ANDAM","S4 Proteccion contra Caidas y Planking","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque cubre el espacio entre el pasamanos superior y la plataforma, reduciendo el riesgo de caida por ese hueco.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material, por que la barra intermedia (mid rail) complementa al pasamanos superior en la proteccion contra caidas de un andamio?","D","Porque eleva la altura total de la barandilla del andamio","Porque sustituye al rodapie en la base de la plataforma","Porque sirve de acceso para subir a la plataforma","Porque cubre el espacio entre el pasamanos superior y la plataforma, reduciendo el riesgo de caida por ese hueco","","","","","",""
"multiplechoice","ANDAM","S5 Inspeccion Ereccion y Desmontaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite detectar danos o cambios en el estado del andamio antes de que el personal lo utilice.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material del curso, por que la frecuencia de inspeccion antes de cada turno es un fundamento de la seguridad en el uso de los andamios?","A","Porque permite detectar danos o cambios en el estado del andamio antes de que el personal lo utilice","Porque define el color de la senalizacion del andamio","Porque establece el salario del personal de inspeccion","Porque reduce el numero de trabajadores por turno","","","","","",""
"multiplechoice","ANDAM","S1 Normativa y Tipos de Andamios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque cada tipo responde a condiciones y cargas diferentes, y la eleccion adecuada mejora la seguridad del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material, por que resulta importante clasificar y comparar los tipos de andamios antes de seleccionar uno para una aplicacion industrial concreta?","C","Porque todos los tipos de andamio son equivalentes en seguridad","Porque la eleccion depende solo del color del andamio disponible","Porque cada tipo responde a condiciones y cargas diferentes, y la eleccion adecuada mejora la seguridad del trabajo","Porque la comparacion define el salario del personal usuario","","","","","",""
"multiplechoice","ANDAM","S2 Cargas y Factor de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque expresan cuantas veces la capacidad supera la carga prevista, aportando un margen de seguridad frente a la falla.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material, por que se utilizan indices como el factor 4:1 al evaluar la capacidad de carga de un andamio dentro del programa de seguridad?","B","Porque definen el numero de andamios permitidos en la obra","Porque expresan cuantas veces la capacidad supera la carga prevista, aportando un margen de seguridad frente a la falla","Porque establecen el color de la senalizacion del andamio","Porque determinan el salario del personal de inspeccion","","","","","",""
"multiplechoice","ANDAM","S3 Roles Persona Competente Calificada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantiza que quien monta, usa, inspecciona o disena el andamio posea la competencia requerida para su tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material describe las competencias por rol dentro de la seguridad de andamios. Que aporta definir las competencias asociadas a cada rol del ciclo del andamio?","D","Garantiza que todos los roles reciban el mismo salario","Define el color que identificara a cada rol en la obra","Establece el horario de trabajo comun a todos los roles","Garantiza que quien monta, usa, inspecciona o disena el andamio posea la competencia requerida para su tarea","","","","","",""
"multiplechoice","ANDAM","S4 Proteccion contra Caidas y Planking","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para asegurar un apoyo estable y evitar que la tabla se desplace o bascule sobre el soporte.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material relaciona el planking con la seguridad de la superficie de trabajo. Por que el entablado debe extenderse mas alla del soporte segun la norma citada en el curso?","A","Para asegurar un apoyo estable y evitar que la tabla se desplace o bascule sobre el soporte","Para reducir el peso total del andamio en la obra","Para dejar un espacio de ventilacion bajo la plataforma","Para definir el color de la superficie de trabajo","","","","","",""
"multiplechoice","ANDAM","S5 Inspeccion Ereccion y Desmontaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las condiciones de uso seguro del andamio, como accesos, protecciones y superficie, complementando la revision estructural.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material describe un checklist operativo de inspeccion. Que verifica el checklist operativo frente al checklist estructural del andamio segun el curso?","C","Unicamente el color de la senalizacion del andamio","El salario y la asistencia del personal de la obra","Las condiciones de uso seguro del andamio, como accesos, protecciones y superficie, complementando la revision estructural","El presupuesto disponible para el mantenimiento","","","","","",""
"multiplechoice","ANDAM","S1 Normativa y Tipos de Andamios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que los requisitos normativos responden a los usos reales y a los riesgos propios de cada aplicacion del andamio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material relaciona el panorama normativo con las aplicaciones industriales de los andamios. Que busca demostrar esta relacion dentro de la primera sesion del programa?","B","Que las normas se aplican solo a las oficinas administrativas","Que los requisitos normativos responden a los usos reales y a los riesgos propios de cada aplicacion del andamio","Que las aplicaciones industriales no requieren ninguna norma","Que la normativa define el precio de venta de los andamios","","","","","",""
"multiplechoice","ANDAM","S2 Cargas y Factor de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el peso propio de la estructura actua de forma permanente y reduce la capacidad disponible para la carga viva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material incluye la carga muerta dentro de las cargas permanentes del andamio. Por que la carga muerta debe considerarse siempre en el calculo de la capacidad del andamio?","D","Porque la carga muerta desaparece cuando el andamio esta en uso","Porque la carga muerta solo aparece durante el desmontaje","Porque la carga muerta no influye en la capacidad del andamio","Porque el peso propio de la estructura actua de forma permanente y reduce la capacidad disponible para la carga viva","","","","","",""
"multiplechoice","ANDAM","S3 Roles Persona Competente Calificada","Yes","¡Correcto! Segun el material del curso, lo correcto es: El usuario se capacita para usar el andamio de forma segura, mientras la persona calificada domina su diseno y calculo estructural.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material, que diferencia la capacitacion del usuario autorizado de la formacion tecnica de la persona calificada en la seguridad de andamios?","A","El usuario se capacita para usar el andamio de forma segura, mientras la persona calificada domina su diseno y calculo estructural","El usuario disena el andamio y la persona calificada solo lo usa","Ambos reciben identica formacion tecnica sin ninguna diferencia","El usuario no requiere ninguna capacitacion para usar el andamio","","","","","",""
"multiplechoice","ANDAM","S4 Proteccion contra Caidas y Planking","Yes","¡Correcto! Segun el material del curso, lo correcto es: El riesgo de que personas u objetos caigan a traves de las aberturas de la plataforma.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material del curso, que riesgo se genera cuando se dejan huecos mayores al limite permitido en la superficie de trabajo de un andamio?","C","El riesgo de que el andamio cambie de color con el uso","El riesgo de aumentar el salario del personal de montaje","El riesgo de que personas u objetos caigan a traves de las aberturas de la plataforma","El riesgo de reducir el peso propio de la estructura","","","","","",""
"multiplechoice","ANDAM","S5 Inspeccion Ereccion y Desmontaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque una base inestable puede provocar el colapso del andamio y comprometer la seguridad de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material, por que la base y la estabilidad son puntos criticos dentro del checklist de inspeccion estructural de un andamio en obra?","B","Porque la base determina el color de la estructura","Porque una base inestable puede provocar el colapso del andamio y comprometer la seguridad de los trabajadores","Porque la base define el salario del personal usuario","Porque la base establece el horario de uso del andamio","","","","","",""
"multiplechoice","ANDAM","S1 Normativa y Tipos de Andamios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que la estructura sea capaz de soportar de forma segura las cargas previstas durante su uso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material del curso, que caracteristica del diseno del andamio busca garantizar la norma OSHA 29 CFR 1926.451 en las estructuras utilizadas en obra?","D","Que la estructura tenga el color reglamentario de la empresa","Que la estructura se monte en el menor tiempo posible","Que la estructura reduzca el salario del personal erector","Que la estructura sea capaz de soportar de forma segura las cargas previstas durante su uso","","","","","",""
"multiplechoice","ANDAM","S2 Cargas y Factor de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La categoria indica la capacidad del andamio, permitiendo elegir uno acorde al peso y uso previstos en la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material del curso, que relacion existe entre las categorias de capacidad de un andamio y la seleccion del equipo adecuado para una tarea de altura?","A","La categoria indica la capacidad del andamio, permitiendo elegir uno acorde al peso y uso previstos en la tarea","La categoria define el color obligatorio del andamio en la obra","La categoria establece el salario del personal que lo utiliza","La categoria fija el horario de uso permitido del andamio","","","","","",""
"multiplechoice","ANDAM","S3 Roles Persona Competente Calificada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Adoptar medidas correctivas para eliminar o controlar el peligro identificado en el andamio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material senala que la persona competente puede detener condiciones inseguras. Que accion se espera de ella al identificar un peligro previsible en el andamio?","C","Ignorar el peligro y continuar el trabajo hasta el fin del turno","Trasladar la decision al area contable de la empresa","Adoptar medidas correctivas para eliminar o controlar el peligro identificado en el andamio","Esperar a la proxima inspeccion programada sin actuar","","","","","",""
"multiplechoice","ANDAM","S4 Proteccion contra Caidas y Planking","Yes","¡Correcto! Segun el material del curso, lo correcto es: Protege simultaneamente a todas las personas presentes en la plataforma sin depender de la accion de cada una.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material presenta la barandilla como proteccion colectiva. Que ventaja ofrece una proteccion colectiva como la barandilla frente a una proteccion individual del trabajador?","B","Protege solo al trabajador que la instala en el andamio","Protege simultaneamente a todas las personas presentes en la plataforma sin depender de la accion de cada una","Reemplaza la necesidad de cubrir los huecos de la plataforma","Define el color reglamentario del perimetro del andamio","","","","","",""
"multiplechoice","ANDAM","S5 Inspeccion Ereccion y Desmontaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite anticipar riesgos, definir la secuencia de montaje y asegurar el anclaje y la estabilidad del andamio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material relaciona la planificacion con el procedimiento de ereccion del andamio. Que aporta planificar la ereccion antes de iniciar el montaje segun el curso?","D","Permite definir el color de la senalizacion del andamio","Permite reducir el salario del personal de montaje","Permite prescindir de la inspeccion posterior del andamio","Permite anticipar riesgos, definir la secuencia de montaje y asegurar el anclaje y la estabilidad del andamio","","","","","",""
"multiplechoice","ANDAM","S1 Normativa y Tipos de Andamios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque los proyectos pueden regirse por distintos marcos y conocerlos permite aplicar los requisitos correctos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material presenta un panorama normativo que integra referencias de Estados Unidos y Europa. Por que un profesional de seguridad debe conocer ambas familias de normas de andamios?","A","Porque los proyectos pueden regirse por distintos marcos y conocerlos permite aplicar los requisitos correctos","Porque las normas europeas anulan por completo a las de OSHA","Porque conocer mas normas incrementa el salario del profesional","Porque las normas definen el color de los andamios de cada pais","","","","","",""
"multiplechoice","ANDAM","S2 Cargas y Factor de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La superficie expuesta del andamio, ya que a mayor superficie mayor es la fuerza que ejerce el viento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material describe la carga de viento como una fuerza a considerar. Que factor incrementa el efecto de la carga de viento sobre un andamio segun el curso?","C","El color con que se pinta la estructura del andamio","El salario del personal que monta el andamio en obra","La superficie expuesta del andamio, ya que a mayor superficie mayor es la fuerza que ejerce el viento","El horario de la jornada laboral de los trabajadores","","","","","",""
"multiplechoice","ANDAM","S3 Roles Persona Competente Calificada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el diseno y las modificaciones estructurales del andamio exigen un conocimiento tecnico demostrable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material del curso, por que la persona calificada requiere grado, certificado o conocimiento extensivo ademas de experiencia para su rol en andamios?","B","Porque el rol solo consiste en transportar componentes del andamio","Porque el diseno y las modificaciones estructurales del andamio exigen un conocimiento tecnico demostrable","Porque el rol se limita a firmar documentos sin analisis tecnico","Porque el rol depende unicamente de la antiguedad en la empresa","","","","","",""
"multiplechoice","ANDAM","S4 Proteccion contra Caidas y Planking","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque bloquea el borde de la plataforma e impide que herramientas y materiales caigan hacia los niveles inferiores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material, por que el rodapie constituye una medida de proteccion frente a la caida de objetos en un andamio con trabajadores en niveles inferiores?","D","Porque eleva la altura del pasamanos superior del andamio","Porque sustituye por completo el uso de la barandilla","Porque define el color del perimetro de la plataforma","Porque bloquea el borde de la plataforma e impide que herramientas y materiales caigan hacia los niveles inferiores","","","","","",""
"multiplechoice","ANDAM","S5 Inspeccion Ereccion y Desmontaje","Yes","¡Correcto! Segun el material del curso, lo correcto es: La presencia de condiciones que comprometen la integridad o estabilidad del andamio hasta su correccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material del curso, que criterio determina la no autorizacion de un andamio tras una inspeccion que revela deficiencias en su estructura?","A","La presencia de condiciones que comprometen la integridad o estabilidad del andamio hasta su correccion","La ausencia de senalizacion de color en el perimetro","El horario en que se realizo la inspeccion del andamio","El salario del personal que ejecuto la inspeccion","","","","","",""
"multiplechoice","ANDAM","S1 Normativa y Tipos de Andamios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Consolida el marco normativo y las tipologias para fundamentar los contenidos tecnicos posteriores del curso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material, que aporta la sesion integrada sobre normativa y tipos de andamios al inicio del programa de seguridad en andamios?","C","Define el salario que recibiran los participantes del programa","Establece el horario de las inspecciones de la obra","Consolida el marco normativo y las tipologias para fundamentar los contenidos tecnicos posteriores del curso","Reemplaza la parte tecnica del curso por una lista de normas","","","","","",""
"multiplechoice","ANDAM","S2 Cargas y Factor de Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporciona un margen que absorbe variaciones e imprevistos, evitando que el andamio trabaje al limite de su capacidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","Segun el material, como contribuye el factor de seguridad a la fiabilidad de un andamio frente a las incertidumbres de las cargas reales durante su uso?","B","Elimina por completo la necesidad de calcular las cargas","Proporciona un margen que absorbe variaciones e imprevistos, evitando que el andamio trabaje al limite de su capacidad","Permite cargar el andamio hasta el doble de su capacidad","Reduce el peso propio de los componentes del andamio","","","","","",""
"multiplechoice","ANDAM","S3 Roles Persona Competente Calificada","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que el personal reconozca los peligros y aplique procedimientos seguros al montar, usar o inspeccionar el andamio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ANDAM.","1","El material relaciona la capacitacion obligatoria con la prevencion de accidentes en andamios. Que busca esta capacitacion en el personal que interviene con andamios?","D","Que el personal memorice el color de cada tipo de andamio","Que el personal reduzca el tiempo de montaje sin considerar riesgos","Que el personal defina el salario segun su rol en la obra","Que el personal reconozca los peligros y aplique procedimientos seguros al montar, usar o inspeccionar el andamio","","","","","",""
