"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PTW","S1 Fundamentos y Tipos de PTW","Yes","¡Correcto! Segun el material del curso, lo correcto es: El potencial de caidas desde elevacion que pueden causar lesiones graves o fatales al personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","El material describe el trabajo en altura como una actividad de alto riesgo que suele requerir permiso. Que caracteristica justifica este requisito de control formal?","A","El potencial de caidas desde elevacion que pueden causar lesiones graves o fatales al personal","El costo elevado del equipo de andamios utilizado en la tarea","La necesidad de coordinar horarios con el area administrativa","La dificultad para transportar herramientas hasta el sitio de trabajo","","","","","",""
"multiplechoice","PTW","S2 Analisis de Riesgos y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que reduzca o elimine el riesgo de forma coherente con el peligro especifico identificado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","En el marco del analisis de riesgos, que caracteristica define a un control eficaz frente a un peligro identificado en la tarea de trabajo?","C","Que resulte el mas economico independientemente del peligro","Que sea el mismo para todas las tareas sin distincion alguna","Que reduzca o elimine el riesgo de forma coherente con el peligro especifico identificado","Que dependa unicamente de la experiencia informal del ejecutante","","","","","",""
"multiplechoice","PTW","S3 Roles y Autorizacion en PTW","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque garantiza que cada permiso pase por las validaciones tecnicas y formales antes de su ejecucion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","En la aplicacion en planta de los roles del PTW, por que el material insiste en respetar la jerarquia de autorizacion definida?","B","Porque permite iniciar el trabajo sin ninguna aprobacion previa","Porque garantiza que cada permiso pase por las validaciones tecnicas y formales antes de su ejecucion","Porque reduce el numero de personas capacitadas necesarias","Porque traslada toda la responsabilidad al trabajador ejecutante","","","","","",""
"multiplechoice","PTW","S4 Simultaneidad y Coordinacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las condiciones y alcances especificos que acotan el trabajo permitido bajo un permiso determinado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","El material define limites por tarea dentro de la vigencia del permiso. Que representan estos limites en la ejecucion del trabajo autorizado?","D","El presupuesto maximo asignado a cada trabajador del turno","La cantidad de permisos que puede emitir la planta por dia","El numero de auditorias programadas para el ano en curso","Las condiciones y alcances especificos que acotan el trabajo permitido bajo un permiso determinado","","","","","",""
"multiplechoice","PTW","S5 Cierre Auditoria y Cambios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es una revision permanente que verifica el cumplimiento del sistema de forma sostenida en el tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","El material aborda la auditoria del sistema PTW. Que caracteriza a la auditoria continua frente a otras modalidades de revision del sistema?","A","Es una revision permanente que verifica el cumplimiento del sistema de forma sostenida en el tiempo","Es una revision unica que se realiza solo al inicio del ano","Es una revision que ejecuta directamente los trabajos peligrosos","Es una revision que emite los permisos en lugar del emisor","","","","","",""
"multiplechoice","PTW","S1 Fundamentos y Tipos de PTW","Yes","¡Correcto! Segun el material del curso, lo correcto es: La transicion de permisos informales o ausentes hacia sistemas formales documentados y trazables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","En relacion con la evolucion del PTW, que cambio fundamental impulso el analisis de accidentes mayores en la industria de procesos segun el curso?","C","La eliminacion completa de la supervision humana en campo","El reemplazo de todos los procedimientos por inspecciones anuales","La transicion de permisos informales o ausentes hacia sistemas formales documentados y trazables","La reduccion del numero de permisos exigidos por instalacion","","","","","",""
"multiplechoice","PTW","S2 Analisis de Riesgos y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite alertar cambios de condicion y coordinar acciones entre quienes participan en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","Segun el material, por que la comunicacion es un componente esencial durante la vigilancia del trabajo amparado por un permiso?","B","Porque sustituye la necesidad de cerrar formalmente el permiso","Porque permite alertar cambios de condicion y coordinar acciones entre quienes participan en el trabajo","Porque reduce la cantidad de controles requeridos para la tarea","Porque elimina la participacion del supervisor HSE en campo","","","","","",""
"multiplechoice","PTW","S3 Roles y Autorizacion en PTW","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los requisitos y controles especificos que deben cumplirse para que el trabajo pueda ejecutarse de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","El material describe al autorizador como quien otorga la aprobacion formal con condiciones. Que representan esas condiciones asociadas a la autorizacion del permiso?","D","Las sanciones economicas aplicables al trabajador que incumpla","El horario administrativo de atencion de la oficina de permisos","El orden alfabetico en que se archivaran los permisos emitidos","Los requisitos y controles especificos que deben cumplirse para que el trabajo pueda ejecutarse de forma segura","","","","","",""
"multiplechoice","PTW","S4 Simultaneidad y Coordinacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El control operacional debe estar informado de los permisos activos para mantener la seguridad del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","Segun el material, como se relaciona la gestion de permisos con el control operacional de la instalacion durante trabajos simultaneos?","A","El control operacional debe estar informado de los permisos activos para mantener la seguridad del proceso","El control operacional ignora los permisos activos de la planta","El control operacional emite los permisos sin evaluar el proceso","El control operacional solo interviene despues de cerrar el permiso","","","","","",""
"multiplechoice","PTW","S5 Cierre Auditoria y Cambios","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar en campo, mediante muestras, que los permisos se cumplen conforme a lo establecido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PTW.","1","Segun el material, que busca la auditoria muestral en sitio dentro de la evaluacion del sistema de permisos de trabajo?","C","Auditar la totalidad de los permisos sin excepcion en cada turno","Sustituir la verificacion en sitio del cierre de permisos","Verificar en campo, mediante muestras, que los permisos se cumplen conforme a lo establecido","Definir el salario de los auditores del sistema PTW","","","","","",""
