"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! Las BPM constituyen la base de prerrequisitos higienicos sobre la que se construye un sistema HACCP eficaz.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","Las BPM funcionan como prerrequisito de sistemas de inocuidad mas avanzados. Que papel cumplen las BPM respecto de sistemas como el HACCP dentro de una planta?","C","Sustituyen por completo al HACCP","Son incompatibles con el HACCP","Constituyen la base de prerrequisitos sobre la que se construye el HACCP","Solo aplican despues de implementar el HACCP","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! La proteccion al consumidor busca evitar las enfermedades transmitidas por alimentos inseguros, fin central de las BPM.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","El proposito de proteger al consumidor es uno de los fines centrales de las BPM. Que busca evitar concretamente esta proteccion al consumidor?","D","El aumento del precio de los alimentos","La reduccion de la produccion de la planta","El cambio de color de los envases","Las enfermedades transmitidas por alimentos inseguros","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! El primer GMP surgio en respuesta a brotes de botulismo en alimentos enlatados y otros incidentes de inocuidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","El primer GMP surgio como respuesta reguladora a episodios concretos de intoxicacion alimentaria. Que tipo de incidente motivo principalmente la publicacion de esas primeras normas en Estados Unidos?","A","Brotes de botulismo en alimentos enlatados","Fraudes en el etiquetado de bebidas","Errores en el precio de venta de conservas","Fallos en el color de los envases metalicos","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! Entre los diez elementos esenciales figuran, ademas de las instalaciones, los equipos y utensilios con diseno higienico adecuado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","Los diez elementos esenciales de las BPM abarcan distintos focos de la produccion higienica. Ademas de las instalaciones, que otro elemento figura entre esos componentes esenciales?","B","El precio de venta al publico del producto","Los equipos y utensilios con diseno adecuado","La estrategia de marketing de la marca","El horario comercial del establecimiento","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! Las BPM integran su origen historico, su base normativa internacional y su proposito sanitario como practicas higienicas minimas para producir alimentos inocuos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","El marco de las BPM combina un origen historico, una base internacional y un proposito sanitario. Que idea integra estos tres aspectos en la definicion de las BPM?","C","Que las BPM son un requisito meramente comercial","Que las BPM solo aplican a grandes empresas","Que las BPM son practicas higienicas minimas con respaldo normativo destinadas a producir alimentos inocuos","Que las BPM sustituyen la necesidad de limpieza","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! Cumplir las BPM persigue, ademas de proteger la salud del consumidor, satisfacer la ley y proteger a la propia organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","El cumplimiento de las BPM tiene una dimension legal ademas de la sanitaria. Que consecuencia adicional persigue cumplir con las BPM mas alla de proteger la salud del consumidor?","D","Aumentar el color de los productos terminados","Reducir el numero de auditorias sin justificacion","Eliminar la necesidad de registros documentales","Cumplir la ley protegiendo tambien a la organizacion","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! La sigla GMP significa Good Manufacturing Practice, equivalente en ingles a las Buenas Practicas de Manufactura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","La sigla GMP se emplea internacionalmente para referirse a las Buenas Practicas de Manufactura. Que significa esta sigla en su idioma original?","A","Good Manufacturing Practice, es decir buena practica de manufactura","General Management Protocol, protocolo general de gestion","Global Market Policy, politica de mercado global","Guided Maintenance Plan, plan de mantenimiento guiado","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! El Codex Alimentarius es una referencia internacional que armoniza los principios de higiene alimentaria adoptados por las BPM.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","El Codex Alimentarius es administrado por organismos de Naciones Unidas dedicados a la salud y la alimentacion. Que caracteristica tiene el Codex como referencia normativa de las BPM?","B","Es una norma local de un unico pais latinoamericano","Es una referencia internacional que armoniza principios de higiene alimentaria","Es un catalogo comercial de equipos de planta","Es un documento sin relacion con la inocuidad","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! Las BPM tienen caracter obligatorio como base higienica exigida por la normativa alimentaria en la mayoria de los marcos regulatorios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","Las BPM se consideran obligatorias en la mayoria de marcos regulatorios de la industria alimentaria. Que caracter tienen las BPM dentro del cumplimiento legal de una planta de alimentos?","C","Un caracter opcional segun la preferencia del gerente","Un caracter unicamente promocional","Un caracter obligatorio como base higienica exigida por la normativa","Un caracter aplicable solo a la exportacion","","","","","",""
"multiplechoice","BPM","P1 Origen y Marco de las BPM","Yes","¡Correcto! El enfoque preventivo de las BPM busca evitar la contaminacion mediante practicas higienicas aplicadas antes de que ocurra el dano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BPM.","1","El enfoque de las BPM es esencialmente preventivo dentro de la gestion de la inocuidad. Que refleja este enfoque preventivo respecto de los peligros alimentarios?","D","Que los peligros se atienden solo despues del incidente","Que los peligros se ignoran si el producto se vende rapido","Que la inocuidad depende unicamente del consumidor","Que se busca prevenir la contaminacion mediante practicas higienicas antes de que ocurra el dano","","","","","",""
