"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SFI","S1 Normas SIL PL y Ciclo de Vida","Yes","¡Correcto! Segun el material del curso, lo correcto es: La norma IEC 61511 orientada a procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso SFI presenta las normas aplicables a la seguridad funcional. De acuerdo con el material, la norma que se aplica principalmente a sistemas instrumentados de seguridad en la industria de procesos es:","A","La norma IEC 61511 orientada a procesos","La norma ISO 9001 de gestion de calidad","La norma ISO 14001 de gestion ambiental","La norma comercial de precios de productos","","","","","",""
"multiplechoice","SFI","S2 Metricas HFT SFF y Fallas CCF","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el tiempo medio hasta la falla peligrosa del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso define el parametro MTTFd en la evaluacion de un sistema de seguridad. De acuerdo con el material, el proposito principal del MTTFd consiste en:","C","Fijar el precio de venta del equipo","Medir la aceptacion publicitaria del producto","Evaluar el tiempo medio hasta la falla peligrosa del sistema","Calcular la meta comercial del periodo","","","","","",""
"multiplechoice","SFI","S3 Determinacion SIL con LOPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Risk Graph o grafico de riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso describe los metodos aceptados para determinar el nivel de integridad de seguridad requerido. De acuerdo con el material, entre esos metodos se incluye una herramienta grafica denominada:","B","Grafico de ventas trimestrales","Risk Graph o grafico de riesgo","Grafico de precios del mercado","Grafico de la campana publicitaria","","","","","",""
"multiplechoice","SFI","S4 Arquitecturas SIS y Calculo PFD","Yes","¡Correcto! Segun el material del curso, lo correcto es: M de N canales que deben cumplir la condicion para que el sistema actue.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso introduce la notacion MooN para describir las arquitecturas de los sistemas instrumentados de seguridad. De acuerdo con el material, esta notacion significa:","D","Mayor numero de ventas del periodo","Media de los precios del mercado","Meta operativa de la campana publicitaria","M de N canales que deben cumplir la condicion para que el sistema actue","","","","","",""
"multiplechoice","SFI","S5 Diseno Pruebas y Gestion SIS","Yes","¡Correcto! Segun el material del curso, lo correcto es: La velocidad de respuesta del sensor ante condiciones cambiantes del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso describe los factores relevantes al seleccionar un sensor para un sistema instrumentado de seguridad. De acuerdo con el material, un factor fundamental en esa seleccion es:","A","La velocidad de respuesta del sensor ante condiciones cambiantes del proceso","El precio de compra mas bajo del sensor","El impacto publicitario del sensor","La meta de ventas del sensor","","","","","",""
"multiplechoice","SFI","S1 Normas SIL PL y Ciclo de Vida","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una norma generica para sistemas electricos electronicos y programables relacionados con la seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso describe el alcance de la norma IEC 61508 dentro del marco de la seguridad funcional. De acuerdo con el material, esta norma se caracteriza por ser:","C","Una norma exclusiva para la publicidad industrial","Un reglamento de fijacion de precios","Una norma generica para sistemas electricos electronicos y programables relacionados con la seguridad","Un codigo de mercadeo de productos","","","","","",""
"multiplechoice","SFI","S2 Metricas HFT SFF y Fallas CCF","Yes","¡Correcto! Segun el material del curso, lo correcto es: La mayoria de las fallas del sistema son fallas seguras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso explica la fraccion de fallas seguras conocida como SFF en un sistema de seguridad. De acuerdo con el material, un SFF alto significa que:","B","El precio del sistema es mas competitivo","La mayoria de las fallas del sistema son fallas seguras","La publicidad del sistema es mas efectiva","Las ventas del sistema aumentan","","","","","",""
"multiplechoice","SFI","S3 Determinacion SIL con LOPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Clasificar las situaciones de riesgo y determinar el nivel de SIL adecuado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso explica el uso del Risk Graph en la evaluacion de riesgos de seguridad funcional. De acuerdo con el material, esta herramienta se utiliza para:","D","Fijar el precio de venta del producto","Disenar la campana de mercadeo","Establecer las metas comerciales del ano","Clasificar las situaciones de riesgo y determinar el nivel de SIL adecuado","","","","","",""
"multiplechoice","SFI","S4 Arquitecturas SIS y Calculo PFD","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aplicaciones no criticas y simples con un nivel de integridad menor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso compara distintas arquitecturas de sistemas instrumentados de seguridad. De acuerdo con el material, la arquitectura de un solo canal, conocida como uno de uno, se asocia tipicamente con:","A","Aplicaciones no criticas y simples con un nivel de integridad menor","El precio mas alto del mercado","La mayor inversion en publicidad","La meta comercial mas ambiciosa","","","","","",""
"multiplechoice","SFI","S5 Diseno Pruebas y Gestion SIS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Funciones de seguridad capaces de llevar el proceso a un estado seguro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso diferencia la logica de control de un sistema instrumentado de seguridad de la de un sistema de control basico de proceso. De acuerdo con el material, el sistema instrumentado de seguridad se enfoca en:","C","El control de las ventas del periodo","La difusion publicitaria del proceso","Funciones de seguridad capaces de llevar el proceso a un estado seguro","La fijacion de los precios de venta","","","","","",""
"multiplechoice","SFI","S1 Normas SIL PL y Ciclo de Vida","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los fabricantes de dispositivos y sistemas relacionados con la seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SFI.","1","El material del curso diferencia las audiencias primarias de las normas de seguridad funcional. De acuerdo con el material, la audiencia primaria de la norma IEC 61508 corresponde a:","B","Los responsables de publicidad de la empresa","Los fabricantes de dispositivos y sistemas relacionados con la seguridad","Los encargados de fijar los precios","Los gestores de la campana de mercadeo","","","","","",""
