"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SBC","S1 Fundamentos Conductuales y ABC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una conducta que puede ser medida y documentada de forma objetiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","Segun el material del curso, cual es la mejor definicion de conducta observable en el contexto de los fundamentos conductuales de la seguridad basada en el comportamiento que se aplica en la organizacion?","A","Una conducta que puede ser medida y documentada de forma objetiva","Sentimientos internos de la persona que no se pueden medir","Comportamientos impulsivos que no tienen ninguna consecuencia","Cualquier pensamiento que una persona tiene en su mente","","","","","",""
"multiplechoice","SBC","S2 Modelos DuPont Krause y Geller","Yes","¡Correcto! Segun el material del curso, lo correcto es: La prevencion de accidentes mediante la observacion del comportamiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","Segun el material del curso, cual es el principal enfoque del modelo DuPont STOP dentro de las metodologias de la seguridad basada en el comportamiento aplicadas en la organizacion para prevenir accidentes?","C","El desarrollo de politicas de seguridad solo a nivel directivo","El cumplimiento normativo sin observar la conducta","La prevencion de accidentes mediante la observacion del comportamiento","La identificacion de peligros sin considerar la conducta","","","","","",""
"multiplechoice","SBC","S3 Conductas Criticas e IPERC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ignorar las normas de seguridad establecidas para la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","Segun el material del curso, cual de las siguientes conductas criticas puede aumentar de forma significativa el riesgo de accidente dentro del enfoque de la seguridad basada en el comportamiento de la organizacion?","B","Usar de forma adecuada el equipo de proteccion personal","Ignorar las normas de seguridad establecidas para la tarea","Mantener un ambiente de trabajo limpio y ordenado","Seguir los procedimientos establecidos con rigor","","","","","",""
"multiplechoice","SBC","S4 Observacion en Campo y CBT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un metodo de formacion que emplea herramientas tecnologicas para ensenar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","Segun el material del curso, que describe de manera mas precisa la capacitacion basada en tecnologia conocida como CBT dentro del enfoque de la seguridad basada en el comportamiento de la organizacion?","D","Un metodo que prescinde de cualquier herramienta tecnologica","Un sistema exclusivo para la gestion contable de la empresa","Una tecnica que elimina la formacion del personal","Un metodo de formacion que emplea herramientas tecnologicas para ensenar","","","","","",""
"multiplechoice","SBC","S5 Retroalimentacion y Observador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reforzar lo seguro y corregir a tiempo las conductas de riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","Segun el material del curso, cual es el proposito principal de la retroalimentacion inmediata en un entorno laboral dentro del enfoque de la seguridad basada en el comportamiento aplicado por la organizacion?","A","Reforzar lo seguro y corregir a tiempo las conductas de riesgo","Sancionar al trabajador sin analizar la conducta","Ignorar las conductas observadas durante la tarea","Eliminar la comunicacion sobre el comportamiento","","","","","",""
"multiplechoice","SBC","S1 Fundamentos Conductuales y ABC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque influyen en que un comportamiento se repita o se evite.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","De acuerdo con el material del curso, por que resultan importantes las consecuencias en la modificacion de la conducta dentro del enfoque de la seguridad basada en el comportamiento aplicado en la organizacion?","C","Porque carecen de relacion con la conducta del trabajador","Porque sustituyen la necesidad de observar la conducta","Porque influyen en que un comportamiento se repita o se evite","Porque eliminan la posibilidad de modificar el comportamiento","","","","","",""
"multiplechoice","SBC","S2 Modelos DuPont Krause y Geller","Yes","¡Correcto! Segun el material del curso, lo correcto es: Su enfoque en la cultura de seguridad como base del comportamiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","De acuerdo con el material del curso, que caracteriza al modelo de Krause en comparacion con los otros modelos de la seguridad basada en el comportamiento estudiados dentro del enfoque de la organizacion?","B","La normativa de seguridad industrial como unica medida","Su enfoque en la cultura de seguridad como base del comportamiento","El analisis de los incidentes solo despues de ocurridos","El enfasis exclusivo en el entrenamiento sin cultura","","","","","",""
"multiplechoice","SBC","S3 Conductas Criticas e IPERC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Vincular los peligros identificados con las conductas de riesgo asociadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","De acuerdo con el material del curso, que resulta esencial para establecer una relacion efectiva entre la IPERC y las conductas criticas dentro del enfoque conductual de la seguridad aplicado por la organizacion?","D","Ignorar los peligros identificados en la IPERC","Eliminar la observacion de las conductas del personal","Separar por completo los riesgos de las conductas","Vincular los peligros identificados con las conductas de riesgo asociadas","","","","","",""
"multiplechoice","SBC","S4 Observacion en Campo y CBT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite flexibilidad y acceso a la formacion segun la disponibilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","De acuerdo con el material del curso, cual es una de las principales ventajas del diseno de la capacitacion basada en tecnologia dentro del enfoque de la seguridad basada en el comportamiento de la organizacion?","A","Permite flexibilidad y acceso a la formacion segun la disponibilidad","Obliga a una unica jornada presencial sin flexibilidad","Elimina la posibilidad de evaluar el aprendizaje","Impide el acceso del personal a los contenidos","","","","","",""
"multiplechoice","SBC","S5 Retroalimentacion y Observador","Yes","¡Correcto! Segun el material del curso, lo correcto es: Puede fortalecer la moral cuando se entrega de forma respetuosa y constructiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","De acuerdo con el material del curso, como puede la retroalimentacion inmediata afectar la moral del equipo dentro del enfoque de la seguridad basada en el comportamiento aplicado por la organizacion en su entorno?","C","Siempre deteriora la moral sin importar como se entregue","No tiene ningun efecto sobre la moral del equipo","Puede fortalecer la moral cuando se entrega de forma respetuosa y constructiva","Reduce la moral cuando reconoce conductas seguras","","","","","",""
"multiplechoice","SBC","S1 Fundamentos Conductuales y ABC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reforzar de forma oportuna las conductas seguras deseadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","Segun el material del curso, que elemento resulta esencial para implementar un sistema de refuerzo eficaz dentro del enfoque conductual de la seguridad aplicado por la organizacion en su entorno de trabajo?","B","Ignorar por completo las conductas seguras del personal","Reforzar de forma oportuna las conductas seguras deseadas","Aplicar solo sanciones sin ningun refuerzo positivo","Eliminar la observacion de las conductas del trabajador","","","","","",""
"multiplechoice","SBC","S2 Modelos DuPont Krause y Geller","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las motivaciones y actitudes hacia la seguridad laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","Segun el material del curso, la teoria de Geller se centra en el desarrollo de ciertos aspectos del trabajador dentro del enfoque de la seguridad basada en el comportamiento aplicado por la organizacion.","D","La comunicacion informal entre los trabajadores","La vigilancia constante por parte de los supervisores","Las sanciones por el incumplimiento de las normas","Las motivaciones y actitudes hacia la seguridad laboral","","","","","",""
"multiplechoice","SBC","S3 Conductas Criticas e IPERC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque su uso correcto es una conducta segura frente a los peligros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SBC.","1","Segun el material del curso, por que resulta importante seleccionar adecuadamente el equipo de proteccion personal en relacion con las conductas criticas dentro del enfoque de la seguridad de la organizacion?","A","Porque su uso correcto es una conducta segura frente a los peligros","Porque el equipo carece de relacion con las conductas","Porque su uso aumenta el riesgo de la tarea","Porque sustituye la necesidad de observar la conducta","","","","","",""
