"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GRP","S1 Fundamentos Riesgo Psicosocial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar las fuentes de riesgo para definir medidas de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","Segun el material del curso, la evaluacion de los riesgos psicosociales considera factores organizativos, del contenido del trabajo y de las relaciones. Que busca lograr la organizacion con esta evaluacion integral?","A","Identificar las fuentes de riesgo para definir medidas de prevencion","Ignorar las fuentes de riesgo del trabajo","Concentrar el analisis solo en el ambiente fisico","Eliminar la necesidad de prevenir el riesgo","","","","","",""
"multiplechoice","GRP","S2 Marco Normativo ISO 45003 y MDT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Regular la prevencion y gestion del riesgo psicosocial en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","Segun el material del curso, cual es el objetivo principal del acuerdo del Ministerio del Trabajo relacionado con el riesgo psicosocial dentro del marco normativo del pais que considera la organizacion?","C","Establecer los precios de venta de los productos","Regular la publicidad de las organizaciones","Regular la prevencion y gestion del riesgo psicosocial en el trabajo","Gestionar la nomina del personal de las empresas","","","","","",""
"multiplechoice","GRP","S3 Modelos Karasek y Siegrist","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumenta la tension y el riesgo para la salud del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","Segun el material del curso, la dimension de control en el modelo de Karasek se refiere a la capacidad del trabajador de decidir sobre su tarea. Que efecto tiene un bajo control combinado con alta exigencia?","B","Reduce la tension del trabajador expuesto","Aumenta la tension y el riesgo para la salud del trabajador","Mejora el bienestar del trabajador de forma automatica","Elimina el riesgo psicosocial del puesto","","","","","",""
"multiplechoice","GRP","S4 Instrumentos CoPsoQ y Percentil","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que las empresas evaluen el riesgo psicosocial con un instrumento comun.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","Segun el material del curso, la obligatoriedad del uso del cuestionario del Ministerio del Trabajo en el pais busca estandarizar la evaluacion del riesgo psicosocial. Que garantiza esta obligatoriedad en la organizacion?","D","Que las empresas eviten evaluar el riesgo psicosocial","Que cada empresa use un instrumento distinto sin criterio","Que se elimine la evaluacion del riesgo psicosocial","Que las empresas evaluen el riesgo psicosocial con un instrumento comun","","","","","",""
"multiplechoice","GRP","S5 Intervencion Primaria y Secundaria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Redisenar la carga de trabajo o mejorar la autonomia del puesto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","Segun el material del curso, la intervencion primaria requiere modificar las condiciones organizativas que generan el riesgo. Que ejemplo corresponde a este tipo de intervencion dentro de la organizacion?","A","Redisenar la carga de trabajo o mejorar la autonomia del puesto","Capacitar al trabajador sin cambiar las condiciones","Atender el dano una vez que ya se produjo","Ignorar las condiciones organizativas del trabajo","","","","","",""
"multiplechoice","GRP","S1 Fundamentos Riesgo Psicosocial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Estres, ansiedad y otros efectos sobre la salud mental.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","De acuerdo con el material del curso, el bienestar psicologico del trabajador puede verse afectado por el riesgo psicosocial. Que consecuencia sobre la salud puede derivar de una exposicion sostenida a estos riesgos?","C","Una mejora del estado de salud del trabajador","La ausencia de cualquier efecto sobre la salud","Estres, ansiedad y otros efectos sobre la salud mental","Un fortalecimiento del bienestar sin intervencion","","","","","",""
"multiplechoice","GRP","S2 Marco Normativo ISO 45003 y MDT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cumplir los requisitos de evaluacion y gestion del riesgo psicosocial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","De acuerdo con el material del curso, que consideraciones deben tener en cuenta los profesionales de seguridad y salud segun la normativa del organismo de seguridad social del pais respecto al riesgo psicosocial?","B","Ignorar los requisitos del organismo de seguridad social","Cumplir los requisitos de evaluacion y gestion del riesgo psicosocial","Concentrarse solo en los riesgos fisicos del trabajo","Eliminar la evaluacion del riesgo psicosocial","","","","","",""
"multiplechoice","GRP","S3 Modelos Karasek y Siegrist","Yes","¡Correcto! Segun el material del curso, lo correcto es: Como el desequilibrio entre ambos afecta la salud del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","De acuerdo con el material del curso, el modelo de Siegrist se centra en la relacion entre el esfuerzo y la recompensa. Que busca comprender este modelo dentro del analisis del riesgo psicosocial de la organizacion?","D","Como el esfuerzo mejora siempre la salud","Como la recompensa aumenta la tension laboral","Como ignorar la recompensa protege al trabajador","Como el desequilibrio entre ambos afecta la salud del trabajador","","","","","",""
"multiplechoice","GRP","S4 Instrumentos CoPsoQ y Percentil","Yes","¡Correcto! Segun el material del curso, lo correcto es: Planificar, aplicar el cuestionario, analizar y definir acciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","De acuerdo con el material del curso, cuales son las etapas principales en la aplicacion del cuestionario del Ministerio del Trabajo dentro de la evaluacion del riesgo psicosocial que realiza la organizacion?","A","Planificar, aplicar el cuestionario, analizar y definir acciones","Aplicar el cuestionario sin ningun analisis posterior","Ignorar la planificacion de la evaluacion","Evitar la definicion de acciones tras la evaluacion","","","","","",""
"multiplechoice","GRP","S5 Intervencion Primaria y Secundaria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque indica que debe complementarse con la intervencion primaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GRP.","1","De acuerdo con el material del curso, la intervencion secundaria tiene un limite porque no elimina la fuente del riesgo. Por que resulta importante reconocer este limite dentro de la gestion de la organizacion?","C","Porque significa que la intervencion es innecesaria","Porque implica ignorar por completo el riesgo","Porque indica que debe complementarse con la intervencion primaria","Porque sustituye la necesidad de la intervencion primaria","","","","","",""
