"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PMP","S1 Programa Plan Minimo y Destinos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Orientar a los empleadores en la elaboracion del Plan Minimo de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","El programa sobre el Plan Minimo tiene un proposito central segun su sumilla. Cual es el principal proposito del programa que se menciona en la sumilla segun lo indicado en el material del curso?","A","Orientar a los empleadores en la elaboracion del Plan Minimo de prevencion","Sustituir las auditorias externas obligatorias del pais","Certificar el manejo exclusivo de maquinaria pesada","Reemplazar la contratacion de personal tecnico especializado","","","","","",""
"multiplechoice","PMP","S2 Resultados y Metodo E-Learning","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analizar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","Al formular resultados de aprendizaje se emplean verbos medibles adecuados. Cual de los siguientes verbos medibles se considera adecuado para formular resultados de aprendizaje segun el material del curso?","C","Comprender de forma general","Conocer sin demostrar","Analizar","Apreciar internamente","","","","","",""
"multiplechoice","PMP","S3 Elaboracion del Plan Minimo","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de riesgos del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","La elaboracion del Plan Minimo parte de la identificacion de peligros del trabajo. Que proceso se utiliza para identificar los riesgos en el trabajo segun lo indicado en el material del curso del Plan Minimo?","B","El calculo de las ventas mensuales","El analisis de riesgos del trabajo","La medicion de la satisfaccion del cliente","La revision del inventario comercial","","","","","",""
"multiplechoice","PMP","S4 Cronograma Registro y Caso","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detallando actividades con fechas y responsables claros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","El cronograma anual de prevencion organiza las actividades en el tiempo. Como se debe estructurar un cronograma anual de prevencion de riesgos segun lo indicado en el material del curso del Plan Minimo?","D","Sin fechas ni responsables definidos","Con actividades ajenas a la prevencion","Listando solo los productos de la empresa","Detallando actividades con fechas y responsables claros","","","","","",""
"multiplechoice","PMP","S5 Comite Politica y AT en SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar la comunicacion de riesgos y medidas preventivas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","El comite de seguridad y salud en el trabajo cumple una funcion en la empresa. Cual es la funcion principal de un comite de seguridad y salud en el trabajo segun lo indicado en el material del curso?","A","Facilitar la comunicacion de riesgos y medidas preventivas","Gestionar las ventas de la empresa","Administrar el presupuesto comercial","Disenar la publicidad del negocio","","","","","",""
"multiplechoice","PMP","S1 Programa Plan Minimo y Destinos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Empleadores y responsables de micro y pequenas empresas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","El curso define claramente a quienes esta dirigido su contenido formativo. Quienes son los principales destinatarios del programa sobre el Plan Minimo segun lo indicado en el material del curso?","C","Grandes corporaciones multinacionales unicamente","Estudiantes sin ninguna vinculacion laboral","Empleadores y responsables de micro y pequenas empresas","Auditores financieros de entidades bancarias","","","","","",""
"multiplechoice","PMP","S2 Resultados y Metodo E-Learning","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que sea especifico y medible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","Un resultado de aprendizaje bien definido cumple ciertas caracteristicas. Que aspecto es esencial asegurar al definir un resultado de aprendizaje segun lo indicado en el material del curso del Plan Minimo?","B","Que sea ambiguo y general","Que sea especifico y medible","Que no se pueda evaluar","Que oculte lo esperado del aprendiz","","","","","",""
"multiplechoice","PMP","S3 Elaboracion del Plan Minimo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los riesgos basicos asociados a las tareas del puesto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","El Plan Minimo debe reflejar los riesgos propios del puesto de trabajo. Que tipo de riesgos debe identificar el empleador al elaborar el Plan Minimo segun lo indicado en el material del curso?","D","Los riesgos financieros del mercado","Los riesgos de imagen publicitaria","Los riesgos de la competencia comercial","Los riesgos basicos asociados a las tareas del puesto","","","","","",""
"multiplechoice","PMP","S4 Cronograma Registro y Caso","Yes","¡Correcto! Segun el material del curso, lo correcto es: La tasa de accidentes laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","El seguimiento del Plan Minimo requiere medir su eficacia. Cual es un indicador clave que se debe monitorear regularmente para evaluar la eficacia de la prevencion segun el material del curso?","A","La tasa de accidentes laborales","El numero de clientes atendidos","El volumen de ventas mensuales","La cantidad de publicidad emitida","","","","","",""
"multiplechoice","PMP","S5 Comite Politica y AT en SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conocida y accesible a todos los empleados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","La politica de SST debe tener ciertas caracteristicas dentro de la empresa. Como debe ser la politica de SST segun lo indicado en el material del curso del Plan Minimo para el empleador?","C","Reservada solo para la gerencia","Oculta a los trabajadores de la empresa","Conocida y accesible a todos los empleados","Aplicable solo a los clientes externos","","","","","",""
"multiplechoice","PMP","S1 Programa Plan Minimo y Destinos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Normativa oficial vigente aplicable al Plan Minimo de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","El programa se sustenta en referencias que respaldan sus contenidos. Que tipo de referencias se citan en el documento para sustentar el programa segun lo indicado en el material del curso?","B","Catalogos comerciales de proveedores de insumos","Normativa oficial vigente aplicable al Plan Minimo de prevencion","Opiniones personales sin ningun respaldo tecnico","Noticias de actualidad general sin relacion con SST","","","","","",""
"multiplechoice","PMP","S2 Resultados y Metodo E-Learning","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permiten comprobar de forma concreta el logro del aprendizaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","Los verbos medibles cumplen una funcion al disenar objetivos formativos. Por que es importante utilizar verbos medibles al disenar resultados de aprendizaje segun el material del curso?","D","Porque alargan el enunciado sin aportar valor","Porque hacen ambiguo el resultado esperado","Porque impiden evaluar el desempeno del aprendiz","Porque permiten comprobar de forma concreta el logro del aprendizaje","","","","","",""
"multiplechoice","PMP","S3 Elaboracion del Plan Minimo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ser proporcionadas al riesgo identificado en el puesto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PMP.","1","Las medidas preventivas deben ser adecuadas a los riesgos identificados. Que caracteristica deben tener las medidas preventivas del Plan Minimo segun lo indicado en el material del curso del programa?","A","Ser proporcionadas al riesgo identificado en el puesto","Ser iguales para cualquier empresa sin distincion","Ser independientes de los riesgos reales","Ser definidas solo por un tercero externo","","","","","",""
