"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! Distinguir con precision estos conceptos ayuda a identificar que controlar primero y a decidir con criterios tecnicos en lugar de basarse en percepciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","Segun el material, por que es importante distinguir con precision conceptos como peligro, riesgo, incidente y severidad en la seguridad industrial de alto riesgo?","A","Porque ayuda a identificar que controlar primero y a tomar decisiones con criterios tecnicos en lugar de percepciones","Porque permite eliminar la necesidad de instrumentacion de seguridad","Porque reduce el numero de sistemas de control requeridos","Porque sustituye la evaluacion de riesgos por la intuicion","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! Un peligro es algo con potencial de causar dano, como energia, sustancia, condicion del proceso o tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","De acuerdo con el documento, como se define un peligro dentro del vocabulario tecnico de la seguridad industrial de acuerdo con lo expuesto en el contenido tecnico del curso?","B","Como la probabilidad de que un evento ocurra en el proceso","Como algo con potencial de causar dano, ya sea energia, sustancia, condicion del proceso o tarea","Como el contacto de las personas con una fuente de dano","Como el resultado ya materializado de un accidente","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! El riesgo combina que tan probable es que ocurra un evento y que tan grave seria el resultado si ocurre.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","Segun el material, que combina el concepto de riesgo en entornos industriales de alto riesgo conforme a lo desarrollado en el material de estudio de la unidad?","C","Solo la presencia de energia peligrosa en el proceso","Unicamente la exposicion de las personas al peligro","La probabilidad de que ocurra un evento y la gravedad del resultado si ocurre","El numero de capas de proteccion instaladas","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! La exposicion es el contacto o la presencia de personas o activos frente al peligro durante una actividad o condicion de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","Conforme al documento, que representa la exposicion dentro de las capas conceptuales de la seguridad industrial tal como se explica en el contenido teorico presentado en el curso?","D","La gravedad del dano potencial de un evento","La probabilidad de fallo de un sistema de control","El registro documentado de un incidente","El contacto o presencia de personas o activos frente al peligro durante una actividad","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! Cuando estos conceptos se mezclan, es facil tomar decisiones basadas en percepciones en lugar de criterios tecnicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","Segun el material, que ocurre cuando los conceptos de peligro, riesgo y exposicion se mezclan al tomar decisiones de seguridad?","A","Se tiende a decidir por percepciones en vez de criterios tecnicos","Se mejora la trazabilidad de los hallazgos","Se reduce automaticamente el riesgo del proceso","Se elimina la necesidad de documentar los peligros","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! Identificar peligros de forma sistematica significa recorrer el sistema de manera planificada, usando criterios y evidencias en lugar de depender solo de impresiones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","De acuerdo con el documento, que significa identificar peligros de forma sistematica en la gestion del riesgo segun la informacion tecnica desarrollada a lo largo del material?","B","Depender de las impresiones del personal mas experimentado","Recorrer el sistema de manera planificada usando criterios y evidencias en vez de solo impresiones","Analizar unicamente los equipos mas costosos","Registrar solo los peligros que ya causaron danos","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! Un barrido sistematico cubre tareas como operacion normal, arranque, paro, limpieza, mantenimiento y emergencias, ademas de equipos y proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","Segun el material, que alcance tipico cubre un barrido sistematico de identificacion de peligros en el entorno industrial de acuerdo con los conceptos presentados en el contenido de la unidad?","C","Solo la operacion normal del proceso","Unicamente las emergencias declaradas","Tareas de operacion, arranque, paro, limpieza, mantenimiento y emergencias, ademas de equipos y proceso","Exclusivamente los controles administrativos","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! La identificacion sistematica permite documentar los hallazgos con trazabilidad y priorizarlos de forma coherente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","Conforme al documento, por que la identificacion sistematica prepara el terreno para gestionar bien el riesgo de acuerdo con lo expuesto en el contenido tecnico del curso?","D","Porque elimina la necesidad de capas de proteccion","Porque reduce el numero de sistemas de control","Porque sustituye la severidad por la probabilidad","Porque permite que los hallazgos queden documentados con trazabilidad y puedan priorizarse coherentemente","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! El peligro como fuente potencial de dano incluye energia, sustancias, condiciones del proceso, fallas de equipo y practicas de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","Segun el material, que factores incluye el peligro entendido como fuente potencial de dano en el analisis de riesgos conforme a lo desarrollado en el material de estudio de la unidad?","A","Energia, sustancias, condiciones del proceso, fallas de equipo y practicas de trabajo","Solo la energia electrica almacenada","Unicamente las sustancias quimicas inflamables","Exclusivamente las fallas de los sistemas de control","","","","","",""
"multiplechoice","CPSIAC","C1 Fundamentos y Evaluacion de Riesgos","Yes","¡Correcto! En entornos de alto riesgo, el control considera ademas de la fuente de peligro la probabilidad, la severidad y la exposicion de las personas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso CPSIAC.","1","De acuerdo con el documento, por que en entornos de alto riesgo el control no se disena considerando el peligro de forma aislada?","B","Porque el peligro nunca genera consecuencias reales","Porque se deben considerar tambien la probabilidad, la severidad y la exposicion de las personas","Porque el control depende solo del presupuesto disponible","Porque la exposicion no influye en el diseno del control","","","","","",""
