"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! Criterios, pictogramas y etiquetas comunes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Segun el documento, mediante que elementos comunes comunica el GHS los peligros quimicos.","B","Precios y marcas","Criterios, pictogramas y etiquetas comunes","Horarios y turnos","Contratos y facturas","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! Por materias primas, proceso, envase o manejo incorrecto de quimicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","De acuerdo con el documento, por que rutas puede ingresar un peligro quimico al alimento.","C","Solo por el precio","Solo por la marca","Por materias primas, proceso, envase o manejo incorrecto de quimicos","Solo por el horario","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! Para guiar la dosificacion, el EPP y el almacenamiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Segun el material, para que se usan operativamente las SDS en planta.","D","Para fijar precios","Para elegir marcas","Para definir horarios","Para guiar la dosificacion, el EPP y el almacenamiento","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! En controles operativos de almacenamiento, manipulacion y uso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Conforme al contenido, en que se deben traducir los peligros quimicos identificados con HazCom.","B","En aumentos de precio","En controles operativos de almacenamiento, manipulacion y uso","En campanas publicitarias","En cambios de marca","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! Un enfoque preventivo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Conforme al documento, que enfoque de control se aplica a los peligros quimicos en alimentos.","B","Un enfoque publicitario","Un enfoque preventivo","Un enfoque de precios","Un enfoque de marca","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! Aterriza la informacion del peligro en decisiones operativas claras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","De acuerdo con el contenido, que caracteriza a la comunicacion de peligros dentro de la inocuidad.","C","Fija el precio del alimento","Define la marca comercial","Aterriza la informacion del peligro en decisiones operativas claras","Establece el horario de venta","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! Los contaminantes y residuos en el alimento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Segun el documento, que categoria de peligro quimico incluye los residuos de plaguicidas y medicamentos.","D","El aumento del precio","La marca del producto","El horario de proceso","Los contaminantes y residuos en el alimento","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! La dosificacion, el EPP y el almacenamiento adecuados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Conforme al material, que define la SDS respecto del uso seguro de una sustancia.","B","El precio de compra","La dosificacion, el EPP y el almacenamiento adecuados","La marca preferida","El horario de reparto","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! Convertirla en decisiones de almacenamiento, manipulacion y uso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Segun el material, que debe hacer la planta con la informacion de peligros para el saneamiento.","D","Ignorarla","Solo archivarla","Usarla para fijar precios","Convertirla en decisiones de almacenamiento, manipulacion y uso","","","","","",""
"multiplechoice","SQA","C1 HazCom GHS e Inocuidad","Yes","¡Correcto! El paso de componentes del envase al alimento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Conforme al contenido, que categoria de peligro quimico corresponde a la migracion de envases.","A","El paso de componentes del envase al alimento","El aumento del precio del envase","La marca del envase","El horario de envasado","","","","","",""
"multiplechoice","SQA","C2 Categorias NSF y Segregacion","Yes","¡Correcto! Para equipos sin posibilidad de contacto con alimentos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","De acuerdo con el contenido, para que se usa un lubricante NSF H2.","C","Para contacto directo con alimentos","Para agentes de liberacion","Para equipos sin posibilidad de contacto con alimentos","Para tratamiento de agua","","","","","",""
"multiplechoice","SQA","C2 Categorias NSF y Segregacion","Yes","¡Correcto! Agentes de liberacion con contacto directo, como engrase de bandejas y moldes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Segun el documento, que uso tiene la categoria NSF 3H.","B","Lubricantes sin contacto","Agentes de liberacion con contacto directo, como engrase de bandejas y moldes","Tratamiento de agua potable","Componentes de tuberias","","","","","",""
"multiplechoice","SQA","C2 Categorias NSF y Segregacion","Yes","¡Correcto! La contaminacion cruzada y las no conformidades.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Conforme al contenido, que previene la segregacion fisica y funcional de quimicos.","A","La contaminacion cruzada y las no conformidades","El aumento de precios","El cambio de marca","La reduccion de horario","","","","","",""
"multiplechoice","SQA","C2 Categorias NSF y Segregacion","Yes","¡Correcto! La posibilidad de contacto incidental frente a la ausencia de contacto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","De acuerdo con el material, que criterio distingue NSF H1 de NSF H2.","C","El precio del lubricante","La marca del proveedor","La posibilidad de contacto incidental frente a la ausencia de contacto","El color del envase","","","","","",""
"multiplechoice","SQA","C2 Categorias NSF y Segregacion","Yes","¡Correcto! Segun la SDS y el procedimiento, evitando mezclas no previstas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","Segun el contenido, como debe controlarse la dosificacion de quimicos durante el uso.","D","Sin control","Segun el precio","Segun la marca","Segun la SDS y el procedimiento, evitando mezclas no previstas","","","","","",""
"multiplechoice","SQA","C2 Categorias NSF y Segregacion","Yes","¡Correcto! Quimicos por compatibilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SQA.","1","De acuerdo con el contenido, que agrupa una zona dedicada de almacenamiento quimico.","B","Quimicos por precio","Quimicos por compatibilidad","Quimicos por marca","Quimicos por color","","","","","",""
