"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilitar el cumplimiento de requisitos legales por parte de las empresas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","En el marco del curso Marco Legal Quimico y Autoridades Nacionales - Colombia, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal proposito de mapear las autoridades concurrentes en el contexto normativo colombiano?","A","Facilitar el cumplimiento de requisitos legales por parte de las empresas.","Incrementar las sanciones administrativas a las organizaciones.","Crear nuevos organismos reguladores en el sector.","Reducir la cantidad de tramites necesarios para operar en el pais.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: El mapeo de actores y autoridades competentes como insumo para la implementacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Colombia, responde con precision: En relacion con la sumilla del curso, que aspecto es critico para asegurar su aplicabilidad en el contexto colombiano?","C","La reduccion del tamanio del curso para facilitar el aprendizaje.","La consideracion de la diversidad cultural y geografica del pais.","El mapeo de actores y autoridades competentes como insumo para la implementacion.","La inclusion de ejemplos de legislacion de otros paises.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar un diagnostico de la situacion actual de manejo de quimicos en la empresa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Colombia, responde con precision: Cual de los siguientes elementos es fundamental al implementar el alcance del curso en una empresa importadora de quimicos?","B","Contratar mas personal sin verificar su capacitacion.","Realizar un diagnostico de la situacion actual de manejo de quimicos en la empresa.","Invertir en campanias de marketing sobre productos quimicos.","Fomentar el uso de tecnologias no reguladas para ahorrar costos.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y evaluar riesgos de seguridad relacionados con productos quimicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Colombia, responde con precision: Cual es la principal responsabilidad de un responsable de seguridad quimica en el manejo de productos quimicos?","D","Gestionar inventarios de productos quimicos.","Asegurar el cumplimiento de las normativas ambientales.","Capacitar a empleados sobre el manejo de productos quimicos.","Identificar y evaluar riesgos de seguridad relacionados con productos quimicos.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Hoja de datos de seguridad (HDS).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","De acuerdo con los fundamentos presentados en el curso Marco Legal Quimico y Autoridades Nacionales - Colombia, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que documento es crucial para el transporte seguro de productos quimicos?","B","Factura comercial.","Hoja de datos de seguridad (HDS).","Certificado de importacion.","Permiso de la autoridad ambiental.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reciclaje de materiales compatibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Colombia, responde con precision: En el contexto de la gestion ambiental, cual es una practica recomendada para el manejo de residuos quimicos?","D","Almacenamiento indefinido en el sitio.","Incineracion sin control de emisiones.","Disposicion en vertederos comunes.","Reciclaje de materiales compatibles.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite la capacitacion en un horario flexible y adaptado a las necesidades personales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Colombia, responde con precision: Cual es la principal ventaja del aprendizaje autonomo en el contexto de la gestion de seguridad quimica?","A","Permite la capacitacion en un horario flexible y adaptado a las necesidades personales.","Reduce el costo de las capacitaciones formales.","Implica una supervision constante por parte de mentores.","Proporciona certificaciones automaticas.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer metas claras y medibles antes de iniciar el aprendizaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Colombia, responde con precision: Cual de los siguientes enfoques es esencial para asegurar la efectividad del aprendizaje autonomo en la gestion de desechos quimicos?","C","Desarrollar un plan de estudio sin mucha flexibilidad.","Evitar cualquier ayuda externa durante el proceso de aprendizaje.","Establecer metas claras y medibles antes de iniciar el aprendizaje.","Seguir unicamente el contenido de un solo libro de texto.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: El aprendizaje basado en problemas (ABP).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","Segun el material del curso Marco Legal Quimico y Autoridades Nacionales - Colombia, responde con precision: En el marco de la seguridad quimica, que metodologia se considera mas efectiva para promover el aprendizaje activo?","C","La lectura pasiva de documentos.","La memorizacion exhaustiva de la normativa.","El aprendizaje basado en problemas (ABP).","Las charlas magistrales sin interaccion.","","","","","",""
"multiplechoice","MLQCO","C1 Marco Legal SST Colombia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Fomentar practicas seguras en el manejo de productos quimicos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MLQCO.","1","Tomando en cuenta lo estudiado en el curso Marco Legal Quimico y Autoridades Nacionales - Colombia sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el objetivo principal del plan de formacion sobre gestion de seguridad quimica?","A","Fomentar practicas seguras en el manejo de productos quimicos.","Incrementar la produccion de quimicos en la bodega.","Cumplir con las regulaciones nacionales sin importar los costos.","Desarrollar vinculos comerciales con proveedores de productos quimicos.","","","","","",""
