"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","AUSGS","S1 Principios de Auditoria ISO 19011","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que las conclusiones se sustenten en evidencia verificable de la auditoria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","Segun el material del curso, el objetivo principal del principio de enfoque basado en la evidencia en las auditorias del sistema de gestion consiste en lograr cual condicion respecto de las conclusiones que emite el auditor durante la evaluacion?","A","Que las conclusiones se sustenten en evidencia verificable de la auditoria","Que las conclusiones se basen en los precios de los productos","Que las conclusiones se basen en las campanas de la marca","Que las conclusiones se basen en la cartera de clientes","","","","","",""
"multiplechoice","AUSGS","S2 Programa y Enfoque por Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Planificar y organizar las auditorias de forma sistematica y coherente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","Segun el material del curso, el objetivo principal de un programa de auditoria estructurado consiste en lograr cual proposito dentro de la gestion de las auditorias del sistema de gestion de la organizacion a lo largo de un periodo?","C","Planificar los precios de venta de los productos","Planificar las campanas publicitarias de la marca","Planificar y organizar las auditorias de forma sistematica y coherente","Planificar la cartera de clientes comerciales","","","","","",""
"multiplechoice","AUSGS","S3 Checklist Integrado ISO 45001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar de forma integrada el cumplimiento de ambos marcos normativos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","Segun el material del curso, el objetivo principal del checklist integrado, segun la norma internacional de gestion de seguridad y salud y la normativa ecuatoriana, consiste en lograr cual proposito dentro de la auditoria del sistema de gestion?","B","Verificar los precios de venta de los productos de la empresa","Verificar de forma integrada el cumplimiento de ambos marcos normativos","Verificar las campanas publicitarias de la marca corporativa","Verificar la cartera de clientes comerciales de la empresa","","","","","",""
"multiplechoice","AUSGS","S4 Evidencia y Triangulacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Formular preguntas claras y evitar inducir las respuestas del entrevistado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","Segun el material del curso, un aspecto esencial para garantizar la validez de una entrevista dentro de una investigacion o auditoria se relaciona principalmente con cual practica que asegura la confiabilidad de la informacion aportada por el entrevistado?","D","Consultar los precios de venta de los productos","Difundir las campanas publicitarias de la marca","Revisar la cartera de clientes de la empresa","Formular preguntas claras y evitar inducir las respuestas del entrevistado","","","","","",""
"multiplechoice","AUSGS","S5 Hallazgos Informe y RCSE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un incumplimiento significativo que afecta seriamente al sistema de gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","Segun el material del curso, una afirmacion que describe correctamente un hallazgo de mayor en un informe de auditoria se relaciona principalmente con cual caracteristica vinculada a la gravedad del incumplimiento detectado en el sistema de gestion?","A","Un incumplimiento significativo que afecta seriamente al sistema de gestion","Un incumplimiento del precio de venta de los productos","Un incumplimiento de las campanas de la marca","Un incumplimiento de la cartera de clientes","","","","","",""
"multiplechoice","AUSGS","S1 Principios de Auditoria ISO 19011","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ajustar la auditoria a las caracteristicas y el contexto de la organizacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","De acuerdo con el contenido del curso, el principio de adaptabilidad en el contexto de una auditoria del sistema de gestion permite principalmente cual condicion respecto de la actuacion del auditor frente a las circunstancias de la organizacion auditada?","C","Ajustar los precios de venta de los productos de la empresa","Ajustar las campanas publicitarias de la marca corporativa","Ajustar la auditoria a las caracteristicas y el contexto de la organizacion","Ajustar la cartera de clientes comerciales de la empresa","","","","","",""
"multiplechoice","AUSGS","S2 Programa y Enfoque por Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Priorizar las auditorias segun el nivel de riesgo de las areas y procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","De acuerdo con el contenido del curso, en el contexto de la auditoria del sistema de gestion, un enfoque basado en riesgos significa principalmente cual criterio que orienta la planificacion y la ejecucion de las auditorias en la organizacion?","B","Priorizar las auditorias segun el precio de los productos","Priorizar las auditorias segun el nivel de riesgo de las areas y procesos","Priorizar las auditorias segun las campanas de la marca","Priorizar las auditorias segun la cartera de clientes","","","","","",""
"multiplechoice","AUSGS","S3 Checklist Integrado ISO 45001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los requisitos de la norma internacional y de la normativa nacional aplicable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","De acuerdo con el contenido del curso, en el checklist integrado, para alinear la gestion de seguridad y salud ocupacional se debe incluir principalmente cual contenido que permite abarcar los requisitos de los marcos normativos aplicables a la organizacion?","D","Los requisitos de los precios de venta de los productos","Los requisitos de las campanas publicitarias de la marca","Los requisitos de la cartera de clientes de la empresa","Los requisitos de la norma internacional y de la normativa nacional aplicable","","","","","",""
"multiplechoice","AUSGS","S4 Evidencia y Triangulacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: La observacion directa del desarrollo real de las actividades del centro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","De acuerdo con el contenido del curso, en el proceso de observacion durante una auditoria, la tecnica que permite obtener datos mas ricos y contextuales se relaciona principalmente con cual practica que capta el funcionamiento real del sistema en el terreno?","A","La observacion directa del desarrollo real de las actividades del centro","La observacion directa de los precios de los productos","La observacion directa de las campanas de la marca","La observacion directa de la cartera de clientes","","","","","",""
"multiplechoice","AUSGS","S5 Hallazgos Informe y RCSE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un incumplimiento de menor impacto que no compromete gravemente el sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","De acuerdo con el contenido del curso, en un informe de auditoria, un hallazgo que indica un incumplimiento de menor gravedad se caracteriza principalmente por cual condicion respecto de su impacto sobre el sistema de gestion de la organizacion?","C","Un incumplimiento de menor precio de los productos","Un incumplimiento de menor alcance de la marca","Un incumplimiento de menor impacto que no compromete gravemente el sistema","Un incumplimiento de menor cartera de clientes","","","","","",""
"multiplechoice","AUSGS","S1 Principios de Auditoria ISO 19011","Yes","¡Correcto! Segun el material del curso, lo correcto es: Guiar al auditor para actuar con honestidad y profesionalismo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","Segun el material del curso, el principio de integridad en las auditorias del sistema de gestion cumple principalmente cual funcion respecto de la conducta que debe observar el auditor durante el desarrollo de la evaluacion en la organizacion?","B","Guiar al auditor para fijar los precios de los productos","Guiar al auditor para actuar con honestidad y profesionalismo","Guiar al auditor para difundir la marca corporativa","Guiar al auditor para ampliar la cartera de clientes","","","","","",""
"multiplechoice","AUSGS","S2 Programa y Enfoque por Riesgos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un programa planificado que define objetivos, alcance y frecuencia de las auditorias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","Segun el material del curso, una afirmacion que describe mejor el diseno de un programa de auditoria se relaciona principalmente con cual caracteristica que asegura que las auditorias respondan a los objetivos y las necesidades de la organizacion?","D","Un programa que fija los precios de los productos","Un programa que difunde las campanas de la marca","Un programa que amplia la cartera de clientes","Un programa planificado que define objetivos, alcance y frecuencia de las auditorias","","","","","",""
"multiplechoice","AUSGS","S3 Checklist Integrado ISO 45001","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar en un solo instrumento el cumplimiento de varios marcos normativos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AUSGS.","1","Segun el material del curso, la importancia del caracter integrado del checklist en la evaluacion de los riesgos laborales radica principalmente en que este permite a la organizacion lograr cual condicion respecto de los distintos marcos normativos aplicables?","A","Evaluar en un solo instrumento el cumplimiento de varios marcos normativos","Evaluar en un solo instrumento los precios de los productos","Evaluar en un solo instrumento las campanas de la marca","Evaluar en un solo instrumento la cartera de clientes","","","","","",""
