"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","RCD","S1 Afiliacion y Cotizacion SGRT","Yes","¡Correcto! Segun el material del curso, lo correcto es: El trabajador queda sin la cobertura ante riesgos del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El incumplimiento de la afiliacion afecta la proteccion del trabajador. Que consecuencia tiene no afiliar a un trabajador al SGRT segun lo indicado en el material del curso de las Resoluciones del IESS?","A","El trabajador queda sin la cobertura ante riesgos del trabajo","El trabajador mejora su cobertura automaticamente","La empresa reduce sus obligaciones legales","Se elimina la necesidad de cotizar","","","","","",""
"multiplechoice","RCD","S2 Resoluciones CD 513 y CD 517","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite cumplir las obligaciones ante el seguro y proteger a los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El conocimiento de las resoluciones respalda la gestion de SST de la empresa. Como contribuye conocer las resoluciones a la gestion de la seguridad y salud segun lo indicado en el material del curso de las Resoluciones del IESS?","C","Permite aumentar las ventas de la empresa","Reemplaza la identificacion de riesgos","Permite cumplir las obligaciones ante el seguro y proteger a los trabajadores","Elimina la necesidad de reportar accidentes","","","","","",""
"multiplechoice","RCD","S3 Reporte de Accidentes al IESS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ordena el registro de los incidentes y facilita su gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El reporte se registra en una plataforma de gestion definida. Que aporta el uso de una plataforma de gestion de reportes a la organizacion segun lo indicado en el material del curso de las Resoluciones del IESS?","B","Aumenta las ventas de la empresa","Ordena el registro de los incidentes y facilita su gestion","Disena la publicidad del negocio","Administra el inventario comercial","","","","","",""
"multiplechoice","RCD","S4 Investigacion Arbol y Acciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque relaciona los factores hasta identificar las causas que originaron el evento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El arbol de causas ayuda a evitar conclusiones superficiales. Por que el arbol de causas es util para llegar a las causas de fondo de un accidente segun lo indicado en el material del curso de las Resoluciones del IESS?","D","Porque se centra solo en el ultimo evento visible","Porque asigna culpas sin analizar factores","Porque cierra la investigacion sin datos","Porque relaciona los factores hasta identificar las causas que originaron el evento","","","","","",""
"multiplechoice","RCD","S5 Sistema de Gestion SGP y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite categorizar y priorizar las acciones que se deben implementar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","La calificacion permite ordenar las acciones segun su prioridad. Que aporta el proceso de calificacion a la gestion de la prevencion segun lo indicado en el material del curso de las Resoluciones del IESS?","A","Permite categorizar y priorizar las acciones que se deben implementar","Permite calcular las utilidades de la empresa","Sirve solo para medir la satisfaccion del cliente","Reemplaza la aplicacion de los controles","","","","","",""
"multiplechoice","RCD","S1 Afiliacion y Cotizacion SGRT","Yes","¡Correcto! Segun el material del curso, lo correcto es: La afiliacion asegura al trabajador y la cotizacion financia esa cobertura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","La afiliacion y la cotizacion son pilares del aseguramiento del trabajador. Como se relacionan la afiliacion y la cotizacion dentro del SGRT segun lo indicado en el material del curso de las Resoluciones del IESS?","C","La cotizacion reemplaza a la afiliacion","La afiliacion no requiere cotizacion","La afiliacion asegura al trabajador y la cotizacion financia esa cobertura","Ambas son ajenas a la proteccion del trabajador","","","","","",""
"multiplechoice","RCD","S2 Resoluciones CD 513 y CD 517","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ordenar el aseguramiento del trabajador frente a los riesgos del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","Las resoluciones se orientan a la proteccion del trabajador ante riesgos. Que objetivo comparten las resoluciones CD 513 y CD 517 en el ambito del seguro segun el material del curso de las Resoluciones del IESS?","B","Ordenar la publicidad de la empresa","Ordenar el aseguramiento del trabajador frente a los riesgos del trabajo","Regular las ventas del negocio","Administrar el inventario comercial","","","","","",""
"multiplechoice","RCD","S3 Reporte de Accidentes al IESS","Yes","¡Correcto! Segun el material del curso, lo correcto es: La investigacion del accidente para determinar sus causas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El reporte de accidentes se conecta con la investigacion posterior. Que proceso se apoya en la informacion del reporte del accidente segun lo indicado en el material del curso de las Resoluciones del IESS?","D","El calculo de las ventas mensuales","La medicion de la satisfaccion del cliente","La revision del inventario comercial","La investigacion del accidente para determinar sus causas","","","","","",""
"multiplechoice","RCD","S4 Investigacion Arbol y Acciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evita acciones vagas que no puedan medirse ni cumplirse.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El criterio SMART mejora la calidad de las acciones de la investigacion. Que problema evita aplicar el criterio SMART a las acciones correctivas segun lo indicado en el material del curso de las Resoluciones del IESS?","A","Evita acciones vagas que no puedan medirse ni cumplirse","Evita que el equipo investigue el evento","Impide identificar las causas del evento","Elimina la necesidad de un arbol de causas","","","","","",""
"multiplechoice","RCD","S5 Sistema de Gestion SGP y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque ofrece criterios comunes que ordenan el proceso de evaluacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El listado nacional estandariza el proceso de evaluacion. Por que el listado nacional es util como marco de referencia segun lo indicado en el material del curso de las Resoluciones del IESS?","C","Porque define los precios de los productos","Porque organiza la publicidad de la empresa","Porque ofrece criterios comunes que ordenan el proceso de evaluacion","Porque administra el inventario comercial","","","","","",""
"multiplechoice","RCD","S1 Afiliacion y Cotizacion SGRT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Prestaciones de salud y prestaciones economicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","La cobertura del SGRT brinda prestaciones al trabajador afectado. Que tipo de prestaciones ofrece el SGRT al trabajador ante un riesgo laboral segun lo indicado en el material del curso de las Resoluciones del IESS?","B","Prestaciones comerciales y publicitarias","Prestaciones de salud y prestaciones economicas","Beneficios de venta e inventario","Descuentos en productos del negocio","","","","","",""
"multiplechoice","RCD","S2 Resoluciones CD 513 y CD 517","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque aseguran que la empresa cumpla correctamente sus obligaciones ante el seguro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","La aplicacion de las resoluciones requiere conocer los procedimientos vigentes. Por que es importante seguir los procedimientos que establecen las resoluciones segun lo indicado en el material del curso de las Resoluciones del IESS?","D","Porque aumentan las ventas de la empresa","Porque reemplazan la identificacion de riesgos","Porque eliminan la necesidad de cotizar","Porque aseguran que la empresa cumpla correctamente sus obligaciones ante el seguro","","","","","",""
"multiplechoice","RCD","S3 Reporte de Accidentes al IESS","Yes","¡Correcto! Segun el material del curso, lo correcto es: El reporte habilita las prestaciones que protegen al trabajador afectado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El reporte oportuno es una obligacion vinculada a la cobertura del trabajador. Como se relaciona el reporte del accidente con la proteccion del trabajador segun lo indicado en el material del curso de las Resoluciones del IESS?","A","El reporte habilita las prestaciones que protegen al trabajador afectado","El reporte reduce la cobertura del trabajador","El reporte no influye en las prestaciones","El reporte reemplaza la afiliacion","","","","","",""
"multiplechoice","RCD","S4 Investigacion Arbol y Acciones","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un analisis de las causas y un conjunto de acciones para prevenir su repeticion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","El equipo investigador documenta el analisis del accidente. Que resultado produce el trabajo del equipo investigador tras analizar un accidente segun lo indicado en el material del curso de las Resoluciones del IESS?","C","Un aumento de las ventas de la empresa","Un plan de publicidad del negocio","Un analisis de las causas y un conjunto de acciones para prevenir su repeticion","Un registro del inventario comercial","","","","","",""
"multiplechoice","RCD","S5 Sistema de Gestion SGP y Auditoria","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conocer el grado de avance del sistema y las areas que requieren mejora.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","La auditoria evalua el cumplimiento del SGP frente a criterios definidos. Que permite establecer el nivel de cumplimiento en una auditoria del SGP segun lo indicado en el material del curso de las Resoluciones del IESS?","B","Determinar el precio de venta del producto","Conocer el grado de avance del sistema y las areas que requieren mejora","Elegir la publicidad de la empresa","Calcular las utilidades del negocio","","","","","",""
"multiplechoice","RCD","S1 Afiliacion y Cotizacion SGRT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para garantizar que todos los trabajadores esten protegidos ante riesgos del trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","La afiliacion obligatoria responde a un marco de proteccion social. Por que la afiliacion al SGRT se establece como obligatoria segun lo indicado en el material del curso de las Resoluciones del IESS?","D","Para incrementar las ventas de la empresa","Para reducir los salarios del personal","Para eliminar el reporte de accidentes","Para garantizar que todos los trabajadores esten protegidos ante riesgos del trabajo","","","","","",""
"multiplechoice","RCD","S2 Resoluciones CD 513 y CD 517","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque las modificatorias actualizan las obligaciones que la empresa debe cumplir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","Las modificatorias mantienen actualizado el marco normativo del seguro. Por que el empleador debe aplicar la version vigente de las resoluciones segun lo indicado en el material del curso de las Resoluciones del IESS?","A","Porque las modificatorias actualizan las obligaciones que la empresa debe cumplir","Porque las resoluciones nunca cambian","Porque la version antigua siempre es la valida","Porque las modificatorias son opcionales","","","","","",""
"multiplechoice","RCD","S3 Reporte de Accidentes al IESS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el evento no se gestiona ni se corrigen las causas que lo originaron.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso RCD.","1","La omision del reporte incrementa los riesgos no gestionados. Por que no reportar un incidente puede incrementar los riesgos laborales segun lo indicado en el material del curso de las Resoluciones del IESS?","C","Porque el reporte aumenta los riesgos","Porque el incidente desaparece sin reporte","Porque el evento no se gestiona ni se corrigen las causas que lo originaron","Porque el reporte reduce la seguridad","","","","","",""
