"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ISI","S1 Conceptos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: Actua sobre el riesgo y no siempre sobre el peligro que puede seguir existiendo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Conforme a lo estudiado en el curso sobre el uso de la IA en la seguridad industrial, conforme al curso, sobre que actua un control en la relacion entre peligro y riesgo?","A","Actua sobre el riesgo y no siempre sobre el peligro que puede seguir existiendo","Actua siempre eliminando el peligro de forma definitiva","Actua unicamente sobre el costo de la maquinaria","Actua solo sobre la produccion diaria de la planta","","","","","",""
"multiplechoice","ISI","S2 Jerarquia de Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: La instalacion de resguardos y enclavamientos en la maquina.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Segun el material formativo del curso acerca de la seguridad industrial apoyada por IA, conforme al curso, cual de las siguientes es un ejemplo de control de ingenieria segun la jerarquia de controles?","C","La publicacion de un procedimiento de trabajo","La entrega de casco y gafas al trabajador","La instalacion de resguardos y enclavamientos en la maquina","La sustitucion de un quimico por otro menos peligroso","","","","","",""
"multiplechoice","ISI","S3 Fundamentos de IA en Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La IA alerta y recomienda mientras la accion y la validacion corresponden al equipo humano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","De acuerdo con los contenidos del curso sobre seguridad industrial e inteligencia artificial, conforme al curso, que rol cumple la IA en todas las areas de aplicacion de la seguridad industrial mencionadas?","B","La IA ejecuta las acciones correctivas de forma autonoma","La IA alerta y recomienda mientras la accion y la validacion corresponden al equipo humano","La IA reemplaza al equipo humano en la validacion","La IA solo almacena datos sin generar alertas","","","","","",""
"multiplechoice","ISI","S4 Plataforma AI SAFE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Capturar imagenes claras y completas de la maquinaria para un mejor analisis.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Segun el material formativo del curso acerca de la seguridad industrial apoyada por IA, conforme al curso, que buena practica se recomienda al capturar imagenes de la maquinaria para AI SAFE?","D","Capturar imagenes borrosas para agilizar el proceso","Evitar fotografiar las zonas de riesgo del equipo","Usar imagenes de maquinas distintas a la analizada","Capturar imagenes claras y completas de la maquinaria para un mejor analisis","","","","","",""
"multiplechoice","ISI","S5 Uso Responsable y Supervision","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque la IA puede equivocarse no conoce todo el contexto de la planta y no tiene juicio etico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Segun el material formativo del curso acerca de la seguridad industrial apoyada por IA, conforme al curso, por que no basta con la inteligencia artificial para garantizar la seguridad industrial?","A","Porque la IA puede equivocarse no conoce todo el contexto de la planta y no tiene juicio etico","Porque la IA es siempre infalible en sus analisis","Porque la IA conoce por completo el contexto de la planta","Porque la IA posee juicio etico propio","","","","","",""
"multiplechoice","ISI","S1 Conceptos de Seguridad Industrial","Yes","¡Correcto! Segun el material del curso, lo correcto es: El riesgo se puede reducir aunque el peligro continue existiendo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Teniendo en cuenta los conceptos del curso de seguridad industrial con inteligencia artificial, segun el material del curso, que puede lograrse con el riesgo aunque el peligro siga presente en el entorno?","C","El riesgo se elimina automaticamente al identificar el peligro","El riesgo aumenta siempre que exista un peligro","El riesgo se puede reducir aunque el peligro continue existiendo","El riesgo no tiene relacion alguna con el peligro","","","","","",""
"multiplechoice","ISI","S2 Jerarquia de Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: La formacion del personal y la senalizacion de la planta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Conforme a lo estudiado en el curso sobre el uso de la IA en la seguridad industrial, segun el material del curso, cual es un ejemplo de control administrativo dentro de la jerarquia de controles?","B","La instalacion de barreras fisicas alrededor del equipo","La formacion del personal y la senalizacion de la planta","La entrega de guantes y gafas de proteccion","La retirada completa del peligro del proceso","","","","","",""
"multiplechoice","ISI","S3 Fundamentos de IA en Seguridad","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso de camaras y algoritmos para detectar automaticamente el cumplimiento del uso de EPP.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Segun el material formativo del curso acerca de la seguridad industrial apoyada por IA, segun el material del curso, en que consiste la vision artificial aplicada a la seguridad industrial?","D","El uso exclusivo de formularios en papel para registrar datos","La medicion manual de la temperatura por un operario","El calculo de la nomina del personal de planta","El uso de camaras y algoritmos para detectar automaticamente el cumplimiento del uso de EPP","","","","","",""
"multiplechoice","ISI","S4 Plataforma AI SAFE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Como un punto de partida y no como una orden.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Conforme a lo estudiado en el curso sobre el uso de la IA en la seguridad industrial, segun el material del curso, como deben interpretarse las sugerencias que ofrece la plataforma AI SAFE?","A","Como un punto de partida y no como una orden","Como una orden de aplicacion inmediata y obligatoria","Como informacion irrelevante que puede ignorarse","Como una decision final que excluye al profesional","","","","","",""
"multiplechoice","ISI","S5 Uso Responsable y Supervision","Yes","¡Correcto! Segun el material del curso, lo correcto es: Experiencia comprension del entorno real y responsabilidad legal y moral sobre las decisiones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ISI.","1","Conforme a lo estudiado en el curso sobre el uso de la IA en la seguridad industrial, segun el material del curso, que aporta el profesional que la inteligencia artificial no puede aportar por si sola?","C","Unicamente la capacidad de procesar datos rapido","Solamente el almacenamiento de imagenes","Experiencia comprension del entorno real y responsabilidad legal y moral sobre las decisiones","Exclusivamente la generacion de sugerencias","","","","","",""
