"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PRS","S1 Procesos de Soldadura SMAW GMAW","Yes","¡Correcto! Segun el material del curso, lo correcto es: La interpretacion tecnica de la informacion del procedimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","En el programa de soldadura, cual concepto se refiere a la capacidad del soldador para interpretar planos, simbologia y especificaciones tecnicas antes de ejecutar una union metalica de forma correcta y segura?","A","La interpretacion tecnica de la informacion del procedimiento","La ejecucion mecanica de la soldadura sin lectura previa","El mantenimiento preventivo de los equipos de soldar","El diseno estructural completo de la pieza a fabricar","","","","","",""
"multiplechoice","PRS","S2 Riesgos y Normativa OSHA ANSI","Yes","¡Correcto! Segun el material del curso, lo correcto es: La exposicion a humos y gases perjudiciales para la salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","Segun el material del curso, cual constituye uno de los principales riesgos asociados a las operaciones de soldadura que debe controlarse para proteger la salud del trabajador en el taller metalmecanico?","C","El uso de herramientas manuales de bajo consumo","La operacion de maquinaria administrativa de oficina","La exposicion a humos y gases perjudiciales para la salud","El almacenamiento de documentos en archivadores","","","","","",""
"multiplechoice","PRS","S3 Proteccion Ocular y Escala DIN","Yes","¡Correcto! Segun el material del curso, lo correcto es: La careta de soldadura con filtro ocular adecuado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","Segun el material del curso, cual elemento resulta esencial dentro del equipo de proteccion personal del soldador para resguardar la vista frente a la radiacion intensa emitida por el arco electrico?","B","Los tapones auditivos de espuma comprimida","La careta de soldadura con filtro ocular adecuado","Los guantes de manejo de productos alimenticios","El calzado deportivo de uso recreativo","","","","","",""
"multiplechoice","PRS","S4 Humos Toxicos y Ventilacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El vapor de agua producido por la humedad ambiental.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","Segun el material del curso, entre los siguientes componentes, cual NO se considera un agente critico dentro de la composicion de los humos generados durante los procesos de soldadura?","D","El oxido de hierro presente en los humos metalicos","El cianuro de hidrogeno generado en ciertos procesos","Las particulas metalicas finas en suspension","El vapor de agua producido por la humedad ambiental","","","","","",""
"multiplechoice","PRS","S5 Riesgo Electrico VRD y Hot Work","Yes","¡Correcto! Segun el material del curso, lo correcto es: La mala manipulacion de las herramientas electricas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","Segun el material del curso, cual es la principal causa de electrocucion en ambientes de trabajo como el metalmecanico, donde se emplean equipos de soldadura y herramientas electricas de forma habitual?","A","La mala manipulacion de las herramientas electricas","La exposicion a condiciones extremas de temperatura","La falta de iluminacion natural en el area de trabajo","El uso correcto del equipo de proteccion personal","","","","","",""
"multiplechoice","PRS","S1 Procesos de Soldadura SMAW GMAW","Yes","¡Correcto! Segun el material del curso, lo correcto es: La compatibilidad del material de relleno con el metal base.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","Segun el material del curso, el uso de diferentes materiales de relleno en soldadura afecta el resultado final principalmente por que factor tecnico que el soldador debe evaluar antes de comenzar la union?","C","La disponibilidad del material de relleno en el mercado","El peso total del material de relleno utilizado","La compatibilidad del material de relleno con el metal base","El costo unitario del material de relleno seleccionado","","","","","",""
"multiplechoice","PRS","S2 Riesgos y Normativa OSHA ANSI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aplicar ventilacion adecuada y usar equipo de proteccion personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","De acuerdo con el material del curso, entre las medidas de control basico para reducir los riesgos en trabajos de soldadura, cual accion resulta fundamental para disminuir la exposicion del soldador?","B","Retirar los extintores del area de trabajo","Aplicar ventilacion adecuada y usar equipo de proteccion personal","Aumentar el amperaje para terminar mas rapido","Trabajar sin gafas ni caretas de proteccion","","","","","",""
"multiplechoice","PRS","S3 Proteccion Ocular y Escala DIN","Yes","¡Correcto! Segun el material del curso, lo correcto es: El grado de oscurecimiento del filtro segun el proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","De acuerdo con el material del curso, la escala DIN aplicada a las caretas de soldador cumple una funcion tecnica especifica. Que representa esta escala al momento de seleccionar la proteccion visual?","D","El peso total en gramos de la careta completa","El precio de venta recomendado de la careta","El color decorativo exterior del casco protector","El grado de oscurecimiento del filtro segun el proceso","","","","","",""
"multiplechoice","PRS","S4 Humos Toxicos y Ventilacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Particulas metalicas finas y gases toxicos inhalables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","De acuerdo con el material del curso, los humos generados en los procesos de soldadura afectan la salud respiratoria del trabajador principalmente porque contienen cual tipo de agente perjudicial?","A","Particulas metalicas finas y gases toxicos inhalables","Vapor de agua puro sin ningun contaminante","Oxigeno adicional beneficioso para la respiracion","Aire filtrado libre de cualquier particula","","","","","",""
"multiplechoice","PRS","S5 Riesgo Electrico VRD y Hot Work","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar el secado de la zona antes de trabajar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","De acuerdo con el material del curso, cual medida preventiva resulta la mas efectiva para evitar riesgos electricos cuando el soldador debe trabajar en entornos humedos o con presencia de agua?","C","Usar cables de extension sin ninguna proteccion","Incrementar el voltaje en las herramientas empleadas","Asegurar el secado de la zona antes de trabajar","Organizar las herramientas sobre superficies mojadas","","","","","",""
"multiplechoice","PRS","S1 Procesos de Soldadura SMAW GMAW","Yes","¡Correcto! Segun el material del curso, lo correcto es: SMAW soldadura por arco con electrodo revestido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","De acuerdo con el material del curso, cual proceso de soldadura por arco con electrodo revestido resulta mas adecuado para ejecutar cordones en posicion vertical durante trabajos de estructura metalica?","B","GMAW soldadura por arco con gas de proteccion","SMAW soldadura por arco con electrodo revestido","OFW soldadura por oxigas con llama","GTAW soldadura por arco con electrodo de tungsteno","","","","","",""
"multiplechoice","PRS","S2 Riesgos y Normativa OSHA ANSI","Yes","¡Correcto! Segun el material del curso, lo correcto es: La inhalacion de humos metalicos y gases del proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","Segun el material del curso, cual factor de exposicion presente en las operaciones de soldadura puede afectar de manera directa la salud respiratoria de los trabajadores expuestos de forma continua?","D","El ruido intermitente de las oficinas cercanas","La iluminacion natural del area de descanso","La temperatura ambiente de los pasillos administrativos","La inhalacion de humos metalicos y gases del proceso","","","","","",""
"multiplechoice","PRS","S3 Proteccion Ocular y Escala DIN","Yes","¡Correcto! Segun el material del curso, lo correcto es: El proceso de soldadura y la intensidad del amperaje empleado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","Segun el material del curso, al seleccionar una careta de soldador es necesario considerar varios factores tecnicos. Cual de los siguientes influye directamente en la eleccion del filtro adecuado?","A","El proceso de soldadura y la intensidad del amperaje empleado","El color favorito del operario que la utilizara","La marca comercial mas economica disponible","El tamano del logotipo impreso en la careta","","","","","",""
"multiplechoice","PRS","S4 Humos Toxicos y Ventilacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: El desarrollo de enfermedades respiratorias cronicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PRS.","1","Segun el material del curso, la exposicion continua a los humos de soldadura puede tener a largo plazo cual efecto sobre la salud del trabajador que se encuentra expuesto de forma repetida?","C","Una mejora progresiva de la capacidad pulmonar","Un fortalecimiento del sistema respiratorio","El desarrollo de enfermedades respiratorias cronicas","Una inmunidad total frente a otros contaminantes","","","","","",""
