"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SICN","S1 Seguridad Industrial y Cultura","Yes","¡Correcto! Segun el material del curso, lo correcto es: Refuerza los comportamientos seguros y sostiene la prevencion en el tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","La cultura de seguridad involucra a todos los niveles de la organizacion. Que papel cumple la participacion de todo el personal en la cultura de seguridad segun lo indicado en el material del curso de seguridad industrial?","A","Refuerza los comportamientos seguros y sostiene la prevencion en el tiempo","Es irrelevante frente a la decision de la gerencia","Se limita a firmar documentos sin involucrarse","Solo aplica al area de produccion","","","","","",""
"multiplechoice","SICN","S2 Marco Normativo y Cumplimiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ordena las responsabilidades y unifica los criterios de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El marco normativo funciona como referente comun para toda la organizacion. Que beneficio aporta contar con un referente comun de SST segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","C","Dispersa las responsabilidades sin criterio","Impide la verificacion del cumplimiento","Ordena las responsabilidades y unifica los criterios de prevencion","Reduce la trazabilidad de la gestion","","","","","",""
"multiplechoice","SICN","S3 Peligro Riesgo y Jerarquia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque actuan sobre el peligro y no dependen solo de la conducta del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","La jerarquia de controles prioriza actuar sobre el origen del peligro. Por que se prefieren las medidas como la sustitucion frente al uso del EPP segun lo indicado en el material del curso de seguridad industrial?","B","Porque el EPP elimina el peligro por completo","Porque actuan sobre el peligro y no dependen solo de la conducta del trabajador","Porque el origen del peligro no puede modificarse","Porque la sustitucion aumenta el riesgo","","","","","",""
"multiplechoice","SICN","S4 Roles Comite y Servicio Medico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Revisar condiciones de trabajo y proponer mejoras en la prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El Comite Paritario promueve y vigila las condiciones de seguridad. Que actividad realiza el Comite Paritario para velar por la seguridad segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","D","Definir los precios de venta de la empresa","Disenar la publicidad del negocio","Administrar el inventario comercial","Revisar condiciones de trabajo y proponer mejoras en la prevencion","","","","","",""
"multiplechoice","SICN","S5 Cargas Inspecciones y Emergencia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permiten recuperar al trabajador y reducir el riesgo de lesiones musculares.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","Las pausas reducen la fatiga y el riesgo de lesiones por esfuerzo. Como contribuyen los descansos periodicos a prevenir el sobreesfuerzo segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","A","Permiten recuperar al trabajador y reducir el riesgo de lesiones musculares","Aumentan la carga fisica del trabajador","Eliminan la necesidad de evaluar el entorno","Reducen la seguridad de la tarea","","","","","",""
"multiplechoice","SICN","S1 Seguridad Industrial y Cultura","Yes","¡Correcto! Segun el material del curso, lo correcto es: Da ejemplo y refuerza el cumplimiento de las normas de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El liderazgo visible impulsa el compromiso con la seguridad. Como contribuye el liderazgo comprometido a la seguridad de la organizacion segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","C","Traslada la seguridad exclusivamente al trabajador","Reduce la importancia de la prevencion","Da ejemplo y refuerza el cumplimiento de las normas de seguridad","Limita la seguridad a las auditorias","","","","","",""
"multiplechoice","SICN","S2 Marco Normativo y Cumplimiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detectar desviaciones y corregir para mantener las exigencias de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","La verificacion del cumplimiento sostiene la mejora de la seguridad. Que permite el control del cumplimiento dentro de la gestion de SST segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","B","Aumentar las ventas de la empresa","Detectar desviaciones y corregir para mantener las exigencias de seguridad","Reducir la participacion del personal","Eliminar los registros de la empresa","","","","","",""
"multiplechoice","SICN","S3 Peligro Riesgo y Jerarquia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque la exposicion real influye en la probabilidad y gravedad del dano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","La valoracion del riesgo considera la situacion real de trabajo. Por que la valoracion del riesgo debe considerar la situacion real del trabajador segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","D","Porque la situacion real no afecta el riesgo","Porque solo importa el precio del equipo","Porque reemplaza la identificacion del peligro","Porque la exposicion real influye en la probabilidad y gravedad del dano","","","","","",""
"multiplechoice","SICN","S4 Roles Comite y Servicio Medico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conocimiento tecnico para identificar peligros y proponer controles adecuados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El Tecnico de Seguridad orienta tecnicamente las decisiones de prevencion. Que aporta el Tecnico de Seguridad al control de los riesgos del trabajo segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","A","Conocimiento tecnico para identificar peligros y proponer controles adecuados","Estrategias de venta para la empresa","Campanas de publicidad del negocio","Gestion del inventario comercial","","","","","",""
"multiplechoice","SICN","S5 Cargas Inspecciones y Emergencia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mitigar los riesgos asociados al movimiento de materiales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El transporte interno enfrenta retos de seguridad en el movimiento de materiales. Cual es el principal reto del transporte interno en ambientes industriales segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","C","Aumentar las ventas de la empresa","Disenar la publicidad del negocio","Mitigar los riesgos asociados al movimiento de materiales","Administrar el inventario comercial","","","","","",""
"multiplechoice","SICN","S1 Seguridad Industrial y Cultura","Yes","¡Correcto! Segun el material del curso, lo correcto es: En condiciones seguras, practicas adecuadas y decisiones responsables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","La seguridad industrial integra condiciones, practicas y decisiones seguras. En que se apoya la seguridad industrial para prevenir accidentes en el dia a dia segun lo indicado en el material del curso de seguridad industrial?","B","En la intuicion del trabajador sin criterios","En condiciones seguras, practicas adecuadas y decisiones responsables","En la costumbre historica sin revision","En la rapidez para ejecutar sin planificar","","","","","",""
"multiplechoice","SICN","S2 Marco Normativo y Cumplimiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Da un marco de compromiso que orienta la conducta preventiva de todos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","La politica de SST orienta el sistema de gestion de la organizacion. Que efecto tiene una politica de SST conocida por la organizacion segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","D","Reserva la seguridad a un solo responsable","Impide que el personal conozca los criterios","Reemplaza la identificacion de peligros","Da un marco de compromiso que orienta la conducta preventiva de todos","","","","","",""
"multiplechoice","SICN","S3 Peligro Riesgo y Jerarquia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque no elimina el peligro sino que reduce la consecuencia sobre el trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El equipo de proteccion personal se ubica en la base de la jerarquia. Por que el EPP se considera un control de menor eficacia frente a la sustitucion segun lo indicado en el material del curso de seguridad industrial?","A","Porque no elimina el peligro sino que reduce la consecuencia sobre el trabajador","Porque es la medida mas eficaz de todas","Porque sustituye a los controles de ingenieria","Porque impide que el peligro exista","","","","","",""
"multiplechoice","SICN","S4 Roles Comite y Servicio Medico","Yes","¡Correcto! Segun el material del curso, lo correcto es: Atencion preventiva y atencion curativa relacionada con el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El Servicio Medico atiende tanto la prevencion como la atencion curativa. Que dos tipos de atencion brinda el Servicio Medico a los trabajadores segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","C","Atencion comercial y publicitaria","Gestion de ventas e inventario","Atencion preventiva y atencion curativa relacionada con el trabajo","Atencion de clientes y proveedores","","","","","",""
"multiplechoice","SICN","S5 Cargas Inspecciones y Emergencia","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permiten detectar y corregir riesgos antes de que causen dano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","Las inspecciones periodicas previenen el deterioro de las condiciones seguras. Por que las inspecciones de seguridad deben realizarse de forma programada segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","B","Porque reemplazan la aplicacion de controles","Porque permiten detectar y corregir riesgos antes de que causen dano","Porque aumentan la exposicion del trabajador","Porque eliminan la necesidad de capacitar","","","","","",""
"multiplechoice","SICN","S1 Seguridad Industrial y Cultura","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque mantienen actualizadas las competencias del personal frente a los riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El programa de seguridad requiere continuidad para ser efectivo. Por que las capacitaciones deben ser constantes y no unicas en un programa de seguridad segun lo indicado en el material del curso de seguridad industrial?","D","Porque reemplazan las medidas de proteccion","Porque eliminan la necesidad de inspecciones","Porque reducen la participacion del personal","Porque mantienen actualizadas las competencias del personal frente a los riesgos","","","","","",""
"multiplechoice","SICN","S2 Marco Normativo y Cumplimiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las exigencias definen que hacer, las responsabilidades quien lo hace y el control lo verifica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SICN.","1","El marco normativo enlaza exigencias, responsabilidades y control. Como se relacionan estos tres elementos dentro del cumplimiento normativo segun lo indicado en el material del curso de seguridad industrial y cumplimiento normativo?","A","Las exigencias definen que hacer, las responsabilidades quien lo hace y el control lo verifica","El control se realiza antes de definir exigencias","Las responsabilidades no dependen del marco normativo","Las exigencias se cumplen sin ninguna verificacion","","","","","",""
