"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PIE","S1 Normativa NEC IEC e INEN","Yes","¡Correcto! Segun el material del curso, lo correcto es: Instalaciones seguras eficaces y conformes con los estandares.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Que busca lograr el marco normativo formado por el NEC la IEC 60364 y los reglamentos nacionales al regular las instalaciones electricas de una edificacion","A","Instalaciones seguras eficaces y conformes con los estandares","Instalaciones sin ningun estandar comun","Instalaciones basadas solo en el costo","Instalaciones ajenas a la seguridad","","","","","",""
"multiplechoice","PIE","S2 Calculo de Demanda y Ampacidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: El conductor se sobrecalienta y compromete la seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Que consecuencia tiene seleccionar un conductor con una ampacidad inferior a la corriente de la instalacion dentro de una edificacion segun el programa","C","El conductor mejora su desempeno","La corriente se reduce de forma automatica","El conductor se sobrecalienta y compromete la seguridad","El sistema aumenta su eficiencia","","","","","",""
"multiplechoice","PIE","S3 Caida de Tension y Aislamiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: La resistencia del conductor la corriente y la longitud del tramo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Que parametros deben considerarse de forma conjunta para estimar la caida de tension en un circuito electrico dentro de una instalacion de una edificacion","B","Solo el color del conductor instalado","La resistencia del conductor la corriente y la longitud del tramo","Unicamente el precio de los materiales","Exclusivamente la marca del tablero","","","","","",""
"multiplechoice","PIE","S4 Protecciones y Puesta a Tierra","Yes","¡Correcto! Segun el material del curso, lo correcto es: El riesgo de descarga electrica por fuga de corriente a tierra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Que riesgo controla principalmente un dispositivo de proteccion contra fallas a tierra al instalarse en areas humedas de una edificacion segun el programa","D","El riesgo de sobrecalentamiento del agua","El exceso de iluminacion en el area","El costo de la energia consumida","El riesgo de descarga electrica por fuga de corriente a tierra","","","","","",""
"multiplechoice","PIE","S5 Tableros y Sistemas TT TN IT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un tablero bien disenado protege y ordena la distribucion de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Que relacion existe entre el diseno del tablero y la seguridad de la distribucion electrica dentro de una instalacion de una edificacion segun el programa","A","Un tablero bien disenado protege y ordena la distribucion de forma segura","El diseno del tablero no afecta la seguridad","Un tablero cualquiera garantiza la seguridad","La seguridad depende solo del color","","","","","",""
"multiplechoice","PIE","S1 Normativa NEC IEC e INEN","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque las instalaciones industriales presentan exigencias particulares.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Por que resulta importante que el reglamento RTE INEN 069 defina requisitos especificos para las instalaciones electricas industriales dentro del pais","C","Porque las instalaciones industriales no tienen riesgos","Porque toda instalacion es igual sin distincion","Porque las instalaciones industriales presentan exigencias particulares","Porque el reglamento regula solo viviendas","","","","","",""
"multiplechoice","PIE","S2 Calculo de Demanda y Ampacidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Dimensionar los componentes para soportar la carga esperada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Que busca lograr el calculo de la demanda maxima al disenar una instalacion electrica dentro de una edificacion segun el enfoque tecnico del programa","B","Definir la estetica del tablero","Dimensionar los componentes para soportar la carga esperada","Fijar el precio final de la obra","Establecer el color de los cables","","","","","",""
"multiplechoice","PIE","S3 Caida de Tension y Aislamiento","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque una caida excesiva afecta el desempeno de los equipos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Por que se busca limitar la caida de tension dentro de los circuitos de una instalacion electrica de una edificacion segun el enfoque tecnico del programa","D","Porque una caida alta mejora el desempeno","Porque la caida no afecta a los equipos","Porque cualquier caida es aceptable","Porque una caida excesiva afecta el desempeno de los equipos","","","","","",""
"multiplechoice","PIE","S4 Protecciones y Puesta a Tierra","Yes","¡Correcto! Segun el material del curso, lo correcto es: Midiendo la resistencia con un telurometro adecuado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Como se verifica que un sistema de puesta a tierra cumple con el valor de resistencia requerido dentro de una instalacion electrica de una edificacion","A","Midiendo la resistencia con un telurometro adecuado","Estimando el valor sin ninguna medicion","Usando un manometro de presion","Empleando un termometro de ambiente","","","","","",""
"multiplechoice","PIE","S5 Tableros y Sistemas TT TN IT","Yes","¡Correcto! Segun el material del curso, lo correcto es: El tablero podria resultar insuficiente o inseguro para la carga.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PIE.","1","Que consecuencia tiene calcular un tablero trifasico sin considerar los requisitos de corriente y potencia dentro de una instalacion electrica de una edificacion","C","El tablero mejora su desempeno","La carga se ajusta de forma automatica","El tablero podria resultar insuficiente o inseguro para la carga","La seguridad del tablero aumenta","","","","","",""
