"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SINDU","S1 Fundamentos y Cultura SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es la manera en que se prioriza la seguridad en la toma de decisiones y la conducta diaria de todos los empleados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cual de las siguientes afirmaciones describe mejor lo que constituye una cultura preventiva solida dentro de una organizacion industrial moderna y comprometida con la seguridad?","A","Es la manera en que se prioriza la seguridad en la toma de decisiones y la conducta diaria de todos los empleados","Es un conjunto de normas que solo cumple el departamento tecnico","Es una politica que se activa unicamente tras un accidente grave","Es responsabilidad exclusiva de la gerencia general","","","","","",""
"multiplechoice","SINDU","S2 Peligros Riesgos y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los puntos de atrapamiento que pueden causar lesiones fisicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cual de las siguientes situaciones describe correctamente los peligros relacionados con la maquinaria dentro de una planta industrial en operacion continua?","C","La ausencia total de riesgos en la maquinaria","El exceso de mantenimiento programado","Los puntos de atrapamiento que pueden causar lesiones fisicas","La reduccion del ruido en la operacion","","","","","",""
"multiplechoice","SINDU","S3 ISO 45001 y Maquinas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar la salud y la seguridad en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cual es el objetivo principal de la norma ISO 45001 aplicada como base del sistema de gestion de seguridad y salud en el trabajo de una organizacion?","B","Certificar unicamente la calidad de los productos","Asegurar la salud y la seguridad en el trabajo","Aumentar la produccion sin considerar riesgos","Reducir el numero de trabajadores de la planta","","","","","",""
"multiplechoice","SINDU","S4 LOTO Electricidad y Fuego","Yes","¡Correcto! Segun el material del curso, lo correcto es: Prevenir el arranque accidental de maquinas durante su mantenimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cual de las siguientes afirmaciones describe mejor el proposito de un sistema de bloqueo y etiquetado conocido como LOTO dentro del mantenimiento industrial?","D","Aumentar la potencia de la maquina en operacion","Facilitar el arranque rapido de los equipos","Reducir el numero de trabajadores en la tarea","Prevenir el arranque accidental de maquinas durante su mantenimiento","","","","","",""
"multiplechoice","SINDU","S5 Espacios Altura y EPI","Yes","¡Correcto! Segun el material del curso, lo correcto es: La falta de oxigeno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cual es el principal riesgo asociado al ingreso y permanencia de un trabajador dentro de un espacio confinado en una instalacion industrial de proceso?","A","La falta de oxigeno","El exceso de iluminacion natural","La abundancia garantizada de espacio","La ausencia total de cualquier riesgo","","","","","",""
"multiplechoice","SINDU","S1 Fundamentos y Cultura SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: La comunicacion abierta y honesta sobre riesgos y aprendizajes de incidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","De acuerdo con el material del curso, cual componente resulta esencial para fomentar y sostener una autentica cultura preventiva dentro de una organizacion dedicada a las operaciones industriales?","C","El ocultamiento de los incidentes menores ocurridos","La reduccion de la participacion de los trabajadores","La comunicacion abierta y honesta sobre riesgos y aprendizajes de incidentes","La eliminacion de las reuniones de seguridad","","","","","",""
"multiplechoice","SINDU","S2 Peligros Riesgos y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Como un riesgo quimico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","De acuerdo con la clasificacion de peligros que presenta el curso, como se categoriza el riesgo asociado a la manipulacion y exposicion a sustancias quimicas dentro del entorno laboral industrial?","B","Como un riesgo estrictamente financiero","Como un riesgo quimico","Como un riesgo unicamente administrativo","Como un riesgo de tipo contractual","","","","","",""
"multiplechoice","SINDU","S3 ISO 45001 y Maquinas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un enfoque participativo que considere a la alta direccion y a los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","De acuerdo con el material del curso, que enfoque recomienda la norma ISO 45001 para llevar a cabo la identificacion de peligros dentro de una organizacion comprometida con la seguridad laboral?","D","Un enfoque exclusivo de la gerencia general","Un enfoque que excluye a los trabajadores","Un enfoque basado solo en consultores externos","Un enfoque participativo que considere a la alta direccion y a los trabajadores","","","","","",""
"multiplechoice","SINDU","S4 LOTO Electricidad y Fuego","Yes","¡Correcto! Segun el material del curso, lo correcto es: La energia electrica, mecanica, hidraulica, neumatica y termica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","El material del curso describe las energias peligrosas asociadas al LOTO. Cual de los siguientes tipos de energia debe controlarse antes de intervenir un equipo durante una tarea de mantenimiento?","A","La energia electrica, mecanica, hidraulica, neumatica y termica","Unicamente la energia electrica visible","Solamente la energia de las baterias","Exclusivamente la energia luminosa","","","","","",""
"multiplechoice","SINDU","S5 Espacios Altura y EPI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Monitorear la condicion atmosferica del espacio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","El material del curso describe la gestion de riesgos en espacios confinados. Cual de los siguientes procedimientos resulta esencial antes de autorizar la entrada de un trabajador a dicho espacio?","C","Ingresar de inmediato sin evaluacion","Confiar en que la atmosfera es siempre segura","Monitorear la condicion atmosferica del espacio","Retirar los equipos de deteccion de gases","","","","","",""
"multiplechoice","SINDU","S1 Fundamentos y Cultura SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proveer a los trabajadores los conocimientos necesarios para identificar y minimizar riesgos en el entorno laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el curso, cual es el objetivo principal que persigue la capacitacion en seguridad industrial dirigida a los trabajadores de una instalacion productiva o de proceso?","B","Reducir el numero de trabajadores en la planta","Proveer a los trabajadores los conocimientos necesarios para identificar y minimizar riesgos en el entorno laboral","Aumentar la velocidad de produccion sin controles","Sustituir por completo las inspecciones de seguridad","","","","","",""
"multiplechoice","SINDU","S2 Peligros Riesgos y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los factores fisicos, quimicos, biologicos y ergonomicos presentes en el entorno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cuales son los principales tipos de factores que deben evaluarse al identificar los peligros presentes en un entorno laboral industrial de manera integral?","D","Unicamente los factores economicos de la empresa","Solamente los factores climaticos externos","Exclusivamente los factores de mercado","Los factores fisicos, quimicos, biologicos y ergonomicos presentes en el entorno","","","","","",""
"multiplechoice","SINDU","S3 ISO 45001 y Maquinas","Yes","¡Correcto! Segun el material del curso, lo correcto es: El compromiso de la alta direccion, roles claros y la promocion de la cultura de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cuales son elementos clave de liderazgo que la norma ISO 45001 destaca dentro del funcionamiento del sistema de gestion de seguridad y salud en el trabajo?","A","El compromiso de la alta direccion, roles claros y la promocion de la cultura de seguridad","La delegacion total de la seguridad a terceros","La reduccion del presupuesto de prevencion","La eliminacion de la participacion del personal","","","","","",""
"multiplechoice","SINDU","S4 LOTO Electricidad y Fuego","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar la ausencia de energia residual o potencial en el equipo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso sobre la secuencia LOTO, que accion resulta esencial para confirmar que un equipo ha alcanzado la condicion de cero energia antes de iniciar la intervencion?","C","Encender el equipo para comprobar su estado","Confiar en que el interruptor esta en apagado","Verificar la ausencia de energia residual o potencial en el equipo","Retirar los candados antes de la verificacion","","","","","",""
"multiplechoice","SINDU","S5 Espacios Altura y EPI","Yes","¡Correcto! Segun el material del curso, lo correcto es: La ventilacion forzada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, que tipo de ventilacion se considera mas efectiva para acondicionar la atmosfera de un espacio confinado antes de que ingrese el personal a realizar la tarea?","B","La ventilacion natural aleatoria","La ventilacion forzada","La ausencia total de ventilacion","La ventilacion despues de finalizar el trabajo","","","","","",""
"multiplechoice","SINDU","S1 Fundamentos y Cultura SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Supervisar el cumplimiento de los procedimientos, capacitar y promover la cultura de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","El material del curso destaca el rol del supervisor en la seguridad industrial. Cual de las siguientes funciones corresponde a un supervisor en la implementacion de procedimientos de seguridad?","D","Delegar toda responsabilidad de seguridad a los operarios","Ignorar los reportes de condiciones inseguras","Reducir las capacitaciones para ahorrar tiempo","Supervisar el cumplimiento de los procedimientos, capacitar y promover la cultura de prevencion","","","","","",""
"multiplechoice","SINDU","S2 Peligros Riesgos y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las matrices de riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","De acuerdo con el curso, cual de las siguientes herramientas se utiliza habitualmente para evaluar los riesgos presentes en el ambiente laboral dentro de una organizacion industrial estructurada?","A","Las matrices de riesgo","Los estados financieros de la empresa","Los catalogos comerciales de productos","Las encuestas de satisfaccion del cliente","","","","","",""
"multiplechoice","SINDU","S3 ISO 45001 y Maquinas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es un proceso sistematico para verificar el cumplimiento y la eficacia del sistema de gestion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","El material del curso describe la auditoria interna en ISO 45001. Cual de las siguientes afirmaciones representa correctamente la funcion de la auditoria interna dentro del sistema de gestion?","C","Es un tramite opcional sin ninguna utilidad","Es un proceso destinado a sancionar trabajadores","Es un proceso sistematico para verificar el cumplimiento y la eficacia del sistema de gestion","Es una actividad exclusiva de organismos externos","","","","","",""
"multiplechoice","SINDU","S4 LOTO Electricidad y Fuego","Yes","¡Correcto! Segun el material del curso, lo correcto es: Para que comprendan los riesgos de las energias peligrosas y prevengan accidentes durante el mantenimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","El material del curso resalta la capacitacion en LOTO. Por que es crucial que los trabajadores esten adecuadamente formados en el procedimiento de bloqueo y etiquetado de energias peligrosas?","B","Para reducir la cantidad de candados necesarios","Para que comprendan los riesgos de las energias peligrosas y prevengan accidentes durante el mantenimiento","Para acelerar las tareas ignorando la seguridad","Para eliminar la verificacion de cero energia","","","","","",""
"multiplechoice","SINDU","S5 Espacios Altura y EPI","Yes","¡Correcto! Segun el material del curso, lo correcto es: El uso de arneses de seguridad adecuados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","El material del curso aborda el trabajo en altura. Cual de los siguientes elementos resulta esencial para garantizar la seguridad de un trabajador que realiza tareas a cierta altura en la planta?","D","El uso de guantes de tela sencillos","El empleo de calzado comun sin proteccion","La ausencia de puntos de anclaje","El uso de arneses de seguridad adecuados","","","","","",""
"multiplechoice","SINDU","S1 Fundamentos y Cultura SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumenta el compromiso y la responsabilidad de los trabajadores con la seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, de que manera la participacion activa del personal influye en la eficacia de las politicas de seguridad implementadas dentro de una empresa industrial?","A","Aumenta el compromiso y la responsabilidad de los trabajadores con la seguridad","Disminuye el interes del personal por la seguridad","No tiene ningun efecto sobre las politicas","Reduce la responsabilidad individual de cada empleado","","","","","",""
"multiplechoice","SINDU","S2 Peligros Riesgos y Controles","Yes","¡Correcto! Segun el material del curso, lo correcto es: El peligro es la fuente de dano y el riesgo es la probabilidad de que ese dano ocurra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cual es la principal diferencia conceptual entre peligro y riesgo dentro del contexto de la seguridad industrial aplicada a las operaciones de proceso?","C","El peligro y el riesgo son conceptos identicos","El riesgo es la fuente de dano y el peligro la consecuencia","El peligro es la fuente de dano y el riesgo es la probabilidad de que ese dano ocurra","El peligro solo existe despues de un accidente","","","","","",""
"multiplechoice","SINDU","S3 ISO 45001 y Maquinas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proporcionar un marco para la evaluacion de riesgos y la reduccion de peligros.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cual es el objetivo principal de la norma ISO 12100 dentro del contexto de la seguridad de las maquinas en el ambito industrial y de manufactura?","B","Certificar la calidad estetica de las maquinas","Proporcionar un marco para la evaluacion de riesgos y la reduccion de peligros","Aumentar la velocidad de produccion de los equipos","Eliminar la necesidad de mantenimiento preventivo","","","","","",""
"multiplechoice","SINDU","S4 LOTO Electricidad y Fuego","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que cada trabajador coloque su propio candado y solo el lo retire.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cuando varios trabajadores intervienen un mismo equipo bajo LOTO, que practica garantiza que ninguno quede expuesto mientras otro finaliza su parte de la tarea?","D","Que un solo candado cubra a todo el equipo","Que se retiren todos los candados al mismo tiempo","Que se omitan los candados por rapidez","Que cada trabajador coloque su propio candado y solo el lo retire","","","","","",""
"multiplechoice","SINDU","S5 Espacios Altura y EPI","Yes","¡Correcto! Segun el material del curso, lo correcto es: La caida desde una altura considerable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SINDU.","1","Segun el material del curso, cual es el riesgo mas critico que debe considerarse cuando un trabajador realiza tareas sobre una azotea u otra superficie elevada dentro de una instalacion industrial?","A","La caida desde una altura considerable","El exceso de ventilacion en la zona","La abundancia de iluminacion natural","La ausencia de cualquier tipo de riesgo","","","","","",""
