"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! Los peligros fisicos describen el comportamiento peligroso del producto por sus propiedades fisicoquimicas, con independencia de su toxicidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","Segun el material, los peligros fisicos del SGA-GHS describen el comportamiento peligroso del producto por sus propiedades fisicoquimicas, con una caracteristica distintiva respecto a la toxicidad:","C","Solo se manifiestan al ingerir el producto","Dependen exclusivamente del color del producto","Son independientes de su toxicidad","Solo afectan al medio ambiente","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! Reconocer las clases de peligro fisico permite anticipar el comportamiento del producto y aplicar las medidas de control adecuadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","De acuerdo con el material, el proposito de reconocer las clases de peligro fisico de un producto es:","A","Anticipar el comportamiento del producto y aplicar las medidas de control adecuadas","Aumentar el precio de venta","Reducir el numero de etiquetas necesarias","Evitar el uso de hojas de seguridad","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! Peru adopto el SGA-GHS con el DS 015-2005-SA y el Decreto Supremo 002-2018 que lo actualiza.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","Segun el material, Peru implemento el SGA-GHS mediante normas como:","D","CLP 1272/2008","WHMIS 2015","HazCom 2012","El DS 015-2005-SA y el Decreto Supremo 002-2018 que lo actualiza","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! Ecuador adopto el SGA-GHS mediante el Acuerdo Ministerial 026:2008 y la norma NTE INEN 2266 actualizada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","Conforme al material, Ecuador implemento el SGA-GHS a traves de instrumentos como:","B","La norma NR-26:2019","El Acuerdo Ministerial 026:2008 y la norma NTE INEN 2266 actualizada","El WHMIS 2015","El CLP 1272/2008","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! Brasil adopto el SGA-GHS a traves de la NR-26:2019.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","Segun el material, Brasil implemento el SGA-GHS mediante la norma:","C","CLP 1272/2008","HazCom 2012","NR-26:2019","NTE INEN 2266","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! La adopcion global del SGA-GHS ha sido progresiva, con distintos paises implementandolo mediante sus propias normas nacionales, como CLP, HazCom 2012, WHMIS 2015 o NR-26.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","De acuerdo con el material, la adopcion global del SGA-GHS se describe como un proceso:","A","Progresivo, con distintos paises implementandolo mediante sus propias normas nacionales","Instantaneo y simultaneo en todos los paises","Limitado unicamente a Europa","Que nunca llego a concretarse","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! Antes de 2003, una sustancia podia ser toxica en Europa, harmful en EE.UU. y peligrosa en Latinoamerica, con criterios distintos que generaban confusion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","Segun el material, un ejemplo de la falta de armonizacion antes de 2003 es que una misma sustancia podia clasificarse como:","D","Segura en todos los paises por igual","Inexistente en los registros","Un alimento en algunos paises","Toxica en Europa, harmful en EE.UU. y peligrosa en Latinoamerica, con criterios distintos","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! La ONU publico en 2003 el Sistema Globalmente Armonizado (SGA-GHS), conocido como Libro Purpura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","Conforme al material, el SGA-GHS fue una iniciativa publicada por:","B","La Union Europea","La ONU (Organizacion de las Naciones Unidas)","OSHA de Estados Unidos","Un consorcio de empresas privadas","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! La armonizacion elimina las discrepancias de criterio entre paises que antes generaban confusion, errores de manipulacion y accidentes en el comercio internacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","Segun el material, la clasificacion armonizada de peligros del SGA-GHS beneficia especialmente al comercio internacional porque:","C","Encarece los productos importados","Prohibe la exportacion de quimicos peligrosos","Elimina las discrepancias de criterio entre paises que generaban confusion y accidentes","Reduce la cantidad de productos disponibles","","","","","",""
"multiplechoice","HCGHS","Fundamentos SGA GHS","Yes","¡Correcto! El SGA-GHS armoniza la clasificacion, el etiquetado y la hoja de datos de seguridad (SDS) con criterios uniformes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCGHS.","1","De acuerdo con el material, ademas de la clasificacion y el etiquetado, el tercer pilar de la comunicacion de peligros que armoniza el SGA-GHS es:","A","La hoja de datos de seguridad (SDS)","El precio de los productos","El transporte maritimo","La publicidad comercial","","","","","",""
