"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","GFS","S1 Alcohol y Causas de Accidentes","Yes","¡Correcto! Segun el material del curso, lo correcto es: La fatiga y la somnolencia del trabajador que reducen la atencion y la capacidad de reaccion durante la actividad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","Segun el material del curso, cual es una de las principales causas de accidentes en el sector segun las estadisticas presentadas sobre la fatiga?","A","La fatiga y la somnolencia del trabajador que reducen la atencion y la capacidad de reaccion durante la actividad","El color de la senalizacion utilizada en el area de trabajo de la empresa","La antiguedad del sistema informatico de las oficinas administrativas","El precio de los equipos utilizados por el personal durante la jornada","","","","","",""
"multiplechoice","GFS","S2 Deuda de Sueno y Trastornos","Yes","¡Correcto! Segun el material del curso, lo correcto es: El desajuste entre el ritmo circadiano y los horarios de descanso junto con la falta de horas de sueno suficientes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","Segun el material del curso, cual de los siguientes factores contribuye mas a la aparicion de la llamada deuda de sueno en el trabajador?","C","Un numero elevado de horas de descanso durante la jornada de trabajo","La presencia de sistemas de apoyo familiar para el trabajador","El desajuste entre el ritmo circadiano y los horarios de descanso junto con la falta de horas de sueno suficientes","La adopcion de estilos de vida saludables por parte del trabajador","","","","","",""
"multiplechoice","GFS","S3 Ritmo Circadiano y Turnos","Yes","¡Correcto! Segun el material del curso, lo correcto es: En las horas de la madrugada y en las primeras horas de la tarde cuando el ritmo circadiano favorece la disminucion del estado de alerta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","Segun el material del curso, en que rango horario se producen comunmente los picos de somnolencia que afectan al trabajador?","B","Unicamente durante las horas centrales de la manana en cualquier persona","En las horas de la madrugada y en las primeras horas de la tarde cuando el ritmo circadiano favorece la disminucion del estado de alerta","Exclusivamente al finalizar la jornada laboral sin importar el horario","En un unico momento fijo que es igual para todas las personas","","","","","",""
"multiplechoice","GFS","S4 Instrumentos ESS KSS y PERCLOS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar el nivel de somnolencia diurna de la persona estimando su propension a quedarse dormida en distintas situaciones cotidianas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","Segun el material del curso, cual es el proposito principal del cuestionario de somnolencia conocido como escala de Epworth o ESS?","D","Determinar la eficiencia operativa de la maquinaria utilizada en la jornada","Medir la productividad de las tareas realizadas por el trabajador en el turno","Identificar las habilidades tecnicas del trabajador para su puesto","Evaluar el nivel de somnolencia diurna de la persona estimando su propension a quedarse dormida en distintas situaciones cotidianas","","","","","",""
"multiplechoice","GFS","S5 FRMS y Estrategias de Recuperacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Gestionar de forma sistematica el riesgo de fatiga mediante politicas controles evaluacion y mejora continua para prevenir accidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","Segun el material del curso, cual es la principal funcion de un sistema de gestion del riesgo de fatiga conocido como FRMS en una organizacion?","A","Gestionar de forma sistematica el riesgo de fatiga mediante politicas controles evaluacion y mejora continua para prevenir accidentes","Determinar el precio de los equipos utilizados por el personal en la jornada","Establecer el horario de atencion de las oficinas administrativas de la empresa","Reducir el consumo de energia de los equipos utilizados en la planta","","","","","",""
"multiplechoice","GFS","S1 Alcohol y Causas de Accidentes","Yes","¡Correcto! Segun el material del curso, lo correcto es: Disminuye los reflejos la coordinacion y la capacidad de juicio incrementando de forma significativa el riesgo de accidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","De acuerdo con el material del curso, que efecto principal tiene el consumo de alcohol sobre la capacidad de una persona para operar de forma segura?","C","Aumenta la capacidad de reaccion y la concentracion durante la tarea","Determina el precio de los equipos utilizados durante la jornada laboral","Disminuye los reflejos la coordinacion y la capacidad de juicio incrementando de forma significativa el riesgo de accidentes","Establece el horario de atencion de las oficinas administrativas de la empresa","","","","","",""
"multiplechoice","GFS","S2 Deuda de Sueno y Trastornos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un trastorno del sueno caracterizado por interrupciones repetidas de la respiracion que afectan la calidad del descanso y generan somnolencia diurna.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","De acuerdo con el material del curso, que es el sindrome de apneas obstructivas del sueno conocido como SAOS y como se caracteriza en la persona?","B","Un periodo de vigilia prolongada que ocurre de forma voluntaria durante la noche","Un trastorno del sueno caracterizado por interrupciones repetidas de la respiracion que afectan la calidad del descanso y generan somnolencia diurna","Una fase avanzada del sueno profundo donde no ocurre ninguna alteracion","Un metodo para mejorar la calidad del sueno del trabajador de forma natural","","","","","",""
"multiplechoice","GFS","S3 Ritmo Circadiano y Turnos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Genera un conflicto entre el horario de trabajo y el reloj biologico que favorece la somnolencia la fatiga y la reduccion del rendimiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","De acuerdo con el material del curso, de que manera el desajuste circadiano afecta a los trabajadores que cumplen turnos nocturnos de forma habitual?","D","Mejora el estado de alerta del trabajador durante el turno nocturno","Determina el precio de los equipos utilizados durante la jornada laboral","Establece el horario de atencion de las oficinas administrativas de la empresa","Genera un conflicto entre el horario de trabajo y el reloj biologico que favorece la somnolencia la fatiga y la reduccion del rendimiento","","","","","",""
"multiplechoice","GFS","S4 Instrumentos ESS KSS y PERCLOS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evalua el nivel de somnolencia de la persona en un momento determinado siendo util para monitorear el estado de alerta en entornos laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","De acuerdo con el material del curso, que evalua la escala de somnolencia de Karolinska conocida como KSS y cual es su aplicabilidad?","A","Evalua el nivel de somnolencia de la persona en un momento determinado siendo util para monitorear el estado de alerta en entornos laborales","Evalua la productividad diaria del trabajador durante toda la jornada","Determina el precio de los equipos utilizados por el trabajador en el turno","Establece el horario de atencion de las oficinas administrativas de la empresa","","","","","",""
"multiplechoice","GFS","S5 FRMS y Estrategias de Recuperacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que el personal comprenda las causas y los efectos de la fatiga y aprenda a reconocerla y gestionarla en su actividad diaria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso GFS.","1","De acuerdo con el material del curso, que elemento es fundamental en la capacitacion dentro de un sistema de gestion del riesgo de fatiga?","C","Que el personal memorice el precio de los equipos utilizados en la jornada","Que el personal aprenda a establecer el horario de atencion de las oficinas","Que el personal comprenda las causas y los efectos de la fatiga y aprenda a reconocerla y gestionarla en su actividad diaria","Que el personal reduzca el consumo de energia de los equipos utilizados","","","","","",""
