"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","BEE","S1 Plan y Formacion de Brigadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La seccion dedicada a los protocolos de respuesta a emergencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","Segun el material del curso, dentro de la navegacion del curso para brigadistas, cual seccion proporciona la informacion referida a los protocolos que deben seguirse durante una emergencia?","A","La seccion dedicada a los protocolos de respuesta a emergencias","La seccion de configuracion del perfil del usuario","La seccion de facturacion y pagos del programa","La seccion de contacto comercial de la plataforma","","","","","",""
"multiplechoice","BEE","S2 Sistema de Comando ICS y NFPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asumir la direccion general y la toma de decisiones del incidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","Segun el material del curso, el mando del incidente dentro del Sistema de Comando de Incidentes recae en una figura responsable. Cual funcion principal cumple esta figura durante la respuesta?","C","Ejecutar personalmente todas las tareas de rescate","Encargarse solo del registro contable del evento","Asumir la direccion general y la toma de decisiones del incidente","Evitar coordinar a los demas equipos presentes","","","","","",""
"multiplechoice","BEE","S3 Tactica de Combate de Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Situaciones de riesgo repentino que comprometan su seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","Segun el material del curso, la conciencia situacional durante el combate de un incendio permite al brigadista anticipar cambios peligrosos. Que puede evitar el brigadista al mantenerla activa?","B","La necesidad de comunicarse con el resto del equipo","Situaciones de riesgo repentino que comprometan su seguridad","El uso del equipo de proteccion personal en la escena","La coordinacion ordenada con el mando del incidente","","","","","",""
"multiplechoice","BEE","S4 Rescate y Materiales HAZMAT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cuando se debe alejar rapido a la victima de un peligro inmediato.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","Segun el material del curso, el arrastre como tecnica de rescate se emplea principalmente cuando la brigada necesita mover a una victima en cual tipo de situacion durante la respuesta?","D","Cuando la victima puede caminar por si misma sin ayuda","Cuando no existe ningun riesgo en el entorno","Cuando la tarea es unicamente de tipo administrativo","Cuando se debe alejar rapido a la victima de un peligro inmediato","","","","","",""
"multiplechoice","BEE","S5 Atencion Medica y Triaje START","Yes","¡Correcto! Segun el material del curso, lo correcto es: La aplicacion de compresiones toracicas de reanimacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","Segun el material del curso, el uso del Desfibrilador Externo Automatico debe complementarse con otras maniobras de soporte vital. Que accion acompana al DEA durante la atencion de un paro cardiaco?","A","La aplicacion de compresiones toracicas de reanimacion","La administracion de alimentos solidos a la persona","El traslado inmediato sin ninguna maniobra de soporte","La colocacion en posicion sentada sin atencion","","","","","",""
"multiplechoice","BEE","S1 Plan y Formacion de Brigadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Brindar apoyo y aclaracion sobre los contenidos del curso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","De acuerdo con el material del curso, al utilizar inteligencia artificial dentro del curso, cual es una de las funciones clave que esta herramienta ofrece para apoyar la formacion del brigadista?","C","Reemplazar por completo la practica de los simulacros","Ejecutar las maniobras de rescate en lugar del brigadista","Brindar apoyo y aclaracion sobre los contenidos del curso","Sustituir la aprobacion de los quizzes del programa","","","","","",""
"multiplechoice","BEE","S2 Sistema de Comando ICS y NFPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: La seguridad y la eficacia de las operaciones de respuesta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","De acuerdo con el material del curso, la aplicacion de la normativa NFPA y del Sistema de Comando de Incidentes en las brigadas busca principalmente elevar cual aspecto de la respuesta ante emergencias?","B","El costo economico de cada operacion realizada","La seguridad y la eficacia de las operaciones de respuesta","El tiempo de inactividad de los equipos de rescate","La cantidad de danos materiales producidos","","","","","",""
"multiplechoice","BEE","S3 Tactica de Combate de Incendio","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que el fuego supere la capacidad de control en su fase inicial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","De acuerdo con el material del curso, la decision de pasar del combate incipiente al combate avanzado depende principalmente de cual condicion observada por la brigada durante la respuesta al incendio?","D","Que se reduzca el numero de brigadistas disponibles","Que finalice la jornada laboral del personal","Que el color de la llama cambie sin otro criterio","Que el fuego supere la capacidad de control en su fase inicial","","","","","",""
"multiplechoice","BEE","S4 Rescate y Materiales HAZMAT","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que ninguna victima quede sin ser localizada en el area.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","De acuerdo con el material del curso, la busqueda sistematica en operaciones de rescate se realiza de forma ordenada con el fin principal de garantizar cual resultado dentro de la estructura afectada?","A","Que ninguna victima quede sin ser localizada en el area","Que se recorra solo una parte de la estructura","Que la busqueda dependa del azar sin planificacion","Que se omita la comunicacion con el resto del equipo","","","","","",""
"multiplechoice","BEE","S5 Atencion Medica y Triaje START","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mantener a la persona abrigada y vigilar sus signos vitales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","De acuerdo con el material del curso, ante una persona en estado de shock, el brigadista debe aplicar medidas de atencion. Cual accion contribuye a estabilizar a la persona mientras llega la ayuda?","C","Administrar liquidos abundantes por via oral de inmediato","Dejar a la persona sola sin ninguna vigilancia","Mantener a la persona abrigada y vigilar sus signos vitales","Movilizar a la persona de forma brusca y repetida","","","","","",""
"multiplechoice","BEE","S1 Plan y Formacion de Brigadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Utilizar unicamente enlaces oficiales y fuentes verificadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","Segun el material del curso, respecto a los enlaces oficiales incluidos en el curso, que politica se establece para orientar al brigadista sobre el uso de las fuentes de informacion consultadas?","B","Emplear cualquier enlace sin verificar su procedencia","Utilizar unicamente enlaces oficiales y fuentes verificadas","Ignorar por completo las fuentes oficiales disponibles","Reemplazar los enlaces por opiniones sin respaldo","","","","","",""
"multiplechoice","BEE","S2 Sistema de Comando ICS y NFPA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Bajo un lenguaje y una estructura comunes de coordinacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso BEE.","1","Segun el material del curso, la estandarizacion que aporta el Sistema de Comando de Incidentes permite que distintos equipos y organismos actuen de que manera durante una emergencia compartida?","D","Con procedimientos totalmente diferentes entre si","Sin ninguna comunicacion entre los equipos presentes","Bajo mandos multiples que compiten por el control","Bajo un lenguaje y una estructura comunes de coordinacion","","","","","",""
