"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","VSO","S1 Marco Institucional MSP e IESS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Orientar la evaluacion y el cumplimiento en materia de salud ocupacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","Segun el material del curso, cual es el rol principal de la Direccion de Evaluacion dentro del marco normativo de la salud ocupacional que rige la vigilancia de la salud del trabajador en el pais?","A","Orientar la evaluacion y el cumplimiento en materia de salud ocupacional","Establecer los precios de venta de los servicios medicos","Elaborar la publicidad de las empresas del pais","Gestionar la nomina del personal de las empresas","","","","","",""
"multiplechoice","VSO","S2 Servicio Medico de Empresa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Contar con personal medico y recursos acordes al tamano y riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","Segun el material del curso, cual aspecto resulta fundamental para la estructura del Servicio Medico de Empresa dentro de la organizacion de la vigilancia de la salud ocupacional que exige el marco del pais?","C","Contar unicamente con personal administrativo de oficina","Prescindir de personal medico en la organizacion","Contar con personal medico y recursos acordes al tamano y riesgo","Disponer solo de recursos publicitarios para la empresa","","","","","",""
"multiplechoice","VSO","S3 Examenes Medicos Ocupacionales","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determinar la compatibilidad entre la salud del candidato y el puesto.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","Segun el material del curso, cual es la principal finalidad del examen medico de ingreso en el contexto laboral dentro de la vigilancia de la salud ocupacional que aplica la organizacion al incorporar personal?","B","Decidir el salario del candidato desde el inicio","Determinar la compatibilidad entre la salud del candidato y el puesto","Calcular el tiempo que el empleado pasara en la empresa","Evaluar solo la experiencia previa del candidato","","","","","",""
"multiplechoice","VSO","S4 Pruebas y Enfermedades Laborales","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar la funcion auditiva y detectar la perdida de audicion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","Segun el material del curso, cual es la principal finalidad de realizar una audiometria en trabajadores expuestos a ruido dentro de la vigilancia de la salud ocupacional que aplica la organizacion sobre su personal?","D","Determinar el nivel de estres laboral del trabajador","Detectar patologias del aparato digestivo","Medir la capacidad pulmonar maxima del trabajador","Evaluar la funcion auditiva y detectar la perdida de audicion","","","","","",""
"multiplechoice","VSO","S5 Programa Anual y Confidencialidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Proteger al trabajador frente a riesgos biologicos propios de su actividad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","Segun el material del curso, cual es el proposito principal de la vacunacion ocupacional en una empresa dentro de la vigilancia de la salud que aplica la organizacion para proteger a su personal frente a ciertos riesgos biologicos?","A","Proteger al trabajador frente a riesgos biologicos propios de su actividad","Aumentar la exposicion del trabajador a los agentes","Sustituir la evaluacion de los riesgos laborales","Reducir la proteccion de la salud del trabajador","","","","","",""
"multiplechoice","VSO","S1 Marco Institucional MSP e IESS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Rectora las politicas de salud que orientan la salud ocupacional.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","De acuerdo con el material del curso, el Ministerio de Salud Publica cumple una funcion fundamental para la salud ocupacional. Cual afirmacion describe correctamente el papel de esta institucion en el pais?","C","Se encarga de la contabilidad de las empresas","Comercializa equipos medicos a las organizaciones","Rectora las politicas de salud que orientan la salud ocupacional","Elabora la publicidad de los servicios de salud","","","","","",""
"multiplechoice","VSO","S2 Servicio Medico de Empresa","Yes","¡Correcto! Segun el material del curso, lo correcto es: El numero de trabajadores y el nivel de riesgo de la actividad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","De acuerdo con el material del curso, que criterio se debe considerar al determinar la dotacion de personal en un Servicio Medico de Empresa dentro de la gestion de la salud ocupacional de la organizacion?","B","El color del mobiliario del consultorio medico","El numero de trabajadores y el nivel de riesgo de la actividad","El horario administrativo del area contable","La marca de los equipos informaticos de oficina","","","","","",""
"multiplechoice","VSO","S3 Examenes Medicos Ocupacionales","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacidad de la persona para desarrollar el trabajo de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","De acuerdo con el material del curso, que se entiende por aptitud en el contexto de los examenes de ingreso dentro de la vigilancia de la salud ocupacional que realiza la organizacion sobre el candidato al puesto?","D","La inclinacion de la persona hacia un tipo de trabajo","El nivel educativo alcanzado por el candidato","La experiencia acumulada en anos de trabajo previo","La capacidad de la persona para desarrollar el trabajo de forma segura","","","","","",""
"multiplechoice","VSO","S4 Pruebas y Enfermedades Laborales","Yes","¡Correcto! Segun el material del curso, lo correcto es: La exposicion respiratoria del puesto y el estado del trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","De acuerdo con el material del curso, que factores deben tenerse en cuenta al seleccionar una prueba de espirometria para un trabajador dentro de la vigilancia de la salud ocupacional que aplica la organizacion?","A","La exposicion respiratoria del puesto y el estado del trabajador","El color del uniforme del trabajador evaluado","El horario administrativo del area de trabajo","La marca del equipo informatico del puesto","","","","","",""
"multiplechoice","VSO","S5 Programa Anual y Confidencialidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La evaluacion tecnica del puesto complementada con la vigilancia de la salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso VSO.","1","De acuerdo con el material del curso, cual metodo resulta el mas eficaz para evaluar la exposicion a riesgos dentro de la vigilancia de la salud ocupacional que aplica la organizacion sobre el trabajador y su puesto?","C","La observacion informal sin ningun criterio tecnico","La revision contable de los gastos del area","La evaluacion tecnica del puesto complementada con la vigilancia de la salud","El analisis del horario administrativo del personal","","","","","",""
