"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar habilidades en gestion de riesgos y mejora continua en sectores de alto riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","En el marco del curso Herramientas de Calidad en Investigacion de Incidentes, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el principal proposito del curso de seguridad industrial y calidad?","A","Desarrollar habilidades en gestion de riesgos y mejora continua en sectores de alto riesgo.","Implementar nuevas tecnologias sin evaluar sus impactos.","Fomentar la cultura organizacional sin considerar las normas de calidad.","Aumentar la eficiencia operativa mediante la reduccion de costos.","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Matriz de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","Segun los contenidos desarrollados en el curso Herramientas de Calidad en Investigacion de Incidentes, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que herramienta es fundamental para el analisis de riesgos en operaciones industriales?","C","Mapa de procesos","Diagrama de Ishikawa","Matriz de riesgos","Analisis de Pareto","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: ISO 9001.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","Segun el material del curso Herramientas de Calidad en Investigacion de Incidentes, responde con precision: En el contexto del curso, que norma internacional es clave para asegurar la calidad en los procesos industriales?","B","ISO 45001","ISO 9001","ISO 14001","OHSAS 18001","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","Segun el material del curso Herramientas de Calidad en Investigacion de Incidentes, responde con precision: Cual de los siguientes verbos operativos se asocia mas directamente con la evaluacion de riesgos en un entorno industrial?","D","Controlar","Implementar","Supervisar","Identificar","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir la probabilidad o el impacto del riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","De acuerdo con los fundamentos presentados en el curso Herramientas de Calidad en Investigacion de Incidentes, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: En la jerga de la seguridad industrial, que significa 'mitigar' un riesgo?","B","Ignorar el riesgo hasta nuevo aviso","Reducir la probabilidad o el impacto del riesgo","Eliminar completamente el riesgo","Transferir el riesgo a un tercero","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: El analisis de riesgos implica la identificacion, evaluacion y priorizacion de riesgos asociados a potenciales peligros en un entorno industrial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","Considerando el enfoque metodologico del curso Herramientas de Calidad en Investigacion de Incidentes y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Describe que se entiende por 'analisis de riesgos' en el contexto de la seguridad industrial.","D","La aplicacion del principio de Pareto en la mejora de procesos implica identificar y enfocar los esfuerzos en el 20% de las causas que generan el 80% de los problemas dentro del proceso industrial.","Describir el ciclo PDCA (Plan, Do, Check, Act) como una herramienta para la gestion continua que permite la mejora de procesos a traves de la planificacion, implementacion, verificacion de resultados y acciones de mejora.","El analisis del costo economico directo e indirecto del incidente, como danios materiales, perdida de produccion y posibles sanciones regulatorias.","El analisis de riesgos implica la identificacion, evaluacion y priorizacion de riesgos asociados a potenciales peligros en un entorno industrial.","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumentar la conciencia y habilidades en materia de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","En el marco del curso Herramientas de Calidad en Investigacion de Incidentes, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: La capacitacion en seguridad industrial esta diseniada principalmente para:","A","Aumentar la conciencia y habilidades en materia de seguridad","Crear manuales de operaciones estandarizadas","Cumplir con requisitos legales","Mejorar la productividad","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumenta la retencion de la informacion al involucrar a los estudiantes en actividades practicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","Segun los contenidos desarrollados en el curso Herramientas de Calidad en Investigacion de Incidentes, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es la principal ventaja de utilizar un enfoque didactico centrado en el alumno en cursos de seguridad industrial?","C","Facilita un aprendizaje uniforme para todos los participantes.","Concentra el aprendizaje en la teoria, lo que es mas facil de evaluar.","Aumenta la retencion de la informacion al involucrar a los estudiantes en actividades practicas.","Permite a los instructores cubrir mas contenido en menos tiempo.","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un respuesta correcta debe abordar como los recursos digitales, como videos, simulaciones y plataformas interactivas, pueden ofrecer experiencias de aprendizaje mas inmersivas y practicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","Segun el material del curso Herramientas de Calidad en Investigacion de Incidentes, responde con precision: Describe como los recursos digitales pueden mejorar la ensenianza en el ambito de la seguridad industrial.","C","Se deben evitar interpretaciones sesgadas que atribuyan causas a factores sin suficiente evidencia, asi como la tendencia a sobre-simplificar problemas complejos al fijarse solo en","Una herramienta clave para priorizar acciones correctivas en el flujo integrado de gestion de riesgos es la Matriz de Riesgos, que permite clasificar los riesgos en funcion de su p","Un respuesta correcta debe abordar como los recursos digitales, como videos, simulaciones y plataformas interactivas, pueden ofrecer experiencias de aprendizaje mas inmersivas y practicas.","La importancia de la identificacion proactiva de riesgos y el establecimiento de protocolos de seguridad, asi como la capacitacion adecuada del personal en la gestion de emergencias.","","","","","",""
"multiplechoice","HCIA","C1 Fundamentos de Calidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Simulacion y escenarios virtuales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","Tomando en cuenta lo estudiado en el curso Herramientas de Calidad en Investigacion de Incidentes sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual de las siguientes metodologias se considera mas efectiva para la formacion en contextos de alto riesgo?","A","Simulacion y escenarios virtuales.","Formacion teorica tradicional.","Clases magistrales sin interaccion.","Aprendizaje basado en problemas (ABP).","","","","","",""
"multiplechoice","HCIA","C2 Priorizacion con Pareto","Yes","¡Correcto! Segun el material del curso, lo correcto es: Indicar que el aprendizaje autonomo potencia la capacidad de los profesionales para adaptarse a cambios constantes en normativas y tecnologias en seguridad industrial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso HCIA.","1","Segun el material del curso Herramientas de Calidad en Investigacion de Incidentes, responde con precision: Explica la importancia del aprendizaje autonomo en la formacion continua de profesionales en seguridad industrial.","A","Indicar que el aprendizaje autonomo potencia la capacidad de los profesionales para adaptarse a cambios constantes en normativas y tecnologias en seguridad industrial.","Definir el metodo de los 5 Por Ques como una tecnica utilizada para hacer preguntas sucesivas al encontrar la causa raiz de un problema.","El analisis del costo economico directo e indirecto del incidente, como danios materiales, perdida de produccion y posibles sanciones regulatorias.","La respuesta ideal debera describir como la combinacion de hojas de verificacion para recopilar datos y analisis de causa raiz para investigar las causas subyacentes de problemas e","","","","","",""
