"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material indica que para un APF muy alto solo son aptos el PAPR de cara completa o el SCBA, senalando que la seleccion es un calculo, no una opinion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","Segun el material, cuando el nivel de contaminante y su factor de proteccion asignado requerido son muy altos, el curso indica que solo ciertos equipos son aptos. Cuales menciona para el caso mas exigente?","A","PAPR de cara completa o SCBA","Solo tapones auditivos","Media cara con filtro N95","Gafas de seguridad Z87","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material indica que las particulas mas grandes (mayores de 10 micrometros) quedan retenidas en las vias altas, mientras las mas pequenas alcanzan zonas mas profundas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","El material clasifica el particulado por su fraccion segun donde se deposita en el sistema respiratorio. Segun el curso, las particulas de mayor tamano tienen cierto comportamiento. Cual es?","B","Llegan siempre hasta los alveolos","Quedan retenidas en las vias altas","Atraviesan la piel","No representan riesgo alguno","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material indica que la seleccion exige APF mayor o igual a la concentracion dividida entre el limite de exposicion, con margen de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","Segun el material, la seleccion del respirador exige una relacion cuantitativa entre el factor de proteccion asignado (APF) y la exposicion. Cual es la regla que enuncia el curso?","C","APF menor que la concentracion","APF igual al numero de trabajadores","APF mayor o igual a la concentracion dividida entre el limite de exposicion, con margen","APF igual al valor del NRR","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material indica que el caso guiado exige combinar contaminante, concentracion, oxigeno disponible y APF requerido para clasificar el respirador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","El material explica que un caso real de seleccion de respirador exige combinar los tres ejes de clasificacion a partir de datos del ambiente. Que datos menciona el curso como necesarios?","D","Solo el nombre comercial del contaminante","Solo la marca del respirador","Solo la temperatura del local","El contaminante, su concentracion, el oxigeno disponible y el APF requerido","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material describe el PAPR (purificador motorizado a presion positiva) como mas comodo y protector que el APR de presion negativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","Segun el material, entre los respiradores purificadores, cual se describe como mas comodo y protector por trabajar a presion positiva?","A","El PAPR","El APR de presion negativa","La mascarilla quirurgica","El SCBA de demanda","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material cita entre los aerosoles particulados los polvos, nieblas, humos metalicos y bioaerosoles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","El material menciona los tipos de aerosoles particulados que pueden requerir proteccion respiratoria. Cual de las siguientes es una de las categorias citadas?","B","Gases nobles","Humos metalicos","Vapores de agua puros","Ozono estratosferico","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material indica que los filtros mecanicos para particulado se clasifican por su eficiencia y su resistencia al aceite.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","Segun el material, para el particulado se emplean filtros clasificados por dos criterios. Cuales son, segun el curso?","C","Color y peso","Marca y precio","Su eficiencia y su resistencia al aceite","Temperatura y humedad","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material resume que la seleccion no es opinion, sino un calculo basado en concentracion, limite de exposicion y APF requerido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","El material indica que la decision de seleccion de un respirador no es subjetiva. Con que frase resume el curso esta idea en el caso guiado?","D","La seleccion es cuestion de gusto","La seleccion depende del presupuesto","La seleccion la decide el proveedor","La seleccion no es opinion: es calculo","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material distingue purificadores (APR y PAPR) frente a los de suministro de aire (SAR y SCBA).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","Segun el material, el modo de operacion es uno de los tres ejes de clasificacion del respirador y distingue dos grupos por como obtienen el aire. Cual par corresponde a los purificadores frente a los de suministro?","A","APR y PAPR frente a SAR y SCBA","N95 y R95 frente a P100","Media cara frente a cara completa","Cartucho A frente a cartucho B","","","","","",""
"multiplechoice","PARV","S2 Vias y Clasificacion Respiratoria","Yes","¡Correcto! El material indica que el SCBA es para atmosferas IDLH (inmediatamente peligrosas) y deficiencia de oxigeno.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PARV.","1","Segun el material, el SCBA se reserva para las situaciones mas severas de la atmosfera. Que dos condiciones justifican su uso segun el curso?","B","Ruido alto y baja iluminacion","Atmosferas IDLH y deficiencia de oxigeno","Calor extremo y vibracion","Polvo grueso y buena ventilacion","","","","","",""
