"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MSQ","S1 GHS y Comunicacion de Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Unificar el sistema de clasificación y etiquetado de sustancias químicas a nivel global.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","De acuerdo con los contenidos del curso sobre manejo seguro de sustancias químicas en el entorno industrial, ¿Cuál fue uno de los principales objetivos del GHS al momento de su creación?","A","Unificar el sistema de clasificación y etiquetado de sustancias químicas a nivel global.","Desarrollar nuevas tecnologías para el manejo de desechos.","Eliminar completamente el uso de sustancias químicas peligrosas.","Incrementar la producción de sustancias químicas.","","","","","",""
"multiplechoice","MSQ","S2 Hojas de Datos de Seguridad SDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: 16.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","De acuerdo con los contenidos del curso sobre manejo seguro de sustancias químicas en el entorno industrial, ¿Cuántas secciones contiene una Hoja de Datos de Seguridad (SDS)?","C","10","12","16","8","","","","","",""
"multiplechoice","MSQ","S3 Inflamabilidad e Incompatibilidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Clase I, líquido inflamable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","De acuerdo con los contenidos del curso sobre manejo seguro de sustancias químicas en el entorno industrial, según la NFPA 30, ¿qué clasificación se le asigna a la gasolina?","B","Clase III, líquido que no se considera inflamable.","Clase I, líquido inflamable.","Clase II, líquido combustible.","Clase IIB, líquido no inflamable.","","","","","",""
"multiplechoice","MSQ","S4 Residuos y Respuesta a Emergencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un residuo que presenta inflamabilidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","De acuerdo con los contenidos del curso sobre manejo seguro de sustancias químicas en el entorno industrial, ¿Cuál es el principal criterio que define a un residuo como D001 según la normativa RCRA?","D","Un residuo que presenta características de corrosividad","Un residuo que es tóxico para los seres humanos","Un residuo que contiene metales pesados","Un residuo que presenta inflamabilidad","","","","","",""
"multiplechoice","MSQ","S5 EPP Clases de Peligro y Casos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Nivel D: Uso de ropa de trabajo estándar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","¿Cuál de los siguientes niveles de exposición es considerado el de mayor riesgo en un ambiente industrial donde se manejan sustancias químicas peligrosas?","A","Nivel D: Uso de ropa de trabajo estándar","Nivel C: Uso solo de guantes y gafas","Nivel A: Uso con respirador y traje completo","Nivel B: Uso con mascarilla y protección parcial","","","","","",""
"multiplechoice","MSQ","S1 GHS y Comunicacion de Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Requiere el uso de etiquetas estandarizadas y fichas de datos de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","Según el material formativo dedicado a la clasificación y comunicación de peligros químicos, ¿Cuál es uno de los elementos clave del HazCom 2012 en relación al GHS?","C","Fomenta la creación de nuevos compuestos químicos.","Prohíbe el uso de productos químicos en áreas cerradas.","Requiere el uso de etiquetas estandarizadas y fichas de datos de seguridad.","Establece normas para la eliminación de residuos tóxicos.","","","","","",""
"multiplechoice","MSQ","S2 Hojas de Datos de Seguridad SDS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Advertir sobre peligros potenciales y medidas de seguridad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","Según el material formativo dedicado a la clasificación y comunicación de peligros químicos, ¿Cuál es el propósito principal de una SDS?","B","Detallar requisitos administrativos para la manipulación","Advertir sobre peligros potenciales y medidas de seguridad","Proveer información de contacto de la empresa fabricante","Describir el proceso de manufactura del producto","","","","","",""
"multiplechoice","MSQ","S3 Inflamabilidad e Incompatibilidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Clase I, líquido inflamable.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","Según el material formativo dedicado a la clasificación y comunicación de peligros químicos, el tolueno es clasificado según la NFPA 30 como:","D","Clase II, líquido combustible.","Clase III, líquido no inflamable.","Clase IIIA, líquido inflamable.","Clase I, líquido inflamable.","","","","","",""
"multiplechoice","MSQ","S4 Residuos y Respuesta a Emergencias","Yes","¡Correcto! Segun el material del curso, lo correcto es: Residuos que son corrosivos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","Según el material formativo dedicado a la clasificación y comunicación de peligros químicos, ¿Qué tipo de residuo clasificarías como D002?","A","Residuos que son corrosivos","Residuos que presentan características de reactividad","Residuos que contienen sustancias volátiles","Residuos que son fáciles de oxidarse","","","","","",""
"multiplechoice","MSQ","S5 EPP Clases de Peligro y Casos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Concentración de vapores en el aire.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MSQ.","1","En el contexto de la gestión de riesgos químicos y la prevención de exposiciones abordado en el curso, en un escenario donde se manejan disolventes orgánicos, ¿qué medición sería fundamental al evaluar el nivel A de exposición?","C","Densidad de la sustancia","Humedad relativa","Concentración de vapores en el aire","Temperatura del ambiente","","","","","",""
