"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","ATSS","S1 Conceptos JSA JHA y Take 5","Yes","¡Correcto! Segun el material del curso, lo correcto es: El nivel de riesgo y complejidad de la tarea, que justifica un analisis formal o una verificacion rapida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","El material explica cuando conviene aplicar un JSA formal frente a una herramienta mas rapida. Que factor determina principalmente esta eleccion segun el curso?","A","El nivel de riesgo y complejidad de la tarea, que justifica un analisis formal o una verificacion rapida","El color del formato disponible en la oficina de la planta","La preferencia personal del trabajador sin considerar el riesgo","El orden alfabetico del nombre de la tarea a ejecutar","","","","","",""
"multiplechoice","ATSS","S2 Seleccion y Descomposicion Tareas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las tareas con mayor riesgo o consecuencias potencialmente graves para el personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","El curso menciona los criterios de prioridad para elegir tareas a analizar. Que tipo de tareas deberian priorizarse segun el enfoque presentado en el material?","C","Las tareas mas rapidas de ejecutar sin importar su riesgo","Las tareas que involucran al personal administrativo de oficina","Las tareas con mayor riesgo o consecuencias potencialmente graves para el personal","Las tareas de menor costo economico dentro del proyecto","","","","","",""
"multiplechoice","ATSS","S3 Identificacion de Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: En los peligros fisicos, que incluyen la radiacion entre sus subcategorias tipicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","El material incluye la radiacion UV, IR e ionizante dentro de una de las cinco categorias de peligros. En cual categoria se ubican estos tipos de radiacion?","B","En los peligros quimicos, junto con la inhalacion de vapores","En los peligros fisicos, que incluyen la radiacion entre sus subcategorias tipicas","En los peligros ergonomicos, junto con las posturas forzadas","En los peligros psicosociales, junto con la fatiga mental","","","","","",""
"multiplechoice","ATSS","S4 Jerarquia de Controles y EPP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Que debe explicarse por que se elige un nivel de control frente a los superiores disponibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","El material relaciona la jerarquia de controles con la seleccion justificada de medidas. Que significa que la seleccion de un control debe ser justificada en el analisis?","D","Que debe elegirse el control mas barato sin ninguna explicacion","Que debe aplicarse siempre el EPP sin evaluar alternativas","Que debe firmarse el documento sin registrar el control usado","Que debe explicarse por que se elige un nivel de control frente a los superiores disponibles","","","","","",""
"multiplechoice","ATSS","S5 Formato JSA e Integracion PTW","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite actualizar el analisis con las lecciones aprendidas tras un incidente ocurrido en la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","Segun el material del curso, que aporta la revision postincidente al documento JSA dentro de la gestion continua de la seguridad de las tareas?","A","Permite actualizar el analisis con las lecciones aprendidas tras un incidente ocurrido en la tarea","Permite eliminar el JSA una vez que ocurre un incidente","Permite calcular el costo de los danos del incidente","Permite reasignar el salario de los trabajadores implicados","","","","","",""
"multiplechoice","ATSS","S1 Conceptos JSA JHA y Take 5","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el Take 5 verifica condiciones justo antes de la tarea, pero no reemplaza la planificacion documentada del JSA.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","Segun el material del curso, por que el Take 5 se considera complementario y no sustituto del JSA en la gestion de la seguridad de las tareas?","C","Porque el Take 5 es mas costoso y por eso se usa en su lugar","Porque el Take 5 se aplica solo a tareas administrativas de oficina","Porque el Take 5 verifica condiciones justo antes de la tarea, pero no reemplaza la planificacion documentada del JSA","Porque el Take 5 elimina la necesidad de identificar peligros","","","","","",""
"multiplechoice","ATSS","S2 Seleccion y Descomposicion Tareas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque un nivel de detalle adecuado permite identificar peligros sin ocultarlos ni dispersar el analisis.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","Segun el material, por que acertar la granularidad se considera una habilidad critica en la descomposicion de la tarea para el analisis de seguridad?","B","Porque la granularidad determina el salario de los ejecutantes","Porque un nivel de detalle adecuado permite identificar peligros sin ocultarlos ni dispersar el analisis","Porque la granularidad define el presupuesto anual de la planta","Porque la granularidad reemplaza la evaluacion de riesgos","","","","","",""
"multiplechoice","ATSS","S3 Identificacion de Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ordena la identificacion y permite asociar cada peligro con controles adecuados a su naturaleza.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","Segun el material del curso, que aporta clasificar los peligros en categorias antes de definir los controles de una tarea de alto riesgo?","D","Reduce el numero de firmas necesarias en el documento final","Elimina la necesidad de descomponer la tarea en pasos","Determina el color del formato del analisis de seguridad","Ordena la identificacion y permite asociar cada peligro con controles adecuados a su naturaleza","","","","","",""
"multiplechoice","ATSS","S4 Jerarquia de Controles y EPP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque los niveles superiores ofrecen mayor proteccion al actuar sobre la fuente del peligro y no solo sobre el trabajador.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","Segun el material, por que la jerarquia de controles obliga a agotar los niveles superiores antes de descender a medidas como el EPP?","A","Porque los niveles superiores ofrecen mayor proteccion al actuar sobre la fuente del peligro y no solo sobre el trabajador","Porque los niveles superiores son siempre los mas economicos","Porque el EPP no puede usarse en ningun tipo de tarea","Porque los niveles inferiores eliminan la fuente del peligro","","","","","",""
"multiplechoice","ATSS","S5 Formato JSA e Integracion PTW","Yes","¡Correcto! Segun el material del curso, lo correcto es: La seccion de personal, que registra quien elaboro, quien reviso desde HSE y quien aprobo el analisis.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso ATSS.","1","El material describe las secciones del formato JSA. Ademas del encabezado, que seccion identifica a quienes elaboran, revisan y aprueban el analisis de la tarea?","C","La seccion de facturacion de los materiales de la tarea","La seccion de horarios de almuerzo de la cuadrilla","La seccion de personal, que registra quien elaboro, quien reviso desde HSE y quien aprobo el analisis","La seccion de inventario del almacen de herramientas","","","","","",""
