"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! La estructura de alto nivel HLS del Annex SL.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el material, que estructura comun introdujo la sexta edicion 2015 de ISO 9001 para los sistemas de gestion.","B","La metodologia Seis Sigma","La estructura de alto nivel HLS del Annex SL","El ciclo de vida del producto","La norma ISO 31000","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! Diez clausulas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","De acuerdo con el contenido, cuantas clausulas identicas comparten las normas ISO bajo la estructura HLS.","C","Cinco clausulas","Siete clausulas","Diez clausulas","Quince clausulas","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! ISO 9001:2015.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el documento, que norma corresponde a los sistemas de gestion de calidad, requisitos.","A","ISO 9001:2015","ISO 14001:2015","ISO 45001:2018","ISO 22301","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! Seguridad y salud en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Conforme al material, a que sistema de gestion corresponde la norma ISO 45001:2018.","D","Gestion ambiental","Gestion de calidad","Continuidad del negocio","Seguridad y salud en el trabajo","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! Facilita la integracion y lectura alineada de las normas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el documento, que beneficio principal aporta el Annex SL a las organizaciones con varias normas ISO.","B","Elimina la necesidad de auditorias","Facilita la integracion y lectura alineada de las normas","Reduce el precio de los productos","Sustituye a la alta direccion","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! ISO 9000:2015.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","De acuerdo con el material, que norma corresponde a fundamentos y vocabulario de la calidad.","C","ISO 9004:2018","ISO 45001:2018","ISO 9000:2015","ISO 14001:2015","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! Una terminologia comun y subclausulas equivalentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el contenido, que aporta la estructura HLS respecto de la terminologia entre normas ISO.","A","Una terminologia comun y subclausulas equivalentes","Terminologia distinta para cada norma","La eliminacion de definiciones","Un vocabulario exclusivo de calidad","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! A Health, Safety, Environment and Quality.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Conforme al documento, a que se refiere la sigla HSEQ empleada en el curso.","D","Solo a calidad","Solo a seguridad","A higiene y estadistica","A Health, Safety, Environment and Quality","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! Comparar concepto, objeto y utilidad de cada estandar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el contenido, cual es la finalidad de usar tarjetas de volteo sobre los estandares aplicables.","B","Fijar precios de certificacion","Comparar concepto, objeto y utilidad de cada estandar","Sustituir la norma original","Eliminar la necesidad de estudio","","","","","",""
"multiplechoice","I9H","C1 HLS y Estandares ISO","Yes","¡Correcto! High Level Structure, estructura comun de los sistemas ISO.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","De acuerdo con el documento, que representa el termino HLS dentro del glosario del curso.","A","High Level Structure, estructura comun de los sistemas ISO","Hazard Level Scale","High Load Safety","Health Laboratory Standard","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! La comprension de las partes interesadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","De acuerdo con el contenido, que exige la clausula 4.2 de ISO 9001:2015.","C","La revision por la direccion","El control de no conformidades","La comprension de las partes interesadas","El calculo de indicadores","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! La determinacion del alcance del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el documento, que determina la clausula 4.3 de ISO 9001:2015.","B","La politica de calidad","La determinacion del alcance del sistema","El programa de auditoria","El tratamiento de riesgos","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! Al sistema de gestion y sus procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Conforme al material, a que se refiere la clausula 4.4 de ISO 9001:2015.","D","A la comunicacion externa","A la competencia del personal","A la mejora del producto","Al sistema de gestion y sus procesos","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! El liderazgo y compromiso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el contenido, que establece la clausula 5.1 de ISO 9001:2015.","A","El liderazgo y compromiso","El control operacional","La informacion documentada","El seguimiento y medicion","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! La politica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","De acuerdo con el documento, que define la clausula 5.2 de ISO 9001:2015.","C","El alcance del sistema","La evaluacion del desempeno","La politica","El diseno y desarrollo","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! No verse afectada por emergencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el contenido, que expectativa HSE se vincula a la comunidad vecina en el ejemplo de partes interesadas.","B","Recibir dividendos","No verse afectada por emergencias","Fijar precios","Auditar a la empresa","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! Las cuestiones internas y externas pertinentes al sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Conforme al documento, que se determina al analizar el contexto de la organizacion segun la Cl. 4.1.","D","El precio de venta","El numero de empleados a despedir","La marca comercial","Las cuestiones internas y externas pertinentes al sistema","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! Una cuadricula.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el material, que herramienta visual se usa para ubicar subclausulas y su proposito en la sesion 2.","A","Una cuadricula","Un video musical","Un contrato comercial","Un balance financiero","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! Demuestra compromiso y direccion del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","De acuerdo con el contenido, que rol cumple el liderazgo dentro del sistema de gestion segun la Cl. 5.","C","Es opcional y sin efecto","Se limita a la publicidad","Demuestra compromiso y direccion del sistema","Sustituye a la auditoria","","","","","",""
"multiplechoice","I9H","C2 Contexto y Liderazgo","Yes","¡Correcto! El sistema de gestion y sus procesos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso I9H.","1","Segun el material, que sistema y elementos aborda la Cl. 4.4 dentro de la organizacion.","B","Solo el area de ventas","El sistema de gestion y sus procesos","Unicamente la contabilidad","Solo el marketing","","","","","",""
