"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MDP","S1 Siniestralidad Vial y MTC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los documentos del vehiculo y del conductor como la licencia el certificado de inspeccion y el seguro exigidos por la normativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Conforme al material del curso, que documentacion resulta obligatoria llevar en el vehiculo durante su circulacion por las vias publicas del pais?","A","Los documentos del vehiculo y del conductor como la licencia el certificado de inspeccion y el seguro exigidos por la normativa","Unicamente el manual de usuario del vehiculo elaborado por el fabricante","Solo la factura de compra del vehiculo entregada por el concesionario","Exclusivamente el registro de asistencia del conductor de la empresa","","","","","",""
"multiplechoice","MDP","S2 Inspeccion Vehicular Previa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verifica de forma sistematica los sistemas de seguridad y funcionamiento del vehiculo y reporta los defectos detectados antes del viaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Conforme al material del curso, que caracteriza a una inspeccion previa del vehiculo bien realizada antes de iniciar la conduccion?","C","Verifica unicamente el color de la pintura del vehiculo antes del viaje","Revisa solo el nivel de combustible sin evaluar los sistemas de seguridad","Verifica de forma sistematica los sistemas de seguridad y funcionamiento del vehiculo y reporta los defectos detectados antes del viaje","Comprueba exclusivamente la marca comercial del vehiculo antes de conducir","","","","","",""
"multiplechoice","MDP","S3 Manejo Defensivo Claves Smith","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite explorar constantemente el entorno detectar peligros a tiempo y evitar puntos ciegos durante la conduccion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Conforme al material del curso, por que mantener la vista en movimiento es una practica del manejo defensivo al conducir?","B","Porque mantener la vista en movimiento determina el precio del vehiculo","Porque permite explorar constantemente el entorno detectar peligros a tiempo y evitar puntos ciegos durante la conduccion","Porque mantener la vista en movimiento establece el horario de las oficinas","Porque mantener la vista en movimiento reduce el consumo de combustible","","","","","",""
"multiplechoice","MDP","S4 Fatiga y Somnolencia al Conducir","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque la falta de estimulos en trayectos largos y uniformes reduce el estado de alerta favoreciendo la somnolencia del conductor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Conforme al material del curso, por que la monotonia de la via puede contribuir a la aparicion de la fatiga al conducir?","D","Porque la monotonia de la via determina el precio de venta del vehiculo","Porque la monotonia de la via establece el horario de atencion de las oficinas","Porque la monotonia de la via reduce el consumo de combustible del vehiculo","Porque la falta de estimulos en trayectos largos y uniformes reduce el estado de alerta favoreciendo la somnolencia del conductor","","","","","",""
"multiplechoice","MDP","S5 Distracciones Alcohol y Medicamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite mantener las manos en el volante y la atencion en la via aunque no elimina por completo la distraccion cognitiva de la conversacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Conforme al material del curso, por que el uso del sistema de manos libres reduce el riesgo asociado al telefono movil al conducir?","A","Porque permite mantener las manos en el volante y la atencion en la via aunque no elimina por completo la distraccion cognitiva de la conversacion","Porque el manos libres determina el precio de venta del vehiculo del conductor","Porque el manos libres establece el horario de atencion de las oficinas","Porque el manos libres reduce el consumo de combustible del vehiculo","","","","","",""
"multiplechoice","MDP","S1 Siniestralidad Vial y MTC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque establece condiciones y conductas seguras para conductores y vehiculos que reducen la probabilidad de accidentes en las vias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Tal como indica el material del curso, por que el cumplimiento de las normas del ministerio de transporte contribuye a la seguridad vial?","C","Porque el cumplimiento de las normas determina el precio de los vehiculos","Porque el cumplimiento de las normas establece el horario de las oficinas","Porque establece condiciones y conductas seguras para conductores y vehiculos que reducen la probabilidad de accidentes en las vias","Porque el cumplimiento de las normas reduce el consumo de combustible","","","","","",""
"multiplechoice","MDP","S2 Inspeccion Vehicular Previa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque garantizan la visibilidad y la senalizacion hacia otros conductores lo que es esencial para circular de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Tal como indica el material del curso, por que las luces del vehiculo deben verificarse durante la inspeccion previa a la conduccion?","B","Porque las luces determinan el precio de venta del vehiculo en el mercado","Porque garantizan la visibilidad y la senalizacion hacia otros conductores lo que es esencial para circular de forma segura","Porque las luces establecen el horario de atencion de las oficinas de transito","Porque las luces reducen el consumo de combustible del vehiculo durante el viaje","","","","","",""
"multiplechoice","MDP","S3 Manejo Defensivo Claves Smith","Yes","¡Correcto! Segun el material del curso, lo correcto es: Anticipa los peligros mantiene la observacion del entorno conserva distancias seguras y toma decisiones preventivas al conducir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Tal como indica el material del curso, que caracteriza a un conductor que aplica los principios del manejo defensivo en la via?","D","Conduce a maxima velocidad confiando en la reaccion rapida ante los peligros","Reduce la distancia de seguimiento para avanzar mas rapido en el trafico","Prescinde del uso de los espejos y la senalizacion durante las maniobras","Anticipa los peligros mantiene la observacion del entorno conserva distancias seguras y toma decisiones preventivas al conducir","","","","","",""
"multiplechoice","MDP","S4 Fatiga y Somnolencia al Conducir","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar pausas mantenerse hidratado evitar la conduccion prolongada y reconocer los sintomas que afectan la capacidad de conducir.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Tal como indica el material del curso, que medidas se pueden tomar para aumentar la seguridad al conducir en altitudes elevadas?","A","Realizar pausas mantenerse hidratado evitar la conduccion prolongada y reconocer los sintomas que afectan la capacidad de conducir","Aumentar la velocidad para superar rapidamente el tramo de altitud elevada","Conducir sin pausas para reducir el tiempo de exposicion a la altitud","Consumir bebidas energeticas de forma continua para evitar detenerse","","","","","",""
"multiplechoice","MDP","S5 Distracciones Alcohol y Medicamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es cualquier actividad que desvia la atencion de la conduccion reduciendo la capacidad de percibir peligros y reaccionar a tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Tal como indica el material del curso, que caracteriza a una distraccion al conducir y por que representa un riesgo para la seguridad vial?","C","Es una actividad que mejora la concentracion del conductor durante el viaje","Es un factor que determina el precio de venta del vehiculo del conductor","Es cualquier actividad que desvia la atencion de la conduccion reduciendo la capacidad de percibir peligros y reaccionar a tiempo","Es un elemento que establece el horario de atencion de las oficinas de transito","","","","","",""
"multiplechoice","MDP","S1 Siniestralidad Vial y MTC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Perdidas por danos materiales atencion de lesionados y costos derivados de la interrupcion de la actividad de transporte.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Segun el material del curso, que consecuencia economica puede derivarse de un accidente de transito en el ambito del transporte?","B","Un incremento del precio de venta de los vehiculos en el mercado nacional","Perdidas por danos materiales atencion de lesionados y costos derivados de la interrupcion de la actividad de transporte","Un cambio en el horario de atencion de las oficinas administrativas de transito","Una reduccion del consumo de combustible de los vehiculos que circulan","","","","","",""
"multiplechoice","MDP","S2 Inspeccion Vehicular Previa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite asegurar el correcto funcionamiento del motor los frenos y otros sistemas evitando fallas por niveles inadecuados durante el viaje.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Segun el material del curso, cual es la importancia de verificar los niveles de fluidos del vehiculo durante la inspeccion previa?","D","Permite determinar el precio de venta del vehiculo inspeccionado en el mercado","Permite establecer el horario de atencion de las oficinas administrativas de transito","Permite reducir el consumo de combustible del vehiculo durante el viaje","Permite asegurar el correcto funcionamiento del motor los frenos y otros sistemas evitando fallas por niveles inadecuados durante el viaje","","","","","",""
"multiplechoice","MDP","S3 Manejo Defensivo Claves Smith","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque estructura el aprendizaje en etapas que desarrollan progresivamente las competencias y los habitos de conduccion segura del conductor.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Segun el material del curso, por que la implementacion de las etapas del metodo CATEFL contribuye a formar conductores mas seguros?","A","Porque estructura el aprendizaje en etapas que desarrollan progresivamente las competencias y los habitos de conduccion segura del conductor","Porque las etapas determinan el precio de venta del vehiculo del conductor","Porque las etapas establecen el horario de atencion de las oficinas","Porque las etapas reducen el consumo de combustible del vehiculo","","","","","",""
"multiplechoice","MDP","S4 Fatiga y Somnolencia al Conducir","Yes","¡Correcto! Segun el material del curso, lo correcto es: La menor visibilidad y la mayor somnolencia que reducen la capacidad del conductor para percibir peligros y reaccionar a tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Segun el material del curso, cual es uno de los principales riesgos asociados a la conduccion nocturna en carretera para el conductor de un vehiculo?","C","El aumento del precio de venta del vehiculo del conductor en el mercado","El cambio del horario de atencion de las oficinas administrativas de transito","La menor visibilidad y la mayor somnolencia que reducen la capacidad del conductor para percibir peligros y reaccionar a tiempo","La reduccion del consumo de combustible del vehiculo durante el viaje nocturno","","","","","",""
"multiplechoice","MDP","S5 Distracciones Alcohol y Medicamentos","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el alcohol deteriora las capacidades del conductor y aumenta el riesgo de accidentes por lo que la normativa lo prohibe y sanciona.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","Segun el material del curso, por que la combinacion de alcohol y conduccion esta prohibida y sancionada por la normativa vial?","B","Porque la combinacion de alcohol y conduccion determina el precio del vehiculo","Porque el alcohol deteriora las capacidades del conductor y aumenta el riesgo de accidentes por lo que la normativa lo prohibe y sanciona","Porque la combinacion de alcohol y conduccion establece el horario de las oficinas","Porque la combinacion de alcohol y conduccion reduce el consumo de combustible","","","","","",""
"multiplechoice","MDP","S1 Siniestralidad Vial y MTC","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque la multa y la afectacion de la licencia desincentivan el exceso de velocidad que es una causa frecuente de accidentes viales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","De acuerdo con el material del curso, por que la sancion por exceso de velocidad busca modificar la conducta del conductor?","D","Porque la sancion determina el precio del vehiculo utilizado por el conductor","Porque la sancion establece el horario de atencion de las oficinas de transito","Porque la sancion reduce el consumo de combustible del vehiculo del conductor","Porque la multa y la afectacion de la licencia desincentivan el exceso de velocidad que es una causa frecuente de accidentes viales","","","","","",""
"multiplechoice","MDP","S2 Inspeccion Vehicular Previa","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque el estado del vehiculo puede variar entre viajes y la revision antes de cada trayecto asegura que este en condiciones seguras.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","De acuerdo con el material del curso, por que la inspeccion previa debe realizarse antes de cada viaje y no solo de forma ocasional?","A","Porque el estado del vehiculo puede variar entre viajes y la revision antes de cada trayecto asegura que este en condiciones seguras","Porque realizarla antes de cada viaje determina el precio de venta del vehiculo","Porque realizarla antes de cada viaje establece el horario de las oficinas","Porque realizarla antes de cada viaje reduce el consumo de combustible del vehiculo","","","","","",""
"multiplechoice","MDP","S3 Manejo Defensivo Claves Smith","Yes","¡Correcto! Segun el material del curso, lo correcto es: Le permite adoptar conductas preventivas y anticiparse a los riesgos reduciendo su participacion en accidentes de transito.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","De acuerdo con el material del curso, cual es la ventaja de que el conductor asuma la responsabilidad de su propia seguridad vial?","C","Le permite determinar el precio de venta de su vehiculo en el mercado","Le permite establecer el horario de atencion de las oficinas de transito","Le permite adoptar conductas preventivas y anticiparse a los riesgos reduciendo su participacion en accidentes de transito","Le permite reducir el consumo de combustible de su vehiculo durante el viaje","","","","","",""
"multiplechoice","MDP","S4 Fatiga y Somnolencia al Conducir","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite que el conductor recupere el estado de alerta evitando prolongar la conduccion mas alla de sus limites de forma segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MDP.","1","De acuerdo con el material del curso, por que la planificacion de descansos es una medida clave en la gestion de la fatiga al conducir?","B","Porque la planificacion de descansos determina el precio de venta del vehiculo","Porque permite que el conductor recupere el estado de alerta evitando prolongar la conduccion mas alla de sus limites de forma segura","Porque la planificacion de descansos establece el horario de las oficinas","Porque la planificacion de descansos reduce el consumo de combustible del vehiculo","","","","","",""
