"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reglamentar las condiciones de seguridad y salud en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas de, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el objetivo principal de la Ley 29783 en el contexto laboral peruano?","A","Reglamentar las condiciones de seguridad y salud en el trabajo.","Definir las funciones de SUNAFIL.","Establecer sanciones para los empleadores que incumplen con la ley.","Promover la cultura de prevencion en el lugar de trabajo.","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: SUNAFIL.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que organismo es responsable de la fiscalizacion de las infracciones a la Ley 29783?","C","La Direccion General de Seguridad y Salud en el Trabajo.","El Ministerio de Trabajo.","SUNAFIL.","La Superintendencia de Salud.","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: El articulo 168-A establece directrices sobre la proteccion del derecho a la seguridad y salud de los trabajadores, enfatiza la obligacion del empleador en garantizar condiciones s.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Con base en el material del curso Especialista en Aplicacion y Evaluacion de las Normas de y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Describe la importancia del articulo 168-A en la Ley 29783.","B","Abarcar como la retroalimentacion se utiliza para evaluar la eficacia de las medidas de seguridad implementadas y adaptar las politicas segun las necesidades emergentes del entorno laboral.","El articulo 168-A establece directrices sobre la proteccion del derecho a la seguridad y salud de los trabajadores, enfatiza la obligacion del empleador en garantizar condiciones s","Un mapa de riesgos es una representacion grafica que muestra la ubicacion y el nivel de riesgo en un espacio de trabajo determinado.","El Instrumento Andino tiene como proposito alinear las politicas de seguridad y salud en el trabajo entre los paises miembros, promoviendo estandares similares y regulaciones que f","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Son sanciones economicas que se imponen a las empresas por incumplimiento de normativas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual de las siguientes opciones describe mejor las infracciones en unidades impositivas tributarias (UIT) relacionadas con la Ley 29783?","D","Son penalidades aplicadas unicamente a los trabajadores que no cumplen las normas de seguridad.","Son los informes que se deben presentar a SUNAFIL cada mes.","Son alguna de las capacitaciones que deben recibir los empleados.","Son sanciones economicas que se imponen a las empresas por incumplimiento de normativas.","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: El Instrumento Andino tiene como proposito alinear las politicas de seguridad y salud en el trabajo entre los paises miembros, promoviendo estandares similares y regulaciones que f.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Explique brevemente el proposito del Instrumento Andino en relacion con la Ley 29783.","B","La senializacion es una herramienta critica de comunicacion visual, destinada a advertir, informar y guiar a los trabajadores sobre los riesgos presentes en el ambiente laboral.","El Instrumento Andino tiene como proposito alinear las politicas de seguridad y salud en el trabajo entre los paises miembros, promoviendo estandares similares y regulaciones que f","Factores como el tipo de actividad laboral, las condiciones del ambiente de trabajo (iluminacion, ruido, temperatura), la maquinaria utilizada, y las caracteristicas de los trabajadores (experiencia, salud, formacion).","El evaluador debe contar con formacion especializada en psicologia laboral o una disciplina afin, asi como experiencia en el manejo de evaluaciones psicosociales.","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reducir accidentes laborales y promover la salud de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual es el objetivo principal de un Comite de Seguridad y Salud en el Trabajo?","D","Elaborar politicas de la empresa sin considerar la seguridad.","Aumentar la produccion a costa de la seguridad.","Supervisar unicamente el cumplimiento de normas externas.","Reducir accidentes laborales y promover la salud de los trabajadores.","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un liderazgo efectivo en la gestion de seguridad y salud laboral debe abarcar la capacidad de inspirar y motivar al equipo, fomentar la comunicacion abierta, y demostrar un comprom.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas de, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Que caracteristicas definen un liderazgo efectivo en la gestion de seguridad y salud laboral?","A","Un liderazgo efectivo en la gestion de seguridad y salud laboral debe abarcar la capacidad de inspirar y motivar al equipo, fomentar la comunicacion abierta, y demostrar un comprom","El evaluador debe contar con formacion especializada en psicologia laboral o una disciplina afin, asi como experiencia en el manejo de evaluaciones psicosociales.","Las relaciones PL (Punto de Liderazgo) y PLr (Punto de Liderazgo representativo) se refieren a los niveles de responsabilidad y compromiso en la gestion de la seguridad dentro de las organizaciones.","Un diagnostico de riesgos es crucial en la gestion de SST, ya que permite identificar y evaluar los riesgos potenciales que afectan la seguridad y salud de los trabajadores.","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantiza que se implementen y cumplan las politicas establecidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que papel juega el Supervisor en el cumplimiento de las politicas de seguridad y salud laboral?","C","Solo reporta accidentes sin proponer soluciones.","Desarrolla nuevas politicas sin necesidad de consulta.","Garantiza que se implementen y cumplan las politicas establecidas.","Es un espectador que no influye en la cultura de seguridad.","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: El RISST, que se refiere al Registro e Informacion de Seguridad y Salud en el Trabajo, es crucial en la gestion de la seguridad laboral porque permite sistematizar datos sobre acci.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Explique la importancia del RISST en la gestion de la seguridad en el trabajo.","C","La distincion de funciones y responsabilidades de los miembros del equipo: el vigilante, que supervisa el acceso y la seguridad externa, el rescatista, que es responsable de realiz","Un liderazgo efectivo en la gestion de seguridad y salud laboral debe abarcar la capacidad de inspirar y motivar al equipo, fomentar la comunicacion abierta, y demostrar un comprom","El RISST, que se refiere al Registro e Informacion de Seguridad y Salud en el Trabajo, es crucial en la gestion de la seguridad laboral porque permite sistematizar datos sobre acci","Factores como el tipo de actividad laboral, las condiciones del ambiente de trabajo (iluminacion, ruido, temperatura), la maquinaria utilizada, y las caracteristicas de los trabajadores (experiencia, salud, formacion).","","","","","",""
"multiplechoice","EAEPE","C1 Marco Legal Ley 29783 Peru","Yes","¡Correcto! Segun el material del curso, lo correcto es: La tasa de accidentes laborales y enfermedades ocupacionales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual de los siguientes criterios es fundamental para evaluar la efectividad de un programa de seguridad y salud en el trabajo?","A","La tasa de accidentes laborales y enfermedades ocupacionales.","La frecuencia de reuniones del Comite con fines informativos.","La cantidad de cursos de capacitacion realizados.","El numero de normas de seguridad establecidas sin implementacion.","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar y evaluar riesgos para implementar acciones de control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","De acuerdo con los fundamentos presentados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Cual es la principal finalidad del IPERC en el ambito laboral?","A","Identificar y evaluar riesgos para implementar acciones de control","Mantener todos los equipos en perfecto estado","Aumentar la productividad de los empleados","Reducir el costo de operacion de la empresa","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un mapa de riesgos es una representacion grafica que muestra la ubicacion y el nivel de riesgo en un espacio de trabajo determinado.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Explica que es un mapa de riesgos y cual es su importancia en la gestion de seguridad y salud en el trabajo.","C","El RISST, que se refiere al Registro e Informacion de Seguridad y Salud en el Trabajo, es crucial en la gestion de la seguridad laboral porque permite sistematizar datos sobre acci","El articulo 168-A establece directrices sobre la proteccion del derecho a la seguridad y salud de los trabajadores, enfatiza la obligacion del empleador en garantizar condiciones s","Un mapa de riesgos es una representacion grafica que muestra la ubicacion y el nivel de riesgo en un espacio de trabajo determinado.","La definicion del PETAR (Plan de Emergencia y Actuacion en Riesgo), su papel en la identificacion y control de riesgos relevantes, y como se implementa para prevenir accidentes laborales.","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Sustitucion del peligro por una opcion mas segura.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Dentro de la jerarquia de controles, cual de las siguientes opciones representa la medida mas efectiva para reducir riesgos?","B","Capacitacion de los empleados","Sustitucion del peligro por una opcion mas segura","Uso de equipos de proteccion personal (EPP)","Senializacion de advertencia en el area de riesgo","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar la legalidad y cumplimiento normativo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual es el objetivo principal de llevar registros obligatorios en el sistema de gestion de seguridad y salud en el trabajo?","D","Aumentar la eficiencia operativa de la empresa","Monitorear el desempenio financiero de la empresa","Ofrecer incentivos economicos a los trabajadores","Garantizar la legalidad y cumplimiento normativo","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: La priorizacion de los riesgos se debe realizar en funcion de criterios como la severidad del danio potencial, la frecuencia de exposicion y la probabilidad de ocurrencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Describe como se deben priorizar los riesgos en un entorno laboral segun el IPERC.","B","Las relaciones PL (Punto de Liderazgo) y PLr (Punto de Liderazgo representativo) se refieren a los niveles de responsabilidad y compromiso en la gestion de la seguridad dentro de las organizaciones.","La priorizacion de los riesgos se debe realizar en funcion de criterios como la severidad del danio potencial, la frecuencia de exposicion y la probabilidad de ocurrencia.","Un mapa de riesgos es una representacion grafica que muestra la ubicacion y el nivel de riesgo en un espacio de trabajo determinado.","El evaluador debe contar con formacion especializada en psicologia laboral o una disciplina afin, asi como experiencia en el manejo de evaluaciones psicosociales.","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Guia de Evaluacion de Riesgos Psicosociales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual de los siguientes documentos es clave en la evaluacion de Emociones en el Trabajo (EMO) segun las normativas del MINSA?","D","Reglamento Interno de Trabajo","Programa de Atencion Integral","Manual de Capacitacion del Personal","Guia de Evaluacion de Riesgos Psicosociales","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: La relevancia del contenido para los riesgos especificos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: En el contexto de la capacitacion, que aspecto es esencial para garantizar la efectividad de los programas de formacion en seguridad y salud laboral?","A","La relevancia del contenido para los riesgos especificos","La duracion del curso","La cantidad de participantes","El uso de tecnologia avanzada","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Anualmente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Segun los protocolos del MINSA, cual es la frecuencia recomendada para llevar a cabo evaluaciones de EMO en las organizaciones?","C","Cada tres meses","Cada dos anios","Anualmente","Cada seis meses","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: El evaluador debe contar con formacion especializada en psicologia laboral o una disciplina afin, asi como experiencia en el manejo de evaluaciones psicosociales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Describa los criterios que deben considerarse al seleccionar a los evaluadores de EMO en una empresa.","C","Enfatizar que la capacitacion es fundamental ya que asegura que todos los empleados conozcan los protocolos y procedimientos relevantes ante una emergencia.","El RISST, que se refiere al Registro e Informacion de Seguridad y Salud en el Trabajo, es crucial en la gestion de la seguridad laboral porque permite sistematizar datos sobre acci","El evaluador debe contar con formacion especializada en psicologia laboral o una disciplina afin, asi como experiencia en el manejo de evaluaciones psicosociales.","El arco electrico es una descarga electrica luminosa que ocurre cuando existe una ruptura en el aislamiento de un conductor y se genera una ionizacion del aire, permitiendo que la corriente fluya.","","","","","",""
"multiplechoice","EAEPE","C2 SGSST Politica y Comite","Yes","¡Correcto! Segun el material del curso, lo correcto es: Minimizar los riesgos laborales y mejorar el bienestar de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual es el principal objetivo de los agentes ocupacionales en el ambito de la seguridad y salud en el trabajo?","A","Minimizar los riesgos laborales y mejorar el bienestar de los trabajadores.","Implementar sanciones por incumplimiento de reglas.","Aumentar la productividad sin considerar la seguridad.","Modificar los ambientes laborales para maximizar el confort.","","","","","",""
"multiplechoice","EAEPE","C3 IPERC y Registros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar las condiciones de trabajo y los riesgos a los que estaran expuestos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Segun el RM 375-2008-TR, cual es fundamental en la seleccion de EPP (Equipos de Proteccion Personal)?","A","Evaluar las condiciones de trabajo y los riesgos a los que estaran expuestos.","Ajuste y comodidad del equipo para el usuario.","Recomendaciones del proveedor de EPP.","Costo del equipo en el mercado.","","","","","",""
"multiplechoice","EAEPE","C3 IPERC y Registros","Yes","¡Correcto! Segun el material del curso, lo correcto es: La senializacion es una herramienta critica de comunicacion visual, destinada a advertir, informar y guiar a los trabajadores sobre los riesgos presentes en el ambiente laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPE.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de las Normas de sobre este tema especifico y las buenas practicas descritas en el material, responde: Define y explica la importancia de la senializacion en el trabajo.","C","Un diagnostico de riesgos es crucial en la gestion de SST, ya que permite identificar y evaluar los riesgos potenciales que afectan la seguridad y salud de los trabajadores.","El riesgo psicosocial se refiere a aquellos factores del entorno laboral que pueden afectar la salud mental y el bienestar de los trabajadores, incluyendo el estres laboral, la car","La senializacion es una herramienta critica de comunicacion visual, destinada a advertir, informar y guiar a los trabajadores sobre los riesgos presentes en el ambiente laboral.","Una respuesta correcta deberia incluir elementos como: la claridad y especificidad del contenido, la oportunidad en la entrega de la notificacion, la identificacion del responsable","","","","","",""
