"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! Un peligro es una fuente o situacion con capacidad de causar dano, aunque todavia no haya ocurrido el incidente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material del curso, como se define un peligro en el contexto de la seguridad industrial aplicada al entorno de planta y operaciones?","B","Como la probabilidad estimada de que un dano ocurra durante una tarea","Como una fuente o situacion con capacidad de causar dano","Como el registro de un incidente ya ocurrido en la planta","Como la medida de control aplicada para reducir un dano","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! El riesgo estima que tan probable y que tan grave podria ser el dano, a diferencia del peligro que solo describe el potencial de dano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","De acuerdo con el documento, que describe el concepto de riesgo frente al de peligro dentro del analisis de seguridad industrial?","C","La sola presencia de una fuente potencial de dano en el entorno","El resultado ya materializado de un accidente laboral","La combinacion de que tan probable y que tan grave podria ser el dano","La accion correctiva registrada tras una inspeccion","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! Distinguir peligro de riesgo evita concentrarse en el problema equivocado y permite disenar controles que realmente reduzcan lo que causa el dano.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material, por que es una habilidad practica de prevencion distinguir con claridad entre peligro y riesgo en el trabajo industrial?","A","Porque permite evitar concentrarse en el problema equivocado y disenar controles que si reduzcan el dano","Porque elimina la necesidad de realizar inspecciones periodicas","Porque sustituye por completo el uso de equipos de proteccion","Porque reduce el numero de normas que deben citarse","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! Las fallas se explican por actos inseguros y condiciones inseguras, conceptos clave del analisis de seguridad industrial.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Conforme al documento, que tipo de causas explican por que ocurren las fallas en el trabajo segun el enfoque de analisis de seguridad?","D","Solo causas economicas relacionadas con el presupuesto","Unicamente causas climaticas externas a la planta","Exclusivamente fallas de los proveedores de materia prima","Actos inseguros y condiciones inseguras","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! La prevencion es el enfoque que orienta la seguridad industrial a actuar antes de que el incidente y el dano ocurran.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material, cual es el enfoque que orienta la seguridad industrial hacia actuar antes de que ocurra el dano?","A","La prevencion","La reparacion posterior al accidente","La compensacion economica del trabajador","La certificacion externa anual","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! Un ejemplo de peligro como propiedad del entorno es una parte movil de una maquina con potencial de contacto o atrapamiento.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","De acuerdo con el documento, que ejemplo corresponde a un peligro entendido como propiedad del entorno o del proceso en una planta?","B","La cantidad de accidentes registrados el ano anterior","Una parte movil de una maquina con riesgo de atrapamiento","El costo de reponer un equipo danado","El numero de trabajadores por turno","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! Un buen analisis convierte las observaciones cotidianas en decisiones de mejora preventiva.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material, que se logra cuando un buen analisis de seguridad convierte las observaciones del dia a dia en informacion util?","C","Se elimina la necesidad de mantener registros","Se reduce el numero de trabajadores necesarios","Se transforman las observaciones en decisiones de mejora","Se sustituye la jerarquia de controles por el uso de EPP","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! Definir la seguridad solo como evitar accidentes es insuficiente: la practica efectiva usa conceptos para detectar peligros, estimar riesgos y actuar con controles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Conforme al documento, cual es la limitacion de definir la seguridad industrial simplemente como evitar accidentes de acuerdo con lo expuesto en el contenido tecnico del curso?","D","Que exige demasiados recursos economicos","Que obliga a contratar mas personal de inspeccion","Que impide citar normas internacionales","Que la practica efectiva requiere conceptos para detectar, estimar y actuar sobre los riesgos","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! El peligro por si solo describe el potencial de dano presente, sin indicar la probabilidad ni la gravedad de las consecuencias.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material, que aporta el peligro por si solo al analisis, sin considerar la probabilidad ni la gravedad de las consecuencias?","A","Describe el potencial de dano presente en el entorno o proceso","Indica de forma exacta cuando ocurrira el accidente","Determina automaticamente la medida de control necesaria","Calcula el costo del incidente para la empresa","","","","","",""
"multiplechoice","SILA","S1 Fundamentos y Peligros","Yes","¡Correcto! El riesgo incorpora la probabilidad de que el dano ocurra y la gravedad de sus consecuencias, elementos ausentes en la sola identificacion del peligro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","De acuerdo con el documento, que factores incorpora la nocion de riesgo que no estan presentes en la sola identificacion del peligro?","C","El nombre del responsable del area afectada","El presupuesto disponible para la correccion","La probabilidad de ocurrencia y la gravedad del dano potencial","La fecha exacta de la ultima inspeccion","","","","","",""
"multiplechoice","SILA","S2 Jerarquia de Controles","Yes","¡Correcto! La jerarquia de controles prioriza eliminar, sustituir, aplicar ingenieria y controles administrativos antes de depender del equipo de proteccion personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material, cual es el orden de prioridad que establece la jerarquia de controles para reducir un riesgo en seguridad industrial?","A","Eliminar, sustituir, controles de ingenieria, controles administrativos y equipo de proteccion personal","Equipo de proteccion personal, administrativos, ingenieria, sustituir y eliminar","Controles administrativos primero y luego eliminar el peligro","Equipo de proteccion personal como unica y suficiente medida","","","","","",""
"multiplechoice","SILA","S2 Jerarquia de Controles","Yes","¡Correcto! Eliminar o sustituir en origen es prioritario porque reduce el riesgo de forma mas efectiva que los controles que dependen del comportamiento o del EPP.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","De acuerdo con el documento, por que se debe priorizar eliminar o sustituir el peligro en origen antes que otras medidas de control?","B","Porque son las opciones mas economicas en todos los casos","Porque actuan en el origen y reducen el riesgo de forma mas efectiva que los controles dependientes del comportamiento","Porque no requieren ningun tipo de verificacion posterior","Porque eliminan la necesidad de inspecciones de seguridad","","","","","",""
"multiplechoice","SILA","S2 Jerarquia de Controles","Yes","¡Correcto! Ante la exposicion a polvo, la jerarquia indica priorizar eliminacion, sustitucion o ingenieria en origen antes que controles administrativos o EPP.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material, en un caso de aumento de exposicion a polvo durante una operacion de corte, que enfoque debe priorizarse segun la jerarquia de controles?","C","Depender unicamente del uso de mascarillas por parte del operador","Aumentar la senalizacion del area de corte","Atacar el origen mediante eliminacion, sustitucion o ingenieria antes que medidas administrativas o EPP","Reducir el numero de trabajadores en la zona","","","","","",""
"multiplechoice","SILA","S2 Jerarquia de Controles","Yes","¡Correcto! La eficacia de la extraccion localizada depende de su proximidad al punto de generacion del contaminante y del diseno del sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Conforme al documento, de que depende la eficacia de un control tecnico como la extraccion localizada de contaminantes segun la informacion tecnica desarrollada a lo largo del material?","D","Del color de la senalizacion cercana","Del numero de inspecciones administrativas realizadas","De la cantidad de EPP distribuido al personal","De la proximidad al punto de generacion y del diseno del sistema","","","","","",""
"multiplechoice","SILA","S2 Jerarquia de Controles","Yes","¡Correcto! Muchos controles de ingenieria fallan si se deterioran o se desconectan, por lo que requieren un plan de mantenimiento y revision.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material, por que muchos controles de ingenieria pueden fallar con el tiempo si no se gestionan adecuadamente de acuerdo con los conceptos presentados en el contenido de la unidad?","A","Porque se deterioran o se desconectan si no hay plan de mantenimiento y revision","Porque dependen del clima exterior de la planta","Porque solo funcionan durante el turno diurno","Porque requieren ser sustituidos por EPP cada semana","","","","","",""
"multiplechoice","SILA","S2 Jerarquia de Controles","Yes","¡Correcto! Se debe verificar el rendimiento del control con inspecciones, mediciones o indicadores para comprobar que reduce la exposicion esperada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","De acuerdo con el documento, que se debe hacer para asegurar que una medida de control realmente reduce la exposicion esperada?","B","Confiar en la percepcion del operador sin registros","Verificar su rendimiento con inspecciones, mediciones o indicadores pertinentes","Sustituirla de inmediato por equipo de proteccion personal","Aumentar el numero de senales de advertencia","","","","","",""
"multiplechoice","SILA","S2 Jerarquia de Controles","Yes","¡Correcto! Los controles administrativos y el EPP se ubican en los niveles inferiores porque dependen del comportamiento y no eliminan el peligro en origen.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Segun el material, que caracteristica tienen los controles administrativos y el equipo de proteccion personal dentro de la jerarquia de controles?","C","Son la primera medida a implementar en todos los casos","Eliminan por completo el peligro en su origen","Se ubican en los niveles inferiores porque dependen del comportamiento y la exposicion residual","Son mas eficaces que eliminar o sustituir el peligro","","","","","",""
"multiplechoice","SILA","S2 Jerarquia de Controles","Yes","¡Correcto! Identificar con precision que produce el riesgo y donde ocurre evita aplicar curas generales que no atacan la causa real.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso SILA.","1","Conforme al documento, por que es necesario identificar con precision que produce el riesgo y donde ocurre antes de elegir un control?","D","Para reducir el numero de normas citadas","Para acelerar la produccion del area","Para disminuir el personal de mantenimiento","Para evitar curas generales que no atacan la causa del riesgo","","","","","",""
