"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que para que las categorias funcionen como marco de observacion se aplican como regla de recorrido: en cada elemento observado se pregunta que categoria de peligro podria estar implicada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","Segun el material, las cinco categorias de peligros funcionan como una regla de recorrido. Como se aplican segun el curso?","D","Se ignoran en el recorrido","Se aplican solo al final","Se usan solo para el informe","En cada elemento observado se pregunta que categoria de peligro podria estar implicada","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que la clasificacion en categorias no reemplaza el analisis posterior, pero mejora la consistencia de lo que se registra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","El material aclara si la clasificacion en categorias de peligros reemplaza el analisis posterior. Que establece el curso?","A","No lo reemplaza, pero mejora la consistencia de lo que se registra","Lo reemplaza por completo","Elimina la necesidad de observar","Sustituye la evidencia","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que conviene priorizar areas criticas donde los fallos suelen generar impactos severos o eventos de alto riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","Segun el material, la inspeccion sistematica conviene priorizar ciertas areas. Como las describe el curso?","C","Areas de menor riesgo","Areas al azar","Areas criticas donde los fallos suelen generar impactos severos o eventos de alto riesgo","Areas administrativas","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que entre las areas criticas obligatorias estan las vias de escape, los sistemas de proteccion contra incendios y los tableros electricos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","El material lista areas criticas obligatorias en la inspeccion. Cual de las siguientes menciona el curso?","B","La cafeteria","Las vias de escape","El estacionamiento de visitas","La sala de reuniones","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que en las vias de escape la verificacion se centra en que la ruta funcione cuando hace falta, sin obstaculos repetidos ni falta de claridad en el recorrido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","Segun el material, en las vias de escape la verificacion se centra en un aspecto. Cual es segun el curso?","D","En el color de las paredes","En el precio de la instalacion","En el numero de empleados","En que la ruta funcione cuando hace falta y no tenga obstaculos ni falta de claridad en el recorrido","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que en los sistemas de proteccion contra incendios lo critico es que el sistema sea usable y no quede inutilizado por condiciones del entorno, como equipos inaccesibles o rodeados de obstrucciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","El material describe la verificacion critica en los sistemas de proteccion contra incendios. Cual es segun el curso?","A","Que el sistema sea usable y no quede inutilizado por condiciones del entorno, como obstrucciones","Que sea del color correcto","Que tenga bajo precio","Que sea reciente","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que en los tableros electricos la verificacion busca reducir la probabilidad de exposicion a condiciones peligrosas y asegurar el control del acceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","Segun el material, en los tableros electricos la verificacion busca un objetivo. Cual es segun el curso?","C","Aumentar el consumo","Cambiar el color","Reducir la probabilidad de exposicion a condiciones peligrosas y asegurar el control del acceso","Aumentar la temperatura","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que las preguntas guia convierten el recorrido en una cadena logica: elemento del entorno, desviacion, consecuencia potencial, barrera existente o faltante, pasando de observaciones sueltas a hallazgos comparables.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","El material describe como las preguntas guia transforman un recorrido de inspeccion. En que segun el curso?","B","En una lista de compras","En una cadena logica que pasa de observaciones sueltas a elemento, desviacion, consecuencia y barrera","En un informe financiero","En una encuesta de satisfaccion","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que una buena pregunta guia pregunta tambien que tendria que ocurrir para que la desviacion se materialice y que podria resultar si ocurre.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","Segun el material, una buena pregunta guia del HAZOP simplificado no solo pregunta que veo. Que mas pregunta segun el curso?","D","El precio del elemento","El nombre del fabricante","El color de la instalacion","Que tendria que ocurrir para que la desviacion se materialice y que podria resultar si ocurre","","","","","",""
"multiplechoice","IAIN","U3 Observacion HAZOP y Peligros","Yes","¡Correcto! El material indica que las categorias de peligros sirven para estructurar la conversacion del equipo de inspeccion, ademas de mejorar la consistencia del registro.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso IAIN.","1","El material indica que las categorias de peligros ademas sirven para un fin en el equipo de inspeccion. Cual es segun el curso?","A","Estructurar la conversacion del equipo de inspeccion","Fijar el precio del servicio","Elegir el color del informe","Reducir el numero de inspectores","","","","","",""
