"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: El peligro es una condicion de seguridad, mientras que el riesgo es la probabilidad de que ese peligro cause danio.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual es la diferencia principal entre peligro y riesgo en el contexto de la gestion de riesgos?","A","El peligro es una condicion de seguridad, mientras que el riesgo es la probabilidad de que ese peligro cause danio.","El peligro se relaciona unicamente con aspectos ambientales, mientras que el riesgo es siempre asociado a la economia.","El riesgo se refiere solo al danio fisico, mientras que el peligro se asocia a amenazas psicologicas.","El peligro y el riesgo son exactamente lo mismo y se pueden utilizar indistintamente.","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: Eliminacion, sustitucion, controles de ingenieria, controles administrativos, equipo de proteccion personal.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es el orden correcto en la jerarquia de control para la mitigacion de riesgos laborales?","C","Sustitucion, eliminacion, controles de ingenieria, equipo de proteccion personal, controles administrativos.","Controles administrativos, equipo de proteccion personal, eliminacion, sustitucion, controles de ingenieria.","Eliminacion, sustitucion, controles de ingenieria, controles administrativos, equipo de proteccion personal.","Controles de ingenieria, eliminacion, controles administrativos, sustitucion, equipo de proteccion personal.","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: La elaboracion de protocolos que no requieren revision periodica.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Con base en el material del curso Especialista en Aplicacion y Evaluacion de las Normas de y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que aspecto NO se considera dentro de la gestion sistematica del riesgo?","B","La documentacion de incidentes y el seguimiento de las acciones correctivas.","La elaboracion de protocolos que no requieren revision periodica.","La participacion de todos los niveles de la organizacion en la identificacion de riesgos.","Capacitacion continua del personal en el manejo de riesgos y peligros identificados.","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: El seguimiento y evaluacion de las medidas de prevencion implementadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual de los siguientes aspectos es clave para la trazabilidad del concepto MIPER en la gestion de riesgos laborales?","D","El uso exclusivo de tecnologias avanzadas.","La capacitacion obligatoria para todos los trabajadores.","La implementacion de protocolos de seguridad estandarizados.","El seguimiento y evaluacion de las medidas de prevencion implementadas.","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: El fomento de un ambiente laboral mas seguro y una cultura de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: La participacion de los trabajadores en el ambito de MIPER se traduce en:","B","La simple cumplimiento de normativas sin involucramiento real.","El fomento de un ambiente laboral mas seguro y una cultura de prevencion.","Menor necesidad de formacion continua sobre seguridad.","Una reduccion de la responsabilidad de la empresa en cuestiones de seguridad.","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: La adaptacion de las politicas a las realidades del lugar de trabajo, considerando la opinion de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Considerando el enfoque metodologico del curso Especialista en Aplicacion y Evaluacion de las Normas de y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: La traduccion de MIPER a acciones concretas implica:","D","El desarrollo de programas de cumplimiento sin seguimiento.","La reduccion de costos en la implementacion de medidas de seguridad.","Un aumento en la burocracia sin impacto en la seguridad laboral.","La adaptacion de las politicas a las realidades del lugar de trabajo, considerando la opinion de los trabajadores.","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: Evaluar la validez de los procedimientos utilizados en la gestion de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas de, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es la principal funcion de la ODI (Observacion de la Documentacion Interna)?","A","Evaluar la validez de los procedimientos utilizados en la gestion de riesgos.","Promover capacitaciones internas sobre seguridad y salud.","Recopilar datos estadisticos sobre accidentes laborales.","Asegurar que toda la informacion relevante este archivada.","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registros de formacion de empleados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que tipo de evidencia se considera critical en una revision de la ODI?","C","Publicaciones en redes sociales","Articulos de revistas cientificas","Registros de formacion de empleados","Informes de auditoria financiera","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analisis de costos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual de las siguientes opciones no es parte del contenido esencial de la ODI?","C","Metricas de desempenio","Protocolos de actuacion","Analisis de costos","Descripcion de procesos","","","","","",""
"multiplechoice","EAEPR","C1 DS 44 y Ley Karin Chile","Yes","¡Correcto! Segun el material del curso, lo correcto es: Velar por el bienestar y la seguridad de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Cual es la principal funcion del Comite Paritario de Higiene y Seguridad (CPHS) en el ambito laboral en Chile?","A","Velar por el bienestar y la seguridad de los trabajadores","Establecer sanciones a los trabajadores que incumplan normas","Promover actividades recreativas en el trabajo","Realizar auditorias anuales de las empresas","","","","","",""
"multiplechoice","EAEPR","C2 MIPER y ODI Derecho a Saber","Yes","¡Correcto! Segun el material del curso, lo correcto es: Protocolos de emergencia y prevencion de riesgos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas de, responde con precision: Que tipo de documentacion debe elaborar el Departamento de Prevencion en su funcion de gestion de riesgos?","A","Protocolos de emergencia y prevencion de riesgos","Informes de clima laboral","Politicas de recursos humanos","Estadisticas de ventas anuales","","","","","",""
"multiplechoice","EAEPR","C2 MIPER y ODI Derecho a Saber","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cubrir que el CPHS es responsable de identificar, evaluar y controlar los riesgos laborales, fomentar la cultura de prevencion entre trabajadores y empleadores, asi como participar.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Considerando el enfoque metodologico del curso Especialista en Aplicacion y Evaluacion de las Normas de y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Describa las responsabilidades del CPHS en la promocion de la seguridad laboral.","C","El Departamento de Prevencion tiene la responsabilidad de llevar a cabo un analisis detallado del accidente para determinar sus causas, desarrollar un informe con recomendaciones d","Un sistema de anclaje adecuado es crucial para garantizar la seguridad de los trabajadores en altura, ya que proporciona un punto de anclaje seguro para los equipos de proteccion p","Cubrir que el CPHS es responsable de identificar, evaluar y controlar los riesgos laborales, fomentar la cultura de prevencion entre trabajadores y empleadores, asi como participar","Una respuesta correcta incluira la identificacion de las propiedades fisicas y quimicas de las sustancias, la toxicidad, la reactividad, la inflamabilidad, y los efectos sobre la salud y el medio ambiente.","","","","","",""
"multiplechoice","EAEPR","C2 MIPER y ODI Derecho a Saber","Yes","¡Correcto! Segun el material del curso, lo correcto es: A traves de elecciones entre los trabajadores de la empresa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas de, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Como se determina la composicion del CPHS en las empresas chilenas?","B","Mediante un proceso de negociacion colectiva","A traves de elecciones entre los trabajadores de la empresa","Por designacion unilateral del empleador","Por el tamanio de la empresa unicamente","","","","","",""
"multiplechoice","EAEPR","C2 MIPER y ODI Derecho a Saber","Yes","¡Correcto! Segun el material del curso, lo correcto es: Promover medidas de prevencion en el ambito laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEPR.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas de, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es el principal objetivo de la Ley 21.643 en Chile?","D","Crear un fondo de seguros para accidentes laborales.","Establecer un regimen disciplinario para trabajadores.","Regular las horas de trabajo de los empleados.","Promover medidas de prevencion en el ambito laboral.","","","","","",""
