"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: To enhance knowledge and compliance regarding chemical safety regulations.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","En el marco del curso Programa Profesional en Seguridad Quimica y Cumplimiento, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: What is the primary purpose of the program designed for chemical safety professionals in El Salvador?","A","To enhance knowledge and compliance regarding chemical safety regulations.","To increase the production of chemicals in the region.","To focus solely on environmental issues without considering safety.","To promote the sale of chemicals to international markets.","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: Regulatory Environment and Compliance.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Segun los contenidos desarrollados en el curso Programa Profesional en Seguridad Quimica y Cumplimiento, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Which thematic block focuses on the integrated compliance strategy within the program?","C","Emergency Response and Preparedness","Risk Management and Assessment","Regulatory Environment and Compliance","Chemical Handling and Storage Techniques","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: Chemical safety managers and environmental professionals.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Con base en el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Which of the following groups is the primary target audience for the program?","B","Tourism industry stakeholders.","Chemical safety managers and environmental professionals.","Local farmers involved in agriculture.","Generic consumers purchasing household products.","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: Analyze.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Tomando en cuenta lo estudiado en el curso Programa Profesional en Seguridad Quimica y Cumplimiento sobre este tema especifico y las buenas practicas descritas en el material, responde: Which of the following verbs indicates a measurable learning outcome in the context of chemical safety management?","D","Understand","Appreciate","Familiarize","Analyze","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: Coordinating effective communication among teams.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Segun el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento, responde con precision: In the context of logistics for chemicals, what is a critical skill a professional must demonstrate in their role?","B","Calculating theoretical yield of reactions","Coordinating effective communication among teams","Enhancing personal knowledge about chemicals","Developing complex theories of chemical reactions","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conducting an internal audit to assess adherence to environmental laws.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Considerando el enfoque metodologico del curso Programa Profesional en Seguridad Quimica y Cumplimiento y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Which of the following scenarios best exemplifies the application of professional competencies in environmental compliance?","D","Reading recent publications on chemical safety standards","Attending a workshop on new chemical products","Talking to colleagues about environmental protection","Conducting an internal audit to assess adherence to environmental laws","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: It allows for flexible pacing and accessibility, accommodating various learning styles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","En el marco del curso Programa Profesional en Seguridad Quimica y Cumplimiento, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: What is the primary advantage of using e-learning in training chemical safety and logistics professionals?","A","It allows for flexible pacing and accessibility, accommodating various learning styles.","It focuses solely on memorization of chemical codes.","It eliminates the need for any form of assessment.","It requires all participants to attend live instruction.","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: Case studies that illustrate real-world scenarios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Segun los contenidos desarrollados en el curso Programa Profesional en Seguridad Quimica y Cumplimiento, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Which resource is essential for understanding the practical applications of theoretical knowledge in the course?","C","A glossary of chemical terms.","A list of regulatory agencies only.","Case studies that illustrate real-world scenarios.","End-of-chapter summaries.","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: Engaging actively with interactive elements and completing assessments timely.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Con base en el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: What should a learner prioritize while navigating through the course material?","C","Quickly skimming through all content to finish the course.","Reading only the summaries at the end of each module.","Engaging actively with interactive elements and completing assessments timely.","Only focusing on theoretical sections without practical applications.","","","","","",""
"multiplechoice","PASQAN","C1 Base Legal y Autoridades SV","Yes","¡Correcto! Segun el material del curso, lo correcto es: To introduce the principles of chemical safety.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Tomando en cuenta lo estudiado en el curso Programa Profesional en Seguridad Quimica y Cumplimiento sobre este tema especifico y las buenas practicas descritas en el material, responde: What is the primary goal of the first thematic block in the session plan?","A","To introduce the principles of chemical safety","To discuss advanced logistic strategies for chemical transportation","To outline environmental legislation in El Salvador","To analyze case studies related to hazardous materials","","","","","",""
"multiplechoice","PASQAN","C2 SGA Etiqueta y FDS Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: The second thematic block.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","De acuerdo con los fundamentos presentados en el curso Programa Profesional en Seguridad Quimica y Cumplimiento, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: In the session plan, which block focuses on compliance with national and international regulations?","A","The second thematic block","The fourth thematic block","The third thematic block","The introductory block","","","","","",""
"multiplechoice","PASQAN","C2 SGA Etiqueta y FDS Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Skills in emergency response.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Segun el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento, responde con precision: What is one of the key outcomes expected from the practical activities in the session plan?","C","Knowledge of transportation costs","Basics of chemical production","Skills in emergency response","Trends in chemical market valuation","","","","","",""
"multiplechoice","PASQAN","C2 SGA Etiqueta y FDS Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: The Occupational Safety and Health Act.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","En el marco del curso Programa Profesional en Seguridad Quimica y Cumplimiento, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: What is the primary legislation governing chemical safety in the workplace in the USA?","B","The Resource Conservation and Recovery Act","The Occupational Safety and Health Act","The Emergency Planning and Community Right-to-Know Act","The Clean Air Act","","","","","",""
"multiplechoice","PASQAN","C2 SGA Etiqueta y FDS Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Personal Protective Equipment (PPE).","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Segun los contenidos desarrollados en el curso Programa Profesional en Seguridad Quimica y Cumplimiento, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Which of the following is considered the least effective control measure in the hierarchy of controls?","D","Elimination","Engineering Controls","Administrative Controls","Personal Protective Equipment (PPE)","","","","","",""
"multiplechoice","PASQAN","C2 SGA Etiqueta y FDS Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Regularly and whenever new chemicals are introduced.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Con base en el material del curso Programa Profesional en Seguridad Quimica y Cumplimiento y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Under what conditions should an employer conduct a chemical risk assessment?","B","Only when regulatory agencies mandate it","Regularly and whenever new chemicals are introduced","Only when accidents occur in the workplace","When requested by employees exclusively","","","","","",""
"multiplechoice","PASQAN","C2 SGA Etiqueta y FDS Nacional","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ministry of Environment and Natural Resources.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PASQAN.","1","Tomando en cuenta lo estudiado en el curso Programa Profesional en Seguridad Quimica y Cumplimiento sobre este tema especifico y las buenas practicas descritas en el material, responde: Which national authority in El Salvador is primarily responsible for regulating hazardous chemical substances?","D","Environmental Protection Agency","Directorate General of Civil Aviation","Health Ministry","Ministry of Environment and Natural Resources","","","","","",""
