"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PECS","S1 Marco CBE y Estructura del Plan","Yes","¡Correcto! Segun el material del curso, lo correcto es: Realizar evaluaciones periodicas de riesgos y establecer controles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, cual es un requisito fundamental bajo el marco CBE en la gestion de la seguridad y salud en el trabajo para asegurar un control adecuado de los riesgos en la organizacion?","A","Realizar evaluaciones periodicas de riesgos y establecer controles","Incrementar la carga de trabajo sin considerar la seguridad","Entrenar a todos los empleados una sola vez al ano","Ignorar las regulaciones locales sobre seguridad laboral","","","","","",""
"multiplechoice","PECS","S2 SNGRE y Gestion de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer politicas publicas nacionales para la gestion del riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, cual es la principal funcion del Sistema Nacional de Gestion de Riesgo de Emergencias conocido como SNGRE dentro del marco de la gestion del riesgo en el pais?","C","Coordinar la respuesta a emergencias unicamente a nivel local","Desarrollar campanas de comunicacion para la prevencion","Establecer politicas publicas nacionales para la gestion del riesgo","Implementar unicamente capacitaciones en desastres","","","","","",""
"multiplechoice","PECS","S3 Analisis de Vulnerabilidades AVR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un proceso para identificar y evaluar los riesgos y vulnerabilidades.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, cual opcion describe mejor el concepto de Analisis de Vulnerabilidades y Riesgos conocido como AVR dentro de la elaboracion del plan de emergencia de la organizacion?","B","Un protocolo de comunicacion para el intercambio de datos","Un proceso para identificar y evaluar los riesgos y vulnerabilidades","Una tecnica utilizada unicamente para evaluar equipos","Un sistema de registro contable de la organizacion","","","","","",""
"multiplechoice","PECS","S4 Evacuacion y Senalizacion INEN","Yes","¡Correcto! Segun el material del curso, lo correcto es: Un ancho minimo de 2.00 metros para la ruta de evacuacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, cual es el ancho minimo recomendado para las rutas de evacuacion en caso de emergencias, de modo que permitan el desplazamiento seguro de las personas hacia la salida?","D","Un ancho minimo de 3.00 metros para la ruta","Un ancho minimo de 1.20 metros para la ruta","Un ancho minimo de 0.80 metros para la ruta","Un ancho minimo de 2.00 metros para la ruta de evacuacion","","","","","",""
"multiplechoice","PECS","S5 Brigadas y Comando ICS SCI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Actuar de forma organizada en la respuesta inicial ante la emergencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, cual es una de las funciones principales de una brigada de emergencia dentro del plan de la organizacion frente a situaciones que ponen en riesgo a las personas y las instalaciones?","A","Actuar de forma organizada en la respuesta inicial ante la emergencia","Encargarse unicamente de la contabilidad del evento","Sustituir por completo a los organismos de socorro","Evitar cualquier accion durante la emergencia","","","","","",""
"multiplechoice","PECS","S1 Marco CBE y Estructura del Plan","Yes","¡Correcto! Segun el material del curso, lo correcto es: Definiendo responsabilidades, controles y medidas frente a la emergencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, como se aplica el marco CBE en el establecimiento de un plan de accion para la respuesta ante emergencias dentro de la organizacion que adopta este enfoque?","C","Eliminando cualquier evaluacion previa de los riesgos","Delegando la respuesta a personal externo sin coordinacion","Definiendo responsabilidades, controles y medidas frente a la emergencia","Ignorando la participacion de los trabajadores del area","","","","","",""
"multiplechoice","PECS","S2 SNGRE y Gestion de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: El CBE actua como instancia de soporte operativo del SNGRE.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, como se articula el SNGRE con el Comite CBE dentro de la estructura de la gestion del riesgo de emergencias en el contexto normativo del pais?","B","El SNGRE no tiene ninguna relacion con el CBE","El CBE actua como instancia de soporte operativo del SNGRE","El CBE se encarga de la gestion financiera del SNGRE","El CBE reemplaza por completo al SNGRE","","","","","",""
"multiplechoice","PECS","S3 Analisis de Vulnerabilidades AVR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reconocer los eventos que pueden causar dano para gestionarlos.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, dentro de un analisis de vulnerabilidades, cual es el proposito principal de la identificacion de amenazas que enfrenta la organizacion en su entorno de trabajo?","D","Aumentar la exposicion de la organizacion a las amenazas","Ignorar los eventos que pueden afectar a la organizacion","Eliminar la necesidad de aplicar medidas de mitigacion","Reconocer los eventos que pueden causar dano para gestionarlos","","","","","",""
"multiplechoice","PECS","S4 Evacuacion y Senalizacion INEN","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una distancia maxima de 50 metros hasta la salida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, en caso de una evacuacion, cual es la distancia maxima recomendada para que las personas se desplacen hasta alcanzar una salida segura desde su puesto de trabajo?","A","Una distancia maxima de 50 metros hasta la salida","Una distancia maxima de 30 metros hasta la salida","Una distancia maxima de 45 metros hasta la salida","Una distancia maxima de 75 metros hasta la salida","","","","","",""
"multiplechoice","PECS","S5 Brigadas y Comando ICS SCI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque mantiene y actualiza sus competencias de respuesta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, por que resulta crucial la capacitacion continua para los miembros de una brigada de seguridad que participan en la respuesta ante emergencias de la organizacion?","C","Porque reduce su participacion en la respuesta","Porque elimina la necesidad de realizar simulacros","Porque mantiene y actualiza sus competencias de respuesta","Porque sustituye la existencia del plan de emergencia","","","","","",""
"multiplechoice","PECS","S1 Marco CBE y Estructura del Plan","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una formacion que le permita liderar y coordinar la respuesta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, que nivel de formacion resulta necesario para que un coordinador de emergencia aplique de manera efectiva el marco CBE en la gestion de la respuesta de la organizacion?","B","Ninguna formacion especifica en gestion de emergencias","Una formacion que le permita liderar y coordinar la respuesta","Una formacion unicamente en tareas administrativas","Una capacitacion limitada a aspectos contables","","","","","",""
"multiplechoice","PECS","S2 SNGRE y Gestion de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite una respuesta coordinada entre los distintos niveles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, por que resulta importante la articulacion entre el SNGRE y el CBE dentro de la gestion del riesgo de emergencias que aplica la organizacion en el marco normativo vigente?","D","Porque elimina la necesidad de planes de emergencia","Porque concentra toda la respuesta en un solo actor","Porque reduce la participacion de las entidades locales","Porque permite una respuesta coordinada entre los distintos niveles","","","","","",""
"multiplechoice","PECS","S3 Analisis de Vulnerabilidades AVR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Porque permite conocer los riesgos y definir medidas de prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, por que resulta crucial llevar a cabo un Analisis de Vulnerabilidades y Riesgos en una organizacion que elabora su plan de emergencia frente a posibles eventos adversos?","A","Porque permite conocer los riesgos y definir medidas de prevencion","Porque sustituye la necesidad de un plan de emergencia","Porque aumenta la vulnerabilidad de la organizacion","Porque elimina la coordinacion de la respuesta","","","","","",""
"multiplechoice","PECS","S4 Evacuacion y Senalizacion INEN","Yes","¡Correcto! Segun el material del curso, lo correcto es: Rutas claras, libres de obstaculos y debidamente senalizadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, cuales son los principios fundamentales que deben tenerse en cuenta al planificar las rutas de evacuacion de una instalacion para garantizar una salida segura de las personas?","C","Rutas estrechas y sin ninguna senalizacion visible","Rutas con obstaculos que retrasen el flujo de personas","Rutas claras, libres de obstaculos y debidamente senalizadas","Rutas sin salidas definidas hacia el exterior","","","","","",""
"multiplechoice","PECS","S5 Brigadas y Comando ICS SCI","Yes","¡Correcto! Segun el material del curso, lo correcto es: Con planificacion, roles definidos y evaluacion posterior de resultados.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, como debe organizarse un simulacro de evacuacion dentro de una empresa para que resulte util en la preparacion del personal frente a una emergencia real en la instalacion?","B","De forma improvisada y sin ningun objetivo definido","Con planificacion, roles definidos y evaluacion posterior de resultados","Sin la participacion del personal de la organizacion","Ocultando la ruta de evacuacion a los participantes","","","","","",""
"multiplechoice","PECS","S1 Marco CBE y Estructura del Plan","Yes","¡Correcto! Segun el material del curso, lo correcto es: Facilita el reporte de riesgos y la coordinacion de la respuesta.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, en el marco CBE la comunicacion entre trabajadores y responsables resulta crucial. Que aporta esta comunicacion a la gestion de la seguridad en la organizacion?","D","Reduce la participacion del personal en la seguridad","Concentra la informacion en una sola persona sin flujo","Retrasa la deteccion de las condiciones peligrosas","Facilita el reporte de riesgos y la coordinacion de la respuesta","","","","","",""
"multiplechoice","PECS","S2 SNGRE y Gestion de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Ejecutar la respuesta en su territorio en coordinacion con el sistema.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, cual afirmacion describe mejor la funcion de las entidades locales dentro del Sistema Nacional de Gestion de Riesgo de Emergencias en la respuesta ante eventos adversos?","A","Ejecutar la respuesta en su territorio en coordinacion con el sistema","Actuar de forma aislada sin coordinacion con el sistema","Sustituir por completo al organismo nacional","Encargarse unicamente de tareas administrativas","","","","","",""
"multiplechoice","PECS","S3 Analisis de Vulnerabilidades AVR","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los errores humanos de empleados o contratistas con impacto en la operacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, que tipo de amenazas se pueden clasificar como amenazas internas dentro del Analisis de Vulnerabilidades y Riesgos que realiza la organizacion sobre su entorno?","C","Los desastres naturales que afectan los recursos fisicos","Los ataques ciberneticos realizados por externos","Los errores humanos de empleados o contratistas con impacto en la operacion","La competencia que intenta robar informacion","","","","","",""
"multiplechoice","PECS","S4 Evacuacion y Senalizacion INEN","Yes","¡Correcto! Segun el material del curso, lo correcto es: Retrasan el flujo de personas y aumentan el riesgo de accidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, como afectan los obstaculos presentes en las rutas de evacuacion a la seguridad de las personas durante una emergencia que exige el desalojo de la instalacion?","B","Mejoran la velocidad de la evacuacion del personal","Retrasan el flujo de personas y aumentan el riesgo de accidentes","No tienen ningun efecto sobre la evacuacion","Reducen el tiempo necesario para salir del lugar","","","","","",""
"multiplechoice","PECS","S5 Brigadas y Comando ICS SCI","Yes","¡Correcto! Segun el material del curso, lo correcto es: La de incendios combate el fuego y la de rescate atiende a personas atrapadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","De acuerdo con el material del curso, cual es la diferencia entre una brigada de incendios y una brigada de rescate dentro de la estructura de respuesta de la organizacion ante distintas emergencias?","D","Ambas brigadas realizan exactamente las mismas tareas","La de incendios se dedica a la contabilidad del evento","La de rescate combate el fuego y la de incendios evacua","La de incendios combate el fuego y la de rescate atiende a personas atrapadas","","","","","",""
"multiplechoice","PECS","S1 Marco CBE y Estructura del Plan","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar el cumplimiento y detectar oportunidades de mejora.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, que papel juegan las auditorias internas dentro del marco CBE aplicado a la gestion de la seguridad y salud en el trabajo de la organizacion evaluada?","A","Verificar el cumplimiento y detectar oportunidades de mejora","Sustituir por completo la evaluacion de riesgos","Aumentar la carga de trabajo sin ningun objetivo","Eliminar la necesidad de aplicar controles de seguridad","","","","","",""
"multiplechoice","PECS","S2 SNGRE y Gestion de Riesgo","Yes","¡Correcto! Segun el material del curso, lo correcto es: Politicas, coordinacion entre niveles y respuesta operativa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PECS.","1","Segun el material del curso, cuales son los principales componentes del Sistema Nacional de Gestion de Riesgo de Emergencias que permiten organizar la respuesta ante situaciones adversas en el pais?","C","Unicamente la gestion financiera de los recursos","Solo la publicidad de las acciones realizadas","Politicas, coordinacion entre niveles y respuesta operativa","Exclusivamente la contabilidad de los eventos","","","","","",""
