"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","MIP","S1 Identificacion de Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Identificar los peligros, evaluar los riesgos y definir los controles necesarios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","Segun el material del curso, la matriz IPERC, que corresponde a la identificacion de peligros, evaluacion de riesgos y controles, tiene como proposito central lograr cual objetivo dentro de la gestion preventiva de la empresa?","A","Identificar los peligros, evaluar los riesgos y definir los controles necesarios","Determinar el volumen de ventas del ejercicio comercial","Fijar los precios de venta de los productos ofertados","Definir las campanas publicitarias de la marca corporativa","","","","","",""
"multiplechoice","MIP","S2 Evaluacion Probabilidad Severidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La identificacion previa de los peligros presentes en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","Segun el material del curso, el primer paso en la evaluacion de riesgos para determinar la probabilidad y la severidad de un evento se relaciona principalmente con cual actividad previa que sustenta dicha valoracion en la matriz IPERC?","C","La fijacion de los precios de venta de los productos","La proyeccion de las ventas comerciales del ejercicio","La identificacion previa de los peligros presentes en el trabajo","La difusion publicitaria de la marca corporativa","","","","","",""
"multiplechoice","MIP","S3 Nivel de Riesgo y Aceptabilidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permitir priorizar los riesgos segun su importancia para su control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","Segun el material del curso, el nivel de riesgo obtenido en la matriz IPERC cumple principalmente cual funcion dentro de la gestion preventiva, al permitir a la empresa ordenar los riesgos identificados en el centro de labores?","B","Permitir fijar los precios de venta de los productos","Permitir priorizar los riesgos segun su importancia para su control","Permitir proyectar las ventas comerciales del ejercicio","Permitir programar las campanas publicitarias de la marca","","","","","",""
"multiplechoice","MIP","S4 Controles y Riesgo Residual","Yes","¡Correcto! Segun el material del curso, lo correcto es: La eliminacion del peligro en la fuente cuando resulta posible.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","Segun el material del curso, dentro del orden de la jerarquia de controles de riesgos, la medida ubicada en el primer lugar por ser la mas efectiva corresponde principalmente a cual accion sobre el peligro identificado en el centro de labores?","D","La entrega de equipos de proteccion personal en primer lugar","La senalizacion del area como unica medida de control","La capacitacion del trabajador como medida principal","La eliminacion del peligro en la fuente cuando resulta posible","","","","","",""
"multiplechoice","MIP","S5 Programa Anual e Indicadores","Yes","¡Correcto! Segun el material del curso, lo correcto es: Planificar y organizar las actividades preventivas del ano en la empresa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","Segun el material del curso, el principal objetivo de un Programa Anual en seguridad y salud en el trabajo se orienta a lograr cual proposito dentro de la planificacion preventiva de la empresa a lo largo del periodo?","A","Planificar y organizar las actividades preventivas del ano en la empresa","Planificar las campanas publicitarias del ano de la marca","Planificar los precios de venta de los productos del ano","Planificar la cartera de clientes a atender en el ano","","","","","",""
"multiplechoice","MIP","S1 Identificacion de Peligros","Yes","¡Correcto! Segun el material del curso, lo correcto es: Reconocer los peligros presentes en las actividades y el entorno de trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","De acuerdo con el contenido del curso, el primer paso en la metodologia de identificacion de peligros en el lugar de trabajo se relaciona principalmente con cual actividad que permite reconocer las fuentes de riesgo del centro de labores?","C","Fijar los precios de venta de los productos de la empresa","Proyectar el volumen de ventas del ejercicio comercial","Reconocer los peligros presentes en las actividades y el entorno de trabajo","Definir las campanas publicitarias de la marca corporativa","","","","","",""
"multiplechoice","MIP","S2 Evaluacion Probabilidad Severidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: Graduar la severidad de las consecuencias posibles de cada riesgo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","De acuerdo con el contenido del curso, la escala que se utiliza comunmente para evaluar la gravedad de un riesgo en la matriz IPERC permite principalmente a la empresa lograr cual objetivo dentro de la valoracion de los riesgos identificados?","B","Graduar los precios de venta de los productos ofertados","Graduar la severidad de las consecuencias posibles de cada riesgo","Graduar el volumen de ventas de cada cliente atendido","Graduar el alcance publicitario de cada campana de marca","","","","","",""
"multiplechoice","MIP","S3 Nivel de Riesgo y Aceptabilidad","Yes","¡Correcto! Segun el material del curso, lo correcto es: La comparacion del nivel de riesgo con un umbral de aceptabilidad definido.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","De acuerdo con el contenido del curso, el criterio comunmente utilizado para evaluar la aceptabilidad de un riesgo en el entorno laboral se relaciona principalmente con cual comparacion que realiza la empresa dentro de la matriz IPERC?","D","La comparacion del precio de venta con el costo del producto","La comparacion del volumen de ventas con la meta comercial","La comparacion del alcance de la campana con su presupuesto","La comparacion del nivel de riesgo con un umbral de aceptabilidad definido","","","","","",""
"multiplechoice","MIP","S4 Controles y Riesgo Residual","Yes","¡Correcto! Segun el material del curso, lo correcto es: La eliminacion o la sustitucion del peligro en la fuente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","De acuerdo con el contenido del curso, una medida de control primaria para reducir riesgos, segun la jerarquia de controles, se relaciona principalmente con cual tipo de accion que actua directamente sobre el origen del peligro laboral?","A","La eliminacion o la sustitucion del peligro en la fuente","La fijacion del precio de venta del producto asociado","La difusion publicitaria de la marca corporativa","La ampliacion de la cartera de clientes de la empresa","","","","","",""
"multiplechoice","MIP","S5 Programa Anual e Indicadores","Yes","¡Correcto! Segun el material del curso, lo correcto es: La vigencia y la representatividad de los datos que sustentan los indicadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso MIP.","1","De acuerdo con el contenido del curso, en la evaluacion de la actualizacion de los indicadores de seguridad, un aspecto crucial que debe considerarse se relaciona principalmente con cual elemento que asegura la utilidad de dichos indicadores para la empresa?","C","La vigencia de los precios de venta de los productos","La vigencia de las campanas publicitarias de la marca","La vigencia y la representatividad de los datos que sustentan los indicadores","La vigencia de la cartera de clientes de la empresa","","","","","",""
