"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","TAA","S1 Roles y Normativa en Altura","Yes","¡Correcto! Segun el material del curso, lo correcto es: Establecer criterios de diseno y rendimiento para sistemas de proteccion contra caidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","Cual es el proposito principal de la norma ANSI Z359 dentro del marco tecnico que regula la seguridad y la proteccion contra caidas en los trabajos realizados en altura segun el contenido del programa formativo","A","Establecer criterios de diseno y rendimiento para sistemas de proteccion contra caidas","Definir el color de la ropa de trabajo en altura","Fijar el precio de venta de los equipos de proteccion","Regular unicamente los horarios de la jornada laboral","","","","","",""
"multiplechoice","TAA","S2 Equipos y Inspeccion Preuso","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar que el arnes tenga todos sus componentes y no presente defectos visibles.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","Cual es el proposito principal de la inspeccion preuso de un arnes de seguridad que debe realizar el trabajador antes de iniciar cualquier tarea en altura dentro de una obra segun el contenido tecnico del programa formativo","C","Confirmar que el arnes tenga el color reglamentario","Comprobar que el arnes sea el modelo mas economico","Verificar que el arnes tenga todos sus componentes y no presente defectos visibles","Verificar que el arnes pese lo menos posible","","","","","",""
"multiplechoice","TAA","S3 Fisica de Caidas y Anclajes","Yes","¡Correcto! Segun el material del curso, lo correcto es: La distancia entre el punto de anclaje y el lugar donde aterriza una persona en caida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","Que es el clearance de caida o distancia de caida libre dentro del analisis fisico que debe realizarse antes de asignar un sistema de proteccion a un trabajador que ejecuta tareas en altura segun el contenido tecnico del programa formativo","B","La distancia entre dos trabajadores en la obra","La distancia entre el punto de anclaje y el lugar donde aterriza una persona en caida","La altura total del edificio en construccion","El color de la linea de vida utilizada","","","","","",""
"multiplechoice","TAA","S4 Rescate y Trauma Suspension","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aproximadamente veinte minutos desde que queda suspendida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","Cual es el tiempo maximo recomendado para completar el rescate de una persona que ha quedado suspendida tras una caida antes de que el peligro para la victima aumente de forma significativa segun el contenido tecnico del programa formativo","D","Aproximadamente dos horas desde la caida","Un dia completo despues del incidente","No existe un tiempo maximo recomendado","Aproximadamente veinte minutos desde que queda suspendida","","","","","",""
"multiplechoice","TAA","S5 Plan Permisos y Certificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Garantizar la seguridad y la salud de los trabajadores durante la tarea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","Cual es el objetivo principal de un plan de trabajo elaborado antes de ejecutar tareas en altura dentro de una obra donde existe riesgo de caida para los trabajadores implicados segun el contenido tecnico del programa formativo","A","Garantizar la seguridad y la salud de los trabajadores durante la tarea","Reducir el precio total de la obra ejecutada","Definir el color de los uniformes del personal","Acelerar la obra sin considerar los riesgos","","","","","",""
"multiplechoice","TAA","S1 Roles y Normativa en Altura","Yes","¡Correcto! Segun el material del curso, lo correcto es: La capacitacion adecuada en el uso de sistemas de proteccion contra caidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","Segun la norma OSHA 1926 Subparte M cual es el elemento esencial que debe garantizarse antes de comenzar los trabajos en altura para proteger a los trabajadores frente al riesgo de caida segun el contenido del programa formativo","C","La presencia de un vehiculo de transporte en obra","El pago de un seguro medico complementario","La capacitacion adecuada en el uso de sistemas de proteccion contra caidas","La compra del equipo mas economico disponible","","","","","",""
"multiplechoice","TAA","S2 Equipos y Inspeccion Preuso","Yes","¡Correcto! Segun el material del curso, lo correcto es: Es un dispositivo que reduce la fuerza de impacto en caso de caida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","Que es un absorbedor de energia y por que resulta un componente esencial dentro del sistema de proteccion contra caidas utilizado por los trabajadores que ejecutan tareas en altura segun el contenido tecnico del programa formativo","B","Es un accesorio decorativo que va sobre el arnes","Es un dispositivo que reduce la fuerza de impacto en caso de caida","Es un elemento que aumenta el peso del equipo","Es una etiqueta que indica el color del arnes","","","","","",""
"multiplechoice","TAA","S3 Fisica de Caidas y Anclajes","Yes","¡Correcto! Segun el material del curso, lo correcto es: La relacion entre la altura de la caida y la longitud de la cuerda utilizada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","A que se refiere el factor de caida dentro del analisis de las fuerzas que actuan sobre un trabajador y su sistema de proteccion durante una caida en las tareas realizadas en altura segun el contenido tecnico del programa formativo","D","El color de la cuerda utilizada en el sistema","El peso del trabajador dividido entre su estatura","El numero de trabajadores presentes en la obra","La relacion entre la altura de la caida y la longitud de la cuerda utilizada","","","","","",""
"multiplechoice","TAA","S4 Rescate y Trauma Suspension","Yes","¡Correcto! Segun el material del curso, lo correcto es: El rescate en altura mediante tecnicas de cuerdas y poleas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","En el contexto de los rescates en altura cual es la modalidad que implica la utilizacion de cuerdas y sistemas de poleas para descender de forma controlada a la victima suspendida segun el contenido tecnico del programa formativo","A","El rescate en altura mediante tecnicas de cuerdas y poleas","El rescate acuatico con embarcaciones","El rescate vehicular en carretera","El rescate subterraneo en tuneles","","","","","",""
"multiplechoice","TAA","S5 Plan Permisos y Certificacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permisos especificos de trabajo en altura autorizados formalmente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso TAA.","1","Que tipo de permisos se requieren generalmente para autorizar la realizacion de trabajos en altura de manera segura dentro de una obra donde existe riesgo de caida para los trabajadores segun el contenido tecnico del programa formativo","C","Permisos verbales otorgados por cualquier companero","Permisos de estacionamiento de vehiculos","Permisos especificos de trabajo en altura autorizados formalmente","Permisos comerciales de venta de materiales","","","","","",""
