"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! ISO 19011:2018.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","Segun el material, que norma internacional constituye el estandar de referencia para auditar sistemas de gestion en el curso.","A","ISO 19011:2018","ISO 9001:2015","ISO 45001:2018","ISO 31000","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! ISO 9001:2015, ISO 14001:2015 e ISO 45001:2018.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","De acuerdo con el contenido, a que tres normas se aplica simultaneamente la auditoria integrada del programa.","C","ISO 9000, ISO 9004 e ISO 22301","ISO 27001, ISO 50001 e ISO 22000","ISO 9001:2015, ISO 14001:2015 e ISO 45001:2018","ISO 31000, ISO 19011 e ISO 17025","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! Siete principios.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","Segun el documento, cuantos principios de auditoria establece ISO 19011:2018 segun el curso.","B","Cinco principios","Siete principios","Diez principios","Doce principios","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! Primera, segunda, tercera parte, combinada, conjunta e integrada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","Conforme al material, que tipos de auditoria segun la parte auditora describe ISO 19011:2018.","D","Solo interna y externa","Solo combinada y conjunta","Solo de primera parte","Primera, segunda, tercera parte, combinada, conjunta e integrada","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! Auditoria de primera parte.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","Segun el documento, que tipo de auditoria es la que realiza la propia organizacion sobre si misma.","A","Auditoria de primera parte","Auditoria de segunda parte","Auditoria de tercera parte","Auditoria conjunta","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! La realiza un organismo externo independiente, como certificacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","De acuerdo con el material, que caracteriza a la auditoria de tercera parte.","C","La realiza la propia empresa","La realiza un cliente directo","La realiza un organismo externo independiente, como certificacion","No involucra auditores","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! El apartado de fundamentos y principios de ISO 19011.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","Segun el contenido, que capitulo de ISO 19011:2018 fundamenta los principios de la auditoria en la sesion 1.","B","El capitulo 6","El apartado de fundamentos y principios de ISO 19011","El capitulo 10 de ISO 9001","El anexo financiero","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! Verificar calidad, ambiente y seguridad y salud en un mismo proceso.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","Conforme al documento, que significa auditar un SGI HSEQ de forma integrada.","D","Auditar solo la calidad","Auditar solo la seguridad","Auditar cada norma en fechas separadas","Verificar calidad, ambiente y seguridad y salud en un mismo proceso","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! Una metodologia de auditoria integrada multi-norma.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","Segun el contenido, que enfoque profesional adopta el curso para el auditor interno integrado.","A","Una metodologia de auditoria integrada multi-norma","Un enfoque exclusivo de ventas","Un enfoque solo financiero","Un enfoque sin normas de referencia","","","","","",""
"multiplechoice","AIIH","C1 ISO 19011 Fundamentos","Yes","¡Correcto! ISO 19011:2018 aplicada a los tres estandares.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso AIIH.","1","De acuerdo con el documento, que estandar unico ordena la metodologia de auditoria del programa.","C","ISO 9001 unicamente","ISO 14001 unicamente","ISO 19011:2018 aplicada a los tres estandares","ISO 31000 unicamente","","","","","",""
