"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: La identificacion de riesgos laborales y la prevencion de accidentes.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual de los siguientes aspectos es fundamental para la estructura del sistema NOM-STPS?","A","La identificacion de riesgos laborales y la prevencion de accidentes.","La organizacion de reuniones informativas sobre la historia de la empresa.","La elaboracion de informes anuales sobre productividad.","La promocion de eventos recreativos en el trabajo.","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Registros de incidentes y accidentes laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Segun los contenidos desarrollados en el curso Especialista en Aplicacion y Evaluacion de las Normas, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que evidencia objetiva se considera critica en el contexto del sistema NOM-STPS para garantizar la seguridad laboral?","C","Listas de asistencia a eventos y auditorias internas.","Manuales de procedimientos y registros de capacitacion.","Registros de incidentes y accidentes laborales.","Informes de satisfaccion de los empleados.","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mexico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Con base en el material del curso Especialista en Aplicacion y Evaluacion de las Normas y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: El sistema NOM-STPS es de aplicacion en cual de los siguientes paises?","B","Espania.","Mexico.","Colombia.","Argentina.","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Minimizar los riesgos laborales y promover la salud de los trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de las Normas sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es la funcion principal de los servicios preventivos en el ambito laboral?","D","Aumentar la productividad sin tener en cuenta la seguridad.","Realizar auditorias de cumplimiento normativo.","Proporcionar informacion unicamente sobre enfermedades profesionales.","Minimizar los riesgos laborales y promover la salud de los trabajadores.","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Prevencion de Riesgos y Salud en el Trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","De acuerdo con los fundamentos presentados en el curso Especialista en Aplicacion y Evaluacion de las Normas, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que se entiende por PSST en el contexto de la seguridad laboral?","B","Planes de Seguridad y Salud en el Trabajo.","Prevencion de Riesgos y Salud en el Trabajo.","Politica de Seguridad y Satisfaccion de Trabajadores.","Protocolo de Seguimiento de Salud y Trabajo.","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: El encargado de seguridad y salud en el trabajo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas, responde con precision: Quien es el responsable de implementar el sistema de seguridad e higiene en una empresa?","D","El responsable de recursos humanos.","Los trabajadores de la empresa.","El director general de la empresa.","El encargado de seguridad y salud en el trabajo.","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los aspectos esenciales de la trazabilidad, que es el seguimiento y registro de todas las acciones, medidas y decisiones relacionadas con la seguridad y salud en un entorno laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Describe el proceso de trazabilidad en la gestion de seguridad y salud en el trabajo.","A","Los aspectos esenciales de la trazabilidad, que es el seguimiento y registro de todas las acciones, medidas y decisiones relacionadas con la seguridad y salud en un entorno laboral.","La trazabilidad de la medicion es fundamental para garantizar que los datos sobre niveles de ruido y vibraciones sean precisos y confiables.","La secuencia de pasos necesarios para desenergizar un equipo de forma segura, como identificar la fuente de energia, aplicar el metodo LOTO, verificar la ausencia de tension y aseg","La jerarquia de controles es crucial para minimizar la exposicion a peligros laborales, comenzando por medidas mas efectivas como la eliminacion del riesgo, antes de recurrir a con","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Asegurar una representacion equilibrada entre empleadores y trabajadores.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas, responde con precision: Cual es el proposito principal de la paridad en la integracion de los Comites de Seguridad y Salud en el Trabajo (CSST)?","C","Proporcionar formacion continua a los miembros del comite","Incrementar la productividad en la empresa","Asegurar una representacion equilibrada entre empleadores y trabajadores","Generar mas recursos economicos para el comite","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Acta de reunion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas, responde con precision: Que documento es fundamental para registrar las decisiones y acuerdos establecidos en las reuniones del CSST?","C","Informe tecnico","Memoria anual","Acta de reunion","Cuestionario de evaluacion","","","","","",""
"multiplechoice","EAEMX","C1 NOM030 019 035 Gestion SST","Yes","¡Correcto! Segun el material del curso, lo correcto es: Las regulaciones nacionales de seguridad y salud.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Tomando en cuenta lo estudiado en el curso Especialista en Aplicacion y Evaluacion de las Normas sobre este tema especifico y las buenas practicas descritas en el material, responde: Las funciones de la comision deben estar alineadas con:","A","Las regulaciones nacionales de seguridad y salud","Las normativas internas de la empresa","Las mejores practicas internacionales","Las demandas de los trabajadores","","","","","",""
"multiplechoice","EAEMX","C2 Comisiones EPP y GHS","Yes","¡Correcto! Segun el material del curso, lo correcto es: El peligro es una condicion que puede causar danio, mientras que el riesgo es la probabilidad de que ese danio ocurra.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas, responde con precision: Cual de los siguientes conceptos describe mejor la diferencia entre peligro y riesgo en un entorno laboral?","A","El peligro es una condicion que puede causar danio, mientras que el riesgo es la probabilidad de que ese danio ocurra.","El riesgo siempre es mayor en entornos con alta tecnologia.","El peligro se refiere a los incidentes que ya han ocurrido, mientras que el riesgo es solo teorico.","Los peligros solo pueden vincularse a sustancias toxicas.","","","","","",""
"multiplechoice","EAEMX","C2 Comisiones EPP y GHS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Sustitucion del peligro por una alternativa menos riesgosa.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","Segun el material del curso Especialista en Aplicacion y Evaluacion de las Normas, responde con precision: Segun la jerarquia de controles, cual es la primera medida que se debe implementar para controlar un riesgo?","C","Implementacion de equipos de proteccion individual.","Capacitacion del personal sobre medidas de seguridad.","Sustitucion del peligro por una alternativa menos riesgosa.","Senializacion y advertencia de peligros.","","","","","",""
"multiplechoice","EAEMX","C2 Comisiones EPP y GHS","Yes","¡Correcto! Segun el material del curso, lo correcto es: Determina la aplicacion de la norma a ciertos sectores economicos y actividades especificas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEMX.","1","En el marco del curso Especialista en Aplicacion y Evaluacion de las Normas, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Que significa el alcance de la NOM-028-STPS?","B","Se aplica solamente en instalaciones de mas de 50 empleados.","Determina la aplicacion de la norma a ciertos sectores economicos y actividades especificas.","Limita el enfoque solo a la formacion de trabajadores en seguridad industrial.","Define unicamente los procedimientos para la investigacion de accidentes.","","","","","",""
