"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","PABE","S1 Cadena Supervivencia y SEM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aumentar las posibilidades de sobrevivir de la victima mediante una secuencia coordinada de acciones oportunas y eficaces.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","Segun el material del curso, cual es el proposito principal de la cadena de supervivencia en las situaciones de emergencia medica?","A","Aumentar las posibilidades de sobrevivir de la victima mediante una secuencia coordinada de acciones oportunas y eficaces","Reducir el numero de brigadistas necesarios durante la atencion de la emergencia","Determinar el precio del servicio medico cobrado al paciente atendido","Establecer el horario de atencion de los servicios de emergencia disponibles","","","","","",""
"multiplechoice","PABE","S2 Evaluacion XABCDE y RCP","Yes","¡Correcto! Segun el material del curso, lo correcto es: El control de las hemorragias exanguinantes o masivas que ponen en riesgo inmediato la vida de la victima.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","Segun el material del curso, en el modelo XABCDE de atencion de emergencias que representa la letra X al inicio de la evaluacion?","C","La evaluacion de la temperatura corporal de la victima durante la atencion","El registro del nombre y los datos personales de la victima atendida","El control de las hemorragias exanguinantes o masivas que ponen en riesgo inmediato la vida de la victima","La verificacion del horario en que ocurrio la emergencia medica","","","","","",""
"multiplechoice","PABE","S3 Hemorragias y Quemaduras","Yes","¡Correcto! Segun el material del curso, lo correcto es: Una hemorragia grave en una extremidad que no se controla con presion directa y pone en riesgo la vida de la victima.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","Segun el material del curso, cual es la principal indicacion para la aplicacion de un torniquete en el control de una hemorragia?","B","Cualquier herida superficial que presente un sangrado leve y controlable","Una hemorragia grave en una extremidad que no se controla con presion directa y pone en riesgo la vida de la victima","Una quemadura de primer grado que afecta unicamente la capa externa de la piel","Un esguince que produce inflamacion pero no presenta sangrado visible","","","","","",""
"multiplechoice","PABE","S4 Fracturas y Trauma","Yes","¡Correcto! Segun el material del curso, lo correcto es: La fractura es la ruptura de un hueso mientras el esguince es la lesion de los ligamentos que unen las articulaciones.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","Segun el material del curso, cual es la principal diferencia entre una fractura y un esguince en el contexto de las lesiones musculoesqueleticas?","D","La fractura afecta unicamente la piel mientras el esguince afecta los huesos","La fractura y el esguince son exactamente la misma lesion con distinto nombre","La fractura ocurre solo en adultos y el esguince solo en personas jovenes","La fractura es la ruptura de un hueso mientras el esguince es la lesion de los ligamentos que unen las articulaciones","","","","","",""
"multiplechoice","PABE","S5 Fuego Extintores y Brigadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: La clase D que agrupa los fuegos de metales combustibles y requiere agentes extintores especificos para su control.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","Segun el material del curso, que clase de fuego corresponde a los metales combustibles como el magnesio en la clasificacion de incendios?","A","La clase D que agrupa los fuegos de metales combustibles y requiere agentes extintores especificos para su control","La clase A que corresponde a los materiales solidos comunes como la madera","La clase B que corresponde a los liquidos y gases inflamables","La clase C que corresponde a los fuegos en equipos electricos energizados","","","","","",""
"multiplechoice","PABE","S1 Cadena Supervivencia y SEM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Verificar la seguridad del entorno para no exponerse a riesgos antes de acercarse a la victima.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","De acuerdo con el material del curso, en la evaluacion primaria de una victima cual es el primer paso que debe realizar el auxiliador?","C","Comenzar de inmediato las maniobras de resucitacion sin evaluar el entorno","Inspeccionar en detalle todos los signos vitales antes de asegurar la escena","Verificar la seguridad del entorno para no exponerse a riesgos antes de acercarse a la victima","Trasladar a la victima a otro lugar antes de realizar cualquier evaluacion","","","","","",""
"multiplechoice","PABE","S2 Evaluacion XABCDE y RCP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Treinta compresiones toracicas seguidas de dos ventilaciones repitiendo el ciclo durante la reanimacion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","De acuerdo con el material del curso, en adultos cual es la relacion correcta de compresiones toracicas y ventilaciones durante la reanimacion cardiopulmonar?","B","Quince compresiones toracicas por cada dos ventilaciones aplicadas a la victima","Treinta compresiones toracicas seguidas de dos ventilaciones repitiendo el ciclo durante la reanimacion","Cuarenta compresiones toracicas por cada dos ventilaciones durante la maniobra","Treinta compresiones toracicas por cada una ventilacion aplicada a la victima","","","","","",""
"multiplechoice","PABE","S3 Hemorragias y Quemaduras","Yes","¡Correcto! Segun el material del curso, lo correcto es: Aplicar presion directa sobre la herida con un aposito para detener el sangrado antes de recurrir a otras medidas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","De acuerdo con el material del curso, que tecnica se utiliza para controlar una hemorragia en una herida profunda de forma inmediata?","D","Aplicar frio sobre la herida para reducir la inflamacion sin ejercer presion","Elevar la extremidad sin ejercer ninguna presion sobre la herida sangrante","Esperar a que el sangrado se detenga por si solo sin realizar ninguna accion","Aplicar presion directa sobre la herida con un aposito para detener el sangrado antes de recurrir a otras medidas","","","","","",""
"multiplechoice","PABE","S4 Fracturas y Trauma","Yes","¡Correcto! Segun el material del curso, lo correcto es: La deformidad visible de la articulacion acompanada de dolor e imposibilidad de moverla con normalidad.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","De acuerdo con el material del curso, cual de las siguientes es una senal caracteristica de una luxacion en una articulacion?","A","La deformidad visible de la articulacion acompanada de dolor e imposibilidad de moverla con normalidad","La ausencia total de dolor y la movilidad completa de la articulacion afectada","La aparicion de fiebre alta como unico signo de la lesion en la articulacion","El cambio de color del cabello de la persona que presenta la luxacion","","","","","",""
"multiplechoice","PABE","S5 Fuego Extintores y Brigadas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Guiar el uso adecuado del extintor mediante los pasos de tirar del seguro apuntar presionar y barrer sobre la base del fuego.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","De acuerdo con el material del curso, cual es el proposito del metodo PASS en la extincion de incendios con un extintor portatil?","C","Proteger unicamente el area circundante sin utilizar el extintor sobre el fuego","Aumentar la presion interna del extintor antes de dirigirlo hacia las llamas","Guiar el uso adecuado del extintor mediante los pasos de tirar del seguro apuntar presionar y barrer sobre la base del fuego","Determinar el precio del servicio de mantenimiento del extintor utilizado","","","","","",""
"multiplechoice","PABE","S1 Cadena Supervivencia y SEM","Yes","¡Correcto! Segun el material del curso, lo correcto es: Los intervalos en que la atencion oportuna es decisiva ya que una respuesta rapida mejora la posibilidad de supervivencia.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","Conforme al material del curso, que se entiende por tiempos criticos dentro de la cadena de supervivencia en una emergencia?","B","Los momentos en que se determina el precio del servicio medico al paciente","Los intervalos en que la atencion oportuna es decisiva ya que una respuesta rapida mejora la posibilidad de supervivencia","Los periodos en que las oficinas administrativas atienden al publico","Los intervalos en que se recarga el equipo utilizado por los brigadistas","","","","","",""
"multiplechoice","PABE","S2 Evaluacion XABCDE y RCP","Yes","¡Correcto! Segun el material del curso, lo correcto es: Activar el sistema de emergencias e iniciar la reanimacion cardiopulmonar de inmediato mientras llega la ayuda especializada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso PABE.","1","Conforme al material del curso, cual es la principal accion a realizar al encontrarse con un paciente que no responde y no respira normalmente?","D","Esperar a que el paciente recupere la respiracion por si solo antes de actuar","Trasladar de inmediato al paciente sin iniciar ninguna maniobra de reanimacion","Determinar el precio del servicio medico antes de iniciar la atencion","Activar el sistema de emergencias e iniciar la reanimacion cardiopulmonar de inmediato mientras llega la ayuda especializada","","","","","",""
