"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","APA","S1 Cadena de Supervivencia XABCDE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Cada eslabon depende del anterior y todos deben cumplirse a tiempo.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","Conforme al contenido, que relacion existe entre los distintos eslabones de la cadena de supervivencia respecto a la efectividad de la atencion prestada a la victima en una emergencia?","A","Cada eslabon depende del anterior y todos deben cumplirse a tiempo","Solo el ultimo eslabon determina la supervivencia","Los eslabones pueden omitirse sin afectar el resultado","El orden de los eslabones es intercambiable libremente","","","","","",""
"multiplechoice","APA","S2 Tecnica de RCP y Uso del DEA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite que el corazon se llene de sangre antes de la siguiente compresion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","Conforme al material del curso, por que es importante permitir la reexpansion completa del torax entre cada compresion durante la reanimacion cardiopulmonar de la victima?","C","Aumenta la frecuencia de las compresiones automaticamente","Evita tener que usar el desfibrilador externo","Permite que el corazon se llene de sangre antes de la siguiente compresion","Reduce la necesidad de activar el sistema de emergencias","","","","","",""
"multiplechoice","APA","S3 Control de Hemorragias Externas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Detener la perdida de sangre y estabilizar a la victima.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","Conforme al material del curso, cual es el objetivo principal del manejo de las hemorragias externas dentro de la atencion de primeros auxilios prestada a la victima?","B","Determinar la causa legal de la lesion","Detener la perdida de sangre y estabilizar a la victima","Registrar los datos administrativos del incidente","Evaluar el aspecto estetico de la herida","","","","","",""
"multiplechoice","APA","S4 Quemaduras e Inmovilizacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Inmovilizar la zona lesionada y las articulaciones cercanas a ella.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","Conforme al material del curso, que caracteristica debe cumplir una ferula bien colocada respecto a las articulaciones adyacentes a la lesion de la extremidad de la victima?","D","Inmovilizar unicamente el punto exacto de la fractura","Dejar libres todas las articulaciones de la extremidad","Aplicarse con la mayor presion posible sobre el hueso","Inmovilizar la zona lesionada y las articulaciones cercanas a ella","","","","","",""
"multiplechoice","APA","S5 Triaje START y Escena Segura","Yes","¡Correcto! Segun el material del curso, lo correcto es: La categoria de color amarillo de atencion diferida.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","Conforme al material del curso, que categoria del metodo START corresponde a las victimas que requieren tratamiento pero cuya atencion puede diferirse un tiempo prudente?","A","La categoria de color amarillo de atencion diferida","La categoria de color rojo de atencion inmediata","La categoria de color negro de victimas fallecidas","La categoria de color verde de lesiones minimas","","","","","",""
"multiplechoice","APA","S1 Cadena de Supervivencia XABCDE","Yes","¡Correcto! Segun el material del curso, lo correcto es: Controlar la hemorragia masiva antes de continuar con la via aerea.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","De acuerdo con el material, que debe evaluar primero el auxiliador dentro del enfoque XABCDE cuando la victima presenta un sangrado masivo evidente al momento de la atencion inicial?","C","Valorar el estado neurologico antes que el sangrado","Exponer completamente al paciente ignorando el sangrado","Controlar la hemorragia masiva antes de continuar con la via aerea","Iniciar la ventilacion sin detener el sangrado","","","","","",""
"multiplechoice","APA","S2 Tecnica de RCP y Uso del DEA","Yes","¡Correcto! Segun el material del curso, lo correcto es: Mantener una relacion adecuada sin interrupciones prolongadas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","De acuerdo con el contenido, que caracteristica define una reanimacion cardiopulmonar de calidad respecto a la relacion entre compresiones y ventilaciones aplicadas a la victima?","B","Realizar solo ventilaciones sin ninguna compresion","Mantener una relacion adecuada sin interrupciones prolongadas","Comprimir el pecho de forma constante sin ventilar nunca","Detener la maniobra tras cada ciclo por varios minutos","","","","","",""
"multiplechoice","APA","S3 Control de Hemorragias Externas","Yes","¡Correcto! Segun el material del curso, lo correcto es: Puede entrar en estado de shock por la perdida de sangre.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","De acuerdo con el curso, que riesgo corre una victima con una hemorragia severa no controlada dentro de la evolucion de su estado durante la atencion de emergencia?","D","Puede presentar unicamente molestias esteticas leves","Puede recuperarse sin ninguna intervencion","Puede mejorar aumentando la actividad fisica","Puede entrar en estado de shock por la perdida de sangre","","","","","",""
"multiplechoice","APA","S4 Quemaduras e Inmovilizacion","Yes","¡Correcto! Segun el material del curso, lo correcto es: Retirar la ropa que este adherida a la piel quemada.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","De acuerdo con el contenido, que error debe evitar el auxiliador al atender una quemadura extensa para no agravar el estado de la victima durante los primeros auxilios?","A","Retirar la ropa que este adherida a la piel quemada","Cubrir la quemadura con un aposito limpio y seco","Enfriar la zona con agua a temperatura fresca","Retirar joyas o prendas que no esten pegadas","","","","","",""
"multiplechoice","APA","S5 Triaje START y Escena Segura","Yes","¡Correcto! Segun el material del curso, lo correcto es: Permite planificar la actuacion y proteger al equipo de rescate.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso APA.","1","De acuerdo con el curso, que ventaja ofrece la evaluacion rapida de la escena antes de iniciar la atencion de las victimas en una emergencia con multiples afectados?","C","Permite atender primero a las victimas menos graves","Sustituye la clasificacion de las victimas","Permite planificar la actuacion y proteger al equipo de rescate","Elimina la necesidad de activar la ayuda especializada","","","","","",""
