"Question Type: multiplechoice","Parent category","Category","Random answers","Correct feedback","Incorrect feedback","Points","Question","Correct","Answer A","Answer B","Answer C","Answer D","Answer E","Answer F","Answer G","Answer H","Answer I","Answer J"
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: Desarrollar competencias avanzadas en normativa y prevencion.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","En el marco del curso Especializacion en Aplicacion y Evaluacion de Higiene y, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el proposito principal del programa de especializacion en higiene y seguridad en el trabajo?","A","Desarrollar competencias avanzadas en normativa y prevencion.","Enfocar en la produccion industrial sin considerar la seguridad.","Ofrecer una capacitacion basica para trabajadores.","Las condiciones laborales en oficinas administrativas.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: La conexion de hallazgos y normas en el contexto real.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","Segun los contenidos desarrollados en el curso Especializacion en Aplicacion y Evaluacion de Higiene y, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Que aspecto se aborda mediante el caso transversal de IndustriAustral S.A.?","C","Las condiciones laborales en oficinas administrativas.","La implementacion de tecnicas de marketing.","La conexion de hallazgos y normas en el contexto real.","Enfocar en la produccion industrial sin considerar la seguridad.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: A profesionales y especialistas en higiene y seguridad laboral.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","Con base en el material del curso Especializacion en Aplicacion y Evaluacion de Higiene y y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Quienes son los principales beneficiarios del programa?","B","A estudiantes que recien ingresan al mercado laboral.","A profesionales y especialistas en higiene y seguridad laboral.","A asesores de marketing planificando estrategias.","Enfocar en la produccion industrial sin considerar la seguridad.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: Interpretar obligaciones legales y tecnicas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","Tomando en cuenta lo estudiado en el curso Especializacion en Aplicacion y Evaluacion de Higiene y sobre este tema especifico y las buenas practicas descritas en el material, responde: Que capacidad es fundamental para aplicar la jerarquia normativa en higiene y seguridad laboral?","D","Calcular indicadores de siniestralidad.","Auditar solamente los registros digitales.","Enfocar en la produccion industrial sin considerar la seguridad.","Interpretar obligaciones legales y tecnicas.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: Priorizar acciones correctivas segun gravedad y norma fuente.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","De acuerdo con los fundamentos presentados en el curso Especializacion en Aplicacion y Evaluacion de Higiene y, y aplicando el enfoque tecnico que el material propone para estos casos, determina lo siguiente: Que se espera lograr al clasificar hallazgos e incumplimientos?","B","Elaborar informes sin analisis contextual.","Priorizar acciones correctivas segun gravedad y norma fuente.","Identificar la culpa de los trabajadores.","Enfocar en la produccion industrial sin considerar la seguridad.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: La necesidad de identificar y gestionar situaciones de alto riesgo para prevenir accidentes laborales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","Considerando el enfoque metodologico del curso Especializacion en Aplicacion y Evaluacion de Higiene y y la informacion tecnica contenida en el material de referencia, senala la respuesta correcta ante lo siguiente: Explica por que es importante evaluar riesgos criticos en entornos industriales.","D","Una descripcion clara de los seis modulos que abarcan los temas de marco legal, organizacion preventiva, protocolos tecnicos, evaluacion de riesgos y auditoria.","Los contaminantes quimicos son sustancias que pueden generar efectos adversos en la salud de los trabajadores, incluyendo gases, vapores, polvo y liquidos, y que su control es esencial en la higiene industrial.","El criterio de avance se basa en la progresion continua a traves de los modulos y sesiones, donde cada etapa del curso se conecta con la anterior y se refuerza mediante actividades y comprobaciones.","La necesidad de identificar y gestionar situaciones de alto riesgo para prevenir accidentes laborales.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: Conocer las tendencias de accidentes en la industria.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","En el marco del curso Especializacion en Aplicacion y Evaluacion de Higiene y, y de acuerdo con el material de estudio revisado, responde con precision la siguiente pregunta tecnica: Cual es el objetivo al calcular e interpretar indicadores de siniestralidad?","A","Conocer las tendencias de accidentes en la industria.","Reemplazar la capacitacion de trabajadores.","Aumentar la carga administrativa del sistema.","Enfocar en la produccion industrial sin considerar la seguridad.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: E-learning autoadministrada con enfoque tecnico.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","Segun los contenidos desarrollados en el curso Especializacion en Aplicacion y Evaluacion de Higiene y, y considerando las definiciones presentadas en el material, indica la alternativa correcta: Cual es la principal metodologia de estudio utilizada en el curso?","C","Aprendizaje colaborativo en grupos grandes.","Metodologia tradicional con clases presenciales.","E-learning autoadministrada con enfoque tecnico.","Enfocar en la produccion industrial sin considerar la seguridad.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: Recursos visuales como tarjetas y cuadriculas.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","Con base en el material del curso Especializacion en Aplicacion y Evaluacion de Higiene y y en los criterios tecnicos que alli se explican de forma detallada, selecciona la respuesta adecuada: Que tipo de recursos didacticos se implementan en el curso?","C","Documentos escritos unicamente.","Audios sin soporte grafico.","Recursos visuales como tarjetas y cuadriculas.","Enfocar en la produccion industrial sin considerar la seguridad.","","","","","",""
"multiplechoice","EAEAR","C1 Marco Legal Ley 19587 y 24557","Yes","¡Correcto! Segun el material del curso, lo correcto es: Vincular teoria con situaciones laborales reales.","Respuesta incorrecta. Revisa la seccion correspondiente en el material del curso EAEAR.","1","Tomando en cuenta lo estudiado en el curso Especializacion en Aplicacion y Evaluacion de Higiene y sobre este tema especifico y las buenas practicas descritas en el material, responde: Cual es el enfoque del uso del caso transversal en el programa?","A","Vincular teoria con situaciones laborales reales.","Solo para evaluar el rendimiento de estudiantes.","Sustituir los contenidos teoricos del curso.","Enfocar en la produccion industrial sin considerar la seguridad.","","","","","",""
